Mean_X;Median_X;Std_X;Variance_X;RMS_X;AvgDerivative_X;Skewness_X;Kurtosis_X;IQR_X;ZeroCross_X;MeanCross_X;MedianAbsDev_X;Range_X;Mean_Y;Median_Y;Std_Y;Variance_Y;RMS_Y;AvgDerivative_Y;Skewness_Y;Kurtosis_Y;IQR_Y;ZeroCross_Y;MeanCross_Y;MedianAbsDev_Y;Range_Y;Mean_Z;Median_Z;Std_Z;Variance_Z;RMS_Z;AvgDerivative_Z;Skewness_Z;Kurtosis_Z;IQR_Z;ZeroCross_Z;MeanCross_Z;MedianAbsDev_Z;Range_Z;Correlation_XY;Correlation_XZ;Correlation_YZ;FFT_Max_X;FFT_Min_X;MeanFFT_X;StdFFT_X;FFT_Energy_X;FFT_DominantFreq_X;SkewnessFFT_X;KurtosisFFT_X;SpectralEntropy_X;FFT_Max_Y;FFT_Min_Y;MeanFFT_Y;StdFFT_Y;FFT_Energy_Y;FFT_DominantFreq_Y;SkewnessFFT_Y;KurtosisFFT_Y;SpectralEntropy_Y;FFT_Max_Z;FFT_Min_Z;MeanFFT_Z;StdFFT_Z;FFT_Energy_Z;FFT_DominantFreq_Z;SkewnessFFT_Z;KurtosisFFT_Z;SpectralEntropy_Z;AI;VI;SMA;EVA1;EVA2;CAGH;AVH;AVG;ARATG;DF;ENERGY;AAE;MaxAccel_X;MaxAccel_Y;MaxAccel_Z;MinAccel_X;MinAccel_Y;MinAccel_Z;RMSAccel_X;RMSAccel_Y;RMSAccel_Z;TotalEnergy;SignalMagnitude_X;SignalMagnitude_Y;SignalMagnitude_Z;Cov_XY;Cov_XZ;Cov_YZ;EntropyTime_X;EntropyTime_Y;EntropyTime_Z;Max_X;Max_Y;Max_Z;Min_X;Min_Y;Min_Z;MaxFFT_X;MaxFFT_Y;MaxFFT_Z
-0.454638;-0.535180;0.371815;0.138246;0.587318;0.132447;0.820759;1.293542;0.480560;1.988350;5.467961;0.256200;2.152870;8.916250;8.895100;1.106256;1.223802;8.984616;0.291199;1.163176;2.417421;1.253500;0.000000;5.965049;0.620800;6.534500;-2.340784;-1.668900;3.435182;11.800473;4.156891;0.277582;0.021335;-1.420750;6.735980;0.994175;0.994175;3.346700;10.942300;-0.296185;-0.236897;0.302778;46.827762;0.067881;3.050330;6.853314;28.409379;0.000000;5.205662;29.501681;1.110447;918.373800;0.105102;23.416706;125.681856;8251.476652;0.000000;6.939451;46.444929;0.061657;245.209260;0.163134;13.589482;46.227313;1172.089346;0.497087;4.698866;20.406264;0.830044;9.849254;1.340211;12.873701;12.049538;1.118992;-0.016026;9.264786;-0.381256;1.827533;0.000000;10060.824351;3150.658459;0.837970;12.882000;3.369200;-1.314900;6.347500;-7.573100;0.587318;8.984616;4.156891;9451.975377;0.587318;8.984616;4.156891;-0.123022;-0.305544;1.161894;2.817112;2.698102;3.245221;0.837970;12.882000;3.369200;-1.314900;6.347500;-7.573100;46.827762;918.373800;245.209260
-0.409934;-0.428660;0.359614;0.129322;0.545315;0.116996;0.697244;1.466735;0.418705;3.011765;5.521569;0.210045;2.152870;9.211090;9.163600;0.984415;0.969072;9.263544;0.280675;0.984793;3.751768;0.520200;0.000000;8.533333;0.267350;6.534500;0.836705;3.309200;4.139760;17.137616;4.223469;0.263505;-0.956802;-0.646486;5.217125;0.501961;0.501961;1.123200;12.384800;-0.452524;-0.200125;0.042058;41.813275;0.035818;2.908725;6.172444;23.736342;0.000000;4.972682;27.681015;1.240437;939.531200;0.068973;23.458447;128.537971;8703.529994;0.000000;6.957433;46.613124;0.048275;247.641163;4.317834;20.248583;38.009897;945.562572;0.501961;4.517785;22.552340;1.437071;10.140159;1.125482;13.492171;17.314459;1.005398;0.004919;9.318395;-0.397156;1.480208;3.011765;10545.337502;3224.276303;0.837970;12.882000;4.811700;-1.314900;6.347500;-7.573100;0.545315;9.263544;4.223469;9672.828908;0.545315;9.263544;4.223469;-0.161784;-0.300879;0.173094;2.824720;2.433439;2.660743;0.837970;12.882000;4.811700;-1.314900;6.347500;-7.573100;41.813275;939.531200;247.641163
-0.436087;-0.486710;0.171357;0.029363;0.468546;0.054004;0.974824;0.209296;0.244400;1.003922;4.517647;0.096750;0.743935;9.248705;9.275100;0.172757;0.029845;9.250318;0.082882;-0.818209;1.007364;0.227550;0.000000;8.533333;0.108500;0.984600;3.800268;3.719850;0.343934;0.118291;3.815799;0.121732;0.815415;-0.066632;0.472100;0.000000;6.525490;0.202350;1.579900;-0.262511;0.309866;-0.550289;44.480851;0.064688;1.803361;6.143156;20.897106;0.000000;6.464703;41.823928;0.402248;943.367900;0.146524;19.317995;129.398960;8726.454260;0.000000;7.000375;47.010199;0.002117;387.627300;0.196429;9.521490;53.015995;1479.121899;0.000000;6.972824;46.753904;0.035342;10.016380;0.020381;13.486240;0.134161;0.026228;0.006529;10.062701;-0.370820;1.180931;4.015686;10234.483358;3408.824422;0.032665;9.617200;4.811700;-0.711270;8.632600;3.231800;0.468546;9.250318;3.815799;10226.473265;0.468546;9.250318;3.815799;-0.007848;0.018443;-0.033020;3.059631;2.798676;3.035595;0.032665;9.617200;4.811700;-0.711270;8.632600;3.231800;44.480851;943.367900;387.627300
-0.564036;-0.572600;0.095302;0.009082;0.572031;0.037137;0.443749;-0.101338;0.139580;0.000000;6.525490;0.072395;0.450330;9.186039;9.148700;0.170405;0.029038;9.187620;0.068882;0.045653;-0.817076;0.289325;0.000000;5.521569;0.144400;0.838800;3.878772;3.982650;0.298713;0.089230;3.890257;0.060899;-0.212314;-1.350824;0.558550;0.000000;1.505882;0.249850;1.123400;0.124484;-0.205964;-0.850954;57.531690;0.059960;1.725883;7.847520;32.914089;0.000000;6.911426;46.180478;0.109157;936.976000;0.107860;18.954204;128.556597;8608.579830;0.000000;7.000077;47.007429;0.001925;395.634700;0.011854;8.721540;54.249379;1539.128813;0.000000;6.973824;46.759499;0.022127;9.993319;0.007243;13.628847;0.113354;0.009129;-0.048693;10.037055;-0.548217;1.171260;5.019608;10186.745185;3393.540911;-0.316160;9.617200;4.355200;-0.766490;8.778400;3.231800;0.572031;9.187620;3.890257;10180.622732;0.572031;9.187620;3.890257;0.002042;-0.005921;-0.043744;3.039901;2.970586;3.098293;-0.316160;9.617200;4.355200;-0.766490;8.778400;3.231800;57.531690;936.976000;395.634700
-0.611981;-0.637420;0.085700;0.007345;0.617952;0.030653;1.631389;2.734115;0.048840;0.000000;5.965049;0.023910;0.450330;9.072930;9.079000;0.093139;0.008675;9.073408;0.073673;-0.250652;0.035945;0.130150;0.000000;15.409709;0.061800;0.489800;4.116276;4.103800;0.099053;0.009812;4.117467;0.057263;0.415581;-0.681962;0.155850;0.000000;10.438835;0.074000;0.421800;-0.140163;0.035128;-0.289893;63.034000;0.058899;1.748865;8.608136;38.953827;0.000000;6.935766;46.406849;0.076799;934.511800;0.091237;18.741085;128.234645;8479.206989;0.000000;7.001214;47.017901;0.000741;423.976400;0.040835;8.846006;58.134284;1745.709057;0.000000;6.999750;47.004477;0.003437;9.982744;0.006963;13.801186;0.012282;0.007654;-0.126990;10.112478;-0.596607;1.144880;4.970874;10264.841580;3421.289958;-0.316160;9.268200;4.355200;-0.766490;8.778400;3.933400;0.617952;9.073408;4.117467;10263.869873;0.617952;9.073408;4.117467;-0.001130;0.000301;-0.002701;2.657735;2.946121;3.133605;-0.316160;9.268200;4.355200;-0.766490;8.778400;3.933400;63.034000;934.511800;423.976400
-0.634600;-0.637770;0.030999;0.000961;0.635357;0.026531;0.470998;3.939069;0.029565;0.000000;17.895146;0.012520;0.237090;9.094305;9.096800;0.085932;0.007384;9.094711;0.068748;-0.510482;0.450192;0.106850;0.000000;15.409709;0.054100;0.452800;4.085020;4.079100;0.087532;0.007662;4.085958;0.057590;0.763777;0.578058;0.122550;0.000000;13.918447;0.060600;0.452900;-0.112636;-0.227975;-0.185688;65.363810;0.014245;1.529592;8.939823;41.529368;0.000000;6.998363;46.991781;0.013345;936.713400;0.095834;18.738336;128.543068;8519.137509;0.000000;7.001256;47.018290;0.000640;420.757100;0.110618;8.721987;57.699717;1719.195921;0.000000;7.000169;47.008314;0.002775;9.990299;0.006432;13.813925;0.009023;0.006258;-0.214120;10.125369;-0.647346;1.148621;6.959223;10280.355899;3426.620932;-0.495540;9.266300;4.386300;-0.732630;8.813500;3.933400;0.635357;9.094711;4.085958;10279.862797;0.635357;9.094711;4.085958;-0.000303;-0.000625;-0.001410;2.501917;2.954636;3.008990;-0.495540;9.266300;4.386300;-0.732630;8.813500;3.933400;65.363810;936.713400;420.757100
-0.627871;-0.626480;0.029791;0.000887;0.628578;0.025827;-0.541465;1.207003;0.045020;0.000000;18.189474;0.021915;0.166270;9.087113;9.099900;0.093575;0.008756;9.087595;0.066275;-0.945838;0.927309;0.078300;0.000000;13.473684;0.039600;0.443700;4.114405;4.104450;0.104178;0.010853;4.115724;0.057708;1.063067;1.553216;0.126675;0.000000;10.778947;0.061400;0.524800;-0.148494;-0.045862;-0.354770;47.718230;0.031599;1.447459;7.507104;29.994977;0.000000;5.999682;34.006752;0.012477;690.620600;0.066063;18.367222;109.054848;6276.082506;0.000000;6.002027;34.025029;0.000738;312.694800;0.050200;8.634717;49.329246;1286.965561;0.000000;6.000588;34.013768;0.003634;9.995606;0.006536;13.829390;0.013599;0.006306;-0.179601;7.498213;-0.473651;1.145638;6.736842;7593.572901;2531.014348;-0.566360;9.257200;4.469700;-0.732630;8.813500;3.944900;0.628578;9.087595;4.115724;7593.043044;0.628578;9.087595;4.115724;-0.000419;-0.000144;-0.003505;2.493985;2.895213;2.826696;-0.566360;9.257200;4.469700;-0.732630;8.813500;3.944900;47.718230;690.620600;312.694800
-0.251104;-0.307640;0.168331;0.028335;0.302305;0.037335;2.785490;8.427304;0.083955;1.491262;5.467961;0.040280;0.975220;9.580823;9.569800;0.075810;0.005747;9.581123;0.058579;0.675876;1.059894;0.081650;0.000000;14.912621;0.039600;0.424800;2.420815;2.569000;0.383362;0.146966;2.450981;0.068063;-0.914108;-0.407210;0.643850;0.000000;1.491262;0.196100;1.434100;0.300379;-0.773563;-0.581879;25.863683;0.317434;1.725626;3.574454;7.953730;0.000000;5.965330;37.069929;0.977716;986.824800;0.083589;19.590054;135.440707;9454.890013;0.000000;7.001279;47.018499;0.000451;249.343900;0.046907;6.883835;34.106121;611.184098;0.000000;6.906811;46.118034;0.086699;9.893993;0.005523;12.289295;0.168649;0.010920;-0.582589;10.064162;-0.318334;1.323304;0.000000;10083.067379;3358.009280;0.573700;9.815000;2.851300;-0.401520;9.390200;1.417200;0.302305;9.581123;2.450981;10074.027841;0.302305;9.581123;2.450981;0.003871;-0.050409;-0.017077;2.256009;2.847117;2.904876;0.573700;9.815000;2.851300;-0.401520;9.390200;1.417200;25.863683;986.824800;249.343900
0.059733;-0.110907;0.392081;0.153728;0.396605;0.076524;0.390034;-1.274542;0.713635;3.011765;2.007843;0.253398;1.543790;9.409087;9.589350;0.448747;0.201374;9.419782;0.114427;-1.285304;0.486075;0.275375;0.000000;4.517647;0.104700;1.999300;0.149215;1.488150;2.621031;6.869801;2.625274;0.143813;-1.053129;-0.285531;3.529200;0.501961;0.501961;0.951500;8.474800;0.180253;-0.087191;0.822505;25.464928;0.166895;1.776332;3.597054;8.204862;0.501961;5.555707;33.297708;1.129629;959.726900;0.122100;21.114067;131.481315;9040.424283;0.000000;6.993303;46.944792;0.011123;144.874284;3.552127;13.343899;22.667223;352.714281;0.501961;4.359334;20.552265;1.579226;9.782013;0.093877;12.006031;7.077737;0.172492;-0.436834;9.752215;-0.033718;1.554939;1.003922;9764.943085;3133.781142;0.892400;9.988900;2.592000;-0.651390;7.989600;-5.882800;0.396605;9.419782;2.625274;9401.343426;0.396605;9.419782;2.625274;0.032029;-0.090489;0.976992;2.991607;2.603573;2.834254;0.892400;9.988900;2.592000;-0.651390;7.989600;-5.882800;25.464928;959.726900;144.874284
-0.111030;-0.209155;0.610392;0.372579;0.620408;0.195312;0.030732;-1.052136;1.063140;4.517647;5.521569;0.520180;2.828900;8.696248;8.568600;1.018326;1.036989;8.755668;0.235600;0.721887;1.121251;1.614900;0.000000;3.011765;0.792500;5.551200;-3.656717;-4.792050;2.580464;6.658794;4.475530;0.247956;0.743637;-0.942291;4.228075;0.501961;1.003922;1.318250;8.198500;0.356822;0.699994;0.693581;29.099519;0.188342;4.048406;4.833770;20.267216;0.501961;2.994444;11.615948;2.389554;887.017300;0.258831;22.344404;121.388762;7766.609881;0.000000;6.947519;46.510451;0.051340;372.985118;1.316120;16.602964;55.370028;1703.508990;0.000000;5.529995;31.137338;0.656032;9.832478;0.399370;13.187079;7.450172;0.532287;-0.332033;9.298080;0.131247;1.968844;0.501961;9881.487450;3163.462029;1.356400;12.344000;1.518500;-1.472500;6.792800;-6.680000;0.620408;8.755668;4.475530;9490.386087;0.620408;8.755668;4.475530;0.223989;1.113474;1.840606;3.020107;2.840876;3.066943;1.356400;12.344000;1.518500;-1.472500;6.792800;-6.680000;29.099519;887.017300;372.985118
-0.356193;-0.439085;0.486333;0.236520;0.602821;0.228640;0.614994;0.598116;0.673507;4.517647;10.541176;0.305750;2.828900;8.854441;8.871250;1.167492;1.363037;8.931079;0.363368;0.579391;0.088311;1.679250;0.000000;4.517647;0.883400;5.551200;-1.854135;-3.008550;3.952403;15.621492;4.365697;0.327857;0.265177;-1.588538;7.814150;0.501961;0.501961;3.101750;11.348500;0.057151;0.443178;0.567387;36.331670;0.210807;4.069556;5.700611;25.010086;0.000000;3.740544;17.379645;2.040774;903.153000;0.155398;23.987789;123.479594;8066.435831;0.000000;6.937311;46.420229;0.067484;253.984437;3.825016;20.565041;42.753347;1147.451179;0.501961;4.330044;18.791126;1.325366;9.925264;0.675997;13.275183;16.291619;0.925457;-0.036165;9.394588;-0.482650;1.777215;0.501961;10082.588042;3079.632365;1.356400;12.344000;4.668500;-1.472500;6.792800;-6.680000;0.602821;8.931079;4.365697;9238.897096;0.602821;8.931079;4.365697;0.032771;0.860303;2.644072;2.890279;2.998035;3.015626;1.356400;12.344000;4.668500;-1.472500;6.792800;-6.680000;36.331670;903.153000;253.984437
-0.261960;-0.194320;0.652267;0.425452;0.702905;0.217063;-1.070650;2.870990;0.734445;4.473786;7.456311;0.389180;3.905800;9.242150;9.161900;0.651837;0.424892;9.265108;0.311153;1.062208;2.354489;0.693100;0.000000;10.438835;0.348400;3.912500;3.045661;3.992700;1.897578;3.600801;3.588434;0.256706;-1.450231;1.092189;2.099700;0.497087;2.485437;0.524000;7.573600;-0.159471;0.212665;-0.364569;26.981913;0.220252;4.593824;6.024739;28.978993;0.000000;1.914821;3.261501;2.496664;951.941400;0.868998;23.161170;130.129477;8819.866683;0.000000;6.989033;46.905670;0.024411;313.703130;2.180328;17.043485;44.377126;1140.874805;0.000000;5.865360;35.643730;0.758291;9.937842;0.452451;13.054632;3.722095;0.423659;-0.035694;9.770151;-0.301317;1.252463;2.982524;10195.653246;3329.906827;1.033700;11.645000;4.757000;-2.872100;7.732500;-2.816600;0.702905;9.265108;3.588434;9989.720481;0.702905;9.265108;3.588434;-0.068467;0.265802;-0.455361;2.734034;2.799518;2.621134;1.033700;11.645000;4.757000;-2.872100;7.732500;-2.816600;26.981913;951.941400;313.703130
-0.324354;-0.317630;0.592191;0.350690;0.675200;0.167941;-1.187501;4.847591;0.359135;4.473786;8.450485;0.162230;3.905800;8.843982;8.781300;0.299876;0.089926;8.849064;0.161688;1.437610;3.512641;0.386850;0.000000;11.433010;0.178800;1.764700;4.573268;4.584100;0.380920;0.145100;4.589104;0.136909;-0.284729;-0.330522;0.511400;0.000000;7.456311;0.261200;1.927200;-0.407318;0.156435;-0.275050;33.408503;0.046155;4.092055;6.363397;28.896724;0.000000;2.621770;7.634154;2.157713;910.930100;0.200826;19.703951;124.813852;8060.880174;0.000000;6.998394;46.992022;0.006491;471.046600;0.048189;11.271645;64.457497;2161.694985;0.000000;6.976107;46.783875;0.029793;9.986594;0.089644;13.897221;0.380774;0.145102;-0.308630;10.092193;-0.350911;1.093558;2.982524;10277.019567;3417.157294;1.033700;10.118000;5.395900;-2.872100;8.353300;3.468700;0.675200;8.849064;4.589104;10251.471883;0.675200;8.849064;4.589104;-0.073042;0.035634;-0.031727;2.428454;2.779820;3.047352;1.033700;10.118000;5.395900;-2.872100;8.353300;3.468700;33.408503;910.930100;471.046600
