Feature;Score
Mean_X;0.020410
Median_X;0.020173
Std_X;4.876857
Variance_X;1.891978
RMS_X;1.583167
AvgDerivative_X;2.200148
Skewness_X;0.039399
Kurtosis_X;0.097769
IQR_X;3.304601
ZeroCross_X;0.352763
MeanCross_X;1.144122
MedianAbsDev_X;3.366239
Range_X;3.889755
Mean_Y;0.273691
Median_Y;0.086067
Std_Y;3.156508
Variance_Y;1.171083
RMS_Y;0.493621
AvgDerivative_Y;2.221831
Skewness_Y;0.671420
Kurtosis_Y;0.020310
IQR_Y;1.875909
ZeroCross_Y;0.003332
MeanCross_Y;0.915032
MedianAbsDev_Y;2.030532
Range_Y;3.326620
Mean_Z;0.189298
Median_Z;0.169653
Std_Z;1.547409
Variance_Z;0.373109
RMS_Z;0.146566
AvgDerivative_Z;2.095762
Skewness_Z;0.106194
Kurtosis_Z;0.047472
IQR_Z;0.856450
ZeroCross_Z;0.625309
MeanCross_Z;0.170315
MedianAbsDev_Z;1.138947
Range_Z;2.225773
Correlation_XY;0.024600
Correlation_XZ;0.041425
Correlation_YZ;0.724449
FFT_Max_X;0.100178
FFT_Min_X;0.533948
MeanFFT_X;3.568385
StdFFT_X;0.392763
FFT_Energy_X;0.470833
FFT_DominantFreq_X;0.084347
SkewnessFFT_X;1.561846
KurtosisFFT_X;1.733561
SpectralEntropy_X;1.406645
FFT_Max_Y;0.066704
FFT_Min_Y;0.486877
MeanFFT_Y;3.227295
StdFFT_Y;0.089305
FFT_Energy_Y;0.145050
FFT_DominantFreq_Y;0.000000
SkewnessFFT_Y;0.064136
KurtosisFFT_Y;0.056680
SpectralEntropy_Y;1.698504
FFT_Max_Z;0.253328
FFT_Min_Z;0.320156
MeanFFT_Z;0.230924
StdFFT_Z;0.236161
FFT_Energy_Z;0.229834
FFT_DominantFreq_Z;0.085476
SkewnessFFT_Z;0.686471
KurtosisFFT_Z;0.655236
SpectralEntropy_Z;1.056116
AI;0.099569
VI;1.174664
SMA;0.025593
EVA1;0.873207
EVA2;1.852919
CAGH;0.027485
AVH;0.049137
AVG;0.020131
ARATG;0.188448
DF;1.022754
ENERGY;0.062878
AAE;0.057534
MaxAccel_X;2.143500
MaxAccel_Y;2.853067
MaxAccel_Z;0.069024
MinAccel_X;1.567993
MinAccel_Y;1.930107
MinAccel_Z;0.920466
RMSAccel_X;1.583167
RMSAccel_Y;0.493621
RMSAccel_Z;0.146566
TotalEnergy;0.057534
SignalMagnitude_X;1.583167
SignalMagnitude_Y;0.493621
SignalMagnitude_Z;0.146566
Cov_XY;0.005263
Cov_XZ;0.033458
Cov_YZ;0.110450
EntropyTime_X;0.786001
EntropyTime_Y;0.070231
EntropyTime_Z;0.109601
Max_X;2.143500
Max_Y;2.853067
Max_Z;0.069024
Min_X;1.567993
Min_Y;1.930107
Min_Z;0.920466
MaxFFT_X;0.100178
MaxFFT_Y;0.066704
MaxFFT_Z;0.253328
