Feature;Score
Mean_X;0.061797
Median_X;0.065031
Std_X;0.024077
Variance_X;0.036742
RMS_X;0.016097
AvgDerivative_X;0.004460
Skewness_X;0.057547
Kurtosis_X;0.249360
IQR_X;0.061970
ZeroCross_X;3.641787
MeanCross_X;7.144469
MedianAbsDev_X;0.013931
Range_X;0.526360
Mean_Y;0.003329
Median_Y;0.021394
Std_Y;0.139711
Variance_Y;1.571065
RMS_Y;0.004045
AvgDerivative_Y;0.016159
Skewness_Y;0.163225
Kurtosis_Y;1.193495
IQR_Y;0.189272
ZeroCross_Y;0.000445
MeanCross_Y;6.461468
MedianAbsDev_Y;0.038664
Range_Y;3.132036
Mean_Z;0.238847
Median_Z;0.232098
Std_Z;0.044712
Variance_Z;0.336436
RMS_Z;0.004995
AvgDerivative_Z;0.007229
Skewness_Z;0.084078
Kurtosis_Z;0.586629
IQR_Z;0.120564
ZeroCross_Z;1.351319
MeanCross_Z;6.351565
MedianAbsDev_Z;0.022371
Range_Z;0.755891
Correlation_XY;0.026525
Correlation_XZ;0.039445
Correlation_YZ;0.051460
FFT_Max_X;41.846222
FFT_Min_X;0.009010
MeanFFT_X;0.754211
StdFFT_X;1.084540
FFT_Energy_X;98.240392
FFT_DominantFreq_X;0.295838
SkewnessFFT_X;0.517781
KurtosisFFT_X;34.438155
SpectralEntropy_X;0.145942
FFT_Max_Y;25.671376
FFT_Min_Y;0.048441
MeanFFT_Y;3.822873
StdFFT_Y;0.315788
FFT_Energy_Y;567.236709
FFT_DominantFreq_Y;0.000000
SkewnessFFT_Y;0.003159
KurtosisFFT_Y;0.325162
SpectralEntropy_Y;0.001421
FFT_Max_Z;36.552112
FFT_Min_Z;0.039168
MeanFFT_Z;0.924330
StdFFT_Z;0.584985
FFT_Energy_Z;806.906798
FFT_DominantFreq_Z;0.041739
SkewnessFFT_Z;0.108604
KurtosisFFT_Z;7.607999
SpectralEntropy_Z;0.038588
AI;0.002319
VI;1.592791
SMA;0.011191
EVA1;1.779037
EVA2;0.071665
CAGH;0.011352
AVH;0.004590
AVG;0.061253
ARATG;0.002553
DF;6.499895
ENERGY;463.464685
AAE;21.524187
MaxAccel_X;0.213058
MaxAccel_Y;1.597974
MaxAccel_Z;0.385445
MinAccel_X;0.214513
MinAccel_Y;0.396461
MinAccel_Z;0.719598
RMSAccel_X;0.016097
RMSAccel_Y;0.004045
RMSAccel_Z;0.004995
TotalEnergy;193.717681
SignalMagnitude_X;0.016097
SignalMagnitude_Y;0.004045
SignalMagnitude_Z;0.004995
Cov_XY;0.011071
Cov_XZ;0.013866
Cov_YZ;0.071253
EntropyTime_X;0.013504
EntropyTime_Y;0.011753
EntropyTime_Z;0.008956
Max_X;0.213058
Max_Y;1.597974
Max_Z;0.385445
Min_X;0.214513
Min_Y;0.396461
Min_Z;0.719598
MaxFFT_X;41.846222
MaxFFT_Y;25.671376
MaxFFT_Z;36.552112
