Mean_X;Median_X;Std_X;Variance_X;RMS_X;AvgDerivative_X;Skewness_X;Kurtosis_X;IQR_X;ZeroCross_X;MeanCross_X;MedianAbsDev_X;Range_X;Mean_Y;Median_Y;Std_Y;Variance_Y;RMS_Y;AvgDerivative_Y;Skewness_Y;Kurtosis_Y;IQR_Y;ZeroCross_Y;MeanCross_Y;MedianAbsDev_Y;Range_Y;Mean_Z;Median_Z;Std_Z;Variance_Z;RMS_Z;AvgDerivative_Z;Skewness_Z;Kurtosis_Z;IQR_Z;ZeroCross_Z;MeanCross_Z;MedianAbsDev_Z;Range_Z;Correlation_XY;Correlation_XZ;Correlation_YZ;FFT_Max_X;FFT_Min_X;MeanFFT_X;StdFFT_X;FFT_Energy_X;FFT_DominantFreq_X;SkewnessFFT_X;KurtosisFFT_X;SpectralEntropy_X;FFT_Max_Y;FFT_Min_Y;MeanFFT_Y;StdFFT_Y;FFT_Energy_Y;FFT_DominantFreq_Y;SkewnessFFT_Y;KurtosisFFT_Y;SpectralEntropy_Y;FFT_Max_Z;FFT_Min_Z;MeanFFT_Z;StdFFT_Z;FFT_Energy_Z;FFT_DominantFreq_Z;SkewnessFFT_Z;KurtosisFFT_Z;SpectralEntropy_Z;AI;VI;SMA;EVA1;EVA2;CAGH;AVH;AVG;ARATG;DF;ENERGY;AAE;MaxAccel_X;MaxAccel_Y;MaxAccel_Z;MinAccel_X;MinAccel_Y;MinAccel_Z;RMSAccel_X;RMSAccel_Y;RMSAccel_Z;TotalEnergy;SignalMagnitude_X;SignalMagnitude_Y;SignalMagnitude_Z;Cov_XY;Cov_XZ;Cov_YZ;EntropyTime_X;EntropyTime_Y;EntropyTime_Z;Max_X;Max_Y;Max_Z;Min_X;Min_Y;Min_Z;MaxFFT_X;MaxFFT_Y;MaxFFT_Z
2.720610;1.667600;6.026056;36.313346;6.611737;2.489819;0.835862;3.947400;4.114908;7.953398;7.953398;1.807520;44.362000;10.014940;10.301000;4.932102;24.325628;11.163541;1.665805;-0.577817;0.827187;3.209850;1.988350;6.959223;1.611400;23.475000;-0.592146;-1.170500;3.185033;10.144436;3.239610;1.607936;0.807469;1.701179;3.496120;6.959223;10.935922;1.652100;21.086300;0.434397;0.603344;0.025156;280.222833;1.348618;54.794687;47.031327;2632.514359;0.000000;2.567545;8.861293;2.890744;1031.538780;5.379953;54.338592;141.391985;11583.568421;0.000000;6.361958;40.898715;0.622425;107.335047;1.487079;25.939431;20.820963;558.553997;0.497087;1.936148;4.016412;3.027851;12.177375;30.546311;17.101188;47.776691;19.035252;0.442304;10.021929;2.249312;1.629854;0.994175;16846.847349;4924.878926;25.092000;19.981000;11.453000;-19.270000;-3.494000;-9.633300;6.611737;11.163541;3.239610;14774.636777;6.611737;11.163541;3.239610;13.037331;11.693626;0.399045;2.428642;2.738901;2.722119;25.092000;19.981000;11.453000;-19.270000;-3.494000;-9.633300;280.222833;1031.538780;107.335047
3.156662;2.416100;6.480434;41.996022;7.208366;2.604213;1.301273;3.469225;3.521600;4.473786;9.941748;1.702800;35.242000;8.697806;9.307000;5.557462;30.885387;10.321687;1.877025;-0.184298;0.191922;4.483500;2.485437;9.444660;2.024000;26.942000;0.103066;-0.885230;4.626965;21.408808;4.628113;1.971023;1.313612;6.820275;3.340450;9.444660;9.444660;1.463470;36.504000;0.518748;0.328442;0.200434;325.136213;4.605188;58.947247;53.312036;3189.140361;0.000000;2.801259;10.366564;2.789853;895.874050;2.592962;56.733870;123.960895;9382.736393;0.000000;6.001293;37.434934;0.905924;139.208011;1.072760;37.403903;28.053867;1103.647722;2.485437;1.372464;2.179944;3.178260;11.728966;42.348537;16.921510;59.711089;19.572116;0.521404;8.231210;3.507806;1.558947;1.988350;16350.520968;4558.508159;25.218000;23.448000;17.654000;-10.024000;-3.494000;-18.850000;7.208366;10.321687;4.628113;13675.524476;7.208366;10.321687;4.628113;18.865737;9.944798;5.204518;2.615967;2.822800;2.178296;25.218000;23.448000;17.654000;-10.024000;-3.494000;-18.850000;325.136213;895.874050;139.208011
1.551654;1.631750;5.361022;28.740559;5.581056;2.285931;1.505479;6.101471;3.912665;6.023529;10.541176;1.636900;35.242000;9.237220;9.481350;4.399519;19.355764;10.231422;1.397617;-0.230393;1.619811;2.726300;1.003922;8.031373;1.506150;25.717200;-0.578888;-1.848550;4.878199;23.796821;4.912426;1.819514;1.192134;5.558321;3.970425;6.023529;7.529412;1.678100;36.504000;0.465909;0.133075;0.195534;158.268699;3.387402;46.153052;35.042755;1711.971991;0.000000;1.280499;1.282979;3.169431;942.196470;2.004810;48.523108;129.049133;9690.440013;0.000000;6.394164;41.244826;0.597317;137.121337;4.073281;39.435869;29.913049;1249.008513;1.003922;1.227634;1.168622;3.177421;11.524778;27.141609;16.619217;38.310648;22.309794;0.475943;8.669791;2.003229;1.633384;2.007843;14932.401863;4217.140172;25.218000;23.448000;17.654000;-10.024000;-2.269200;-18.850000;5.581056;10.231422;4.912426;12651.420516;5.581056;10.231422;4.912426;11.097689;3.514640;4.238047;2.473624;2.545612;2.302426;25.218000;23.448000;17.654000;-10.024000;-2.269200;-18.850000;158.268699;942.196470;137.121337
1.392336;1.679800;5.341639;28.533106;5.520118;2.924033;-0.358430;6.988556;4.626420;7.529412;10.541176;2.269850;47.831000;9.952778;9.879300;4.747378;22.537601;11.027030;1.647161;-1.324433;3.553684;3.000100;1.003922;7.529412;1.949200;30.435300;-0.526994;-1.561000;3.707407;13.744868;3.744675;1.778427;0.450136;0.554737;4.781100;5.019608;6.023529;1.967100;21.393100;0.364611;0.328251;0.039994;142.018229;7.243036;50.807854;26.065235;1662.386245;0.000000;1.011731;1.299927;3.517176;1015.183384;4.448632;52.207520;139.107884;11254.751855;0.000000;6.386404;41.179494;0.599205;128.113093;4.691117;28.916951;24.400626;729.825405;1.505882;2.388168;6.755850;2.918193;12.232555;16.454279;17.280809;37.052265;17.833502;0.320909;10.047994;0.900624;1.623696;1.003922;16104.347927;4548.987835;24.896000;21.718000;12.815000;-22.935000;-8.717300;-8.578100;5.520118;11.027030;3.744675;13646.963505;5.520118;11.027030;3.744675;9.337628;6.564922;0.710888;2.261215;2.509331;2.777055;24.896000;21.718000;12.815000;-22.935000;-8.717300;-8.578100;142.018229;1015.183384;128.113093
2.196823;3.065400;5.428067;29.463916;5.855762;2.936092;-0.818200;6.792767;4.283398;8.031373;8.533333;2.066800;47.831000;9.862131;10.421500;6.029845;36.359036;11.559440;2.513146;-1.148665;1.580844;4.104250;2.007843;11.043137;2.378000;30.559300;-0.345310;-1.223600;3.294365;10.852842;3.312413;1.991533;0.737580;1.348701;4.470025;8.031373;8.031373;1.886300;20.430000;0.399251;0.523185;0.115397;224.075936;4.193113;52.662506;33.856822;1998.239661;0.000000;2.711344;10.906094;3.222341;1005.937350;3.306981;59.244629;139.965740;11776.641151;0.000000;5.975635;37.291382;0.843347;114.925669;0.585911;27.068846;19.413095;565.673675;1.003922;1.872649;6.199548;3.188312;12.622412;19.557395;17.796348;48.479601;22.285188;0.237248;9.823110;1.923039;1.605796;1.505882;17251.971055;4780.184829;24.896000;21.842000;12.815000;-22.935000;-8.717300;-7.615000;5.855762;11.559440;3.312413;14340.554487;5.855762;11.559440;3.312413;13.197017;9.448242;2.315002;2.261866;2.766191;2.707078;24.896000;21.842000;12.815000;-22.935000;-8.717300;-7.615000;224.075936;1005.937350;114.925669
1.861297;2.527900;4.365749;19.059767;4.745966;2.289913;-1.911652;6.909961;3.923420;7.953398;10.935922;1.809580;31.325000;10.213388;10.149000;4.884282;23.856206;11.321197;2.107067;-1.020829;2.645622;4.875300;0.994175;9.941748;2.535500;30.298900;-0.839291;-1.477800;3.653941;13.351284;3.749092;1.939498;0.711581;-0.049573;5.372350;7.953398;11.930097;2.314700;15.819500;0.154599;0.137291;0.065124;191.713548;8.167953;39.626928;32.875453;1338.413776;0.000000;2.545327;7.987732;2.918357;1051.978966;4.967733;53.571889;144.379823;11972.863997;0.000000;6.369762;40.998831;0.595483;137.312222;2.000363;29.810005;24.840209;760.145287;0.994175;2.311282;6.104482;2.938159;12.271081;14.169952;17.419656;26.123654;17.963951;-0.043984;10.400592;1.668398;1.652788;2.485437;16239.434285;4690.474353;10.553000;21.842000;8.987700;-20.772000;-8.456900;-6.831800;4.745966;11.321197;3.749092;14071.423060;4.745966;11.321197;3.749092;3.328920;2.211559;1.173659;2.563212;2.724331;3.106395;10.553000;21.842000;8.987700;-20.772000;-8.456900;-6.831800;191.713548;1051.978966;137.312222
2.002568;2.113700;4.581726;20.992216;5.000249;2.217953;-1.306483;6.248996;2.673085;4.970874;13.918447;1.373160;36.617000;9.833786;9.737200;3.341109;11.163013;10.385873;1.572834;1.174360;2.885264;2.936800;0.000000;10.438835;1.364700;20.878000;-0.364008;-1.227900;4.072364;16.584152;4.088600;1.944167;0.442350;-0.327258;5.836400;5.965049;7.953398;2.482900;19.138500;-0.200700;0.130198;-0.290180;206.264512;9.418332;42.669231;33.747868;1494.157834;0.000000;2.842605;9.675970;2.942165;1012.880000;2.195200;47.447956;136.443286;10535.340726;0.000000;6.808156;45.205765;0.386475;173.603882;4.650056;31.042328;27.479989;867.731541;0.497087;3.161829;12.727704;2.770359;11.694429;12.825842;16.890315;23.939014;16.339448;-0.232903;10.214845;1.564590;1.607796;0.994175;14746.777307;4299.076701;15.845000;24.588000;9.465800;-20.772000;3.710000;-9.672700;5.000249;10.385873;4.088600;12897.230102;5.000249;10.385873;4.088600;-3.102453;2.453104;-3.986962;2.339903;2.606391;2.947454;15.845000;24.588000;9.465800;-20.772000;3.710000;-9.672700;206.264512;1012.880000;173.603882
2.676211;2.505250;5.344158;28.560030;5.976800;2.117467;1.032288;3.377467;4.876385;4.517647;8.031373;2.397660;34.728800;9.197121;9.877600;5.226524;27.316549;10.578449;1.860350;-0.038044;1.072251;4.950425;2.007843;6.525490;2.036950;27.501000;0.072195;-0.805680;3.770919;14.219833;3.771610;1.990597;1.907331;9.070041;3.690825;8.533333;8.533333;1.131870;31.155700;0.256867;0.372698;-0.161415;272.973570;6.682854;47.288702;45.474519;2194.274189;0.000000;3.153317;11.399087;2.634952;938.106380;2.873145;57.246565;127.995074;10022.698343;0.000000;6.284057;40.171270;0.801118;83.438645;5.207593;33.487164;17.468074;727.247411;0.501961;0.760328;0.110566;3.518522;11.568148;28.028714;16.441387;36.134299;25.503584;0.329056;9.255705;2.384573;1.562947;1.003922;15080.927826;4314.739981;24.874000;24.588000;21.483000;-9.854800;-2.913000;-9.672700;5.976800;10.578449;3.771610;12944.219943;5.976800;10.578449;3.771610;7.245670;7.585125;-3.212789;2.620653;2.800544;2.285326;24.874000;24.588000;21.483000;-9.854800;-2.913000;-9.672700;272.973570;938.106380;83.438645
2.170428;1.975150;5.651504;31.939499;6.053946;2.037944;1.195318;2.346655;6.512675;5.521569;6.023529;3.960800;31.220500;9.643155;10.757500;5.672150;32.173290;11.187659;1.668195;-0.354980;-0.215532;6.866050;2.007843;5.019608;3.219700;27.314000;0.226308;-0.389340;3.464595;12.003416;3.471978;1.794627;2.811946;13.076827;1.919480;9.537255;9.537255;0.971840;27.119300;0.418584;0.323806;0.127408;221.383650;7.335833;46.187125;44.820855;2111.689199;0.000000;2.292792;5.124414;2.737064;983.601780;0.828900;55.917623;136.737091;11125.865272;0.000000;6.054390;37.816032;0.769245;100.162938;7.646747;30.921464;16.056439;618.874516;2.509804;1.995797;5.408260;3.454657;11.842190;33.631149;16.495196;47.071196;19.667461;0.518810;9.502480;2.520503;1.547332;1.003922;16019.558775;4618.809663;24.874000;24.401000;21.483000;-6.346500;-2.913000;-5.636300;6.053946;11.187659;3.471978;13856.428988;6.053946;11.187659;3.471978;13.551073;6.402959;2.528570;2.782917;3.027760;2.225786;24.874000;24.401000;21.483000;-6.346500;-2.913000;-5.636300;221.383650;983.601780;100.162938
0.905897;0.993085;3.905486;15.252822;4.009173;1.513375;0.925949;1.281143;5.080075;6.023529;9.035294;2.162300;21.697000;9.904077;9.699700;4.020354;16.163247;10.688966;1.229230;0.038163;-0.016161;4.403175;0.000000;6.525490;2.196700;20.194400;-0.032077;-0.614875;3.495775;12.220446;3.495923;1.235819;0.411514;0.924558;3.182700;6.525490;6.525490;1.331525;19.461100;0.515875;-0.036182;-0.091111;127.093241;2.622144;29.611679;28.521111;861.724296;1.003922;1.654973;2.122675;2.858501;1010.215900;1.799983;43.005398;139.263057;10830.102879;0.000000;6.449137;41.758725;0.441553;119.989777;0.227883;22.895677;26.429319;623.347941;1.003922;2.058409;4.084478;2.592187;11.149529;18.236947;15.531750;24.195584;12.262226;0.486343;10.001599;1.460865;1.574035;1.505882;13610.478393;4105.058372;14.789000;21.316000;10.871000;-6.908000;1.121600;-8.590100;4.009173;10.688966;3.495923;12315.175116;4.009173;10.688966;3.495923;8.180182;-0.498867;-1.293178;2.726259;2.981848;2.768566;14.789000;21.316000;10.871000;-6.908000;1.121600;-8.590100;127.093241;1010.215900;119.989777
