Feature;Score
Mean_X;0.538829
Median_X;0.364333
Std_X;3.489658
Variance_X;1.129118
RMS_X;2.228168
AvgDerivative_X;2.575146
Skewness_X;0.093760
Kurtosis_X;0.308075
IQR_X;3.239896
ZeroCross_X;1.815545
MeanCross_X;1.720170
MedianAbsDev_X;3.286344
Range_X;3.238092
Mean_Y;0.646768
Median_Y;0.169459
Std_Y;4.096356
Variance_Y;1.585497
RMS_Y;1.025356
AvgDerivative_Y;2.504469
Skewness_Y;0.009095
Kurtosis_Y;0.029450
IQR_Y;1.847202
ZeroCross_Y;0.654825
MeanCross_Y;4.323960
MedianAbsDev_Y;1.458762
Range_Y;4.506303
Mean_Z;0.021614
Median_Z;0.050377
Std_Z;3.613169
Variance_Z;1.061212
RMS_Z;0.557397
AvgDerivative_Z;2.677267
Skewness_Z;0.014718
Kurtosis_Z;0.100069
IQR_Z;2.313397
ZeroCross_Z;1.293701
MeanCross_Z;1.164907
MedianAbsDev_Z;2.585702
Range_Z;2.428351
Correlation_XY;0.226782
Correlation_XZ;0.069693
Correlation_YZ;0.160152
FFT_Max_X;0.463006
FFT_Min_X;0.694976
MeanFFT_X;2.973640
StdFFT_X;0.791667
FFT_Energy_X;1.048844
FFT_DominantFreq_X;0.150936
SkewnessFFT_X;3.780050
KurtosisFFT_X;4.357076
SpectralEntropy_X;5.793823
FFT_Max_Y;0.375246
FFT_Min_Y;0.648463
MeanFFT_Y;3.484759
StdFFT_Y;0.443714
FFT_Energy_Y;0.667421
FFT_DominantFreq_Y;0.000000
SkewnessFFT_Y;0.534882
KurtosisFFT_Y;0.416917
SpectralEntropy_Y;2.537799
FFT_Max_Z;0.025576
FFT_Min_Z;0.583499
MeanFFT_Z;2.707932
StdFFT_Z;0.044421
FFT_Energy_Z;0.196306
FFT_DominantFreq_Z;0.029082
SkewnessFFT_Z;1.120158
KurtosisFFT_Z;1.213342
SpectralEntropy_Z;2.314426
AI;1.588861
VI;1.279377
SMA;1.745291
EVA1;1.322380
EVA2;1.644456
CAGH;0.279969
AVH;0.403418
AVG;0.514546
ARATG;0.007970
DF;1.144352
ENERGY;1.309229
AAE;1.141361
MaxAccel_X;2.525050
MaxAccel_Y;3.516229
MaxAccel_Z;1.515960
MinAccel_X;2.340653
MinAccel_Y;3.178850
MinAccel_Z;1.601943
RMSAccel_X;2.228168
RMSAccel_Y;1.025356
RMSAccel_Z;0.557397
TotalEnergy;1.141361
SignalMagnitude_X;2.228168
SignalMagnitude_Y;1.025356
SignalMagnitude_Z;0.557397
Cov_XY;0.156743
Cov_XZ;0.045090
Cov_YZ;0.018838
EntropyTime_X;0.448856
EntropyTime_Y;1.915418
EntropyTime_Z;0.739641
Max_X;2.525050
Max_Y;3.516229
Max_Z;1.515960
Min_X;2.340653
Min_Y;3.178850
Min_Z;1.601943
MaxFFT_X;0.463006
MaxFFT_Y;0.375246
MaxFFT_Z;0.025576
