Feature;Score
Mean_X;0.152068
Median_X;0.181763
Std_X;0.049291
Variance_X;2.686695
RMS_X;0.019387
AvgDerivative_X;0.013865
Skewness_X;0.286337
Kurtosis_X;1.497744
IQR_X;0.143112
ZeroCross_X;0.907511
MeanCross_X;-2.364244
MedianAbsDev_X;0.033419
Range_X;6.463418
Mean_Y;0.019855
Median_Y;0.008688
Std_Y;0.179924
Variance_Y;9.179656
RMS_Y;0.019558
AvgDerivative_Y;0.023594
Skewness_Y;0.093815
Kurtosis_Y;-0.368655
IQR_Y;0.136716
ZeroCross_Y;0.063941
MeanCross_Y;0.696921
MedianAbsDev_Y;0.038270
Range_Y;7.587599
Mean_Z;0.031938
Median_Z;0.078192
Std_Z;0.047078
Variance_Z;1.258940
RMS_Z;0.007521
AvgDerivative_Z;0.012127
Skewness_Z;0.076151
Kurtosis_Z;-0.910663
IQR_Z;0.111800
ZeroCross_Z;0.333123
MeanCross_Z;-1.275750
MedianAbsDev_Z;0.018700
Range_Z;4.462618
Correlation_XY;0.005459
Correlation_XZ;0.008035
Correlation_YZ;0.005581
FFT_Max_X;325.447340
FFT_Min_X;1.633861
MeanFFT_X;3.250606
StdFFT_X;5.125886
FFT_Energy_X;1361.597648
FFT_DominantFreq_X;0.215345
SkewnessFFT_X;0.259934
KurtosisFFT_X;13.092339
SpectralEntropy_X;0.062131
FFT_Max_Y;177.862947
FFT_Min_Y;0.187378
MeanFFT_Y;7.972851
StdFFT_Y;1.125912
FFT_Energy_Y;874.533243
FFT_DominantFreq_Y;0.000000
SkewnessFFT_Y;0.014500
KurtosisFFT_Y;1.641580
SpectralEntropy_Y;0.005862
FFT_Max_Z;198.734942
FFT_Min_Z;0.318163
MeanFFT_Z;2.817422
StdFFT_Z;2.495118
FFT_Energy_Z;270.934381
FFT_DominantFreq_Z;0.029060
SkewnessFFT_Z;0.158546
KurtosisFFT_Z;11.393134
SpectralEntropy_Z;0.045046
AI;0.019289
VI;4.192707
SMA;0.044275
EVA1;3.209722
EVA2;4.438537
CAGH;0.004261
AVH;0.027000
AVG;0.157816
ARATG;0.000286
DF;-8.948845
ENERGY;682.106889
AAE;89.629832
MaxAccel_X;2.428941
MaxAccel_Y;1.835389
MaxAccel_Z;1.538447
MinAccel_X;6.589616
MinAccel_Y;2.933447
MinAccel_Z;1.896016
RMSAccel_X;0.019387
RMSAccel_Y;0.019558
RMSAccel_Z;0.007521
TotalEnergy;806.668485
SignalMagnitude_X;0.019387
SignalMagnitude_Y;0.019558
SignalMagnitude_Z;0.007521
Cov_XY;1.956947
Cov_XZ;2.253339
Cov_YZ;0.526584
EntropyTime_X;0.003744
EntropyTime_Y;0.007499
EntropyTime_Z;0.007205
Max_X;2.428941
Max_Y;1.835389
Max_Z;1.538447
Min_X;6.589616
Min_Y;2.933447
Min_Z;1.896016
MaxFFT_X;325.447340
MaxFFT_Y;177.862947
MaxFFT_Z;198.734942
