Mean_X;Median_X;Std_X;Variance_X;RMS_X;AvgDerivative_X;Skewness_X;Kurtosis_X;IQR_X;ZeroCross_X;MeanCross_X;MedianAbsDev_X;Range_X;Mean_Y;Median_Y;Std_Y;Variance_Y;RMS_Y;AvgDerivative_Y;Skewness_Y;Kurtosis_Y;IQR_Y;ZeroCross_Y;MeanCross_Y;MedianAbsDev_Y;Range_Y;Mean_Z;Median_Z;Std_Z;Variance_Z;RMS_Z;AvgDerivative_Z;Skewness_Z;Kurtosis_Z;IQR_Z;ZeroCross_Z;MeanCross_Z;MedianAbsDev_Z;Range_Z;Correlation_XY;Correlation_XZ;Correlation_YZ;FFT_Max_X;FFT_Min_X;MeanFFT_X;StdFFT_X;FFT_Energy_X;FFT_DominantFreq_X;SkewnessFFT_X;KurtosisFFT_X;SpectralEntropy_X;FFT_Max_Y;FFT_Min_Y;MeanFFT_Y;StdFFT_Y;FFT_Energy_Y;FFT_DominantFreq_Y;SkewnessFFT_Y;KurtosisFFT_Y;SpectralEntropy_Y;FFT_Max_Z;FFT_Min_Z;MeanFFT_Z;StdFFT_Z;FFT_Energy_Z;FFT_DominantFreq_Z;SkewnessFFT_Z;KurtosisFFT_Z;SpectralEntropy_Z;AI;VI;SMA;EVA1;EVA2;CAGH;AVH;AVG;ARATG;DF;ENERGY;AAE;MaxAccel_X;MaxAccel_Y;MaxAccel_Z;MinAccel_X;MinAccel_Y;MinAccel_Z;RMSAccel_X;RMSAccel_Y;RMSAccel_Z;TotalEnergy;SignalMagnitude_X;SignalMagnitude_Y;SignalMagnitude_Z;Cov_XY;Cov_XZ;Cov_YZ;EntropyTime_X;EntropyTime_Y;EntropyTime_Z;Max_X;Max_Y;Max_Z;Min_X;Min_Y;Min_Z;MaxFFT_X;MaxFFT_Y;MaxFFT_Z
-0.614495;-0.617920;0.050493;0.002549;0.616566;0.040828;-0.191276;2.776157;0.053790;0.000000;20.380583;0.024290;0.369880;2.715367;2.710600;0.026132;0.000683;2.715493;0.026338;-0.099554;0.233100;0.035900;0.000000;23.860194;0.022000;0.143500;9.589644;9.591800;0.018325;0.000336;9.589661;0.017094;-0.261908;1.226603;0.023800;0.000000;21.374757;0.012000;0.109400;0.039861;0.468622;-0.363316;63.292970;0.056177;1.648074;8.636109;39.024503;0.000000;6.991075;46.924842;0.033810;279.682800;0.033466;5.606626;38.378557;759.476610;0.000000;7.001277;47.018481;0.000668;987.733300;0.020930;19.147575;135.629169;9472.027700;0.000000;7.001394;47.019551;0.000032;9.985761;0.000227;12.919506;0.002657;0.000756;0.519676;10.122853;-0.622885;0.275933;4.970874;10270.700897;3423.509605;-0.462490;2.781700;9.629300;-0.832370;2.638200;9.519900;0.616566;2.715493;9.589661;10270.528814;0.616566;2.715493;9.589661;0.000053;0.000438;-0.000176;2.659398;2.483065;2.342927;-0.462490;2.781700;9.629300;-0.832370;2.638200;9.519900;63.292970;279.682800;987.733300
-0.616957;-0.617930;0.041152;0.001693;0.618328;0.033469;0.898334;1.779323;0.047605;0.000000;19.576471;0.023805;0.239480;2.721989;2.722000;0.021134;0.000447;2.722071;0.019701;0.034462;0.411053;0.024250;0.000000;21.082353;0.012100;0.119200;9.587506;9.591500;0.016030;0.000257;9.587519;0.015553;0.081384;-0.244455;0.023525;0.000000;22.588235;0.012000;0.084800;0.018593;0.440520;-0.324906;62.929570;0.050775;1.554786;8.597042;38.911547;0.000000;6.994170;46.953301;0.023278;277.642900;0.012300;5.519178;38.105096;755.763759;0.000000;7.001313;47.018804;0.000447;977.925600;0.005200;18.940883;134.284747;9375.880547;0.000000;7.001396;47.019568;0.000025;9.985607;0.000185;12.926452;0.001767;0.000494;0.472482;10.024235;-0.619272;0.276631;12.047059;10170.668326;3390.185284;-0.462490;2.781700;9.629300;-0.701970;2.662500;9.544500;0.618328;2.722071;9.587519;10170.555853;0.618328;2.722071;9.587519;0.000016;0.000293;-0.000111;2.545781;2.462121;2.236052;-0.462490;2.781700;9.629300;-0.701970;2.662500;9.544500;62.929570;277.642900;977.925600
-0.601793;-0.617435;0.060869;0.003705;0.604863;0.047692;1.128523;3.405772;0.056892;0.000000;17.568627;0.024290;0.430100;2.728832;2.722200;0.028286;0.000800;2.728979;0.026011;1.460066;3.881404;0.032925;0.000000;23.090196;0.012400;0.182400;9.587065;9.590300;0.028884;0.000834;9.587108;0.025827;-1.575404;10.265360;0.032350;0.000000;23.090196;0.013200;0.239900;0.184632;0.392267;0.328350;61.382840;0.035780;1.685926;8.365828;37.128730;0.000000;6.984277;46.862381;0.048826;278.340900;0.038520;5.607003;38.190587;759.587155;0.000000;7.001285;47.018548;0.000786;977.880600;0.026262;19.052486;134.262871;9375.047227;0.000000;7.001387;47.019489;0.000076;9.986237;0.000903;12.917690;0.003945;0.000919;0.394859;10.025205;-0.615743;0.277303;18.572549;10171.988810;3390.587704;-0.342560;2.855900;9.661600;-0.772660;2.673500;9.421700;0.604863;2.728979;9.587108;10171.763112;0.604863;2.728979;9.587108;0.000321;0.000696;0.000271;2.498836;2.571644;2.085776;-0.342560;2.855900;9.661600;-0.772660;2.673500;9.421700;61.382840;278.340900;977.880600
-0.576470;-0.581980;0.061097;0.003733;0.579698;0.051027;0.345744;2.361905;0.061872;0.000000;19.576471;0.035340;0.430100;2.736856;2.733900;0.027708;0.000768;2.736996;0.025950;0.997872;2.869735;0.024550;0.000000;21.584314;0.012200;0.171100;9.586876;9.581300;0.028685;0.000823;9.586919;0.024599;-1.560263;10.603640;0.023525;0.000000;22.086275;0.011950;0.239900;0.150278;0.423873;0.394754;58.799920;0.107134;1.644634;8.009870;34.086939;0.000000;6.983694;46.856865;0.053173;279.159300;0.019470;5.615486;38.304006;764.058725;0.000000;7.001280;47.018508;0.000754;977.861400;0.016210;19.053535;134.260031;9374.678800;0.000000;7.001388;47.019496;0.000076;9.986757;0.000911;12.900202;0.003983;0.000948;0.408553;10.027016;-0.585776;0.278083;18.070588;10173.048796;3390.941488;-0.342560;2.855900;9.661600;-0.772660;2.684800;9.421700;0.579698;2.736996;9.586919;10172.824464;0.579698;2.736996;9.586919;0.000257;0.000750;0.000317;2.644557;2.154713;2.051691;-0.342560;2.855900;9.661600;-0.772660;2.684800;9.421700;58.799920;279.159300;977.861400
-0.578651;-0.581740;0.044759;0.002003;0.580380;0.038760;0.112294;0.729963;0.047965;0.000000;20.380583;0.024050;0.250360;2.728237;2.722400;0.023433;0.000549;2.728338;0.018312;-0.172933;-0.531338;0.035600;0.000000;16.403883;0.013000;0.098000;9.590326;9.590900;0.019840;0.000394;9.590347;0.019351;0.562824;0.515390;0.024000;0.000000;23.363107;0.012200;0.108000;0.438710;0.358498;0.316965;59.601090;0.034669;1.509973;8.138649;34.591424;0.000000;6.989990;46.914930;0.029997;281.008400;0.003849;5.586554;38.567058;766.685763;0.000000;7.001239;47.018127;0.000523;987.803600;0.004141;19.169429;135.635949;9473.379030;0.000000;7.001395;47.019556;0.000038;9.987741;0.000438;12.897214;0.002225;0.000444;0.439043;10.127335;-0.581324;0.277156;2.485437;10274.785405;3424.885406;-0.450860;2.771300;9.653000;-0.701220;2.673300;9.545000;0.580380;2.728338;9.590347;10274.656218;0.580380;2.728338;9.590347;0.000465;0.000321;0.000149;2.699253;2.183911;2.295366;-0.450860;2.771300;9.653000;-0.701220;2.673300;9.545000;59.601090;281.008400;987.803600
-0.594971;-0.594130;0.067783;0.004595;0.598819;0.053330;-0.120608;2.218097;0.071525;0.000000;15.906796;0.035920;0.474000;2.707982;2.709700;0.037727;0.001423;2.708244;0.027118;-0.283605;1.039172;0.036450;0.000000;13.421359;0.023600;0.242300;9.594966;9.592100;0.032047;0.001027;9.595020;0.031182;0.798026;2.076747;0.025800;0.000000;21.374757;0.013100;0.215000;0.390623;0.228376;0.244196;61.281990;0.130094;1.769355;8.340197;36.697610;0.000000;6.983776;46.857776;0.061043;278.922100;0.060599;5.671073;38.263437;755.389203;0.000000;7.001035;47.016265;0.001304;988.281500;0.071955;19.288199;135.686288;9482.580300;0.000000;7.001387;47.019482;0.000092;9.987814;0.001135;12.897918;0.005011;0.001225;0.317803;10.126700;-0.601301;0.275075;19.883495;10274.971493;3424.889038;-0.368540;2.818500;9.712000;-0.842540;2.576200;9.497000;0.598819;2.708244;9.595020;10274.667113;0.598819;2.708244;9.595020;0.001009;0.000501;0.000298;2.630097;2.600628;2.474358;-0.368540;2.818500;9.712000;-0.842540;2.576200;9.497000;61.281990;278.922100;988.281500
-0.601646;-0.605760;0.063625;0.004048;0.605001;0.049422;-0.003623;3.272119;0.059310;0.000000;15.560784;0.024395;0.474000;2.702165;2.709700;0.036937;0.001364;2.702417;0.027985;-0.152839;1.083468;0.044375;0.000000;15.058824;0.023750;0.242300;9.594411;9.591400;0.031155;0.000971;9.594461;0.030823;0.931773;2.634871;0.023825;0.000000;19.576471;0.011850;0.215000;0.313837;0.224767;0.242556;61.367860;0.073213;1.718491;8.359793;37.133785;0.000000;6.982636;46.847439;0.054314;275.620800;0.012232;5.585658;37.813192;744.842436;0.000000;7.000991;47.015860;0.001247;978.629900;0.111571;19.096795;134.361595;9389.428784;0.000000;7.001387;47.019482;0.000091;9.986075;0.001082;12.898221;0.004356;0.001258;0.292501;10.026651;-0.606642;0.274528;8.533333;10171.670108;3390.468335;-0.368540;2.818500;9.712000;-0.842540;2.576200;9.497000;0.605001;2.702417;9.594461;10171.405004;0.605001;2.702417;9.594461;0.000745;0.000450;0.000282;2.418346;2.604678;2.352371;-0.368540;2.818500;9.712000;-0.842540;2.576200;9.497000;61.367860;275.620800;978.629900
-0.584490;-0.593750;0.050954;0.002596;0.586707;0.039368;0.293829;-0.027341;0.071575;0.000000;16.062745;0.035570;0.263260;2.712677;2.710100;0.027729;0.000769;2.712819;0.023771;0.124735;0.240194;0.036075;0.000000;21.584314;0.012650;0.144800;9.594332;9.591600;0.021727;0.000472;9.594357;0.020982;0.317143;-0.447443;0.024550;0.000000;20.078431;0.012100;0.097200;0.185741;0.548587;0.261208;59.618030;0.088086;1.543362;8.138292;34.979569;0.000000;6.984834;46.867192;0.036708;276.693100;0.021828;5.554495;37.967280;750.618367;0.000000;7.001238;47.018126;0.000744;978.621900;0.025742;18.995396;134.374648;9389.248008;0.000000;7.001391;47.019519;0.000044;9.987732;0.000506;12.891500;0.002828;0.000750;0.536156;10.025866;-0.598661;0.275545;8.031373;10175.014877;3391.615315;-0.426540;2.794200;9.652500;-0.689800;2.649400;9.555300;0.586707;2.712819;9.594357;10174.845944;0.586707;2.712819;9.594357;0.000265;0.000613;0.000159;2.827642;2.489981;2.439978;-0.426540;2.794200;9.652500;-0.689800;2.649400;9.555300;59.618030;276.693100;978.621900
-0.559479;-0.558055;0.047113;0.002220;0.561460;0.039249;-0.276811;0.320609;0.067670;0.000000;19.576471;0.035340;0.263260;2.721921;2.721700;0.026836;0.000720;2.722053;0.025713;0.010066;-0.121318;0.035850;0.000000;24.596078;0.022900;0.133200;9.596036;9.592650;0.019411;0.000377;9.596056;0.018040;0.215694;-0.374451;0.025425;0.000000;19.576471;0.013050;0.084500;0.136435;0.571040;0.083946;57.066900;0.008392;1.486066;7.787247;32.040979;0.000000;6.989176;46.907444;0.035186;277.635900;0.025351;5.568581;38.097288;755.739693;0.000000;7.001261;47.018330;0.000698;978.795700;0.001837;18.980143;134.401109;9392.578519;0.000000;7.001393;47.019536;0.000036;9.990432;0.000369;12.877436;0.002400;0.000708;0.565344;10.032497;-0.567748;0.276391;12.047059;10180.509494;3393.453064;-0.426540;2.794200;9.641000;-0.689800;2.661000;9.556500;0.561460;2.722053;9.596056;10180.359191;0.561460;2.722053;9.596056;0.000174;0.000527;0.000044;2.721963;2.258813;2.374571;-0.426540;2.794200;9.641000;-0.689800;2.661000;9.556500;57.066900;277.635900;978.795700
-0.559589;-0.569580;0.033390;0.001115;0.560584;0.029725;-0.084646;0.347986;0.030485;0.000000;20.380583;0.023310;0.179210;2.721091;2.721900;0.022807;0.000520;2.721187;0.023477;-0.177697;-0.211326;0.024550;0.000000;19.883495;0.012300;0.108300;9.595646;9.592100;0.015995;0.000256;9.595659;0.016252;0.317217;-0.007550;0.018850;0.000000;21.871845;0.011400;0.073100;0.318730;0.449877;0.000302;57.637680;0.020667;1.395461;7.877373;32.310836;0.000000;6.996177;46.971758;0.019098;280.272400;0.007520;5.576209;38.465390;762.673568;0.000000;7.001270;47.018416;0.000508;988.351500;0.011148;19.144204;135.716193;9483.883929;0.000000;7.001396;47.019571;0.000025;9.989772;0.000245;12.876326;0.001265;0.000462;0.536279;10.130006;-0.564411;0.276321;6.462136;10278.953077;3426.289445;-0.474660;2.770300;9.639400;-0.653870;2.662000;9.566300;0.560584;2.721187;9.595659;10278.868334;0.560584;2.721187;9.595659;0.000245;0.000243;0.000000;2.713655;2.195866;2.279576;-0.474660;2.770300;9.639400;-0.653870;2.662000;9.566300;57.637680;280.272400;988.351500
