Feature;Score
Mean_X;0.583483
Median_X;0.597047
Std_X;1.765607
Variance_X;0.350717
RMS_X;0.573231
AvgDerivative_X;1.231362
Skewness_X;0.007162
Kurtosis_X;0.013727
IQR_X;1.493582
ZeroCross_X;0.236423
MeanCross_X;1.944928
MedianAbsDev_X;1.645775
Range_X;1.362921
Mean_Y;6.092670
Median_Y;5.308737
Std_Y;2.436352
Variance_Y;0.533270
RMS_Y;7.107841
AvgDerivative_Y;2.805522
Skewness_Y;0.331245
Kurtosis_Y;0.012372
IQR_Y;1.572504
ZeroCross_Y;0.045303
MeanCross_Y;1.882948
MedianAbsDev_Y;1.815051
Range_Y;2.747337
Mean_Z;5.833798
Median_Z;5.626171
Std_Z;1.845159
Variance_Z;0.374087
RMS_Z;5.936950
AvgDerivative_Z;1.811435
Skewness_Z;0.006567
Kurtosis_Z;0.082252
IQR_Z;1.395981
ZeroCross_Z;0.234965
MeanCross_Z;2.605884
MedianAbsDev_Z;1.617860
Range_Z;1.796744
Correlation_XY;0.099425
Correlation_XZ;0.126421
Correlation_YZ;0.123330
FFT_Max_X;0.635798
FFT_Min_X;0.157396
MeanFFT_X;0.365910
StdFFT_X;0.633555
FFT_Energy_X;0.806887
FFT_DominantFreq_X;0.021568
SkewnessFFT_X;0.374003
KurtosisFFT_X;0.382418
SpectralEntropy_X;0.555486
FFT_Max_Y;5.009393
FFT_Min_Y;0.245032
MeanFFT_Y;6.712567
StdFFT_Y;6.008020
FFT_Energy_Y;7.924483
FFT_DominantFreq_Y;0.024482
SkewnessFFT_Y;0.178392
KurtosisFFT_Y;0.175224
SpectralEntropy_Y;0.524662
FFT_Max_Z;5.953326
FFT_Min_Z;0.231572
MeanFFT_Z;2.366656
StdFFT_Z;6.121732
FFT_Energy_Z;4.683478
FFT_DominantFreq_Z;0.013886
SkewnessFFT_Z;0.620086
KurtosisFFT_Z;0.577465
SpectralEntropy_Z;1.031625
AI;0.566646
VI;0.891870
SMA;0.445303
EVA1;0.493224
EVA2;0.817068
CAGH;0.356398
AVH;0.407262
AVG;0.584365
ARATG;6.547010
DF;1.134651
ENERGY;0.418997
AAE;0.362338
MaxAccel_X;1.161399
MaxAccel_Y;6.016803
MaxAccel_Z;2.271697
MinAccel_X;0.274003
MinAccel_Y;2.119927
MinAccel_Z;5.166288
RMSAccel_X;0.573231
RMSAccel_Y;7.107841
RMSAccel_Z;5.936950
TotalEnergy;0.362338
SignalMagnitude_X;0.573231
SignalMagnitude_Y;7.107841
SignalMagnitude_Z;5.936950
Cov_XY;0.034915
Cov_XZ;0.048134
Cov_YZ;0.106008
EntropyTime_X;0.654099
EntropyTime_Y;1.255387
EntropyTime_Z;1.684635
Max_X;1.161399
Max_Y;6.016803
Max_Z;2.271697
Min_X;0.274003
Min_Y;2.119927
Min_Z;5.166288
MaxFFT_X;0.635798
MaxFFT_Y;5.009393
MaxFFT_Z;5.953326
