Feature;Score
Mean_X;0.040722
Median_X;0.042133
Std_X;0.053888
Variance_X;0.366482
RMS_X;0.007382
AvgDerivative_X;0.003081
Skewness_X;-0.047057
Kurtosis_X;-1.850344
IQR_X;0.107807
ZeroCross_X;0.269521
MeanCross_X;-2.109151
MedianAbsDev_X;0.023175
Range_X;1.249399
Mean_Y;0.069875
Median_Y;0.132446
Std_Y;0.295201
Variance_Y;4.906910
RMS_Y;0.006264
AvgDerivative_Y;0.013020
Skewness_Y;0.010179
Kurtosis_Y;-1.134271
IQR_Y;0.437968
ZeroCross_Y;0.007963
MeanCross_Y;0.896733
MedianAbsDev_Y;0.076041
Range_Y;5.408814
Mean_Z;0.010302
Median_Z;0.017971
Std_Z;0.057913
Variance_Z;0.450973
RMS_Z;0.006303
AvgDerivative_Z;0.002348
Skewness_Z;-0.034434
Kurtosis_Z;-1.249989
IQR_Z;0.155909
ZeroCross_Z;0.135433
MeanCross_Z;-1.206435
MedianAbsDev_Z;0.030422
Range_Z;1.016979
Correlation_XY;0.004895
Correlation_XZ;0.007658
Correlation_YZ;0.006661
FFT_Max_X;74.316541
FFT_Min_X;0.025997
MeanFFT_X;1.135687
StdFFT_X;1.067124
FFT_Energy_X;1381.593645
FFT_DominantFreq_X;0.015704
SkewnessFFT_X;0.148075
KurtosisFFT_X;12.896454
SpectralEntropy_X;0.037508
FFT_Max_Y;52.600466
FFT_Min_Y;0.071641
MeanFFT_Y;5.983362
StdFFT_Y;0.478296
FFT_Energy_Y;1468.179196
FFT_DominantFreq_Y;0.002193
SkewnessFFT_Y;0.016638
KurtosisFFT_Y;1.597978
SpectralEntropy_Y;0.005422
FFT_Max_Z;61.774205
FFT_Min_Z;0.035689
MeanFFT_Z;1.056495
StdFFT_Z;0.762401
FFT_Energy_Z;1047.848702
FFT_DominantFreq_Z;0.002102
SkewnessFFT_Z;0.097332
KurtosisFFT_Z;9.471727
SpectralEntropy_Z;0.022924
AI;0.002930
VI;3.557534
SMA;0.016428
EVA1;4.329083
EVA2;0.169827
CAGH;0.005651
AVH;0.006956
AVG;0.043468
ARATG;0.001241
DF;-6.217565
ENERGY;1033.855574
AAE;127.463781
MaxAccel_X;0.512211
MaxAccel_Y;2.396549
MaxAccel_Z;0.274151
MinAccel_X;0.310481
MinAccel_Y;0.816448
MinAccel_Z;0.330706
RMSAccel_X;0.007382
RMSAccel_Y;0.006264
RMSAccel_Z;0.006303
TotalEnergy;1147.174028
SignalMagnitude_X;0.007382
SignalMagnitude_Y;0.006264
SignalMagnitude_Z;0.006303
Cov_XY;0.346647
Cov_XZ;0.078271
Cov_YZ;0.221435
EntropyTime_X;-0.011877
EntropyTime_Y;-0.007931
EntropyTime_Z;-0.007563
Max_X;0.512211
Max_Y;2.396549
Max_Z;0.274151
Min_X;0.310481
Min_Y;0.816448
Min_Z;0.330706
MaxFFT_X;74.316541
MaxFFT_Y;52.600466
MaxFFT_Z;61.774205
