Mean_X;Median_X;Std_X;Variance_X;RMS_X;AvgDerivative_X;Skewness_X;Kurtosis_X;IQR_X;ZeroCross_X;MeanCross_X;MedianAbsDev_X;Range_X;Mean_Y;Median_Y;Std_Y;Variance_Y;RMS_Y;AvgDerivative_Y;Skewness_Y;Kurtosis_Y;IQR_Y;ZeroCross_Y;MeanCross_Y;MedianAbsDev_Y;Range_Y;Mean_Z;Median_Z;Std_Z;Variance_Z;RMS_Z;AvgDerivative_Z;Skewness_Z;Kurtosis_Z;IQR_Z;ZeroCross_Z;MeanCross_Z;MedianAbsDev_Z;Range_Z;Correlation_XY;Correlation_XZ;Correlation_YZ;FFT_Max_X;FFT_Min_X;MeanFFT_X;StdFFT_X;FFT_Energy_X;FFT_DominantFreq_X;SkewnessFFT_X;KurtosisFFT_X;SpectralEntropy_X;FFT_Max_Y;FFT_Min_Y;MeanFFT_Y;StdFFT_Y;FFT_Energy_Y;FFT_DominantFreq_Y;SkewnessFFT_Y;KurtosisFFT_Y;SpectralEntropy_Y;FFT_Max_Z;FFT_Min_Z;MeanFFT_Z;StdFFT_Z;FFT_Energy_Z;FFT_DominantFreq_Z;SkewnessFFT_Z;KurtosisFFT_Z;SpectralEntropy_Z;AI;VI;SMA;EVA1;EVA2;CAGH;AVH;AVG;ARATG;DF;ENERGY;AAE;MaxAccel_X;MaxAccel_Y;MaxAccel_Z;MinAccel_X;MinAccel_Y;MinAccel_Z;RMSAccel_X;RMSAccel_Y;RMSAccel_Z;TotalEnergy;SignalMagnitude_X;SignalMagnitude_Y;SignalMagnitude_Z;Cov_XY;Cov_XZ;Cov_YZ;EntropyTime_X;EntropyTime_Y;EntropyTime_Z;Max_X;Max_Y;Max_Z;Min_X;Min_Y;Min_Z;MaxFFT_X;MaxFFT_Y;MaxFFT_Z
-0.250808;-0.246710;1.162341;1.351037;1.189093;0.656071;0.742030;2.709419;1.294780;10.935922;11.930097;0.661060;8.146600;9.641907;9.564600;2.405478;5.786325;9.937439;1.034814;0.651189;2.277743;2.238950;0.000000;11.930097;1.090400;15.006700;1.334363;0.243540;2.509486;6.297522;2.842190;0.577904;1.065124;0.094927;3.308990;7.953398;2.485437;0.951070;10.588400;-0.067976;-0.202772;-0.197002;35.558444;1.662379;9.597508;7.651171;76.057617;4.473786;1.152234;0.924844;3.138659;993.116400;0.899104;36.881473;134.896050;9873.531519;0.000000;6.842741;45.559455;0.227599;137.439392;1.186855;16.706032;26.955102;507.716413;0.000000;2.912914;8.220656;1.981495;10.157871;5.062342;12.401026;7.349591;4.948606;-0.167944;10.031756;-0.248346;1.433278;0.994175;10888.491470;3485.768516;4.597700;18.753000;8.573300;-3.548900;3.746300;-2.015100;1.189093;9.937439;2.842190;10457.305548;1.189093;9.937439;2.842190;-0.191922;-0.597261;-1.200867;2.713178;2.652450;2.869179;4.597700;18.753000;8.573300;-3.548900;3.746300;-2.015100;35.558444;993.116400;137.439392
-0.368131;-0.249205;1.283365;1.647026;1.335120;0.660398;0.569716;2.345322;1.340067;10.105263;10.105263;0.696015;8.146600;9.785121;9.740500;2.763627;7.637634;10.167902;1.227096;0.451062;0.997363;2.906725;0.000000;9.431579;1.479000;15.006700;1.181821;0.306450;2.507960;6.289863;2.772465;0.634202;1.110362;0.509051;3.027027;7.410526;3.368421;1.494450;10.695600;-0.135732;-0.083400;-0.285393;34.817122;1.655321;9.149589;7.639073;72.904554;4.042105;1.494857;2.011541;2.755811;743.669200;1.073329;36.399788;115.850585;7567.181639;0.000000;5.823335;32.622105;0.268581;94.111537;0.990007;14.341044;21.611902;345.221766;0.673684;2.578217;6.056885;1.860431;10.320445;6.343754;12.666405;9.181803;5.014962;-0.214916;7.182184;-0.341929;1.450601;2.021053;8335.980743;2661.769320;4.597700;18.753000;8.573300;-3.548900;3.746300;-2.122300;1.335120;10.167902;2.772465;7985.307959;1.335120;10.167902;2.772465;-0.487824;-0.272011;-2.004454;2.692744;2.786363;2.885679;4.597700;18.753000;8.573300;-3.548900;3.746300;-2.122300;34.817122;743.669200;94.111537
0.163516;0.032239;0.760481;0.578331;0.777861;0.350340;1.542661;4.137813;0.781585;11.043137;8.031373;0.373229;4.274800;9.343820;9.134300;1.350501;1.823852;9.440912;0.578260;0.303437;-1.011354;2.225450;0.000000;7.027451;1.172100;5.090900;2.464981;3.165300;2.008938;4.035833;3.179931;0.557204;-0.523854;-1.075363;3.335035;5.019608;6.023529;1.242100;7.126100;0.308646;-0.176020;-0.256136;12.767220;0.539310;4.242728;3.688048;16.111049;3.011765;0.691088;-0.934850;2.440363;476.534800;0.519596;24.691182;90.640100;4499.163445;0.000000;4.754092;20.754445;0.079038;125.714016;0.470253;11.497631;26.029223;412.796367;0.000000;3.559045;11.962999;0.769742;9.910004;1.639667;12.608856;4.354050;1.703586;0.284915;4.957084;0.084524;1.312864;1.003922;5050.428786;1642.690287;2.929900;12.361000;5.738400;-1.344900;7.270100;-1.387700;0.777861;9.440912;3.179931;4928.070862;0.777861;9.440912;3.179931;0.323328;-0.274294;-0.708814;2.631634;3.049845;2.993555;2.929900;12.361000;5.738400;-1.344900;7.270100;-1.387700;12.767220;476.534800;125.714016
0.167831;0.202370;0.817321;0.668013;0.834374;0.333216;-0.102486;2.385775;0.787700;8.947573;7.456311;0.397180;5.394700;9.426568;9.627200;1.618409;2.619247;9.564488;0.512883;-0.366877;-0.407935;2.288200;0.000000;6.959223;1.211800;6.855100;1.466074;1.191500;2.175672;4.733548;2.623532;0.434084;0.152043;-1.564538;4.246380;2.982524;1.988350;2.019560;7.474700;0.236891;-0.120243;-0.460899;23.269779;0.355133;5.720303;6.416275;37.303918;0.994175;1.355487;0.556880;2.763665;970.936500;0.361526;27.611498;132.792996;9287.490114;0.000000;6.888635;45.972343;0.110370;151.005616;0.461109;11.906305;27.921689;465.163115;0.000000;4.341181;17.947782;1.188590;9.846323;2.108457;12.162829;5.691422;1.783599;0.225960;9.830998;0.214826;1.416507;1.988350;10094.443196;3263.319049;2.929900;12.439000;5.738400;-2.464800;5.583900;-1.736300;0.834374;9.564488;2.623532;9789.957148;0.834374;9.564488;2.623532;0.316422;-0.215915;-1.638794;2.691157;3.206534;2.978693;2.929900;12.439000;5.738400;-2.464800;5.583900;-1.736300;23.269779;970.936500;151.005616
0.175696;0.389740;0.908128;0.824696;0.924968;0.473116;-0.837305;0.460783;1.239348;10.105263;10.105263;0.522350;4.193100;9.731211;9.814850;2.143033;4.592592;9.964389;0.901724;-0.125571;-0.066242;2.149500;0.000000;10.778947;1.230650;10.386000;0.722502;-0.467640;2.356794;5.554479;2.465053;0.627928;0.855097;-0.247032;3.748120;4.042105;5.389474;0.714810;9.943800;0.112515;-0.048816;-0.242397;20.291060;0.080193;5.890973;5.562206;33.684560;3.368421;0.981124;-0.214357;2.727909;739.572000;0.159273;30.944284;115.790095;7371.459225;0.000000;5.868177;32.970778;0.171682;95.097895;0.391075;12.384838;18.310546;250.759909;0.673684;2.898992;9.082335;1.832238;10.099399;4.223234;12.326083;6.482071;3.813408;0.075543;7.422449;0.189321;1.496686;2.021053;7912.327657;2551.967898;1.728300;15.393000;6.733300;-2.464800;5.007000;-3.210500;0.924968;9.964389;2.465053;7655.903693;0.924968;9.964389;2.465053;0.221890;-0.105873;-1.240593;2.964826;2.851465;2.709021;1.728300;15.393000;6.733300;-2.464800;5.007000;-3.210500;20.291060;739.572000;95.097895
-0.035403;0.234100;0.769953;0.592828;0.770766;0.222485;-1.063893;0.452606;0.692960;3.479612;3.479612;0.282378;3.799700;9.592210;9.651400;1.104107;1.219053;9.655545;0.313285;-0.282106;0.731271;0.259000;0.000000;5.467961;0.086700;5.546800;-0.050463;-2.065500;2.731168;7.459278;2.731634;0.325294;0.985065;-0.470458;4.211800;2.982524;2.982524;0.187700;8.149000;0.384274;-0.527771;-0.080053;33.404700;0.265520;5.184649;5.818010;30.659716;0.497087;2.682754;9.097989;2.525043;987.997600;0.209883;26.812473;134.823422;9539.861394;0.000000;6.964356;46.678600;0.058610;167.096994;0.770831;11.550802;25.060259;384.415097;0.497087;4.921965;26.363444;1.196912;10.004963;1.186164;12.546350;7.722223;1.310910;0.233823;9.915067;0.189581;1.576057;1.491262;10371.313401;3318.312069;1.738300;12.359000;5.895100;-2.061400;6.812200;-2.253900;0.770766;9.655545;2.731634;9954.936207;0.770766;9.655545;2.731634;0.329878;-1.120716;-0.243767;2.560089;2.231012;2.073628;1.738300;12.359000;5.895100;-2.061400;6.812200;-2.253900;33.404700;987.997600;167.096994
0.156612;0.158035;1.414635;2.001191;1.423277;0.576301;0.776581;0.624540;1.681358;8.084211;8.084211;0.880035;6.499000;9.530697;9.652050;1.350780;1.824607;9.625944;0.581725;-0.159628;-0.579242;1.698900;0.000000;8.084211;0.847700;5.546800;1.261155;0.286265;2.395714;5.739445;2.707389;0.622454;0.614661;-0.810535;3.469873;9.431579;4.042105;1.537950;8.236600;0.237756;-0.432046;-0.007055;43.896827;0.102277;8.239328;9.161867;77.910879;0.673684;1.958615;4.157635;2.378354;724.333000;0.189000;26.366304;113.546069;6972.733916;0.000000;5.949192;33.610156;0.080999;107.138244;0.244324;12.714829;22.336203;338.978169;0.673684;3.247098;10.171622;1.520536;10.011327;1.787806;12.629280;6.334598;2.136544;0.095711;7.312724;-0.033268;1.439235;0.673684;7685.163438;2463.207655;4.437600;12.359000;5.895100;-2.061400;6.812200;-2.341500;1.423277;9.625944;2.707389;7389.622965;1.423277;9.625944;2.707389;0.460376;-1.483752;-0.023134;2.952585;3.107574;3.027726;4.437600;12.359000;5.895100;-2.061400;6.812200;-2.341500;43.896827;724.333000;107.138244
0.905349;0.895160;0.067018;0.004491;0.907826;0.035571;2.013418;5.615310;0.049390;0.000000;16.623377;0.024690;0.404520;9.713468;9.723500;0.042679;0.001822;9.713561;0.027179;-4.121967;23.323818;0.035600;0.000000;25.267532;0.013100;0.354500;-1.589110;-1.590200;0.052220;0.002727;1.589968;0.041234;-1.329639;4.723807;0.046900;0.000000;22.607792;0.024100;0.335000;0.042332;-0.260373;0.071456;69.711850;0.019387;2.246258;10.950092;63.286454;0.000000;5.992317;33.949052;0.026618;747.937000;0.017340;19.494099;118.169194;7265.131894;0.000000;6.002168;34.026126;0.000152;122.361500;0.096299;3.528491;19.278566;194.550919;0.000000;6.000908;34.016302;0.006292;9.884510;0.001885;12.207927;0.004943;0.002437;0.098766;7.501911;0.673077;1.732958;10.638961;7523.244728;2507.656423;1.203100;9.786500;-1.482100;0.798580;9.432000;-1.817100;0.907826;9.713561;1.589968;7522.969268;0.907826;9.713561;1.589968;0.000123;-0.000923;0.000161;2.577199;2.004008;2.565847;1.203100;9.786500;-1.482100;0.798580;9.432000;-1.817100;69.711850;747.937000;122.361500
1.077960;0.919720;0.388772;0.151143;1.145924;0.131599;1.490818;1.956004;0.331550;0.000000;5.069307;0.073130;2.100150;9.776303;9.712300;0.485738;0.235942;9.788363;0.112693;5.329472;30.774204;0.095300;0.000000;4.562376;0.036700;3.662900;-1.460788;-1.566300;0.328927;0.108193;1.497362;0.101952;1.701335;3.245940;0.184300;0.000000;5.576238;0.072900;1.966150;0.279372;0.135843;0.039897;108.873980;0.059779;4.620560;15.039570;124.994555;0.000000;6.524724;42.278922;0.389963;987.406600;0.548305;23.328477;136.368884;9665.101131;0.000000;6.925264;45.980304;0.013568;147.539570;0.126875;5.163193;20.272736;220.987739;0.000000;6.787255;44.703046;0.181456;9.955929;0.246757;12.315051;0.264998;0.133706;0.269390;9.789144;0.959701;1.719120;1.013861;10023.633742;3337.027808;2.375100;12.975000;-0.282550;0.274950;9.312100;-2.248700;1.145924;9.788363;1.497362;10011.083425;1.145924;9.788363;1.497362;0.053285;0.017545;0.006438;2.445925;1.488765;2.478392;2.375100;12.975000;-0.282550;0.274950;9.312100;-2.248700;108.873980;987.406600;147.539570
0.122843;0.217590;2.115695;4.476164;2.119258;1.139606;1.449094;10.493791;1.954600;8.947573;8.947573;0.965880;19.376900;9.560749;9.599500;3.577508;12.798562;10.208157;1.644982;0.195438;-0.115146;4.733000;0.000000;10.438835;2.367500;16.862500;1.775251;1.128900;3.129895;9.796243;3.598299;1.203337;0.736746;0.033751;3.713235;7.953398;3.976699;1.708670;15.590000;0.524427;0.042687;-0.057676;54.453669;2.244272;18.148910;11.415232;232.076741;5.467961;1.592498;2.236865;3.308637;984.757100;1.674046;44.481026;134.074557;10074.140971;0.000000;6.626447;43.523541;0.426987;182.850853;3.101001;25.249814;31.697441;829.112656;0.000000;3.499268;12.884444;2.168606;10.448649;12.471221;13.529447;14.582588;9.875703;0.497765;9.698355;0.128486;1.387206;0.994175;11887.217373;3711.776790;12.359000;18.534000;10.119000;-7.017900;1.671500;-5.471000;2.119258;10.208157;3.598299;11135.330369;2.119258;10.208157;3.598299;4.008261;0.285440;-0.652143;2.309939;2.861438;2.920604;12.359000;18.534000;10.119000;-7.017900;1.671500;-5.471000;54.453669;984.757100;182.850853
