Feature;Score
Mean_X;0.037069
Median_X;0.050109
Std_X;4.818041
Variance_X;1.556975
RMS_X;0.756276
AvgDerivative_X;3.186357
Skewness_X;0.018937
Kurtosis_X;0.023278
IQR_X;4.408160
ZeroCross_X;1.723806
MeanCross_X;1.190604
MedianAbsDev_X;4.361056
Range_X;3.029321
Mean_Y;26.448249
Median_Y;23.985525
Std_Y;2.667515
Variance_Y;0.856970
RMS_Y;35.798343
AvgDerivative_Y;1.803443
Skewness_Y;0.118306
Kurtosis_Y;0.050793
IQR_Y;1.635663
ZeroCross_Y;0.052681
MeanCross_Y;2.081579
MedianAbsDev_Y;1.694965
Range_Y;2.228569
Mean_Z;12.057657
Median_Z;12.511082
Std_Z;4.489729
Variance_Z;1.581020
RMS_Z;15.866827
AvgDerivative_Z;2.300861
Skewness_Z;0.395449
Kurtosis_Z;0.050926
IQR_Z;2.764902
ZeroCross_Z;1.244867
MeanCross_Z;2.618663
MedianAbsDev_Z;3.018395
Range_Z;2.802677
Correlation_XY;0.269964
Correlation_XZ;0.375143
Correlation_YZ;0.322162
FFT_Max_X;0.163807
FFT_Min_X;0.516945
MeanFFT_X;3.255525
StdFFT_X;0.189947
FFT_Energy_X;0.186386
FFT_DominantFreq_X;0.204914
SkewnessFFT_X;2.936063
KurtosisFFT_X;3.273038
SpectralEntropy_X;3.639692
FFT_Max_Y;18.458104
FFT_Min_Y;0.503746
MeanFFT_Y;5.810027
StdFFT_Y;27.427101
FFT_Energy_Y;20.148903
FFT_DominantFreq_Y;0.040115
SkewnessFFT_Y;0.276623
KurtosisFFT_Y;0.250738
SpectralEntropy_Y;0.880148
FFT_Max_Z;19.139976
FFT_Min_Z;0.546693
MeanFFT_Z;2.186617
StdFFT_Z;19.681984
FFT_Energy_Z;47.699430
FFT_DominantFreq_Z;0.225014
SkewnessFFT_Z;2.370982
KurtosisFFT_Z;2.835456
SpectralEntropy_Z;2.669584
AI;0.852012
VI;0.888190
SMA;0.914165
EVA1;1.305089
EVA2;1.256228
CAGH;0.140648
AVH;0.169131
AVG;0.036705
ARATG;16.761972
DF;1.437330
ENERGY;0.638086
AAE;0.371644
MaxAccel_X;1.766298
MaxAccel_Y;5.101575
MaxAccel_Z;2.262897
MinAccel_X;1.541004
MinAccel_Y;1.755395
MinAccel_Z;6.524944
RMSAccel_X;0.756276
RMSAccel_Y;35.798343
RMSAccel_Z;15.866827
TotalEnergy;0.371644
SignalMagnitude_X;0.756276
SignalMagnitude_Y;35.798343
SignalMagnitude_Z;15.866827
Cov_XY;0.348184
Cov_XZ;0.367536
Cov_YZ;0.166075
EntropyTime_X;1.345546
EntropyTime_Y;1.129695
EntropyTime_Z;1.203585
Max_X;1.766298
Max_Y;5.101575
Max_Z;2.262897
Min_X;1.541004
Min_Y;1.755395
Min_Z;6.524944
MaxFFT_X;0.163807
MaxFFT_Y;18.458104
MaxFFT_Z;19.139976
