Feature;Score
Mean_X;0.093395
Median_X;0.097458
Std_X;0.027228
Variance_X;0.279964
RMS_X;0.013714
AvgDerivative_X;0.007742
Skewness_X;-0.009252
Kurtosis_X;-1.525154
IQR_X;0.064407
ZeroCross_X;0.556141
MeanCross_X;-1.858014
MedianAbsDev_X;0.015753
Range_X;1.449299
Mean_Y;0.013713
Median_Y;0.042707
Std_Y;0.098946
Variance_Y;3.320940
RMS_Y;0.004800
AvgDerivative_Y;0.027071
Skewness_Y;0.031558
Kurtosis_Y;-1.337589
IQR_Y;0.196722
ZeroCross_Y;0.043587
MeanCross_Y;-1.146217
MedianAbsDev_Y;0.045930
Range_Y;3.923626
Mean_Z;0.621658
Median_Z;0.749509
Std_Z;0.035908
Variance_Z;0.659497
RMS_Z;0.005598
AvgDerivative_Z;0.012815
Skewness_Z;0.116774
Kurtosis_Z;-0.970530
IQR_Z;0.147581
ZeroCross_Z;1.067667
MeanCross_Z;-2.257626
MedianAbsDev_Z;0.035534
Range_Z;1.976601
Correlation_XY;-0.001551
Correlation_XZ;0.004022
Correlation_YZ;0.005790
FFT_Max_X;75.752685
FFT_Min_X;0.106930
MeanFFT_X;1.343667
StdFFT_X;1.092900
FFT_Energy_X;526.443437
FFT_DominantFreq_X;0.505755
SkewnessFFT_X;0.172711
KurtosisFFT_X;10.234434
SpectralEntropy_X;0.039897
FFT_Max_Y;40.079138
FFT_Min_Y;0.123287
MeanFFT_Y;4.104921
StdFFT_Y;0.504802
FFT_Energy_Y;466.579147
FFT_DominantFreq_Y;0.000075
SkewnessFFT_Y;0.010627
KurtosisFFT_Y;0.974282
SpectralEntropy_Y;0.004077
FFT_Max_Z;101.134712
FFT_Min_Z;0.252622
MeanFFT_Z;1.541083
StdFFT_Z;1.273082
FFT_Energy_Z;479.667165
FFT_DominantFreq_Z;0.084341
SkewnessFFT_Z;0.159951
KurtosisFFT_Z;10.632256
SpectralEntropy_Z;0.033048
AI;0.002554
VI;2.336687
SMA;0.017144
EVA1;2.751835
EVA2;0.637390
CAGH;-0.000281
AVH;0.011013
AVG;0.092894
ARATG;0.008774
DF;-3.892798
ENERGY;1166.134443
AAE;50.684440
MaxAccel_X;0.789202
MaxAccel_Y;1.867495
MaxAccel_Z;1.932069
MinAccel_X;0.651790
MinAccel_Y;0.926822
MinAccel_Z;1.356707
RMSAccel_X;0.013714
RMSAccel_Y;0.004800
RMSAccel_Z;0.005598
TotalEnergy;456.159961
SignalMagnitude_X;0.013714
SignalMagnitude_Y;0.004800
SignalMagnitude_Z;0.005598
Cov_XY;0.463543
Cov_XZ;0.466064
Cov_YZ;0.970710
EntropyTime_X;-0.012494
EntropyTime_Y;-0.006386
EntropyTime_Z;-0.011863
Max_X;0.789202
Max_Y;1.867495
Max_Z;1.932069
Min_X;0.651790
Min_Y;0.926822
Min_Z;1.356707
MaxFFT_X;75.752685
MaxFFT_Y;40.079138
MaxFFT_Z;101.134712
