Mean_X;Median_X;Std_X;Variance_X;RMS_X;AvgDerivative_X;Skewness_X;Kurtosis_X;IQR_X;ZeroCross_X;MeanCross_X;MedianAbsDev_X;Range_X;Mean_Y;Median_Y;Std_Y;Variance_Y;RMS_Y;AvgDerivative_Y;Skewness_Y;Kurtosis_Y;IQR_Y;ZeroCross_Y;MeanCross_Y;MedianAbsDev_Y;Range_Y;Mean_Z;Median_Z;Std_Z;Variance_Z;RMS_Z;AvgDerivative_Z;Skewness_Z;Kurtosis_Z;IQR_Z;ZeroCross_Z;MeanCross_Z;MedianAbsDev_Z;Range_Z;Correlation_XY;Correlation_XZ;Correlation_YZ;FFT_Max_X;FFT_Min_X;MeanFFT_X;StdFFT_X;FFT_Energy_X;FFT_DominantFreq_X;SkewnessFFT_X;KurtosisFFT_X;SpectralEntropy_X;FFT_Max_Y;FFT_Min_Y;MeanFFT_Y;StdFFT_Y;FFT_Energy_Y;FFT_DominantFreq_Y;SkewnessFFT_Y;KurtosisFFT_Y;SpectralEntropy_Y;FFT_Max_Z;FFT_Min_Z;MeanFFT_Z;StdFFT_Z;FFT_Energy_Z;FFT_DominantFreq_Z;SkewnessFFT_Z;KurtosisFFT_Z;SpectralEntropy_Z;AI;VI;SMA;EVA1;EVA2;CAGH;AVH;AVG;ARATG;DF;ENERGY;AAE;MaxAccel_X;MaxAccel_Y;MaxAccel_Z;MinAccel_X;MinAccel_Y;MinAccel_Z;RMSAccel_X;RMSAccel_Y;RMSAccel_Z;TotalEnergy;SignalMagnitude_X;SignalMagnitude_Y;SignalMagnitude_Z;Cov_XY;Cov_XZ;Cov_YZ;EntropyTime_X;EntropyTime_Y;EntropyTime_Z;Max_X;Max_Y;Max_Z;Min_X;Min_Y;Min_Z;MaxFFT_X;MaxFFT_Y;MaxFFT_Z
2.400685;2.465200;0.607714;0.369316;2.476410;0.170906;-0.409217;-0.270361;0.830625;0.000000;4.015686;0.403450;2.715730;9.645510;9.632600;1.255359;1.575927;9.726859;0.533121;0.346098;1.654887;1.479500;0.000000;8.031373;0.751300;7.841700;2.458907;2.217150;1.289389;1.662525;2.776463;0.207743;0.550762;-0.191149;1.771125;0.000000;3.011765;0.804800;6.069399;0.337071;-0.677075;-0.145598;244.869870;0.036613;7.725721;33.620840;606.690944;0.000000;6.750097;44.606655;0.191501;983.842000;0.136324;26.671100;134.389878;9570.032552;0.000000;6.943819;46.487465;0.070247;250.808501;0.337559;9.892141;35.751542;701.504084;0.000000;5.991083;36.830962;0.522106;10.347634;1.379616;14.505102;2.076776;1.405090;0.110608;10.169320;2.422749;1.321185;1.505882;10991.864188;3626.075860;3.451900;13.922000;6.098800;0.736170;6.080300;0.029401;2.476410;9.726859;2.776463;10878.227581;2.476410;9.726859;2.776463;0.259697;-0.535795;-0.238005;3.156696;2.731832;3.101201;3.451900;13.922000;6.098800;0.736170;6.080300;0.029401;244.869870;983.842000;250.808501
2.198948;2.127900;0.539883;0.291474;2.264254;0.170545;0.321004;-0.349210;0.752400;0.000000;6.959223;0.382800;2.715730;9.527474;9.348200;1.194993;1.428008;9.602123;0.491632;0.626385;0.543579;1.355900;0.000000;7.456311;0.687400;6.609700;3.027254;2.962800;0.954986;0.911999;3.174314;0.202677;0.293169;-0.724113;1.293150;0.000000;3.479612;0.662900;3.773000;0.142077;-0.472776;-0.140151;226.491670;0.341352;7.666429;30.942983;513.054378;0.000000;6.798190;45.102139;0.199690;981.329800;0.342696;26.243677;134.075829;9423.136373;0.000000;6.947355;46.518927;0.064956;311.807200;0.367915;10.933531;42.932245;990.887658;0.000000;6.629704;43.404467;0.271681;10.302012;1.272436;14.753676;1.509390;0.939694;0.019234;10.152372;2.302918;1.263145;2.485437;10997.069237;3642.359470;3.451900;13.026000;5.157300;0.736170;6.416300;1.384300;2.264254;9.602123;3.174314;10927.078409;2.264254;9.602123;3.174314;0.092561;-0.246144;-0.161509;3.008745;2.907036;3.199138;3.451900;13.026000;5.157300;0.736170;6.416300;1.384300;226.491670;981.329800;311.807200
2.077093;2.065100;0.447583;0.200330;2.124769;0.180848;0.182592;-0.252693;0.637850;0.000000;8.947573;0.323400;2.200030;9.274520;9.022500;1.315800;1.731328;9.367393;0.478507;0.828900;0.397148;1.584100;0.000000;7.456311;0.757500;6.459700;3.428294;3.411200;0.620916;0.385537;3.484069;0.186634;0.632208;0.275350;0.663650;0.000000;5.467961;0.349000;2.937600;0.137505;-0.051754;-0.162252;213.940570;0.129821;6.897349;29.207284;454.691457;0.000000;6.844913;45.561252;0.165330;955.275600;0.295964;25.733411;130.627219;8948.886440;0.000000;6.925451;46.311184;0.077214;353.114300;0.356469;10.589562;48.218966;1230.434865;0.000000;6.888467;45.966871;0.121397;10.143866;1.503417;14.779907;1.765747;0.376494;0.123526;10.218909;2.066340;1.216727;2.485437;10675.922367;3544.670921;3.166400;12.876000;5.157300;0.966370;6.416300;2.219700;2.124769;9.367393;3.484069;10634.012763;2.124769;9.367393;3.484069;0.081775;-0.014524;-0.133860;3.039799;3.021134;3.068188;3.166400;12.876000;5.157300;0.966370;6.416300;2.219700;213.940570;955.275600;353.114300
2.187292;2.194450;0.371161;0.137761;2.218560;0.157986;-0.594209;1.122331;0.455200;0.000000;9.035294;0.230000;2.018630;9.273255;8.956500;1.308045;1.710981;9.365054;0.524819;0.909873;0.437110;1.812075;0.000000;7.027451;0.800050;6.054100;3.315060;3.279450;0.545035;0.297063;3.359566;0.155852;0.400057;-0.384006;0.756150;0.000000;3.513725;0.381650;2.393200;0.226978;-0.029473;0.160871;223.103770;0.069973;6.615158;30.450637;495.020431;0.000000;6.905883;46.131538;0.110205;945.872000;0.336553;25.662592;129.297772;8858.598918;0.000000;6.928366;46.338576;0.077300;338.136100;0.056013;9.348641;46.271919;1136.091719;0.000000;6.895090;46.022699;0.097848;10.115062;1.598448;14.775607;1.744853;0.292054;0.209864;9.837591;2.232739;1.227468;1.003922;10517.617372;3496.570356;2.985000;12.923000;4.681800;0.966370;6.868900;2.288600;2.218560;9.365054;3.359566;10489.711068;2.218560;9.365054;3.359566;0.111288;-0.006021;0.115825;2.893719;2.979449;3.134487;2.985000;12.923000;4.681800;0.966370;6.868900;2.288600;223.103770;945.872000;338.136100
2.269468;2.244350;0.390840;0.152756;2.302877;0.171449;0.677294;0.534250;0.407925;0.000000;9.216000;0.213500;1.808900;9.352783;8.994800;1.328253;1.764256;9.446629;0.526712;1.123552;1.146931;1.643750;0.000000;6.656000;0.720500;6.905900;3.296301;3.060750;0.697213;0.486106;3.369229;0.189252;0.339947;-1.160560;1.202325;0.000000;2.560000;0.531600;2.457000;0.075123;-0.023618;0.268002;226.946800;0.057591;6.907487;31.259682;522.689344;0.000000;6.833854;45.139600;0.113650;935.278300;0.148604;26.163581;128.997320;8835.669194;0.000000;6.859101;45.371543;0.080034;329.630100;0.000900;10.069299;45.571664;1110.865331;0.000000;6.758645;44.412286;0.146317;10.206838;1.714202;14.918552;1.829889;0.444684;0.061664;9.934708;2.170312;1.231949;1.024000;10503.665677;3489.741290;3.343600;13.780000;4.681800;1.534700;6.874100;2.224800;2.302877;9.446629;3.369229;10469.223870;2.302877;9.446629;3.369229;0.039393;-0.006501;0.250697;3.036427;2.844230;3.232313;3.343600;13.780000;4.681800;1.534700;6.874100;2.224800;226.946800;935.278300;329.630100
2.542000;2.507500;0.694657;0.482549;2.635206;0.283435;1.627825;4.244821;0.673900;0.000000;8.704000;0.328350;3.992200;9.419425;9.079150;1.413114;1.996892;9.524834;0.547560;0.945521;1.449005;1.559000;0.000000;5.632000;0.699750;7.921100;3.260285;3.578100;1.282546;1.644925;3.503482;0.273782;-2.224217;6.506381;1.270025;0.512000;4.608000;0.589300;7.635600;0.350412;-0.541840;-0.177747;254.200000;0.851221;10.330497;34.752997;670.389896;0.000000;6.769385;44.545019;0.264309;941.942500;0.374942;26.756211;129.911744;8972.407636;0.000000;6.850403;45.292805;0.088316;326.028500;1.022631;15.101312;44.916198;1145.212369;0.000000;6.507154;42.036021;0.441683;10.397598;1.831103;15.321867;2.374627;1.508963;0.286450;9.720131;2.298102;1.237579;4.096000;10902.586874;3596.003300;5.368500;13.899000;4.719000;1.376300;5.977900;-2.916600;2.635206;9.524834;3.503482;10788.009901;2.635206;9.524834;3.503482;0.347449;-0.487618;-0.325399;2.690102;2.743721;2.540328;5.368500;13.899000;4.719000;1.376300;5.977900;-2.916600;254.200000;941.942500;326.028500
2.266287;2.176900;1.068815;1.142365;2.505678;0.389915;0.666776;0.665349;1.292100;0.994175;6.462136;0.636900;5.627110;9.640707;9.443500;1.189638;1.415240;9.713829;0.495442;0.465537;2.044513;1.249800;0.000000;7.456311;0.511200;7.921100;2.392017;2.693900;1.787813;3.196275;2.986306;0.295592;-1.326731;1.636760;1.901900;0.994175;3.976699;0.954100;8.297700;0.157294;-0.171124;-0.147735;233.427520;0.686979;11.215077;32.227446;587.845466;0.000000;6.324315;40.502162;0.556981;992.992800;0.221150;26.304614;135.700557;9646.037275;0.000000;6.947898;46.524739;0.063238;246.377780;0.189685;12.508497;36.564116;753.948059;0.000000;5.306081;29.788756;0.839529;10.405491;1.280665;14.637118;3.341319;1.433497;0.158150;10.142302;2.506726;1.327591;3.976699;11218.201325;3662.610267;5.368500;13.899000;4.719000;-0.258610;5.977900;-3.578700;2.505678;9.713829;2.986306;10987.830800;2.505678;9.713829;2.986306;0.201960;-0.330196;-0.317290;2.868808;2.703407;2.831741;5.368500;13.899000;4.719000;-0.258610;5.977900;-3.578700;233.427520;992.992800;246.377780
2.167108;2.001900;0.969985;0.940871;2.374285;0.257330;0.243524;0.003723;1.503500;0.994175;3.479612;0.731600;4.935310;9.669985;9.491900;0.851433;0.724938;9.707397;0.353625;0.405774;0.019264;0.917450;0.000000;6.959223;0.473800;4.157400;1.761936;2.139900;1.229841;1.512510;2.148704;0.178539;-2.080167;5.545818;1.301900;0.497087;2.485437;0.534100;6.952200;-0.019353;-0.307964;0.014369;223.212150;0.206988;10.340724;30.776529;532.179760;0.000000;6.367293;41.032882;0.532596;996.008500;0.261025;24.734351;136.160637;9668.721998;0.000000;6.976708;46.792361;0.035800;181.479420;3.019730;12.430194;25.162312;397.649395;0.000000;5.870081;36.247301;1.036173;10.191676;0.617460;13.839898;1.709188;0.770269;-0.127475;9.949206;2.096361;1.390567;0.994175;10730.435393;3532.850384;4.676700;11.758000;3.373500;-0.258610;7.600600;-3.578700;2.374285;9.707397;2.148704;10598.551153;2.374285;9.707397;2.148704;-0.016140;-0.370980;0.015194;2.820938;2.938663;2.643276;4.676700;11.758000;3.373500;-0.258610;7.600600;-3.578700;223.212150;996.008500;181.479420
2.366754;2.388650;0.568828;0.323565;2.434151;0.191481;-0.681924;0.395126;0.793450;0.000000;6.023529;0.411300;2.691110;9.596721;9.363300;1.033937;1.069027;9.652257;0.394594;1.516153;3.605586;1.063150;0.000000;5.521569;0.562950;5.962300;2.444954;2.199350;0.966957;0.935006;2.629222;0.149643;0.411587;-0.804598;1.499150;0.000000;1.505882;0.558850;3.794470;0.282610;-0.358495;0.054805;241.408920;0.625871;8.505045;32.876278;587.898455;0.000000;6.834357;45.438846;0.197379;978.865500;0.033100;25.039461;133.815032;9448.419055;0.000000;6.960731;46.643157;0.049525;249.385340;0.100755;8.541434;34.879812;657.421410;0.000000;6.385932;40.808725;0.339560;10.242946;1.086025;14.408429;1.116668;1.002645;0.190390;10.025612;2.459870;1.321334;1.003922;10757.019719;3564.579640;3.285300;13.781000;4.434000;0.594190;7.818700;0.639530;2.434151;9.652257;2.629222;10693.738921;2.434151;9.652257;2.629222;0.167858;-0.199136;0.055335;3.034679;2.747212;3.142554;3.285300;13.781000;4.434000;0.594190;7.818700;0.639530;241.408920;978.865500;249.385340
2.156334;2.203800;0.373449;0.139464;2.188434;0.201126;-0.394354;2.858319;0.394175;0.000000;11.043137;0.202350;2.691110;9.555938;9.210550;1.228021;1.508036;9.634521;0.466650;1.415032;1.934217;1.441275;0.000000;6.525490;0.631500;5.962300;3.171905;3.323950;0.901750;0.813154;3.297595;0.207150;-0.154794;-1.402200;1.690375;0.000000;2.509804;0.772450;2.988300;0.426050;0.243123;0.073384;219.946090;0.445739;7.334052;29.842160;481.429666;0.000000;6.950590;46.548825;0.125006;974.705700;0.250101;26.206684;133.170180;9391.142442;0.000000;6.944426;46.490629;0.067472;323.534300;0.706303;10.884955;44.450438;1067.694409;0.000000;6.695008;44.075792;0.235220;10.343260;1.504335;14.884177;1.562245;0.816557;0.461582;10.067368;2.183279;1.250309;1.003922;10988.992477;3646.755506;3.285300;13.781000;4.637300;0.594190;7.818700;1.649000;2.188434;9.634521;3.297595;10940.266518;2.188434;9.634521;3.297595;0.197322;0.082684;0.082068;2.619032;2.860333;3.255972;3.285300;13.781000;4.637300;0.594190;7.818700;1.649000;219.946090;974.705700;323.534300
