Feature;Score
Mean_X;0.114042
Median_X;0.116847
Std_X;1.674644
Variance_X;0.324002
RMS_X;0.422830
AvgDerivative_X;1.119550
Skewness_X;0.008610
Kurtosis_X;0.022218
IQR_X;1.388637
ZeroCross_X;0.077918
MeanCross_X;1.987648
MedianAbsDev_X;1.510909
Range_X;1.196953
Mean_Y;0.225859
Median_Y;0.218953
Std_Y;2.869347
Variance_Y;0.838336
RMS_Y;8.062305
AvgDerivative_Y;2.564796
Skewness_Y;0.199591
Kurtosis_Y;0.017709
IQR_Y;1.914814
ZeroCross_Y;0.024513
MeanCross_Y;2.050219
MedianAbsDev_Y;2.138686
Range_Y;2.871292
Mean_Z;3.280824
Median_Z;3.255348
Std_Z;2.011599
Variance_Z;0.426031
RMS_Z;3.796278
AvgDerivative_Z;1.904624
Skewness_Z;0.007969
Kurtosis_Z;0.065013
IQR_Z;1.583720
ZeroCross_Z;0.101171
MeanCross_Z;2.589674
MedianAbsDev_Z;1.817037
Range_Z;1.786911
Correlation_XY;0.127064
Correlation_XZ;0.073767
Correlation_YZ;0.150156
FFT_Max_X;0.469747
FFT_Min_X;0.154500
MeanFFT_X;0.387726
StdFFT_X;0.469592
FFT_Energy_X;0.601535
FFT_DominantFreq_X;0.006880
SkewnessFFT_X;0.299928
KurtosisFFT_X;0.283299
SpectralEntropy_X;0.464622
FFT_Max_Y;5.199304
FFT_Min_Y;0.256885
MeanFFT_Y;6.947240
StdFFT_Y;6.670057
FFT_Energy_Y;8.541945
FFT_DominantFreq_Y;0.001259
SkewnessFFT_Y;0.161595
KurtosisFFT_Y;0.140787
SpectralEntropy_Y;0.923348
FFT_Max_Z;3.395009
FFT_Min_Z;0.219461
MeanFFT_Z;1.643510
StdFFT_Z;3.673230
FFT_Energy_Z;3.514370
FFT_DominantFreq_Z;0.014487
SkewnessFFT_Z;0.316244
KurtosisFFT_Z;0.314059
SpectralEntropy_Z;0.480852
AI;0.476550
VI;1.058226
SMA;0.228902
EVA1;0.748053
EVA2;0.892079
CAGH;0.125689
AVH;0.269467
AVG;0.111204
ARATG;0.200238
DF;1.014140
ENERGY;0.299051
AAE;0.254663
MaxAccel_X;0.141576
MaxAccel_Y;0.622911
MaxAccel_Z;1.372724
MinAccel_X;0.442541
MinAccel_Y;0.132884
MinAccel_Z;3.716146
RMSAccel_X;0.422830
RMSAccel_Y;8.062305
RMSAccel_Z;3.796278
TotalEnergy;0.254663
SignalMagnitude_X;0.422830
SignalMagnitude_Y;8.062305
SignalMagnitude_Z;3.796278
Cov_XY;0.046671
Cov_XZ;0.023475
Cov_YZ;0.105008
EntropyTime_X;0.763585
EntropyTime_Y;1.086274
EntropyTime_Z;1.489606
Max_X;0.141576
Max_Y;0.622911
Max_Z;1.372724
Min_X;0.442541
Min_Y;0.132884
Min_Z;3.716146
MaxFFT_X;0.469747
MaxFFT_Y;5.199304
MaxFFT_Z;3.395009
