Feature;Score
Mean_X;0.114490
Median_X;0.119968
Std_X;0.076727
Variance_X;0.278544
RMS_X;0.004585
AvgDerivative_X;0.005580
Skewness_X;-0.011762
Kurtosis_X;-1.564731
IQR_X;0.142541
ZeroCross_X;0.143571
MeanCross_X;-0.560428
MedianAbsDev_X;0.031557
Range_X;1.878539
Mean_Y;1.393124
Median_Y;1.363740
Std_Y;0.340013
Variance_Y;4.149623
RMS_Y;0.011665
AvgDerivative_Y;0.021420
Skewness_Y;0.064812
Kurtosis_Y;-0.186773
IQR_Y;0.488067
ZeroCross_Y;0.004434
MeanCross_Y;6.031155
MedianAbsDev_Y;0.098703
Range_Y;6.830624
Mean_Z;0.076221
Median_Z;0.096588
Std_Z;0.100134
Variance_Z;0.437381
RMS_Z;0.007889
AvgDerivative_Z;0.003813
Skewness_Z;-0.021944
Kurtosis_Z;-1.492419
IQR_Z;0.222499
ZeroCross_Z;0.180469
MeanCross_Z;1.372152
MedianAbsDev_Z;0.047864
Range_Z;1.817283
Correlation_XY;0.014373
Correlation_XZ;0.015297
Correlation_YZ;0.013271
FFT_Max_X;83.352216
FFT_Min_X;0.026152
MeanFFT_X;1.833510
StdFFT_X;0.963311
FFT_Energy_X;950.601698
FFT_DominantFreq_X;0.004589
SkewnessFFT_X;0.110508
KurtosisFFT_X;10.055026
SpectralEntropy_X;0.029781
FFT_Max_Y;97.593942
FFT_Min_Y;0.065063
MeanFFT_Y;7.840859
StdFFT_Y;0.723004
FFT_Energy_Y;1653.530977
FFT_DominantFreq_Y;0.000028
SkewnessFFT_Y;0.013943
KurtosisFFT_Y;1.534538
SpectralEntropy_Y;0.004274
FFT_Max_Z;89.166886
FFT_Min_Z;0.030136
MeanFFT_Z;1.839103
StdFFT_Z;1.122943
FFT_Energy_Z;1921.096515
FFT_DominantFreq_Z;0.006017
SkewnessFFT_Z;0.151632
KurtosisFFT_Z;14.116470
SpectralEntropy_Z;0.037564
AI;0.007231
VI;3.280799
SMA;0.023395
EVA1;4.580857
EVA2;0.275506
CAGH;0.010672
AVH;0.012103
AVG;0.124183
ARATG;0.037835
DF;-3.947172
ENERGY;1993.705779
AAE;136.706960
MaxAccel_X;0.554275
MaxAccel_Y;4.075168
MaxAccel_Z;0.612030
MinAccel_X;0.778635
MinAccel_Y;3.218309
MinAccel_Z;0.554963
RMSAccel_X;0.004585
RMSAccel_Y;0.011665
RMSAccel_Z;0.007889
TotalEnergy;1230.362641
SignalMagnitude_X;0.004585
SignalMagnitude_Y;0.011665
SignalMagnitude_Z;0.007889
Cov_XY;0.196814
Cov_XZ;0.061609
Cov_YZ;0.214887
EntropyTime_X;-0.005396
EntropyTime_Y;0.003070
EntropyTime_Z;0.001536
Max_X;0.554275
Max_Y;4.075168
Max_Z;0.612030
Min_X;0.778635
Min_Y;3.218309
Min_Z;0.554963
MaxFFT_X;83.352216
MaxFFT_Y;97.593942
MaxFFT_Z;89.166886
