Mean_X;Median_X;Std_X;Variance_X;RMS_X;AvgDerivative_X;Skewness_X;Kurtosis_X;IQR_X;ZeroCross_X;MeanCross_X;MedianAbsDev_X;Range_X;Mean_Y;Median_Y;Std_Y;Variance_Y;RMS_Y;AvgDerivative_Y;Skewness_Y;Kurtosis_Y;IQR_Y;ZeroCross_Y;MeanCross_Y;MedianAbsDev_Y;Range_Y;Mean_Z;Median_Z;Std_Z;Variance_Z;RMS_Z;AvgDerivative_Z;Skewness_Z;Kurtosis_Z;IQR_Z;ZeroCross_Z;MeanCross_Z;MedianAbsDev_Z;Range_Z;Correlation_XY;Correlation_XZ;Correlation_YZ;FFT_Max_X;FFT_Min_X;MeanFFT_X;StdFFT_X;FFT_Energy_X;FFT_DominantFreq_X;SkewnessFFT_X;KurtosisFFT_X;SpectralEntropy_X;FFT_Max_Y;FFT_Min_Y;MeanFFT_Y;StdFFT_Y;FFT_Energy_Y;FFT_DominantFreq_Y;SkewnessFFT_Y;KurtosisFFT_Y;SpectralEntropy_Y;FFT_Max_Z;FFT_Min_Z;MeanFFT_Z;StdFFT_Z;FFT_Energy_Z;FFT_DominantFreq_Z;SkewnessFFT_Z;KurtosisFFT_Z;SpectralEntropy_Z;AI;VI;SMA;EVA1;EVA2;CAGH;AVH;AVG;ARATG;DF;ENERGY;AAE;ARE;MaxAccel_X;MaxAccel_Y;MaxAccel_Z;MinAccel_X;MinAccel_Y;MinAccel_Z;RMSAccel_X;RMSAccel_Y;RMSAccel_Z;TotalEnergy;SignalMagnitude_X;SignalMagnitude_Y;SignalMagnitude_Z;Cov_XY;Cov_XZ;Cov_YZ;EntropyTime_X;EntropyTime_Y;EntropyTime_Z;Max_X;Max_Y;Max_Z;Min_X;Min_Y;Min_Z;MaxFFT_X;MaxFFT_Y;MaxFFT_Z
7.749402;-6.398000;51.732427;2676.244023;52.309629;5.257886;0.173151;-1.109984;85.982500;1.988350;0.497087;43.834000;195.395000;-0.338672;2.630400;15.018174;225.545555;15.021992;2.693221;-0.913856;-0.061342;17.372750;2.982524;3.976699;8.625600;58.511000;-0.611597;-0.358890;8.281510;68.583412;8.304063;0.893075;-0.139447;-0.659129;9.409300;2.982524;2.982524;4.989190;30.965000;0.586378;0.123633;-0.115289;3494.501864;5.771507;166.456799;507.490662;144012.049938;0.497087;5.638039;33.027945;0.705678;831.783367;1.625152;58.386464;140.079395;11627.410066;0.497087;4.466107;19.813687;1.165776;533.648953;0.495576;29.586705;78.721712;3570.572947;0.497087;5.342448;30.079180;0.891208;48.973734;632.488354;61.911723;2786.156630;151.747629;-0.451537;4.304040;27.559515;-2.635874;0.497087;279611.091769;53070.010984;315358.334501;111.090000;19.927000;15.114000;-84.305000;-38.584000;-15.851000;52.309629;15.021992;8.304063;159210.032952;52.309629;15.021992;8.304063;460.038905;53.486624;-14.479421;3.174625;3.067653;2.994422;111.090000;19.927000;15.114000;-84.305000;-38.584000;-15.851000;3494.501864;831.783367;533.648953
-16.852428;-6.339500;24.102212;580.916612;29.409538;3.687632;-1.357289;0.626530;22.207530;7.953398;2.485437;8.056800;91.998600;-4.177923;-1.575200;12.846222;165.025421;13.508533;2.314060;-0.901380;0.399830;9.489250;4.970874;5.965049;4.924300;57.104000;1.115062;-0.475200;7.017511;49.245458;7.105549;0.737015;0.182795;-0.388629;9.918550;1.988350;0.994175;4.080100;30.284000;0.569470;0.372125;0.318605;1735.800110;3.424470;131.704231;315.999086;59169.652332;0.000000;3.852702;14.738727;1.354940;690.346412;0.804121;60.150690;129.526980;10296.678505;0.497087;3.438551;11.621085;1.568175;466.509560;1.463765;28.881534;66.656111;2664.207446;0.497087;5.506699;32.837577;1.009013;24.229070;510.842411;33.141062;659.889433;101.786700;-0.426002;7.840973;-27.700337;-1.309982;0.000000;86774.309887;24043.512761;142873.950830;7.693600;18.520000;15.114000;-84.305000;-38.584000;-15.170000;29.409538;13.508533;7.105549;72130.538283;29.409538;13.508533;7.105549;178.049187;63.557422;29.003345;2.734215;2.936563;2.939551;7.693600;18.520000;15.114000;-84.305000;-38.584000;-15.170000;1735.800110;690.346412;466.509560
-2.464211;-2.651650;5.271978;27.793751;5.819458;1.988937;-0.059059;-0.987751;7.687325;7.529412;5.521569;3.756500;20.794600;0.031946;-1.674550;5.932459;35.194067;5.932545;1.291725;1.411750;1.487019;6.036900;5.019608;5.019608;2.615100;26.564000;-0.473391;-2.095600;4.257255;18.124224;4.283494;0.577279;1.001031;0.595349;6.895200;1.003922;1.003922;2.364390;19.537200;0.419522;0.458764;0.665283;253.888913;1.690854;35.808271;52.088274;2036.881078;0.501961;2.892540;8.858870;2.133862;287.661116;0.987864;28.624210;51.979114;1795.108170;0.501961;3.247509;11.222505;1.799437;268.807508;2.890115;20.520594;37.910259;947.359732;0.501961;5.492960;32.558014;1.244854;8.436946;16.227444;13.012909;56.005401;18.302737;0.042360;1.563816;-2.612501;3.074212;0.501961;8088.356871;1593.116327;9374.876847;7.693600;18.520000;13.584000;-13.101000;-8.044000;-5.953200;5.819458;5.932545;4.283494;4779.348981;5.819458;5.932545;4.283494;13.250777;10.398512;16.968746;3.209214;2.881922;2.814825;7.693600;18.520000;13.584000;-13.101000;-8.044000;-5.953200;253.888913;287.661116;268.807508
-1.632377;-0.854885;4.836515;23.391873;5.104559;1.636262;-0.567370;-0.431207;6.763625;7.027451;8.031373;3.205085;20.157700;-0.294916;-0.604070;3.861694;14.912684;3.872939;0.913781;0.003024;-1.134254;6.560625;4.015686;3.011765;3.287980;14.344700;-0.496082;-0.128085;2.756690;7.599342;2.800971;0.545885;-0.169366;-0.630642;3.834350;4.015686;2.509804;1.947950;12.011500;0.467819;0.565163;0.378090;205.813769;1.290651;31.501990;43.373205;1464.977780;0.501961;2.325346;5.068643;2.320566;242.394222;0.881176;18.023972;34.415083;769.427432;0.501961;5.396106;31.886136;1.247195;135.500540;0.259512;14.154145;24.681960;412.706148;0.501961;2.944814;9.729172;1.944388;6.372010;8.299111;9.579916;32.175279;9.595816;-0.099459;1.425798;-2.960916;-2.605235;0.000000;4564.863594;882.370453;5192.410745;7.056700;6.300700;5.117600;-13.101000;-8.044000;-6.893900;5.104559;3.872939;2.800971;2647.111360;5.104559;3.872939;2.800971;8.824030;7.609792;4.064803;3.159871;3.230194;3.132451;7.056700;6.300700;5.117600;-13.101000;-8.044000;-6.893900;205.813769;242.394222;135.500540
-0.804809;0.031695;4.012479;16.099988;4.092396;2.095340;-1.002644;2.451204;3.813825;13.552941;10.541176;2.072495;26.097200;0.045727;-0.695825;3.010972;9.065951;3.011319;0.817639;0.339570;-0.932988;4.977850;4.517647;4.517647;2.156275;11.102700;-2.359332;-1.551850;2.825010;7.980683;3.680643;0.525277;-0.309550;-1.347235;4.793436;4.517647;1.505882;2.443220;9.834000;0.238782;0.207211;0.451658;116.344018;0.660353;31.103847;27.803727;887.311970;3.513725;1.190536;0.929286;3.033139;125.210524;1.959545;17.937856;24.202906;462.671193;1.003922;2.946127;8.902254;2.190137;240.651893;1.014330;18.639282;39.556878;974.831485;0.000000;4.066241;18.074011;1.441144;5.611047;7.879034;8.187966;18.586873;10.200055;-0.224245;1.804015;-0.195136;3.122214;0.000000;3613.186548;774.938216;4560.213349;9.249200;6.300700;1.819300;-16.848000;-4.802000;-8.014700;4.092396;3.011319;3.680643;2324.814649;4.092396;3.011319;3.680643;2.913395;2.372053;3.879848;2.717722;3.222871;3.038955;9.249200;6.300700;1.819300;-16.848000;-4.802000;-8.014700;116.344018;125.210524;240.651893
-1.369717;-1.029300;4.224161;17.843540;4.440683;1.965382;-0.552284;1.120880;5.834000;9.941748;8.947573;3.067200;26.097200;-0.998785;-0.948160;1.938225;3.756718;2.180433;0.726113;-0.181268;-0.512979;2.821520;6.959223;6.462136;1.437540;8.793400;-2.476359;-1.050400;2.428548;5.897844;3.468457;0.373399;-0.589311;-1.053819;4.010420;3.479612;0.994175;1.250340;8.613560;0.427375;0.237761;0.306204;174.180062;3.041592;32.432824;33.927715;1112.183037;0.497087;2.201374;5.572061;2.689363;102.874869;0.313017;12.867711;20.522358;296.220865;0.000000;3.211899;10.345608;1.925513;255.064962;0.454113;14.221946;40.626236;935.371349;0.000000;4.810077;23.569710;0.961829;5.217847;9.278221;7.683692;19.403990;5.660872;-0.332237;3.520626;-1.566184;-2.758221;0.000000;3282.099158;781.258417;4642.477901;9.249200;3.700900;0.598860;-16.848000;-5.092500;-8.014700;4.440683;2.180433;3.468457;2343.775251;4.440683;2.180433;3.468457;3.533387;2.463002;1.455457;2.811403;3.120682;2.876382;9.249200;3.700900;0.598860;-16.848000;-5.092500;-8.014700;174.180062;102.874869;255.064962
-0.780758;-1.260300;3.344922;11.188501;3.434834;1.330544;-0.052281;-1.319827;5.986800;5.319481;6.649351;3.236900;11.432700;-0.622637;-0.244690;1.536207;2.359931;1.657591;0.692807;-0.577751;0.133203;2.079810;11.968831;6.649351;0.932910;7.707600;-0.755376;-0.696180;0.864751;0.747795;1.148210;0.303697;-1.886376;5.249417;0.545010;3.989610;13.963636;0.282010;4.823260;0.484423;0.148022;0.543660;149.931178;2.390499;18.640319;24.406562;477.695169;0.664935;4.102299;18.752505;1.731721;63.094517;0.820238;9.509555;12.161009;120.708432;0.664935;2.982595;9.331413;1.972114;58.163924;1.393930;7.163372;9.605871;72.725705;0.000000;3.961366;17.633245;1.722729;3.604185;2.873930;5.128276;12.030387;2.006681;-0.386112;0.935354;-1.413397;-2.452225;0.000000;1110.887738;223.709769;1325.050168;4.623500;2.615100;0.598860;-6.809200;-5.092500;-4.224400;3.434834;1.657591;1.148210;671.129306;3.434834;1.657591;1.148210;2.521956;0.433791;0.731721;3.155666;2.952627;2.491909;4.623500;2.615100;0.598860;-6.809200;-5.092500;-4.224400;149.931178;63.094517;58.163924
3.715813;0.633640;59.611342;3553.512097;59.727040;4.785090;0.126092;-1.395425;113.478500;2.485437;1.491262;58.795640;190.120000;1.600710;0.091757;8.754292;76.637625;8.899432;2.580882;0.309282;-0.316411;12.272500;5.467961;2.982524;5.367843;44.563000;-1.167499;0.349950;5.002373;25.023733;5.136807;0.848452;-0.899692;-0.237779;5.525700;3.479612;4.473786;2.592950;19.278800;0.707423;-0.692175;-0.596335;4046.877866;23.614798;214.612919;565.022694;184428.021208;0.497087;6.102433;37.903235;0.670541;485.389849;2.846764;53.799708;73.797826;4210.751827;0.497087;4.112811;20.052908;1.966713;229.333209;0.495705;24.065599;47.451003;1429.116860;0.497087;3.211427;10.075761;1.714282;53.759008;782.875114;63.186406;3639.702875;39.006632;0.539854;5.563173;35.370413;2.200959;0.497087;337991.254490;63355.963298;376480.628061;108.910000;21.823000;5.472800;-81.210000;-22.740000;-13.806000;59.727040;8.899432;5.136807;190067.889895;59.727040;8.899432;5.136807;372.791618;-208.428932;-26.370858;3.211351;2.922725;3.061295;108.910000;21.823000;5.472800;-81.210000;-22.740000;-13.806000;4046.877866;485.389849;229.333209
-27.978819;-18.971500;30.847113;951.544403;41.645633;4.032964;-0.354273;-1.456248;58.586780;4.015686;1.003922;21.951300;99.554000;-1.212147;-1.223450;13.960568;194.897461;14.013092;2.925931;-0.320784;0.261640;11.790850;4.517647;6.525490;5.650700;64.689000;1.327972;1.798900;2.672381;7.141620;2.984146;0.636174;-0.758389;0.759106;2.998562;3.011765;4.015686;1.497770;13.522500;0.445691;0.003091;0.613966;2853.839540;4.255480;154.962095;477.285073;128375.913323;0.000000;4.767011;21.950891;0.882314;574.101836;7.315205;70.031374;122.016197;10090.215480;1.505882;3.120946;8.803989;1.821060;135.453132;0.713240;16.041326;28.464675;544.247224;0.000000;3.072731;8.724862;1.827044;35.516590;678.202457;43.032109;1007.353816;153.902069;0.172541;3.889084;-37.267995;-0.739831;0.000000;163253.996885;46336.792009;272674.199130;18.344000;27.680000;7.225000;-81.210000;-37.009000;-6.297500;41.645633;14.013092;2.984146;139010.376027;41.645633;14.013092;2.984146;193.834150;0.257325;23.132600;3.056665;2.980610;2.975991;18.344000;27.680000;7.225000;-81.210000;-37.009000;-6.297500;2853.839540;574.101836;135.453132
-0.802680;2.890000;15.533761;241.297734;15.554486;3.045326;-2.867492;9.800346;11.433975;3.513725;1.505882;5.347600;96.276000;1.241881;4.006750;16.190899;262.145212;16.238457;2.402189;-0.574158;-0.572264;20.507550;2.509804;2.509804;8.640200;64.689000;-0.117803;0.592875;4.184953;17.513830;4.186611;0.662667;-0.086827;-0.172541;4.856100;3.011765;3.011765;1.934375;18.383900;0.544229;-0.039002;0.707538;607.607247;29.819629;111.104879;109.326109;12386.446983;1.003922;2.516990;7.130222;2.692101;811.762797;10.810716;86.000339;138.355969;13529.396963;1.505882;3.576504;13.670615;1.820632;163.123675;1.074791;17.492721;38.064862;894.669698;0.501961;3.228739;9.304019;1.595709;17.919785;202.038515;25.794804;395.896241;126.301492;-0.467395;0.999915;-5.605324;1.665372;0.501961;43060.734650;8936.837881;52589.853686;18.344000;27.680000;9.549300;-77.932000;-37.009000;-8.834600;15.554486;16.238457;4.186611;26810.513644;15.554486;16.238457;4.186611;138.231939;-2.560580;48.416137;2.353651;3.058098;3.081143;18.344000;27.680000;9.549300;-77.932000;-37.009000;-8.834600;607.607247;811.762797;163.123675
