Feature;Score
Mean_X;0.015517
Median_X;0.057253
Std_X;1.801034
Variance_X;0.523966
RMS_X;1.722661
AvgDerivative_X;1.395581
Skewness_X;0.058804
Kurtosis_X;0.024681
IQR_X;1.426761
ZeroCross_X;0.031117
MeanCross_X;0.025937
MedianAbsDev_X;1.517797
Range_X;1.563265
Mean_Y;0.017768
Median_Y;0.016039
Std_Y;2.221669
Variance_Y;0.705149
RMS_Y;1.621374
AvgDerivative_Y;2.544149
Skewness_Y;0.012840
Kurtosis_Y;0.472250
IQR_Y;1.525122
ZeroCross_Y;1.810603
MeanCross_Y;1.909368
MedianAbsDev_Y;1.637575
Range_Y;2.850948
Mean_Z;0.015276
Median_Z;0.013868
Std_Z;2.742102
Variance_Z;0.905365
RMS_Z;2.012887
AvgDerivative_Z;2.812286
Skewness_Z;0.006179
Kurtosis_Z;0.117641
IQR_Z;1.953518
ZeroCross_Z;0.128781
MeanCross_Z;1.262698
MedianAbsDev_Z;2.002675
Range_Z;3.004172
Correlation_XY;0.006796
Correlation_XZ;0.007206
Correlation_YZ;0.066308
FFT_Max_X;0.790640
FFT_Min_X;0.375059
MeanFFT_X;2.219890
StdFFT_X;1.116614
FFT_Energy_X;0.511755
FFT_DominantFreq_X;0.039627
SkewnessFFT_X;0.142257
KurtosisFFT_X;0.154639
SpectralEntropy_X;0.103030
FFT_Max_Y;0.996685
FFT_Min_Y;0.348375
MeanFFT_Y;2.303430
StdFFT_Y;1.219052
FFT_Energy_Y;0.557748
FFT_DominantFreq_Y;0.077911
SkewnessFFT_Y;0.696465
KurtosisFFT_Y;0.478727
SpectralEntropy_Y;1.510117
FFT_Max_Z;0.723058
FFT_Min_Z;0.324754
MeanFFT_Z;3.016896
StdFFT_Z;1.161244
FFT_Energy_Z;0.393671
FFT_DominantFreq_Z;0.238382
SkewnessFFT_Z;1.397238
KurtosisFFT_Z;1.489959
SpectralEntropy_Z;0.870637
AI;1.954236
VI;0.514632
SMA;2.319741
EVA1;0.717549
EVA2;1.271276
CAGH;0.050144
AVH;0.639095
AVG;0.007299
ARATG;0.333422
DF;0.040208
ENERGY;0.792082
AAE;0.633770
ARE;0.633640
MaxAccel_X;1.030272
MaxAccel_Y;0.783365
MaxAccel_Z;1.685255
MinAccel_X;1.361079
MinAccel_Y;0.551545
MinAccel_Z;1.554756
RMSAccel_X;1.722661
RMSAccel_Y;1.621374
RMSAccel_Z;2.012887
TotalEnergy;0.633770
SignalMagnitude_X;1.722661
SignalMagnitude_Y;1.621374
SignalMagnitude_Z;2.012887
Cov_XY;0.005907
Cov_XZ;0.004390
Cov_YZ;0.151833
EntropyTime_X;0.023198
EntropyTime_Y;0.499422
EntropyTime_Z;0.140764
Max_X;1.030272
Max_Y;0.783365
Max_Z;1.685255
Min_X;1.361079
Min_Y;0.551545
Min_Z;1.554756
MaxFFT_X;0.790640
MaxFFT_Y;0.996685
MaxFFT_Z;0.723058
