Feature;Score
Mean_X;5.893901
Median_X;5.445057
Std_X;1.537547
Variance_X;5168.000441
RMS_X;1.359009
AvgDerivative_X;2.945402
Skewness_X;0.184732
Kurtosis_X;1.050831
IQR_X;6.425382
ZeroCross_X;4.209018
MeanCross_X;4.808408
MedianAbsDev_X;1.418666
Range_X;109.228471
Mean_Y;281.294440
Median_Y;260.348414
Std_Y;7.112718
Variance_Y;60319.531751
RMS_Y;3.064426
AvgDerivative_Y;0.596444
Skewness_Y;0.124240
Kurtosis_Y;0.711529
IQR_Y;31.823761
ZeroCross_Y;1.566941
MeanCross_Y;1.727621
MedianAbsDev_Y;7.218015
Range_Y;132.412119
Mean_Z;2.990573
Median_Z;3.180984
Std_Z;1.357226
Variance_Z;853.822157
RMS_Z;1.401075
AvgDerivative_Z;0.127819
Skewness_Z;0.098914
Kurtosis_Z;0.458722
IQR_Z;3.244556
ZeroCross_Z;1.669415
MeanCross_Z;4.418928
MedianAbsDev_Z;0.796133
Range_Z;28.399945
Correlation_XY;0.044926
Correlation_XZ;0.030303
Correlation_YZ;0.050085
FFT_Max_X;7263.575287
FFT_Min_X;10.994010
MeanFFT_X;128.517810
StdFFT_X;127.782058
FFT_Energy_X;4671990.786668
FFT_DominantFreq_X;0.689466
SkewnessFFT_X;0.242898
KurtosisFFT_X;10.822632
SpectralEntropy_X;0.067090
FFT_Max_Y;20888.053455
FFT_Min_Y;28.017407
MeanFFT_Y;257.850346
StdFFT_Y;86.809544
FFT_Energy_Y;8233413.550684
FFT_DominantFreq_Y;0.910182
SkewnessFFT_Y;0.233351
KurtosisFFT_Y;12.892755
SpectralEntropy_Y;0.046699
FFT_Max_Z;6730.976251
FFT_Min_Z;1.520184
MeanFFT_Z;32.149401
StdFFT_Z;130.648454
FFT_Energy_Z;5227144.298251
FFT_DominantFreq_Z;0.086374
SkewnessFFT_Z;0.260185
KurtosisFFT_Z;20.357260
SpectralEntropy_Z;0.062813
AI;2.482836
VI;39462.259319
SMA;5.735103
EVA1;60421.528930
EVA2;2991.716869
CAGH;0.028084
AVH;17.101430
AVG;6.125982
ARATG;0.964021
DF;0.518052
ENERGY;6017007.997516
AAE;224316.001925
ARE;9535624.686477
MaxAccel_X;73.953654
MaxAccel_Y;376.559825
MaxAccel_Z;10.797083
MinAccel_X;60.294713
MinAccel_Y;337.183303
MinAccel_Z;14.696714
RMSAccel_X;1.359009
RMSAccel_Y;3.064426
RMSAccel_Z;1.401075
TotalEnergy;2018844.017122
SignalMagnitude_X;1.359009
SignalMagnitude_Y;3.064426
SignalMagnitude_Z;1.401075
Cov_XY;8045.038716
Cov_XZ;614.092887
Cov_YZ;6348.283067
EntropyTime_X;0.012446
EntropyTime_Y;0.008168
EntropyTime_Z;0.006767
Max_X;73.953654
Max_Y;376.559825
Max_Z;10.797083
Min_X;60.294713
Min_Y;337.183303
Min_Z;14.696714
MaxFFT_X;7263.575287
MaxFFT_Y;20888.053455
MaxFFT_Z;6730.976251
