Mean_X;Median_X;Std_X;Variance_X;RMS_X;AvgDerivative_X;Skewness_X;Kurtosis_X;IQR_X;ZeroCross_X;MeanCross_X;MedianAbsDev_X;Range_X;Mean_Y;Median_Y;Std_Y;Variance_Y;RMS_Y;AvgDerivative_Y;Skewness_Y;Kurtosis_Y;IQR_Y;ZeroCross_Y;MeanCross_Y;MedianAbsDev_Y;Range_Y;Mean_Z;Median_Z;Std_Z;Variance_Z;RMS_Z;AvgDerivative_Z;Skewness_Z;Kurtosis_Z;IQR_Z;ZeroCross_Z;MeanCross_Z;MedianAbsDev_Z;Range_Z;Correlation_XY;Correlation_XZ;Correlation_YZ;FFT_Max_X;FFT_Min_X;MeanFFT_X;StdFFT_X;FFT_Energy_X;FFT_DominantFreq_X;SkewnessFFT_X;KurtosisFFT_X;SpectralEntropy_X;FFT_Max_Y;FFT_Min_Y;MeanFFT_Y;StdFFT_Y;FFT_Energy_Y;FFT_DominantFreq_Y;SkewnessFFT_Y;KurtosisFFT_Y;SpectralEntropy_Y;FFT_Max_Z;FFT_Min_Z;MeanFFT_Z;StdFFT_Z;FFT_Energy_Z;FFT_DominantFreq_Z;SkewnessFFT_Z;KurtosisFFT_Z;SpectralEntropy_Z;AI;VI;SMA;EVA1;EVA2;CAGH;AVH;AVG;ARATG;DF;ENERGY;AAE;ARE;MaxAccel_X;MaxAccel_Y;MaxAccel_Z;MinAccel_X;MinAccel_Y;MinAccel_Z;RMSAccel_X;RMSAccel_Y;RMSAccel_Z;TotalEnergy;SignalMagnitude_X;SignalMagnitude_Y;SignalMagnitude_Z;Cov_XY;Cov_XZ;Cov_YZ;EntropyTime_X;EntropyTime_Y;EntropyTime_Z;Max_X;Max_Y;Max_Z;Min_X;Min_Y;Min_Z;MaxFFT_X;MaxFFT_Y;MaxFFT_Z
0.272158;0.260300;0.193543;0.037459;0.333959;0.136513;0.602912;0.753355;0.219285;5.965049;12.924272;0.107880;1.019600;-0.252717;-0.236940;0.212435;0.045129;0.330143;0.164841;-0.343112;1.226841;0.311628;6.959223;18.392233;0.143553;1.332270;0.788305;0.804020;0.281673;0.079340;0.837117;0.139204;-0.216570;-0.629260;0.404715;0.000000;7.953398;0.201480;1.221710;0.007971;-0.582752;-0.394443;28.032235;0.168675;2.068665;3.827981;9.558314;0.000000;6.033075;37.763499;1.107546;26.029810;0.067746;2.174086;3.592595;8.902293;0.000000;5.640213;34.449840;1.389238;81.195460;0.161970;3.256781;11.147626;68.092828;0.000000;6.591607;42.979222;0.340826;0.929946;0.056489;1.341223;0.105090;0.042823;-0.513834;0.763807;0.298511;-0.310231;0.000000;91.983534;28.851145;171.442379;0.912440;0.301370;1.349200;-0.107160;-1.030900;0.127490;0.333959;0.330143;0.837117;86.553434;0.333959;0.330143;0.837117;0.000331;-0.032081;-0.023834;3.018233;2.800920;3.168484;0.912440;0.301370;1.349200;-0.107160;-1.030900;0.127490;28.032235;26.029810;81.195460
0.390380;0.306920;0.315852;0.099762;0.502154;0.145675;0.653819;-0.638003;0.421065;6.023529;7.529412;0.168575;1.159660;-0.284448;-0.311485;0.253354;0.064188;0.380918;0.171661;0.074860;0.511943;0.317055;5.019608;16.062745;0.154830;1.417090;0.674401;0.692775;0.359923;0.129545;0.764436;0.147191;-0.118659;-0.865456;0.583952;2.007843;8.533333;0.294900;1.405661;0.017699;-0.602475;-0.398170;39.818747;0.251864;2.663305;5.787435;20.691714;0.000000;5.391054;30.405705;1.035034;29.013722;0.176540;2.425467;4.089874;11.526646;0.000000;5.331817;31.468528;1.430625;68.788931;0.360520;3.528873;9.569525;53.034265;0.000000;6.156052;38.692565;0.644170;0.952717;0.073949;1.400596;0.193487;0.073790;-0.513931;0.873777;0.346073;-0.399139;0.501961;96.353841;28.417542;167.226303;1.052500;0.386190;1.349200;-0.107160;-1.030900;-0.056461;0.502154;0.380918;0.764436;85.252625;0.502154;0.380918;0.764436;0.001430;-0.069169;-0.036668;3.128284;2.885650;3.236397;1.052500;0.386190;1.349200;-0.107160;-1.030900;-0.056461;39.818747;29.013722;68.788931
0.417239;0.338910;0.313181;0.098083;0.521700;0.147025;0.503888;-0.867505;0.514020;2.509804;5.521569;0.208965;1.158350;-0.346122;-0.351450;0.308855;0.095392;0.463888;0.161143;0.000688;-0.269460;0.401638;4.015686;10.541176;0.202005;1.571290;0.499498;0.463065;0.321482;0.103350;0.594011;0.149688;-0.072728;-0.943114;0.542915;3.011765;6.023529;0.271920;1.337340;0.284964;-0.406377;-0.708919;42.558406;0.319194;2.773933;6.079951;22.768103;0.000000;5.549173;32.541617;1.002575;35.304409;0.179717;2.731937;5.104649;17.089098;0.000000;5.222622;29.436432;1.281957;50.948806;0.325726;3.026524;7.151646;30.744180;0.000000;5.852642;35.873840;0.863281;0.865348;0.091384;1.323724;0.196458;0.075373;-0.382220;0.578945;0.525081;-0.605971;0.501961;81.041121;23.533794;138.487324;1.052500;0.386190;1.134000;-0.105850;-1.185100;-0.203340;0.521700;0.463888;0.594011;70.601381;0.521700;0.463888;0.594011;0.027837;-0.041320;-0.071086;3.139920;3.041560;3.105112;1.052500;0.386190;1.134000;-0.105850;-1.185100;-0.203340;42.558406;35.304409;50.948806
0.372728;0.323740;0.255913;0.065491;0.452126;0.138164;0.279768;-0.924962;0.398520;3.976699;5.467961;0.199220;1.026018;-0.357498;-0.343680;0.291948;0.085234;0.461561;0.170162;-0.061574;-0.049904;0.371800;3.976699;12.427184;0.182130;1.544830;0.581431;0.595200;0.287734;0.082791;0.648732;0.133951;-0.384795;-0.403851;0.407465;0.994175;9.444660;0.214170;1.337340;0.250989;-0.135780;-0.696798;38.391028;0.080474;2.363371;5.425762;17.682231;0.000000;5.754310;34.614543;0.904850;36.822299;0.264462;2.757190;5.212217;17.553434;0.000000;5.484099;32.324514;1.215242;59.887425;0.390937;3.050369;8.252995;39.084148;0.000000;6.314590;40.306954;0.595244;0.867492;0.085767;1.358518;0.149086;0.061966;-0.219286;0.723471;0.322760;-0.551273;0.000000;81.928871;24.773271;147.210399;0.928680;0.359730;1.134000;-0.097338;-1.185100;-0.203340;0.452126;0.461561;0.648732;74.319813;0.452126;0.461561;0.648732;0.018936;-0.010096;-0.059107;3.185697;2.920443;3.076412;0.928680;0.359730;1.134000;-0.097338;-1.185100;-0.203340;38.391028;36.822299;59.887425
0.281662;0.335840;0.393286;0.154674;0.483743;0.156053;-1.097891;1.314983;0.413530;2.982524;11.930097;0.213160;1.921040;-0.258252;-0.264530;0.306803;0.094128;0.401027;0.179617;0.293173;0.792634;0.338601;6.462136;11.433010;0.169780;1.727970;0.493412;0.569030;0.412583;0.170225;0.643180;0.134217;-1.025452;0.882970;0.425985;0.994175;6.959223;0.214570;1.932660;-0.107276;-0.090793;-0.653518;29.011225;0.189724;2.809421;4.906217;16.137072;0.000000;3.936414;15.993284;1.629923;26.600002;0.154694;2.829424;3.899137;11.717117;0.000000;4.517827;23.976421;1.895533;50.821471;0.140959;3.249261;7.515087;33.842526;0.000000;5.106018;28.308319;1.082296;0.848295;0.088907;1.335434;0.225862;0.158828;-0.226362;0.640950;0.359417;-0.482193;0.000000;78.697896;20.565572;122.206954;0.928680;0.698870;1.261300;-0.992360;-1.029100;-0.671360;0.483743;0.401027;0.643180;61.696715;0.483743;0.401027;0.643180;-0.013071;-0.014877;-0.083535;2.939053;2.877138;3.019498;0.928680;0.698870;1.261300;-0.992360;-1.029100;-0.671360;29.011225;26.600002;50.821471
0.312243;0.436480;0.367534;0.135081;0.482262;0.140742;-1.820540;2.839679;0.283700;1.003922;9.537255;0.114710;1.756950;-0.284183;-0.333415;0.305321;0.093221;0.417110;0.166017;0.439743;0.840806;0.330047;5.019608;12.047059;0.152140;1.727970;0.583439;0.689640;0.457024;0.208871;0.741129;0.142094;-1.070930;0.594423;0.544847;1.003922;7.529412;0.228385;1.967160;-0.133015;0.010378;-0.686771;31.848759;0.157621;2.791018;5.025807;16.848263;0.000000;4.311803;20.186642;1.523860;28.986657;0.039362;2.768456;4.221655;12.993228;0.000000;4.746903;25.894025;1.692979;59.510811;0.206156;3.581912;8.728187;45.378333;0.000000;5.263827;29.813401;0.993768;0.928388;0.093926;1.476153;0.266195;0.137332;-0.109363;0.604692;0.227280;-0.453260;0.501961;92.706949;25.073275;147.546578;0.764590;0.698870;1.295800;-0.992360;-1.029100;-0.671360;0.482262;0.417110;0.741129;75.219824;0.482262;0.417110;0.741129;-0.015074;0.001760;-0.096780;2.721149;2.890591;3.063879;0.764590;0.698870;1.295800;-0.992360;-1.029100;-0.671360;31.848759;28.986657;59.510811
0.468874;0.470775;0.162122;0.026284;0.496111;0.123991;-0.470291;1.519883;0.205063;1.003922;16.062745;0.102250;1.033790;-0.305712;-0.325720;0.227984;0.051977;0.381362;0.158312;0.153562;-0.534490;0.312172;3.513725;11.545098;0.166055;1.049020;0.696563;0.719925;0.234592;0.055034;0.735006;0.133663;-0.026394;-0.572465;0.336665;0.000000;10.541176;0.173415;1.060620;0.079090;-0.189210;-0.626048;47.825141;0.174338;2.244793;6.448461;23.767948;0.000000;6.785054;45.006945;0.398626;31.182665;0.120636;2.422632;4.246308;12.184453;0.000000;5.992295;37.535302;1.207688;71.049470;0.032037;3.048633;9.659055;52.301551;0.000000;6.706199;44.244617;0.358426;0.939632;0.048889;1.495236;0.088742;0.026910;-0.160091;0.803372;0.485638;-0.413574;1.003922;92.550078;29.417984;173.113520;0.852920;0.268250;1.295800;-0.180870;-0.780770;0.235180;0.496111;0.381362;0.735006;88.253951;0.496111;0.381362;0.735006;0.002952;-0.007267;-0.033815;2.764499;3.132973;3.107305;0.852920;0.268250;1.295800;-0.180870;-0.780770;0.235180;47.825141;31.182665;71.049470
0.604517;0.618215;0.254756;0.064901;0.656004;0.138095;-0.105656;-0.162472;0.377145;1.003922;8.533333;0.173650;1.353370;-0.286114;-0.265470;0.199645;0.039858;0.348883;0.159538;-0.166923;-0.744004;0.308968;5.019608;14.556863;0.155830;0.919700;0.684914;0.709580;0.181049;0.032779;0.708439;0.132434;-0.361935;-0.555228;0.272090;0.000000;12.549020;0.137420;0.828120;0.011991;0.006527;-0.442041;61.660721;0.284822;2.865166;8.450957;40.594586;0.000000;6.501476;42.097298;0.465510;29.183628;0.038684;2.207919;3.936587;10.385534;0.000000;6.174927;39.422548;1.142461;69.861260;0.390672;2.815685;9.445326;49.523510;0.000000;6.872736;45.822622;0.254637;1.002181;0.049580;1.586993;0.065559;0.053198;0.008308;0.731651;0.500807;-0.395703;0.000000;104.987756;33.501210;197.141734;1.172500;0.163110;1.063300;-0.180870;-0.756590;0.235180;0.656004;0.348883;0.708439;100.503629;0.656004;0.348883;0.708439;0.000616;0.000304;-0.016136;2.988711;3.135450;3.155485;1.172500;0.163110;1.063300;-0.180870;-0.756590;0.235180;61.660721;29.183628;69.861260
0.578184;0.612260;0.281194;0.079070;0.642937;0.130793;-0.100666;-0.833181;0.454315;0.000000;7.456311;0.183360;1.168420;-0.363334;-0.337720;0.222873;0.049672;0.426244;0.172136;-1.763340;7.459393;0.282425;1.988350;15.906796;0.141290;1.641048;0.701422;0.701700;0.169406;0.028698;0.721590;0.146649;-0.256669;-0.319076;0.244795;0.000000;19.883495;0.123580;0.802720;0.175132;0.049403;-0.293416;59.552978;0.095416;2.819768;8.265462;38.504716;0.000000;6.298953;39.836850;0.522810;37.423384;0.247754;2.665797;4.989335;16.155310;0.000000;6.486901;42.301698;0.984781;72.246490;0.071961;2.709686;9.795978;52.153260;0.000000;6.873694;45.828885;0.213623;1.029803;0.055248;1.644032;0.083559;0.052062;-0.038784;0.821729;0.692556;-0.477940;0.000000;112.076250;35.604429;211.572471;1.172500;0.042648;1.063300;0.004080;-1.598400;0.260580;0.642937;0.426244;0.721590;106.813286;0.642937;0.426244;0.721590;0.011083;0.002376;-0.011187;3.139939;2.581147;3.112584;1.172500;0.042648;1.063300;0.004080;-1.598400;0.260580;59.552978;37.423384;72.246490
0.410645;0.411770;0.184946;0.034205;0.450371;0.122313;0.166909;-0.498218;0.272140;0.000000;13.421359;0.136530;0.882210;-0.369018;-0.329500;0.237658;0.056481;0.438926;0.173625;-1.276232;5.678502;0.253505;0.497087;15.906796;0.138230;1.759640;0.702845;0.707650;0.172470;0.029746;0.723697;0.159061;-0.485460;-0.304101;0.234765;0.000000;22.866019;0.119610;0.744620;-0.026183;-0.033342;-0.348825;42.296428;0.220539;2.310680;5.705577;19.130374;0.000000;6.614743;43.396133;0.595566;38.008887;0.131019;2.676777;5.136022;16.934762;0.000000;6.265294;40.100920;1.004531;72.393030;0.219388;2.828916;9.788528;52.412992;0.000000;6.897699;46.054597;0.225935;0.934677;0.045606;1.492309;0.063316;0.034718;0.000894;0.811464;0.412924;-0.483475;1.491262;92.331670;29.492709;175.254753;0.886290;0.161240;1.005200;0.004080;-1.598400;0.260580;0.450371;0.438926;0.723697;88.478128;0.450371;0.438926;0.723697;-0.001162;-0.001074;-0.014438;3.093998;2.617183;3.151805;0.886290;0.161240;1.005200;0.004080;-1.598400;0.260580;42.296428;38.008887;72.393030
