Feature;Score
Mean_X;0.024089
Median_X;0.019134
Std_X;2.390506
Variance_X;0.742287
RMS_X;2.382947
AvgDerivative_X;2.856146
Skewness_X;0.019175
Kurtosis_X;0.009049
IQR_X;1.542627
ZeroCross_X;0.333380
MeanCross_X;2.516635
MedianAbsDev_X;1.885735
Range_X;2.801041
Mean_Y;0.023232
Median_Y;0.151755
Std_Y;3.575267
Variance_Y;1.142447
RMS_Y;2.950866
AvgDerivative_Y;3.295842
Skewness_Y;0.025466
Kurtosis_Y;0.022065
IQR_Y;1.851747
ZeroCross_Y;0.221558
MeanCross_Y;2.465628
MedianAbsDev_Y;2.169860
Range_Y;3.765640
Mean_Z;0.035794
Median_Z;1.119331
Std_Z;4.186887
Variance_Z;1.560740
RMS_Z;4.192599
AvgDerivative_Z;2.777011
Skewness_Z;0.503414
Kurtosis_Z;0.011113
IQR_Z;1.109078
ZeroCross_Z;0.707169
MeanCross_Z;4.189846
MedianAbsDev_Z;1.605996
Range_Z;4.660802
Correlation_XY;0.099024
Correlation_XZ;0.049300
Correlation_YZ;0.322693
FFT_Max_X;1.955731
FFT_Min_X;0.487818
MeanFFT_X;2.875795
StdFFT_X;2.045887
FFT_Energy_X;0.722487
FFT_DominantFreq_X;0.413401
SkewnessFFT_X;2.355900
KurtosisFFT_X;2.761910
SpectralEntropy_X;1.365304
FFT_Max_Y;1.521937
FFT_Min_Y;0.550689
MeanFFT_Y;3.728614
StdFFT_Y;1.972368
FFT_Energy_Y;0.821110
FFT_DominantFreq_Y;0.090082
SkewnessFFT_Y;1.461226
KurtosisFFT_Y;1.771488
SpectralEntropy_Y;0.858409
FFT_Max_Z;3.217195
FFT_Min_Z;0.520015
MeanFFT_Z;3.786848
StdFFT_Z;4.115801
FFT_Energy_Z;1.583625
FFT_DominantFreq_Z;1.770466
SkewnessFFT_Z;3.866878
KurtosisFFT_Z;4.484750
SpectralEntropy_Z;2.935524
AI;5.978952
VI;2.163930
SMA;5.894827
EVA1;2.495637
EVA2;1.043485
CAGH;0.057530
AVH;0.987349
AVG;0.019941
ARATG;0.088558
DF;0.792658
ENERGY;2.500607
AAE;2.341092
ARE;2.340035
MaxAccel_X;2.207969
MaxAccel_Y;1.485255
MaxAccel_Z;3.684633
MinAccel_X;1.339406
MinAccel_Y;1.167548
MinAccel_Z;4.080373
RMSAccel_X;2.382947
RMSAccel_Y;2.950866
RMSAccel_Z;4.192599
TotalEnergy;2.341092
SignalMagnitude_X;2.382947
SignalMagnitude_Y;2.950866
SignalMagnitude_Z;4.192599
Cov_XY;0.129146
Cov_XZ;0.047868
Cov_YZ;0.230959
EntropyTime_X;0.038511
EntropyTime_Y;0.096183
EntropyTime_Z;0.175612
Max_X;2.207969
Max_Y;1.485255
Max_Z;3.684633
Min_X;1.339406
Min_Y;1.167548
Min_Z;4.080373
MaxFFT_X;1.955731
MaxFFT_Y;1.521937
MaxFFT_Z;3.217195
