Feature;Score
Mean_X;39.813278
Median_X;25.631529
Std_X;7.433668
Variance_X;85561.614767
RMS_X;6.397571
AvgDerivative_X;1.461119
Skewness_X;0.115227
Kurtosis_X;0.106211
IQR_X;48.099687
ZeroCross_X;0.720261
MeanCross_X;-0.312821
MedianAbsDev_X;8.567338
Range_X;363.268439
Mean_Y;267.972153
Median_Y;79.363060
Std_Y;10.490108
Variance_Y;353118.757976
RMS_Y;4.144165
AvgDerivative_Y;6.092680
Skewness_Y;0.265871
Kurtosis_Y;2.070466
IQR_Y;48.365223
ZeroCross_Y;1.286541
MeanCross_Y;0.362392
MedianAbsDev_Y;14.071386
Range_Y;768.457145
Mean_Z;34.538834
Median_Z;117.009732
Std_Z;6.571284
Variance_Z;255580.174261
RMS_Z;5.821533
AvgDerivative_Z;3.094753
Skewness_Z;0.221821
Kurtosis_Z;1.248953
IQR_Z;253.669765
ZeroCross_Z;0.928972
MeanCross_Z;0.933464
MedianAbsDev_Z;46.481888
Range_Z;743.435745
Correlation_XY;0.040293
Correlation_XZ;0.070024
Correlation_YZ;0.040321
FFT_Max_X;25535.818314
FFT_Min_X;30.146342
MeanFFT_X;493.234379
StdFFT_X;589.952827
FFT_Energy_X;185223039.987235
FFT_DominantFreq_X;0.059965
SkewnessFFT_X;0.149166
KurtosisFFT_X;9.186370
SpectralEntropy_X;0.056151
FFT_Max_Y;52081.425598
FFT_Min_Y;87.454891
MeanFFT_Y;1191.832421
StdFFT_Y;724.854756
FFT_Energy_Y;118091796.256468
FFT_DominantFreq_Y;0.128256
SkewnessFFT_Y;0.085050
KurtosisFFT_Y;3.202388
SpectralEntropy_Y;0.040749
FFT_Max_Z;49661.091813
FFT_Min_Z;68.858298
MeanFFT_Z;658.344165
StdFFT_Z;270.708637
FFT_Energy_Z;120176936.065912
FFT_DominantFreq_Z;0.038719
SkewnessFFT_Z;0.087944
KurtosisFFT_Z;5.712964
SpectralEntropy_Z;0.026433
AI;6.267108
VI;347247.191765
SMA;18.641809
EVA1;1003769.885470
EVA2;534294.097236
CAGH;0.036800
AVH;36.418078
AVG;40.917638
ARATG;0.530518
DF;-0.017338
ENERGY;139765196.985252
AAE;1682167.059270
ARE;55431427.775781
MaxAccel_X;136.004994
MaxAccel_Y;1473.244115
MaxAccel_Z;713.202469
MinAccel_X;312.583431
MinAccel_Y;1150.446112
MinAccel_Z;178.585368
RMSAccel_X;6.397571
RMSAccel_Y;4.144165
RMSAccel_Z;5.821533
TotalEnergy;15139503.533720
SignalMagnitude_X;6.397571
SignalMagnitude_Y;4.144165
SignalMagnitude_Z;5.821533
Cov_XY;579473.566264
Cov_XZ;2382626.458164
Cov_YZ;1631847.956127
EntropyTime_X;0.010354
EntropyTime_Y;0.011376
EntropyTime_Z;0.013443
Max_X;136.004994
Max_Y;1473.244115
Max_Z;713.202469
Min_X;312.583431
Min_Y;1150.446112
Min_Z;178.585368
MaxFFT_X;25535.818314
MaxFFT_Y;52081.425598
MaxFFT_Z;49661.091813
