Mean_X;Median_X;Std_X;Variance_X;RMS_X;AvgDerivative_X;Skewness_X;Kurtosis_X;IQR_X;ZeroCross_X;MeanCross_X;MedianAbsDev_X;Range_X;Mean_Y;Median_Y;Std_Y;Variance_Y;RMS_Y;AvgDerivative_Y;Skewness_Y;Kurtosis_Y;IQR_Y;ZeroCross_Y;MeanCross_Y;MedianAbsDev_Y;Range_Y;Mean_Z;Median_Z;Std_Z;Variance_Z;RMS_Z;AvgDerivative_Z;Skewness_Z;Kurtosis_Z;IQR_Z;ZeroCross_Z;MeanCross_Z;MedianAbsDev_Z;Range_Z;Correlation_XY;Correlation_XZ;Correlation_YZ;FFT_Max_X;FFT_Min_X;MeanFFT_X;StdFFT_X;FFT_Energy_X;FFT_DominantFreq_X;SkewnessFFT_X;KurtosisFFT_X;SpectralEntropy_X;FFT_Max_Y;FFT_Min_Y;MeanFFT_Y;StdFFT_Y;FFT_Energy_Y;FFT_DominantFreq_Y;SkewnessFFT_Y;KurtosisFFT_Y;SpectralEntropy_Y;FFT_Max_Z;FFT_Min_Z;MeanFFT_Z;StdFFT_Z;FFT_Energy_Z;FFT_DominantFreq_Z;SkewnessFFT_Z;KurtosisFFT_Z;SpectralEntropy_Z;AI;VI;SMA;EVA1;EVA2;CAGH;AVH;AVG;ARATG;DF;ENERGY;AAE;ARE;MaxAccel_X;MaxAccel_Y;MaxAccel_Z;MinAccel_X;MinAccel_Y;MinAccel_Z;RMSAccel_X;RMSAccel_Y;RMSAccel_Z;TotalEnergy;SignalMagnitude_X;SignalMagnitude_Y;SignalMagnitude_Z;Cov_XY;Cov_XZ;Cov_YZ;EntropyTime_X;EntropyTime_Y;EntropyTime_Z;Max_X;Max_Y;Max_Z;Min_X;Min_Y;Min_Z;MaxFFT_X;MaxFFT_Y;MaxFFT_Z
23.228433;14.962000;26.038793;678.018742;34.893822;2.343706;0.410845;-1.401874;48.991750;2.485437;1.491262;17.281300;79.270500;17.305369;6.178200;29.070124;845.072085;33.831167;5.424872;1.317233;1.618890;32.972835;6.462136;4.473786;11.071300;138.032000;12.215870;4.274500;18.569177;344.814316;22.227051;2.153654;1.522543;0.794746;11.681705;7.456311;2.485437;4.015990;65.680700;0.508179;0.333816;0.736715;2392.528584;3.802468;126.602002;404.001237;90492.654788;0.000000;4.757946;21.715825;0.861782;1782.453017;1.669976;171.628940;343.289684;74367.219738;0.000000;3.218515;10.119068;1.694856;1258.234587;14.720310;123.280784;224.547319;33128.367134;0.000000;3.619301;13.099060;1.652708;39.537917;1292.921630;58.938438;1342.512961;422.707879;0.460130;7.627393;11.760006;0.956121;0.000000;227599.892601;65996.080553;392169.017133;72.536000;110.360000;59.703000;-6.734500;-27.672000;-5.977700;34.893822;33.831167;22.227051;197988.241660;34.893822;33.831167;22.227051;388.437968;162.988661;401.583783;2.713950;2.759238;2.484582;72.536000;110.360000;59.703000;-6.734500;-27.672000;-5.977700;2392.528584;1782.453017;1258.234587
26.323019;32.503500;29.844066;890.668282;39.794090;3.582263;-0.669969;-0.378926;38.426575;2.007843;3.011765;17.184000;111.722000;16.484070;14.368500;32.086990;1029.574915;36.073529;6.502034;0.749982;0.776496;37.984525;3.513725;5.019608;19.207150;155.331000;14.460697;8.934500;27.049964;731.700561;30.672664;3.180844;-0.136239;-0.746080;36.092335;3.513725;2.007843;20.847000;101.973000;0.161256;0.511528;0.190361;2684.947978;1.286911;148.295965;453.592050;116101.440687;0.000000;4.433596;19.716085;1.034786;1681.375177;5.638616;168.492661;359.139263;80228.244521;0.000000;3.318717;10.039423;1.589371;1582.666436;1.881729;112.923652;319.820186;58646.162031;1.003922;3.709606;12.813818;1.276459;56.405974;644.047536;86.658497;1390.525402;894.618710;0.127998;29.441277;35.602651;0.850692;0.000000;357373.097302;84991.949080;500144.931123;72.536000;110.360000;59.800000;-39.186000;-44.971000;-42.173000;39.794090;36.073529;30.672664;254975.847239;39.794090;36.073529;30.672664;155.948335;417.035412;166.860351;3.173746;3.068742;3.161099;72.536000;110.360000;59.800000;-39.186000;-44.971000;-42.173000;2684.947978;1681.375177;1582.666436
-0.715619;-3.532350;20.034274;401.372116;20.047050;2.521847;0.434272;-0.083826;21.446550;3.011765;3.011765;9.492150;85.659000;2.538242;5.657750;16.093480;259.000110;16.292415;3.370458;-0.849902;0.528740;19.259975;3.513725;3.513725;9.814600;77.746000;0.424180;-5.909200;22.552075;508.596079;22.556064;2.691603;0.581544;-0.134464;24.900750;2.007843;2.007843;10.075600;101.973000;-0.808396;0.859708;-0.701730;1044.560389;5.168790;77.577215;185.032816;20522.344123;1.003922;3.861722;14.961986;1.356546;736.158893;11.104110;86.945124;140.157308;13868.464007;1.003922;2.995527;9.263764;1.980194;1234.731427;16.423750;99.564188;202.496260;25958.075066;1.003922;4.480807;20.223711;1.308621;28.922480;339.593177;46.778071;1030.664493;103.950753;0.333012;3.378718;0.477357;1.405211;0.000000;102647.879227;20116.294399;118376.655500;46.473000;32.775000;59.800000;-39.186000;-44.971000;-42.173000;20.047050;16.292415;22.556064;60348.883196;20.047050;16.292415;22.556064;-263.224572;392.274466;-257.208616;3.048535;2.936720;3.012282;46.473000;32.775000;59.800000;-39.186000;-44.971000;-42.173000;1044.560389;736.158893;1234.731427
-2.199325;-2.582950;8.266528;68.335490;8.554094;1.061126;0.737169;0.330104;9.902975;1.505882;6.023529;4.810000;34.584000;-1.240733;1.681450;17.227440;296.784676;17.272061;2.195054;-1.518641;2.240061;15.821825;2.007843;2.007843;7.849800;76.095000;-2.652539;-1.717300;7.296545;53.239565;7.763732;0.994715;-0.091317;-1.022259;11.554850;4.015686;3.011765;4.974150;26.673000;-0.865685;0.665704;-0.309964;437.176626;0.325075;36.714715;80.351260;3978.660332;0.501961;3.423118;11.944341;1.572697;1016.489996;0.408590;68.114567;159.242872;15293.040094;0.501961;4.394893;21.888619;1.306377;373.245562;1.177108;32.156654;75.496365;3432.892899;1.003922;3.317597;10.064879;1.509478;16.480420;160.167901;25.251593;362.977261;55.754367;0.470079;5.198884;-3.893118;-2.704074;0.501961;35873.207329;7568.197775;44535.933061;19.665000;19.984000;11.106000;-14.919000;-56.111000;-15.567000;8.554094;17.272061;7.763732;22704.593325;8.554094;17.272061;7.763732;-124.503844;40.550896;-39.348495;2.991607;2.852255;3.185999;19.665000;19.984000;11.106000;-14.919000;-56.111000;-15.567000;437.176626;1016.489996;373.245562
0.531883;-1.345400;5.679320;32.254681;5.704172;0.747772;2.065870;3.572821;2.106166;2.485437;0.497087;1.014880;25.548500;-4.729848;-0.183690;14.508105;210.485123;15.259639;1.956616;-2.193185;4.340070;6.145750;5.467961;0.994175;3.085490;68.743000;0.406529;0.256480;3.047705;9.288505;3.074699;0.597381;1.051873;1.772365;2.858000;5.965049;4.970874;1.414380;14.829800;-0.928051;0.108784;0.097682;236.538324;0.626735;24.687799;52.330843;1690.254729;0.994175;2.956925;7.669270;1.713254;604.769071;1.116392;70.029204;145.367206;13144.243932;0.994175;2.634066;5.862820;1.855607;127.273215;1.755099;16.551752;26.594620;495.380417;0.994175;2.662337;6.461088;2.046237;9.746135;179.860783;13.873947;241.187735;10.900242;0.915082;10.081726;2.235129;-1.485057;0.000000;19046.506636;5109.959693;30364.952788;19.665000;12.632000;9.742200;-5.883500;-56.111000;-5.087600;5.704172;15.259639;3.074699;15329.879078;5.704172;15.259639;3.074699;-77.217505;1.901387;4.361492;2.472299;2.532031;2.835273;19.665000;12.632000;9.742200;-5.883500;-56.111000;-5.087600;236.538324;604.769071;127.273215
-2.237127;-1.733800;2.474686;6.124072;3.335987;0.613958;0.191912;0.519678;3.416400;2.982524;4.473786;1.207680;12.749200;2.069591;0.996770;4.330014;18.749020;4.799190;1.429151;1.094458;0.833271;4.083405;7.953398;6.462136;1.935160;20.961200;0.695455;0.388870;2.681829;7.192207;2.770535;0.533262;0.571310;-0.092588;3.565400;3.479612;3.479612;1.830570;11.820000;-0.567691;0.219897;0.301853;230.424037;0.796514;17.983583;36.364368;830.877467;0.000000;4.144351;19.999696;1.504675;213.167855;1.179488;29.645003;43.676202;1406.744784;0.000000;2.273617;5.240802;2.294653;152.923971;0.321964;12.901151;25.805233;420.215392;0.994175;3.811192;15.778774;1.557925;5.212038;14.671561;8.003882;21.933492;8.278360;-0.388930;2.141078;-1.587009;1.246616;0.000000;3553.615184;885.945881;5264.563024;5.787900;13.912000;7.806200;-6.961300;-7.049200;-4.013800;3.335987;4.799190;2.770535;2657.837643;3.335987;4.799190;2.770535;-6.142690;1.473696;3.539586;2.849160;2.883497;3.141410;5.787900;13.912000;7.806200;-6.961300;-7.049200;-4.013800;230.424037;213.167855;152.923971
-2.586705;-2.351200;2.816304;7.931571;3.823953;0.726165;0.554726;0.060004;4.164727;4.042105;5.389474;2.133200;12.749200;2.552597;1.745550;4.462817;19.916733;5.141253;1.584036;0.764895;0.270870;5.042990;8.084211;8.084211;2.282600;20.961200;1.730162;2.484500;3.014603;9.087830;3.475815;0.659962;-0.279154;-0.772147;4.536318;1.347368;2.694737;1.697950;11.820000;-0.523410;0.430617;0.397734;196.589600;0.223450;16.926898;35.941433;809.920410;0.000000;3.635083;14.101802;1.279341;193.997352;0.476094;27.740555;40.869608;1252.035086;0.000000;2.177454;5.108331;2.054673;131.492325;0.785876;14.597043;30.053934;572.844643;0.000000;2.989675;7.804631;1.431990;6.403315;12.133949;9.910688;24.036751;12.371464;-0.255828;2.641700;-2.072909;0.975122;1.347368;3577.275573;878.266713;5134.482321;5.787900;13.912000;7.806200;-6.961300;-7.049200;-4.013800;3.823953;5.141253;3.475815;2634.800138;3.823953;5.141253;3.475815;-6.666270;3.704701;5.422302;2.997748;2.897495;3.145495;5.787900;13.912000;7.806200;-6.961300;-7.049200;-4.013800;196.589600;193.997352;131.492325
39.970830;26.639000;43.497117;1891.999165;59.073399;3.267815;0.265507;-1.509639;80.295541;3.976699;0.994175;35.838000;128.469000;24.431462;9.648100;53.786916;2893.032383;59.075619;8.564945;1.740880;2.947540;42.981450;5.467961;2.982524;24.019100;250.585000;15.692772;19.194000;33.182182;1101.057205;36.705862;3.810404;-0.008491;-1.340685;63.912500;0.497087;2.485437;32.262000;110.973000;-0.564022;0.779807;-0.343472;4116.995492;2.212005;192.386975;694.222013;261997.684004;0.000000;4.830185;22.306218;0.790745;2516.440610;3.727594;285.297971;579.224069;210471.491431;0.000000;2.780185;6.737252;1.810079;2348.129107;6.697881;134.460399;380.106865;82069.544159;0.497087;4.924016;23.568905;0.880593;81.581847;1671.317661;112.936650;4276.928202;1399.416825;-0.288843;32.112693;60.206203;0.999840;0.000000;771599.430829;184846.239865;1098413.233043;112.410000;207.530000;73.158000;-16.059000;-43.055000;-37.815000;59.073399;59.075619;36.705862;554538.719594;59.073399;59.075619;36.705862;-1332.508589;1136.552454;-619.027673;3.130122;2.746512;3.193903;112.410000;207.530000;73.158000;-16.059000;-43.055000;-37.815000;4116.995492;2516.440610;2348.129107
0.922376;-0.640900;9.111072;83.011631;9.157642;1.987724;0.435881;-0.281535;11.698100;6.462136;4.473786;4.954600;42.698000;26.069941;8.647900;52.808912;2788.781224;58.893319;7.968065;1.789922;3.123561;42.893300;3.479612;3.976699;21.756900;247.135000;-4.440631;-8.177700;19.638416;385.667382;20.134214;3.731339;0.681697;0.092807;25.061750;2.485437;2.485437;13.399800;91.667000;-0.202667;0.188068;0.018455;530.134155;13.772341;53.955057;75.699480;4362.729029;0.994175;4.930215;27.434313;1.772875;2685.203900;4.716312;270.794751;591.449662;213625.339696;0.000000;2.823628;7.262035;1.766748;1048.538772;6.483076;109.607918;177.062086;21892.948128;0.497087;3.403807;13.465605;1.904835;45.135610;1920.448727;60.092481;2819.801015;393.151765;-0.257926;48.183604;0.294580;1.739512;0.000000;308737.109660;79960.338951;475148.937229;26.639000;207.530000;53.852000;-16.059000;-39.605000;-37.815000;9.157642;58.893319;20.134214;239881.016854;9.157642;58.893319;20.134214;-98.468591;33.980357;19.327061;3.016502;2.767900;2.997474;26.639000;207.530000;53.852000;-16.059000;-39.605000;-37.815000;530.134155;2685.203900;1048.538772
0.106921;-0.876295;6.143102;37.737705;6.144033;1.222239;0.869015;0.073299;7.202125;4.517647;3.513725;3.899755;26.426800;-1.681583;-2.113750;15.962607;254.804814;16.050936;4.558557;0.038304;-0.084765;17.237175;5.521569;7.529412;8.707250;72.648000;-0.477514;-2.222600;12.352759;152.590647;12.361985;2.611138;0.714180;1.031968;13.982275;4.015686;4.015686;7.296350;61.868000;0.077169;0.125696;-0.564992;259.948708;9.970414;36.519988;49.451480;1926.629763;2.509804;2.817816;7.769348;2.193490;673.752999;1.858177;76.014345;142.400498;13283.493032;2.509804;2.769018;7.115656;1.894861;586.004743;0.662839;52.149800;112.216677;7806.211507;1.003922;3.055573;9.569679;1.726107;18.088823;120.994806;26.562534;329.502871;85.115345;0.000665;2.663147;0.779001;-1.847480;0.000000;39546.171772;7672.111434;45147.424976;17.255000;33.043000;36.993000;-9.171800;-39.605000;-24.875000;6.144033;16.050936;12.361985;23016.334302;6.144033;16.050936;12.361985;7.642131;9.632821;-112.509326;2.908882;3.133220;2.908192;17.255000;33.043000;36.993000;-9.171800;-39.605000;-24.875000;259.948708;673.752999;586.004743
