Feature;Score
Mean_X;0.017493
Median_X;0.012999
Std_X;1.289680
Variance_X;0.290505
RMS_X;1.292578
AvgDerivative_X;1.542067
Skewness_X;0.020471
Kurtosis_X;0.148379
IQR_X;1.182840
ZeroCross_X;0.415960
MeanCross_X;1.341673
MedianAbsDev_X;1.156887
Range_X;1.233875
Mean_Y;0.017389
Median_Y;0.019105
Std_Y;2.326469
Variance_Y;0.640477
RMS_Y;2.593205
AvgDerivative_Y;1.551105
Skewness_Y;0.011136
Kurtosis_Y;0.069508
IQR_Y;2.121185
ZeroCross_Y;1.737018
MeanCross_Y;1.645458
MedianAbsDev_Y;2.121294
Range_Y;1.947696
Mean_Z;0.011239
Median_Z;0.011111
Std_Z;2.205762
Variance_Z;0.660689
RMS_Z;2.290156
AvgDerivative_Z;2.452101
Skewness_Z;0.017370
Kurtosis_Z;0.092746
IQR_Z;1.648778
ZeroCross_Z;0.298320
MeanCross_Z;2.384961
MedianAbsDev_Z;1.602839
Range_Z;2.278938
Correlation_XY;0.144887
Correlation_XZ;0.457073
Correlation_YZ;0.321567
FFT_Max_X;1.064720
FFT_Min_X;0.265052
MeanFFT_X;1.352199
StdFFT_X;1.225918
FFT_Energy_X;0.309193
FFT_DominantFreq_X;0.656170
SkewnessFFT_X;1.372743
KurtosisFFT_X;1.544725
SpectralEntropy_X;1.084320
FFT_Max_Y;1.527825
FFT_Min_Y;0.351294
MeanFFT_Y;2.440831
StdFFT_Y;2.136635
FFT_Energy_Y;0.826830
FFT_DominantFreq_Y;0.200544
SkewnessFFT_Y;0.287148
KurtosisFFT_Y;0.176367
SpectralEntropy_Y;0.830422
FFT_Max_Z;1.774765
FFT_Min_Z;0.423728
MeanFFT_Z;2.294771
StdFFT_Z;2.242262
FFT_Energy_Z;0.671121
FFT_DominantFreq_Z;0.412266
SkewnessFFT_Z;0.775152
KurtosisFFT_Z;0.941718
SpectralEntropy_Z;0.425067
AI;3.341346
VI;0.605601
SMA;3.232934
EVA1;0.782082
EVA2;0.610655
CAGH;0.023499
AVH;0.805334
AVG;0.015928
ARATG;0.010337
DF;0.103978
ENERGY;1.086241
AAE;1.079002
ARE;1.078741
MaxAccel_X;0.952437
MaxAccel_Y;1.123530
MaxAccel_Z;1.749272
MinAccel_X;1.095531
MinAccel_Y;1.093424
MinAccel_Z;2.080606
RMSAccel_X;1.292578
RMSAccel_Y;2.593205
RMSAccel_Z;2.290156
TotalEnergy;1.079002
SignalMagnitude_X;1.292578
SignalMagnitude_Y;2.593205
SignalMagnitude_Z;2.290156
Cov_XY;0.118425
Cov_XZ;0.314881
Cov_YZ;0.219101
EntropyTime_X;0.212751
EntropyTime_Y;0.100262
EntropyTime_Z;0.192353
Max_X;0.952437
Max_Y;1.123530
Max_Z;1.749272
Min_X;1.095531
Min_Y;1.093424
Min_Z;2.080606
MaxFFT_X;1.064720
MaxFFT_Y;1.527825
MaxFFT_Z;1.774765
