Feature;Score
Mean_X;23.245651
Median_X;22.652278
Std_X;9.335865
Variance_X;131904.486281
RMS_X;8.877170
AvgDerivative_X;0.287448
Skewness_X;0.132032
Kurtosis_X;0.601110
IQR_X;23.431141
ZeroCross_X;0.277502
MeanCross_X;0.652962
MedianAbsDev_X;5.554455
Range_X;202.416522
Mean_Y;325.405133
Median_Y;327.446955
Std_Y;10.264657
Variance_Y;230341.578599
RMS_Y;4.627186
AvgDerivative_Y;1.984272
Skewness_Y;0.199173
Kurtosis_Y;1.756534
IQR_Y;55.472555
ZeroCross_Y;1.665545
MeanCross_Y;1.457713
MedianAbsDev_Y;13.778513
Range_Y;421.026124
Mean_Z;30.048285
Median_Z;64.719281
Std_Z;3.585457
Variance_Z;72200.125707
RMS_Z;3.219018
AvgDerivative_Z;0.327559
Skewness_Z;0.150115
Kurtosis_Z;1.075419
IQR_Z;69.705491
ZeroCross_Z;0.343652
MeanCross_Z;1.350888
MedianAbsDev_Z;15.819594
Range_Z;171.039232
Correlation_XY;0.078969
Correlation_XZ;0.052219
Correlation_YZ;0.042630
FFT_Max_X;29827.043464
FFT_Min_X;22.496632
MeanFFT_X;207.995645
StdFFT_X;722.495118
FFT_Energy_X;392358596.163196
FFT_DominantFreq_X;0.072603
SkewnessFFT_X;0.160735
KurtosisFFT_X;12.615164
SpectralEntropy_X;0.038044
FFT_Max_Y;41451.754923
FFT_Min_Y;100.427888
MeanFFT_Y;373.596977
StdFFT_Y;230.650228
FFT_Energy_Y;193923460.338979
FFT_DominantFreq_Y;0.145427
SkewnessFFT_Y;0.137591
KurtosisFFT_Y;6.369894
SpectralEntropy_Y;0.052848
FFT_Max_Z;40950.327487
FFT_Min_Z;79.387192
MeanFFT_Z;240.231130
StdFFT_Z;223.446313
FFT_Energy_Z;150334896.271653
FFT_DominantFreq_Z;0.052755
SkewnessFFT_Z;0.176390
KurtosisFFT_Z;15.105155
SpectralEntropy_Z;0.029963
AI;4.506804
VI;200344.074776
SMA;10.909706
EVA1;360532.613668
EVA2;214326.793801
CAGH;0.034555
AVH;29.106159
AVG;23.887533
ARATG;0.594057
DF;-0.165031
ENERGY;-178492096.491287
AAE;8845348.957114
ARE;303829936.694198
MaxAccel_X;124.432568
MaxAccel_Y;661.738046
MaxAccel_Z;174.804001
MinAccel_X;71.186948
MinAccel_Y;592.321265
MinAccel_Z;93.223580
RMSAccel_X;8.877170
RMSAccel_Y;4.627186
RMSAccel_Z;3.219018
TotalEnergy;79608140.614652
SignalMagnitude_X;8.877170
SignalMagnitude_Y;4.627186
SignalMagnitude_Z;3.219018
Cov_XY;371396.251936
Cov_XZ;122569.048202
Cov_YZ;484308.302200
EntropyTime_X;0.009986
EntropyTime_Y;0.017030
EntropyTime_Z;0.012232
Max_X;124.432568
Max_Y;661.738046
Max_Z;174.804001
Min_X;71.186948
Min_Y;592.321265
Min_Z;93.223580
MaxFFT_X;29827.043464
MaxFFT_Y;41451.754923
MaxFFT_Z;40950.327487
