Mean_X;Median_X;Std_X;Variance_X;RMS_X;AvgDerivative_X;Skewness_X;Kurtosis_X;IQR_X;ZeroCross_X;MeanCross_X;MedianAbsDev_X;Range_X;Mean_Y;Median_Y;Std_Y;Variance_Y;RMS_Y;AvgDerivative_Y;Skewness_Y;Kurtosis_Y;IQR_Y;ZeroCross_Y;MeanCross_Y;MedianAbsDev_Y;Range_Y;Mean_Z;Median_Z;Std_Z;Variance_Z;RMS_Z;AvgDerivative_Z;Skewness_Z;Kurtosis_Z;IQR_Z;ZeroCross_Z;MeanCross_Z;MedianAbsDev_Z;Range_Z;Correlation_XY;Correlation_XZ;Correlation_YZ;FFT_Max_X;FFT_Min_X;MeanFFT_X;StdFFT_X;FFT_Energy_X;FFT_DominantFreq_X;SkewnessFFT_X;KurtosisFFT_X;SpectralEntropy_X;FFT_Max_Y;FFT_Min_Y;MeanFFT_Y;StdFFT_Y;FFT_Energy_Y;FFT_DominantFreq_Y;SkewnessFFT_Y;KurtosisFFT_Y;SpectralEntropy_Y;FFT_Max_Z;FFT_Min_Z;MeanFFT_Z;StdFFT_Z;FFT_Energy_Z;FFT_DominantFreq_Z;SkewnessFFT_Z;KurtosisFFT_Z;SpectralEntropy_Z;AI;VI;SMA;EVA1;EVA2;CAGH;AVH;AVG;ARATG;DF;ENERGY;AAE;ARE;MaxAccel_X;MaxAccel_Y;MaxAccel_Z;MinAccel_X;MinAccel_Y;MinAccel_Z;RMSAccel_X;RMSAccel_Y;RMSAccel_Z;TotalEnergy;SignalMagnitude_X;SignalMagnitude_Y;SignalMagnitude_Z;Cov_XY;Cov_XZ;Cov_YZ;EntropyTime_X;EntropyTime_Y;EntropyTime_Z;Max_X;Max_Y;Max_Z;Min_X;Min_Y;Min_Z;MaxFFT_X;MaxFFT_Y;MaxFFT_Z
-39.268891;-46.376000;22.408281;502.131057;45.212574;5.019989;0.253981;-1.151676;38.133000;2.485437;0.994175;16.601000;88.308600;-1.825808;-1.690500;10.686916;114.210170;10.841759;4.574003;0.089314;0.764631;12.405950;11.433010;7.456311;6.203400;64.206000;9.188249;5.247100;16.199753;262.431998;18.624068;2.536016;-0.143760;-0.510260;21.083357;0.994175;1.988350;9.902900;71.612000;-0.015176;-0.585891;-0.302913;4044.695820;6.396246;171.903964;579.895015;184690.470542;0.000000;5.937054;35.750832;0.540708;477.073571;4.214496;72.741711;83.900489;6225.181859;0.497087;2.790720;9.376209;2.459175;946.389677;0.652472;88.341186;190.238078;22210.912176;0.000000;3.433927;11.309931;1.561489;44.491197;529.109966;62.520168;633.629527;176.051035;-0.707708;13.462280;-46.370001;-0.196156;0.000000;231134.222397;71042.188193;422154.541375;6.523600;32.613000;41.148000;-81.785000;-31.593000;-30.464000;45.212574;10.841759;18.624068;213126.564578;45.212574;10.841759;18.624068;-3.669958;-214.768529;-52.956055;3.059983;2.876078;3.022127;6.523600;32.613000;41.148000;-81.785000;-31.593000;-30.464000;4044.695820;477.073571;946.389677
-14.057994;-2.595000;20.678312;427.592577;25.004395;2.930527;-1.225139;0.092871;23.017312;5.521569;2.509804;5.204800;68.014600;0.907682;-0.792965;6.891955;47.499045;6.951470;3.311478;1.628180;4.159931;8.218375;10.541176;9.537255;3.934500;41.833600;0.121237;-0.494840;11.439092;130.852829;11.439735;1.662483;0.824452;2.959058;3.825050;3.513725;3.513725;2.056490;67.481000;-0.503086;-0.235733;-0.420108;1433.915400;13.858789;132.521871;254.478192;41967.668758;0.000000;3.766546;14.418057;1.568519;306.321405;2.510744;48.280444;50.861955;2507.184989;1.003922;3.038203;11.635392;2.550181;411.362820;4.560245;61.135570;96.738313;6676.320350;1.505882;2.548604;5.558200;2.089479;18.656929;456.329220;26.545311;452.747967;141.448480;-0.792068;2.797163;-24.029498;1.438014;0.000000;58783.958244;17050.391366;100334.995345;6.523600;32.613000;37.017000;-61.491000;-9.220600;-30.464000;25.004395;6.951470;11.439735;51151.174098;25.004395;6.951470;11.439735;-72.406722;-56.312675;-33.448240;2.625854;2.734822;2.169849;6.523600;32.613000;37.017000;-61.491000;-9.220600;-30.464000;1433.915400;306.321405;411.362820
-0.156764;-0.253465;1.604680;2.574996;1.612319;0.768233;0.210164;0.716862;1.346763;12.047059;11.043137;0.673325;8.423300;-0.730587;-0.464385;2.463653;6.069585;2.569697;1.251683;0.003511;0.833094;2.608732;10.039216;13.552941;1.125435;14.718900;-0.408563;-0.509465;1.104808;1.220601;1.177933;0.363954;0.662482;0.287846;1.241578;5.019608;5.019608;0.551669;5.079900;-0.216479;0.597835;-0.200175;56.046538;1.663498;12.544856;10.279707;134.101773;1.505882;2.155464;5.270977;2.975456;76.566580;1.251953;18.684190;19.109547;364.139541;0.501961;1.545761;1.700136;2.823844;46.669014;0.734183;6.883454;10.398908;79.284314;1.505882;2.481328;5.349469;2.158619;2.632302;3.661425;3.971591;6.450703;2.866667;-0.004347;0.800510;-0.250247;-2.080695;0.000000;893.496900;192.508543;1132.838734;4.356100;7.387800;2.632000;-4.067200;-7.331100;-2.447900;1.612319;2.569697;1.177933;577.525629;1.612319;2.569697;1.177933;-0.864296;1.070374;-0.550243;2.840199;2.812394;3.011645;4.356100;7.387800;2.632000;-4.067200;-7.331100;-2.447900;56.046538;76.566580;46.669014
-0.323736;-0.386655;0.468547;0.219536;0.569509;0.372558;0.200889;-0.660804;0.680097;14.054902;13.552941;0.337971;2.047820;-0.353464;-0.223330;0.838348;0.702827;0.909815;0.629048;-0.619764;0.962727;0.815813;14.054902;15.560784;0.410945;4.457200;-0.548274;-0.387110;0.595333;0.354422;0.809337;0.249723;-1.283287;1.222965;0.524945;6.023529;5.019608;0.255935;2.876310;0.009437;0.382502;0.391174;33.021061;0.570859;4.334464;4.914425;21.890548;0.000000;4.242397;20.614801;2.227950;36.053287;0.530451;7.408369;6.358102;48.589101;0.000000;2.212121;6.509289;2.929156;55.923947;0.350096;4.931753;8.443543;48.745207;0.000000;4.540975;23.203076;1.554902;1.126487;0.538158;1.710413;0.802106;0.343534;-0.275901;0.788634;-0.249666;-2.568963;0.501961;156.912556;39.741619;233.864141;0.755720;1.655200;0.344010;-1.292100;-2.802000;-2.532300;0.569509;0.909815;0.809337;119.224856;0.569509;0.909815;0.809337;0.003744;0.107752;0.197167;3.168047;2.943886;2.856148;0.755720;1.655200;0.344010;-1.292100;-2.802000;-2.532300;33.021061;36.053287;55.923947
-0.415949;-0.448450;0.327232;0.107081;0.529240;0.252896;0.546397;0.973311;0.348495;6.959223;16.900971;0.172070;1.911340;-0.215220;-0.176710;0.431125;0.185869;0.481859;0.320636;-0.393412;3.579514;0.269949;13.421359;17.895146;0.127314;3.092500;-0.353719;-0.293890;0.370601;0.137345;0.512311;0.167808;-2.771781;11.993519;0.215535;2.982524;13.421359;0.109680;2.876310;-0.154632;0.360236;0.133387;42.842772;0.247793;3.525859;5.812892;23.335075;0.000000;5.955196;37.287936;1.310514;22.167615;0.602159;4.142896;3.353635;14.343144;0.000000;3.167595;13.691914;2.896339;36.433077;0.244361;3.355265;5.317806;19.960360;0.000000;4.765097;26.023205;1.630487;0.765021;0.189488;1.178821;0.196297;0.169301;-0.162223;0.477748;-0.412391;-2.594985;0.000000;70.040114;19.212860;114.168724;0.679340;1.221100;0.344010;-1.232000;-1.871400;-2.532300;0.529240;0.481859;0.512311;57.638579;0.529240;0.481859;0.512311;-0.022029;0.044115;0.021521;2.916865;2.477546;2.158699;0.679340;1.221100;0.344010;-1.232000;-1.871400;-2.532300;42.842772;22.167615;36.433077
-0.441929;-0.451880;0.215240;0.046328;0.491558;0.187201;0.279379;-0.033611;0.268120;2.982524;15.906796;0.137640;1.096300;-0.135247;-0.142790;0.186782;0.034887;0.230606;0.180527;-0.671038;2.059263;0.169283;14.912621;24.854369;0.091094;1.188420;-0.241229;-0.255060;0.110639;0.012241;0.265391;0.116787;0.164993;-0.446963;0.149715;0.994175;21.374757;0.068270;0.525365;-0.066093;-0.007129;0.111798;45.518642;0.188135;2.634241;6.134478;22.501888;0.000000;6.571438;42.944076;0.668976;13.930394;0.362768;1.842685;1.973627;3.680736;0.000000;4.531496;24.418102;2.299060;24.846546;0.060664;1.427604;3.329081;6.624110;0.000000;6.683129;44.098721;0.639509;0.578372;0.030726;0.868733;0.047388;0.034860;0.194023;0.305285;-0.432653;-2.630604;1.491262;36.037366;10.935578;64.982571;0.162400;0.340820;0.016785;-0.933900;-0.847600;-0.508580;0.491558;0.230606;0.265391;32.806735;0.491558;0.230606;0.265391;-0.002683;-0.000171;0.002333;3.042116;2.726394;3.119572;0.162400;0.340820;0.016785;-0.933900;-0.847600;-0.508580;45.518642;13.930394;24.846546
-0.485347;-0.475095;0.211602;0.044775;0.529469;0.181134;-0.234585;0.920943;0.232588;1.347368;23.578947;0.118035;1.235983;-0.127385;-0.127850;0.184968;0.034213;0.224588;0.183475;-0.374362;0.635811;0.148808;14.821053;28.294737;0.077874;0.953340;-0.218922;-0.235690;0.116058;0.013469;0.247783;0.122323;0.146719;-0.760756;0.174463;2.694737;22.231579;0.084405;0.452008;0.000462;0.286510;0.047218;36.886372;0.251830;2.460807;5.670073;19.605350;0.000000;5.725884;31.848091;0.559406;9.681253;0.170040;1.604485;1.538902;2.536329;0.000000;3.707114;16.679764;2.296971;16.638069;0.276838;1.334576;2.517361;4.165917;0.000000;5.744722;32.025883;0.794270;0.595963;0.037001;0.884109;0.046906;0.034709;-0.073965;0.181513;-0.369722;-2.614608;1.347368;28.403263;8.769199;51.266086;0.059883;0.302260;0.019598;-1.176100;-0.651080;-0.432410;0.529469;0.224588;0.247783;26.307597;0.529469;0.224588;0.247783;0.000018;0.007130;0.001027;2.833014;2.910197;3.199924;0.059883;0.302260;0.019598;-1.176100;-0.651080;-0.432410;36.886372;9.681253;16.638069
-35.088982;-32.812000;23.086055;532.965943;42.002412;5.265113;-0.117590;-1.305772;47.057500;0.994175;3.976699;23.093200;86.470000;4.994846;4.542500;14.189447;201.340420;15.042902;7.262267;-0.000062;0.012623;18.406200;10.935922;9.444660;9.719500;76.467000;-2.008332;-1.952100;4.724351;22.319496;5.133507;2.242385;-0.000242;1.174234;5.183220;10.438835;11.433010;2.674820;28.321000;-0.374208;0.047273;0.397567;3614.165110;4.518121;170.733831;525.750474;154265.119292;0.000000;5.616704;32.823300;0.704269;637.653826;1.125558;108.702901;117.525780;12938.725657;0.497087;2.589809;7.929192;2.579094;206.858225;2.765536;36.197471;42.301739;1564.894092;0.000000;1.965478;4.176158;2.611750;39.304939;471.966127;50.810231;579.000714;167.621204;-0.094134;9.751578;-40.346733;1.953095;0.000000;183428.715216;56256.246347;334291.925409;2.270000;39.373000;13.105000;-84.200000;-37.094000;-15.216000;42.002412;15.042902;5.133507;168768.739041;42.002412;15.042902;5.133507;-123.784232;5.206462;26.912548;3.133703;3.002859;2.845552;2.270000;39.373000;13.105000;-84.200000;-37.094000;-15.216000;3614.165110;637.653826;206.858225
-15.122657;-5.215000;24.884043;619.215584;29.118900;3.531651;-1.325824;0.092439;15.166545;5.521569;1.505882;6.848000;80.087100;-1.277955;-0.688595;10.007442;100.148895;10.088710;6.866138;-0.225562;1.224895;11.188300;14.556863;15.560784;5.678850;62.226000;-3.398556;-2.937300;3.741541;13.999132;5.054633;1.352949;-0.501970;0.865388;4.307150;6.023529;4.015686;2.491020;20.390500;-0.151617;0.075181;0.378878;1542.510964;12.791420;160.711910;286.178448;54919.352587;0.000000;3.451198;11.676262;1.718186;314.914447;3.557018;79.603262;63.392491;5279.166050;0.501961;1.572562;3.118118;3.095986;346.652664;1.201400;30.247336;52.883202;1892.154824;0.000000;4.344629;22.127672;1.616182;22.124870;485.731822;28.860570;628.164479;100.903806;-0.141932;4.771333;-26.368597;-2.781920;0.000000;74709.615675;20696.891153;121793.244096;9.261100;25.132000;5.174500;-70.826000;-37.094000;-15.216000;29.118900;10.088710;5.054633;62090.673460;29.118900;10.088710;5.054633;-38.130372;7.068975;14.326897;2.649675;2.764528;2.973681;9.261100;25.132000;5.174500;-70.826000;-37.094000;-15.216000;1542.510964;314.914447;346.652664
-0.372363;0.148440;4.711627;22.199426;4.726318;2.040095;-1.898076;7.971594;4.569325;8.533333;9.537255;2.226610;35.582100;-0.281713;-0.771300;6.725561;45.233169;6.731458;3.373364;0.984477;1.933765;9.156275;9.035294;9.537255;4.359600;38.630000;-3.122656;-3.521250;3.098995;9.603772;4.399404;0.939552;0.509685;-0.330986;4.479600;5.019608;3.513725;2.210000;14.061700;-0.188393;0.173745;0.357535;183.468105;3.923974;34.654390;32.379070;1146.717739;2.007843;2.224976;6.649396;2.826750;323.704864;3.030986;44.233393;50.856757;2316.040656;1.003922;3.363027;15.004171;2.387523;318.510934;1.007666;24.432416;48.113779;1484.487198;0.000000;4.588247;24.201214;1.415734;8.238184;19.137690;12.233413;48.334703;22.222985;-0.220605;3.540533;-0.630856;-3.051620;0.000000;7900.854548;1649.081864;9704.212509;9.261100;25.132000;5.174500;-26.321000;-13.498000;-8.887200;4.726318;6.731458;4.399404;4947.245593;4.726318;6.731458;4.399404;-6.028977;2.562023;7.525705;2.574114;2.770805;3.129660;9.261100;25.132000;5.174500;-26.321000;-13.498000;-8.887200;183.468105;323.704864;318.510934
