Feature;Score
Mean_X;0.045760
Median_X;0.477708
Std_X;4.517167
Variance_X;1.496351
RMS_X;4.391403
AvgDerivative_X;2.142794
Skewness_X;0.360744
Kurtosis_X;0.035375
IQR_X;1.890201
ZeroCross_X;0.138371
MeanCross_X;3.214637
MedianAbsDev_X;2.013748
Range_X;4.704385
Mean_Y;0.015206
Median_Y;0.022971
Std_Y;5.126965
Variance_Y;1.680825
RMS_Y;4.234767
AvgDerivative_Y;2.933329
Skewness_Y;0.057722
Kurtosis_Y;0.056928
IQR_Y;3.800466
ZeroCross_Y;0.471689
MeanCross_Y;2.338056
MedianAbsDev_Y;3.749833
Range_Y;4.410629
Mean_Z;0.198715
Median_Z;0.121212
Std_Z;2.927524
Variance_Z;0.878600
RMS_Z;2.881879
AvgDerivative_Z;2.636030
Skewness_Z;0.017093
Kurtosis_Z;0.008613
IQR_Z;1.852753
ZeroCross_Z;0.060928
MeanCross_Z;2.216282
MedianAbsDev_Z;1.971971
Range_Z;3.409974
Correlation_XY;0.330318
Correlation_XZ;0.047458
Correlation_YZ;0.133896
FFT_Max_X;3.456214
FFT_Min_X;0.542414
MeanFFT_X;3.490133
StdFFT_X;4.204576
FFT_Energy_X;1.481729
FFT_DominantFreq_X;0.215098
SkewnessFFT_X;0.850525
KurtosisFFT_X;1.165713
SpectralEntropy_X;0.288689
FFT_Max_Y;1.587889
FFT_Min_Y;0.600121
MeanFFT_Y;4.578392
StdFFT_Y;2.394529
FFT_Energy_Y;0.993159
FFT_DominantFreq_Y;0.031123
SkewnessFFT_Y;0.185745
KurtosisFFT_Y;0.236874
SpectralEntropy_Y;0.133000
FFT_Max_Z;2.055445
FFT_Min_Z;0.500147
MeanFFT_Z;3.107119
StdFFT_Z;2.375200
FFT_Energy_Z;0.774426
FFT_DominantFreq_Z;0.159684
SkewnessFFT_Z;1.672215
KurtosisFFT_Z;1.934237
SpectralEntropy_Z;0.802452
AI;6.171974
VI;1.785237
SMA;6.030785
EVA1;1.814522
EVA2;1.489194
CAGH;0.209491
AVH;0.751593
AVG;0.039147
ARATG;0.312108
DF;0.354133
ENERGY;2.389035
AAE;2.053832
ARE;2.053087
MaxAccel_X;2.956793
MaxAccel_Y;2.172602
MaxAccel_Z;2.489206
MinAccel_X;4.722779
MinAccel_Y;2.098206
MinAccel_Z;2.196694
RMSAccel_X;4.391403
RMSAccel_Y;4.234767
RMSAccel_Z;2.881879
TotalEnergy;2.053832
SignalMagnitude_X;4.391403
SignalMagnitude_Y;4.234767
SignalMagnitude_Z;2.881879
Cov_XY;0.566257
Cov_XZ;0.025536
Cov_YZ;0.064020
EntropyTime_X;0.051102
EntropyTime_Y;0.090934
EntropyTime_Z;0.020033
Max_X;2.956793
Max_Y;2.172602
Max_Z;2.489206
Min_X;4.722779
Min_Y;2.098206
Min_Z;2.196694
MaxFFT_X;3.456214
MaxFFT_Y;1.587889
MaxFFT_Z;2.055445
