Feature;Score
Mean_X;46.996953
Median_X;70.874832
Std_X;4.511547
Variance_X;158908.041220
RMS_X;3.809806
AvgDerivative_X;5.322506
Skewness_X;0.176212
Kurtosis_X;2.174944
IQR_X;80.055866
ZeroCross_X;1.041388
MeanCross_X;1.272796
MedianAbsDev_X;29.260775
Range_X;341.558101
Mean_Y;236.255134
Median_Y;239.511048
Std_Y;7.120680
Variance_Y;132535.375555
RMS_Y;3.484092
AvgDerivative_Y;6.996404
Skewness_Y;0.114570
Kurtosis_Y;1.019547
IQR_Y;36.632114
ZeroCross_Y;1.344431
MeanCross_Y;1.773316
MedianAbsDev_Y;8.653428
Range_Y;457.370424
Mean_Z;10.820384
Median_Z;9.919486
Std_Z;4.515415
Variance_Z;15765.489991
RMS_Z;4.548330
AvgDerivative_Z;1.206468
Skewness_Z;0.160089
Kurtosis_Z;2.084604
IQR_Z;16.747486
ZeroCross_Z;0.831384
MeanCross_Z;0.005397
MedianAbsDev_Z;3.585541
Range_Z;148.427821
Correlation_XY;0.027946
Correlation_XZ;0.044254
Correlation_YZ;0.041187
FFT_Max_X;71125.414856
FFT_Min_X;50.827541
MeanFFT_X;751.519721
StdFFT_X;340.322624
FFT_Energy_X;215393214.141635
FFT_DominantFreq_X;0.186533
SkewnessFFT_X;0.140689
KurtosisFFT_X;8.011182
SpectralEntropy_X;0.048136
FFT_Max_Y;50790.076931
FFT_Min_Y;51.846847
MeanFFT_Y;612.022070
StdFFT_Y;447.621134
FFT_Energy_Y;152613309.580341
FFT_DominantFreq_Y;0.204194
SkewnessFFT_Y;0.179108
KurtosisFFT_Y;8.944383
SpectralEntropy_Y;0.045247
FFT_Max_Z;18403.458181
FFT_Min_Z;6.537988
MeanFFT_Z;191.042398
StdFFT_Z;415.373421
FFT_Energy_Z;49120070.776549
FFT_DominantFreq_Z;0.267584
SkewnessFFT_Z;0.171380
KurtosisFFT_Z;6.854211
SpectralEntropy_Z;0.052449
AI;3.734064
VI;114589.997006
SMA;9.702460
EVA1;386081.608003
EVA2;138428.548448
CAGH;0.025728
AVH;25.046853
AVG;51.233372
ARATG;0.332493
DF;-0.941745
ENERGY;118978282.500983
AAE;2583862.141920
ARE;78291627.652225
MaxAccel_X;283.528603
MaxAccel_Y;424.322465
MaxAccel_Z;53.358563
MinAccel_X;178.018726
MinAccel_Y;429.472883
MinAccel_Z;77.658808
RMSAccel_X;3.809806
RMSAccel_Y;3.484092
RMSAccel_Z;4.548330
TotalEnergy;23254759.277171
SignalMagnitude_X;3.809806
SignalMagnitude_Y;3.484092
SignalMagnitude_Z;4.548330
Cov_XY;233544.518913
Cov_XZ;160957.771055
Cov_YZ;119583.395612
EntropyTime_X;0.009278
EntropyTime_Y;0.007599
EntropyTime_Z;0.007804
Max_X;283.528603
Max_Y;424.322465
Max_Z;53.358563
Min_X;178.018726
Min_Y;429.472883
Min_Z;77.658808
MaxFFT_X;71125.414856
MaxFFT_Y;50790.076931
MaxFFT_Z;18403.458181
