Mean_X;Median_X;Std_X;Variance_X;RMS_X;AvgDerivative_X;Skewness_X;Kurtosis_X;IQR_X;ZeroCross_X;MeanCross_X;MedianAbsDev_X;Range_X;Mean_Y;Median_Y;Std_Y;Variance_Y;RMS_Y;AvgDerivative_Y;Skewness_Y;Kurtosis_Y;IQR_Y;ZeroCross_Y;MeanCross_Y;MedianAbsDev_Y;Range_Y;Mean_Z;Median_Z;Std_Z;Variance_Z;RMS_Z;AvgDerivative_Z;Skewness_Z;Kurtosis_Z;IQR_Z;ZeroCross_Z;MeanCross_Z;MedianAbsDev_Z;Range_Z;Correlation_XY;Correlation_XZ;Correlation_YZ;FFT_Max_X;FFT_Min_X;MeanFFT_X;StdFFT_X;FFT_Energy_X;FFT_DominantFreq_X;SkewnessFFT_X;KurtosisFFT_X;SpectralEntropy_X;FFT_Max_Y;FFT_Min_Y;MeanFFT_Y;StdFFT_Y;FFT_Energy_Y;FFT_DominantFreq_Y;SkewnessFFT_Y;KurtosisFFT_Y;SpectralEntropy_Y;FFT_Max_Z;FFT_Min_Z;MeanFFT_Z;StdFFT_Z;FFT_Energy_Z;FFT_DominantFreq_Z;SkewnessFFT_Z;KurtosisFFT_Z;SpectralEntropy_Z;AI;VI;SMA;EVA1;EVA2;CAGH;AVH;AVG;ARATG;DF;ENERGY;AAE;ARE;MaxAccel_X;MaxAccel_Y;MaxAccel_Z;MinAccel_X;MinAccel_Y;MinAccel_Z;RMSAccel_X;RMSAccel_Y;RMSAccel_Z;TotalEnergy;SignalMagnitude_X;SignalMagnitude_Y;SignalMagnitude_Z;Cov_XY;Cov_XZ;Cov_YZ;EntropyTime_X;EntropyTime_Y;EntropyTime_Z;Max_X;Max_Y;Max_Z;Min_X;Min_Y;Min_Z;MaxFFT_X;MaxFFT_Y;MaxFFT_Z
-0.013561;-0.031334;0.171978;0.029577;0.172512;0.151366;0.662672;1.309718;0.181834;21.374757;22.368932;0.093337;1.040430;0.324810;0.335620;0.444090;0.197216;0.550198;0.275348;0.051426;0.937696;0.526317;8.450485;14.912621;0.259342;2.791800;-0.099201;-0.098615;0.148289;0.021990;0.178411;0.137325;-0.209721;-0.266731;0.220251;18.889320;17.895146;0.108889;0.767380;0.301210;0.390217;-0.069124;3.681724;0.171943;1.468193;0.948168;1.542136;4.473786;0.852703;0.032919;3.358472;33.455412;0.367319;3.977725;5.081334;21.023275;0.000000;4.042375;19.521221;2.091241;10.217721;0.190391;1.532497;1.379250;2.146073;0.000000;4.766651;27.373795;2.573163;0.523970;0.089764;0.715810;0.202337;0.035259;0.110112;0.315236;-0.004553;1.867212;0.994175;32.900936;8.237161;48.947747;0.612010;1.784900;0.237910;-0.428420;-1.006900;-0.529470;0.172512;0.550198;0.178411;24.711484;0.172512;0.550198;0.178411;0.023230;0.010049;-0.004597;2.844867;2.836568;3.061093;0.612010;1.784900;0.237910;-0.428420;-1.006900;-0.529470;3.681724;33.455412;10.217721
-0.035528;-0.047691;0.173994;0.030274;0.177584;0.136346;0.696893;1.448183;0.199106;17.066667;18.070588;0.096639;1.040430;0.378547;0.427150;0.439176;0.192876;0.579805;0.282756;-0.073802;1.073187;0.514878;6.525490;13.050980;0.251710;2.791800;-0.138303;-0.145610;0.123452;0.015241;0.185387;0.121834;0.378821;-0.102789;0.177239;13.552941;19.576471;0.092100;0.642440;0.286813;0.320037;-0.119022;4.890833;0.026006;1.450989;1.084684;1.673129;5.019608;1.297885;1.219096;3.179934;38.611778;0.076312;4.030796;5.632110;24.454265;0.000000;4.634451;24.774970;1.843832;14.106952;0.075186;1.348974;1.882678;2.734694;0.000000;5.954356;37.581385;1.601736;0.558890;0.089720;0.768627;0.197885;0.031351;0.180185;0.413546;-0.026314;1.921083;0.501961;36.466214;9.620696;56.614096;0.612010;1.784900;0.237910;-0.428420;-1.006900;-0.404530;0.177584;0.579805;0.185387;28.862088;0.177584;0.579805;0.185387;0.022134;0.006942;-0.006517;2.887322;2.812770;3.006122;0.612010;1.784900;0.237910;-0.428420;-1.006900;-0.404530;4.890833;38.611778;14.106952
-0.015436;-0.002436;0.202732;0.041100;0.203319;0.130156;-0.439400;2.352011;0.218183;15.560784;14.556863;0.111670;1.336610;0.328292;0.366130;0.388429;0.150877;0.508579;0.288345;0.232826;0.849510;0.514873;11.043137;13.552941;0.244090;2.318870;-0.148849;-0.143865;0.167623;0.028097;0.224173;0.135890;-0.846702;2.219660;0.170284;13.050980;22.588235;0.085036;0.954820;0.019691;0.500831;-0.151927;5.677638;0.069123;1.585939;1.283382;2.121944;1.003922;1.789713;2.804310;3.030044;33.485830;0.167704;3.761645;4.744181;18.688000;0.000000;4.788472;26.820294;1.992162;15.182622;0.172930;1.689067;2.095756;3.693603;0.000000;5.115724;30.136239;1.972282;0.510765;0.089364;0.732651;0.153171;0.053152;-0.173421;0.368475;-0.048259;1.996478;6.023529;31.173830;8.167849;48.064648;0.522310;1.723900;0.228980;-0.814300;-0.594970;-0.725840;0.203319;0.508579;0.224173;24.503546;0.203319;0.508579;0.224173;0.001566;0.017188;-0.009990;2.689356;2.833407;2.861132;0.522310;1.723900;0.228980;-0.814300;-0.594970;-0.725840;5.677638;33.485830;15.182622
0.015952;0.013201;0.203219;0.041298;0.203844;0.150633;-0.537189;2.829832;0.195111;21.584314;20.580392;0.097839;1.343770;0.328442;0.274600;0.415454;0.172602;0.529600;0.304355;0.583990;0.566496;0.556830;12.047059;17.066667;0.274600;2.242590;-0.148306;-0.126475;0.187545;0.035173;0.239098;0.155965;-0.602794;0.837213;0.217394;15.058824;19.576471;0.113765;0.975170;0.058356;0.584295;-0.042711;5.316699;0.056436;1.638812;1.223831;2.132748;3.513725;1.326886;1.277687;3.176560;33.501045;0.236620;3.909338;4.857904;19.822273;0.000000;4.463321;23.777865;2.069579;15.127233;0.176598;1.845187;2.125412;4.038711;0.000000;4.738284;26.527526;2.152519;0.519242;0.109584;0.733576;0.174544;0.061294;-0.109439;0.357691;0.014719;1.994934;6.525490;33.090204;8.664578;50.987707;0.529470;1.723900;0.249330;-0.814300;-0.518690;-0.725840;0.203844;0.529600;0.239098;25.993733;0.203844;0.529600;0.239098;0.004976;0.022489;-0.003361;2.662451;2.925255;3.011175;0.529470;1.723900;0.249330;-0.814300;-0.518690;-0.725840;5.316699;33.501045;15.127233
-0.005320;-0.010220;0.171342;0.029358;0.171425;0.163320;0.465506;1.014690;0.203685;25.351456;24.357282;0.103259;0.962620;0.361245;0.350880;0.410072;0.168159;0.546495;0.281180;0.213026;-0.105446;0.526317;8.947573;13.421359;0.274602;1.998430;-0.159367;-0.157110;0.146790;0.021547;0.216668;0.139157;-0.006912;-0.231035;0.208468;11.930097;19.386408;0.106090;0.760310;0.472567;0.501114;0.289065;4.377117;0.368886;1.469929;0.916462;1.514864;6.959223;0.902119;0.312327;3.377970;37.208255;0.290562;3.798820;5.417282;22.101504;0.000000;4.687368;25.202655;1.798076;16.414838;0.070137;1.567347;2.218810;3.725670;0.000000;5.738278;35.600792;1.622687;0.537591;0.085985;0.747620;0.179940;0.029207;0.251684;0.366860;-0.003890;1.986276;6.462136;34.195619;9.114013;54.158267;0.529470;1.357700;0.249330;-0.433150;-0.640730;-0.510980;0.171425;0.546495;0.216668;27.342038;0.171425;0.546495;0.216668;0.033529;0.012727;0.017571;2.851826;3.037346;3.035410;0.529470;1.357700;0.249330;-0.433150;-0.640730;-0.510980;4.377117;37.208255;16.414838
0.096854;0.058365;0.273263;0.074673;0.289919;0.177012;0.754794;0.677374;0.326001;16.900971;14.912621;0.153315;1.445250;0.832389;0.518690;1.210858;1.466177;1.469370;0.387222;2.095265;5.592249;0.861920;6.462136;7.953398;0.488210;7.032800;-0.069577;-0.093621;0.225735;0.050956;0.236215;0.182185;0.814391;0.627089;0.227689;13.918447;21.374757;0.126679;1.153760;0.638979;0.529297;0.370957;9.975925;0.144391;2.210731;2.154952;4.811842;0.000000;2.193698;4.819952;2.757119;85.736030;0.322128;8.702393;14.669406;146.873803;0.000000;3.497665;13.490540;1.817268;7.483656;0.342666;2.026791;1.441459;3.122871;0.497087;1.848780;4.573149;3.179315;1.052059;1.192069;1.372926;1.519945;0.061251;0.546956;0.566733;0.012959;1.654190;0.000000;175.394952;51.602839;306.639946;1.012100;6.071700;0.642780;-0.433150;-0.961100;-0.510980;0.289919;1.469370;0.236215;154.808516;0.289919;1.469370;0.236215;0.213500;0.032970;0.102389;2.963269;2.636723;2.998233;1.012100;6.071700;0.642780;-0.433150;-0.961100;-0.510980;9.975925;85.736030;7.483656
0.089552;0.027940;0.264360;0.069886;0.279116;0.153401;0.997865;1.006010;0.316268;14.054902;10.039216;0.150125;1.414670;0.858048;0.564450;1.197619;1.434291;1.473274;0.399362;2.151558;5.849775;0.766560;5.019608;7.027451;0.381390;7.032800;-0.067510;-0.098181;0.230499;0.053130;0.240182;0.197046;0.787016;0.273322;0.307127;16.062745;21.584314;0.155862;1.078180;0.639729;0.450610;0.358454;12.291834;0.210516;2.040827;2.113145;4.399790;0.501961;2.988739;10.459010;2.563050;87.520850;0.678236;8.672848;14.682862;148.253381;0.000000;3.612724;14.667251;1.792955;7.252591;0.258121;2.045264;1.435978;3.183795;0.501961;1.596859;3.354270;3.216182;1.056603;1.189719;1.373685;1.485607;0.056875;0.573871;1.011180;0.144343;1.649313;0.000000;174.550446;51.945656;305.680204;1.012100;6.071700;0.642780;-0.402570;-0.961100;-0.435400;0.279116;1.473274;0.240182;155.836967;0.279116;1.473274;0.240182;0.204545;0.027730;0.099931;2.895406;2.586732;3.028411;1.012100;6.071700;0.642780;-0.402570;-0.961100;-0.435400;12.291834;87.520850;7.252591
-0.026467;-0.035382;0.183221;0.033570;0.185123;0.142338;0.610062;1.359834;0.217172;18.572549;18.070588;0.111613;1.091780;0.414593;0.389015;0.484169;0.234419;0.637422;0.329581;0.540702;0.768132;0.572079;8.031373;15.058824;0.297482;2.532430;-0.200525;-0.197585;0.170496;0.029069;0.263210;0.145576;-0.202494;-0.025609;0.224876;9.035294;17.568627;0.116935;0.838760;0.486134;0.222699;0.218503;5.377950;0.137970;1.520442;1.090680;1.784990;7.027451;1.459354;2.094700;3.202471;42.288474;0.309448;4.438043;6.179071;29.505994;0.000000;4.530471;24.322431;1.881035;20.453578;0.183039;1.814530;2.768681;5.586489;0.000000;5.860701;36.540319;1.462235;0.620802;0.124462;0.866577;0.247397;0.029776;0.364600;0.448164;-0.032378;2.021293;0.501961;45.657932;12.292491;72.336583;0.630240;2.029000;0.187490;-0.461540;-0.503430;-0.651270;0.185123;0.637422;0.263210;36.877474;0.185123;0.637422;0.263210;0.043552;0.007026;0.018216;2.790177;2.938403;3.087573;0.630240;2.029000;0.187490;-0.461540;-0.503430;-0.651270;5.377950;42.288474;20.453578
0.062278;0.061069;0.215543;0.046459;0.224360;0.147643;0.065775;-0.245091;0.301830;14.054902;12.047059;0.153830;1.091780;0.355666;0.327995;0.494676;0.244705;0.609264;0.326411;0.637926;1.057114;0.575898;8.533333;14.054902;0.289856;2.776520;-0.154618;-0.132935;0.177610;0.031545;0.235483;0.131271;-0.567268;0.207207;0.238410;10.039216;15.560784;0.117180;0.900440;0.390092;0.425140;0.040176;6.405666;0.092433;1.798584;1.482065;2.768959;1.003922;1.505238;1.756107;3.052527;36.277893;0.129901;4.431678;5.491361;25.385592;0.000000;3.885537;19.097576;2.185968;15.771030;0.161139;1.715919;2.234928;4.047478;0.000000;4.973146;27.589548;1.883266;0.588763;0.130351;0.833886;0.255787;0.050833;0.233238;0.432706;0.003483;1.980878;0.000000;42.018092;10.734010;63.165519;0.630240;2.029000;0.249170;-0.461540;-0.747520;-0.651270;0.224360;0.609264;0.235483;32.202029;0.224360;0.609264;0.235483;0.042005;0.016437;0.003565;3.031761;2.844098;3.047811;0.630240;2.029000;0.249170;-0.461540;-0.747520;-0.651270;6.405666;36.277893;15.771030
0.111998;0.093344;0.162769;0.026494;0.197579;0.127814;0.336093;-0.567979;0.254173;14.912621;14.415534;0.123846;0.734850;0.335030;0.335620;0.343435;0.117947;0.479784;0.262186;-0.308421;0.677108;0.465295;5.467961;15.906796;0.228830;1.967920;-0.119640;-0.105960;0.147772;0.021836;0.190132;0.130325;-0.053460;-0.473122;0.210116;13.421359;18.392233;0.103430;0.732990;0.331813;0.300910;0.107978;11.535781;0.234001;1.546889;1.693776;2.656413;0.000000;4.091420;20.617486;2.326259;34.508066;0.232210;3.442902;4.803989;17.635514;0.000000;5.217346;30.716191;1.747245;12.322951;0.183097;1.475403;1.723661;2.598900;0.000000;4.957707;27.573814;2.071117;0.498749;0.056630;0.707569;0.123221;0.028490;0.276195;0.336346;0.117151;1.913785;2.982524;28.537695;7.630276;45.341445;0.513140;1.220400;0.249170;-0.221710;-0.747520;-0.483820;0.197579;0.479784;0.190132;22.890827;0.197579;0.479784;0.190132;0.018730;0.007309;0.005534;3.158888;2.863769;3.074143;0.513140;1.220400;0.249170;-0.221710;-0.747520;-0.483820;11.535781;34.508066;12.322951
