Feature;Score
Mean_X;0.005253
Median_X;0.005729
Std_X;1.853187
Variance_X;0.489247
RMS_X;1.944842
AvgDerivative_X;2.402598
Skewness_X;0.014309
Kurtosis_X;0.072722
IQR_X;1.457619
ZeroCross_X;0.822187
MeanCross_X;1.279291
MedianAbsDev_X;1.477614
Range_X;1.908092
Mean_Y;0.007072
Median_Y;0.006818
Std_Y;3.130645
Variance_Y;0.922477
RMS_Y;2.906466
AvgDerivative_Y;2.004141
Skewness_Y;0.011398
Kurtosis_Y;0.057158
IQR_Y;2.540262
ZeroCross_Y;0.723889
MeanCross_Y;1.655416
MedianAbsDev_Y;2.585008
Range_Y;2.434164
Mean_Z;0.008393
Median_Z;0.005092
Std_Z;2.474415
Variance_Z;0.819143
RMS_Z;2.596255
AvgDerivative_Z;2.515933
Skewness_Z;0.026790
Kurtosis_Z;0.086503
IQR_Z;1.780505
ZeroCross_Z;1.678772
MeanCross_Z;2.524484
MedianAbsDev_Z;1.740696
Range_Z;2.540439
Correlation_XY;0.148750
Correlation_XZ;0.180720
Correlation_YZ;0.179445
FFT_Max_X;1.447948
FFT_Min_X;0.277108
MeanFFT_X;2.095077
StdFFT_X;1.766625
FFT_Energy_X;0.475517
FFT_DominantFreq_X;0.010638
SkewnessFFT_X;0.036592
KurtosisFFT_X;0.038437
SpectralEntropy_X;0.278720
FFT_Max_Y;1.404877
FFT_Min_Y;0.352209
MeanFFT_Y;2.807574
StdFFT_Y;2.101329
FFT_Energy_Y;0.809046
FFT_DominantFreq_Y;0.030883
SkewnessFFT_Y;0.108903
KurtosisFFT_Y;0.123666
SpectralEntropy_Y;0.218130
FFT_Max_Z;2.050259
FFT_Min_Z;0.434772
MeanFFT_Z;2.590955
StdFFT_Z;2.499041
FFT_Energy_Z;0.836540
FFT_DominantFreq_Z;0.010026
SkewnessFFT_Z;0.118273
KurtosisFFT_Z;0.068648
SpectralEntropy_Z;0.651951
AI;3.910382
VI;0.775916
SMA;3.881259
EVA1;1.154348
EVA2;0.795685
CAGH;0.078757
AVH;0.770738
AVG;0.004402
ARATG;0.232409
DF;0.085590
ENERGY;1.391272
AAE;1.181156
ARE;1.180666
MaxAccel_X;1.416745
MaxAccel_Y;1.244941
MaxAccel_Z;2.386290
MinAccel_X;1.264596
MinAccel_Y;1.088276
MinAccel_Z;1.811667
RMSAccel_X;1.944842
RMSAccel_Y;2.906466
RMSAccel_Z;2.596255
TotalEnergy;1.181156
SignalMagnitude_X;1.944842
SignalMagnitude_Y;2.906466
SignalMagnitude_Z;2.596255
Cov_XY;0.236350
Cov_XZ;0.235904
Cov_YZ;0.192136
EntropyTime_X;0.175160
EntropyTime_Y;0.090402
EntropyTime_Z;0.171398
Max_X;1.416745
Max_Y;1.244941
Max_Z;2.386290
Min_X;1.264596
Min_Y;1.088276
Min_Z;1.811667
MaxFFT_X;1.447948
MaxFFT_Y;1.404877
MaxFFT_Z;2.050259
