Feature;Score
Mean_X;20.149552
Median_X;20.680460
Std_X;3.909919
Variance_X;18854.008485
RMS_X;3.191709
AvgDerivative_X;0.221518
Skewness_X;0.121343
Kurtosis_X;1.308047
IQR_X;15.737693
ZeroCross_X;1.866848
MeanCross_X;2.059719
MedianAbsDev_X;3.653492
Range_X;91.396149
Mean_Y;209.658317
Median_Y;185.166447
Std_Y;9.850217
Variance_Y;198127.367505
RMS_Y;4.029522
AvgDerivative_Y;1.872716
Skewness_Y;0.162892
Kurtosis_Y;0.993802
IQR_Y;40.571238
ZeroCross_Y;1.512355
MeanCross_Y;1.641742
MedianAbsDev_Y;10.405231
Range_Y;456.660774
Mean_Z;26.773626
Median_Z;46.535244
Std_Z;6.216799
Variance_Z;111385.758596
RMS_Z;4.135026
AvgDerivative_Z;0.558974
Skewness_Z;0.114271
Kurtosis_Z;1.509575
IQR_Z;46.142363
ZeroCross_Z;1.072799
MeanCross_Z;0.829197
MedianAbsDev_Z;9.198915
Range_Z;191.826925
Correlation_XY;0.066647
Correlation_XZ;0.058949
Correlation_YZ;0.058430
FFT_Max_X;20946.332371
FFT_Min_X;18.210328
MeanFFT_X;93.618209
StdFFT_X;375.116554
FFT_Energy_X;107774195.946229
FFT_DominantFreq_X;0.106028
SkewnessFFT_X;0.157625
KurtosisFFT_X;8.983732
SpectralEntropy_X;0.055255
FFT_Max_Y;33371.105705
FFT_Min_Y;103.551183
MeanFFT_Y;426.449148
StdFFT_Y;240.485606
FFT_Energy_Y;182678937.398085
FFT_DominantFreq_Y;0.179437
SkewnessFFT_Y;0.131962
KurtosisFFT_Y;7.067872
SpectralEntropy_Y;0.052779
FFT_Max_Z;42847.112162
FFT_Min_Z;58.283322
MeanFFT_Z;239.404883
StdFFT_Z;266.067872
FFT_Energy_Z;207946274.417020
FFT_DominantFreq_Z;0.102043
SkewnessFFT_Z;0.135614
KurtosisFFT_Z;9.945875
SpectralEntropy_Z;0.040879
AI;3.446160
VI;123505.566936
SMA;8.387576
EVA1;228458.733796
EVA2;61712.898406
CAGH;0.034774
AVH;25.334259
AVG;19.733616
ARATG;0.599386
DF;-0.245650
ENERGY;36167226.264541
AAE;3256009.739496
ARE;103889393.682156
MaxAccel_X;66.971819
MaxAccel_Y;541.449023
MaxAccel_Z;106.004210
MinAccel_X;53.317683
MinAccel_Y;471.897368
MinAccel_Z;134.300863
RMSAccel_X;3.191709
RMSAccel_Y;4.029522
RMSAccel_Z;4.135026
TotalEnergy;29304087.655599
SignalMagnitude_X;3.191709
SignalMagnitude_Y;4.029522
SignalMagnitude_Z;4.135026
Cov_XY;114769.220296
Cov_XZ;77311.641345
Cov_YZ;219251.388912
EntropyTime_X;0.010704
EntropyTime_Y;0.011922
EntropyTime_Z;0.011361
Max_X;66.971819
Max_Y;541.449023
Max_Z;106.004210
Min_X;53.317683
Min_Y;471.897368
Min_Z;134.300863
MaxFFT_X;20946.332371
MaxFFT_Y;33371.105705
MaxFFT_Z;42847.112162
