Feature;Score
Chest_Ax_Mean;1000000000.000000
Chest_Ax_Median;1000000000.000000
Chest_Ax_Std;1000000000.000000
Chest_Ax_Var;1000000000.000000
Chest_Ax_RMS;1000000000.000000
Chest_Ax_AvgDeriv;1000000000.000000
Chest_Ax_Skew;1000000000.000000
Chest_Ax_Kurt;1000000000.000000
Chest_Ax_IQR;1000000000.000000
Chest_Ax_ZCR;1000000000.000000
Chest_Ax_MCR;1000000000.000000
Chest_Ax_DomFreq;1000000000.000000
Chest_Ax_Energy;1000000000.000000
Chest_Ax_SpecEnt;1000000000.000000
Chest_Ay_Mean;0.013328
Chest_Ay_Median;0.013329
Chest_Ay_Std;0.020923
Chest_Ay_Var;0.022593
Chest_Ay_RMS;0.013321
Chest_Ay_AvgDeriv;0.017193
Chest_Ay_Skew;0.010514
Chest_Ay_Kurt;0.015326
Chest_Ay_IQR;0.020283
Chest_Ay_ZCR;0.012662
Chest_Ay_MCR;0.012662
Chest_Ay_DomFreq;0.020404
Chest_Ay_Energy;0.016258
Chest_Ay_SpecEnt;0.013420
Chest_Az_Mean;0.022389
Chest_Az_Median;0.016872
Chest_Az_Std;0.030266
Chest_Az_Var;0.034282
Chest_Az_RMS;0.021474
Chest_Az_AvgDeriv;0.017592
Chest_Az_Skew;0.010666
Chest_Az_Kurt;0.013508
Chest_Az_IQR;0.031997
Chest_Az_ZCR;0.019284
Chest_Az_MCR;0.019284
Chest_Az_DomFreq;1000000000.000000
Chest_Az_Energy;0.021583
Chest_Az_SpecEnt;0.034036
Chest_Gx_Mean;0.020753
Chest_Gx_Median;0.015429
Chest_Gx_Std;0.039146
Chest_Gx_Var;0.039479
Chest_Gx_RMS;0.017859
Chest_Gx_AvgDeriv;0.018199
Chest_Gx_Skew;0.012522
Chest_Gx_Kurt;0.016238
Chest_Gx_IQR;0.039076
Chest_Gx_ZCR;0.016016
Chest_Gx_MCR;0.016016
Chest_Gx_DomFreq;0.034483
Chest_Gx_Energy;0.017429
Chest_Gx_SpecEnt;0.023814
Chest_Gy_Mean;0.015003
Chest_Gy_Median;0.013945
Chest_Gy_Std;0.033548
Chest_Gy_Var;0.036183
Chest_Gy_RMS;0.035434
Chest_Gy_AvgDeriv;0.016970
Chest_Gy_Skew;0.012089
Chest_Gy_Kurt;0.015178
Chest_Gy_IQR;0.028719
Chest_Gy_ZCR;0.014914
Chest_Gy_MCR;0.014914
Chest_Gy_DomFreq;0.012840
Chest_Gy_Energy;0.038653
Chest_Gy_SpecEnt;0.018321
Chest_Gz_Mean;0.012915
Chest_Gz_Median;0.013726
Chest_Gz_Std;0.020620
Chest_Gz_Var;0.029087
Chest_Gz_RMS;0.020676
Chest_Gz_AvgDeriv;0.015412
Chest_Gz_Skew;0.010324
Chest_Gz_Kurt;0.013113
Chest_Gz_IQR;0.017519
Chest_Gz_ZCR;0.014429
Chest_Gz_MCR;0.014429
Chest_Gz_DomFreq;0.011863
Chest_Gz_Energy;0.027336
Chest_Gz_SpecEnt;0.011812
Chest_Corr_AxAy;1000000000.000000
Chest_Corr_AxAz;1000000000.000000
Chest_Corr_AyAz;0.010474
Chest_Corr_GxGy;0.012353
Chest_Corr_GxGz;0.010021
Chest_Corr_GyGz;0.009870
Chest_Corr_AxGx;1000000000.000000
Chest_Corr_AyGy;0.009543
Chest_Corr_AzGz;0.010515
Chest_Corr_AxGy;1000000000.000000
Chest_Corr_AxGz;1000000000.000000
Chest_Corr_AyGx;0.010217
Chest_Corr_AyGz;0.009926
Chest_Corr_AzGx;0.017197
Chest_Corr_AzGy;0.013419
Chest_AI;0.022042
Chest_VI;0.034111
Chest_SMA;0.016985
Chest_EVA1;0.033385
Chest_EVA2;0.023853
Chest_CAGH;1000000000.000000
Chest_AVH;0.018708
Chest_AVG;1000000000.000000
Chest_ARATG;0.018805
Chest_AAE;0.020972
Chest_ARE;0.037740
