Chest_Ax_Mean;Chest_Ax_Median;Chest_Ax_Std;Chest_Ax_Var;Chest_Ax_RMS;Chest_Ax_AvgDeriv;Chest_Ax_Skew;Chest_Ax_Kurt;Chest_Ax_IQR;Chest_Ax_ZCR;Chest_Ax_MCR;Chest_Ax_DomFreq;Chest_Ax_Energy;Chest_Ax_SpecEnt;Chest_Ay_Mean;Chest_Ay_Median;Chest_Ay_Std;Chest_Ay_Var;Chest_Ay_RMS;Chest_Ay_AvgDeriv;Chest_Ay_Skew;Chest_Ay_Kurt;Chest_Ay_IQR;Chest_Ay_ZCR;Chest_Ay_MCR;Chest_Ay_DomFreq;Chest_Ay_Energy;Chest_Ay_SpecEnt;Chest_Az_Mean;Chest_Az_Median;Chest_Az_Std;Chest_Az_Var;Chest_Az_RMS;Chest_Az_AvgDeriv;Chest_Az_Skew;Chest_Az_Kurt;Chest_Az_IQR;Chest_Az_ZCR;Chest_Az_MCR;Chest_Az_DomFreq;Chest_Az_Energy;Chest_Az_SpecEnt;Chest_Gx_Mean;Chest_Gx_Median;Chest_Gx_Std;Chest_Gx_Var;Chest_Gx_RMS;Chest_Gx_AvgDeriv;Chest_Gx_Skew;Chest_Gx_Kurt;Chest_Gx_IQR;Chest_Gx_ZCR;Chest_Gx_MCR;Chest_Gx_DomFreq;Chest_Gx_Energy;Chest_Gx_SpecEnt;Chest_Gy_Mean;Chest_Gy_Median;Chest_Gy_Std;Chest_Gy_Var;Chest_Gy_RMS;Chest_Gy_AvgDeriv;Chest_Gy_Skew;Chest_Gy_Kurt;Chest_Gy_IQR;Chest_Gy_ZCR;Chest_Gy_MCR;Chest_Gy_DomFreq;Chest_Gy_Energy;Chest_Gy_SpecEnt;Chest_Gz_Mean;Chest_Gz_Median;Chest_Gz_Std;Chest_Gz_Var;Chest_Gz_RMS;Chest_Gz_AvgDeriv;Chest_Gz_Skew;Chest_Gz_Kurt;Chest_Gz_IQR;Chest_Gz_ZCR;Chest_Gz_MCR;Chest_Gz_DomFreq;Chest_Gz_Energy;Chest_Gz_SpecEnt;Chest_Corr_AxAy;Chest_Corr_AxAz;Chest_Corr_AyAz;Chest_Corr_GxGy;Chest_Corr_GxGz;Chest_Corr_GyGz;Chest_Corr_AxGx;Chest_Corr_AyGy;Chest_Corr_AzGz;Chest_Corr_AxGy;Chest_Corr_AxGz;Chest_Corr_AyGx;Chest_Corr_AyGz;Chest_Corr_AzGx;Chest_Corr_AzGy;Chest_AI;Chest_VI;Chest_SMA;Chest_EVA1;Chest_EVA2;Chest_CAGH;Chest_AVH;Chest_AVG;Chest_ARATG;Chest_AAE;Chest_ARE
3.000000;3.000000;0.000000;0.000000;3.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;918.000000;-0.000000;-0.402595;-0.401835;0.045813;0.002099;0.405193;0.037929;-0.074195;-0.112446;0.053242;0.392157;0.392157;0.000000;16.639598;0.059321;9.679639;9.715900;0.164790;0.027156;9.681042;0.125582;-0.231439;-0.495412;0.258600;0.245098;0.245098;0.000000;9558.328479;0.001868;2.060826;1.892750;0.561896;0.315727;2.136056;0.132849;0.416488;-1.144687;0.929350;0.049020;0.049020;0.000000;449.305422;0.204659;4.491327;5.815200;6.288218;39.541681;7.727464;3.374072;-0.922153;1.499423;9.213230;0.176471;0.176471;0.000000;4074.991635;1.920569;0.575131;0.282915;1.863319;3.471959;1.950060;1.234029;0.582855;-0.110979;2.504230;0.225490;0.225490;1.003922;211.066647;2.880587;0.000000;0.000000;0.213037;0.422913;0.423172;0.269906;0.000000;-0.297833;-0.303137;0.000000;0.000000;-0.178126;0.050462;-0.650647;-0.199743;10.142098;0.024605;13.082234;0.027528;0.002016;0.000000;9.683148;3.017578;2.372075;102.886752;68.079168
3.000000;3.000000;0.000000;0.000000;3.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;918.000000;-0.000000;-0.411663;-0.410865;0.049721;0.002472;0.414655;0.034326;0.128908;-0.197952;0.071512;0.284314;0.284314;0.000000;17.411715;0.065851;9.719343;9.741150;0.126022;0.015882;9.720160;0.108217;-0.043025;-0.135403;0.173875;0.313725;0.313725;0.000000;9636.305075;0.001115;1.912595;1.872450;0.407522;0.166074;1.955529;0.121587;0.293624;-1.221660;0.704225;0.078431;0.078431;0.000000;381.591051;0.124856;-0.645222;-0.609915;7.201488;51.861426;7.230335;3.234702;-0.425463;-0.237599;11.077375;0.098039;0.098039;0.501961;2687.464217;1.816334;-0.339890;-0.420555;1.648561;2.717755;1.683235;1.213439;0.202119;0.385409;1.770168;0.333333;0.333333;0.501961;150.546893;3.033542;0.000000;0.000000;0.415217;-0.013611;0.088759;0.493102;0.000000;-0.439734;-0.015518;0.000000;0.000000;-0.412275;-0.161057;-0.605638;0.081755;10.180333;0.014273;13.131007;0.016531;0.002005;0.000000;9.825061;3.017578;1.748187;103.653452;58.935112
3.000000;3.000000;0.000000;0.000000;3.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;918.000000;-0.000000;-0.421056;-0.428080;0.046957;0.002205;0.423666;0.030301;0.600616;0.350208;0.068903;0.264706;0.264706;0.000000;18.196207;0.055568;9.677614;9.672650;0.103212;0.010653;9.678164;0.082413;0.312290;0.537862;0.120425;0.343137;0.343137;0.000000;9553.481691;0.000801;2.198826;2.180700;0.228146;0.052050;2.210631;0.107761;-0.170342;-0.364205;0.312300;0.205882;0.205882;0.000000;495.812546;0.044683;-1.293418;1.270000;6.456808;41.690366;6.585081;2.056814;-0.841584;-0.070791;9.167825;0.058824;0.058824;0.501961;2297.485414;2.052762;-0.259078;-0.152930;1.772654;3.142301;1.791486;1.024166;-0.287492;0.129909;2.030140;0.245098;0.245098;0.501961;167.134596;2.835002;0.000000;0.000000;0.440093;0.341551;0.182006;0.714458;0.000000;-0.431971;-0.151640;0.000000;0.000000;-0.587047;-0.186513;-0.400834;-0.062305;10.140849;0.009538;13.098670;0.011271;0.001714;0.000000;9.736271;3.017578;2.201022;102.846353;51.459606
3.000000;3.000000;0.000000;0.000000;3.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;918.000000;-0.000000;-0.408275;-0.408355;0.040305;0.001624;0.410260;0.029446;1.457896;5.783064;0.054120;0.343137;0.343137;0.000000;17.085151;0.047495;9.647233;9.641600;0.105236;0.011075;9.647807;0.075232;0.536178;0.819784;0.123925;0.274510;0.274510;0.000000;9493.614170;0.000811;2.333022;2.309500;0.209595;0.043930;2.342417;0.087081;0.218922;-0.760578;0.314675;0.098039;0.098039;0.000000;557.429183;0.030982;-0.119363;1.332800;5.583992;31.180963;5.585267;1.713493;-0.799681;0.786683;7.105200;0.078431;0.078431;0.501961;1592.043899;2.088883;-0.368976;-0.183510;1.774677;3.149477;1.812628;0.935138;-0.219073;0.021393;2.393315;0.196078;0.196078;0.501961;174.870800;2.879923;0.000000;0.000000;-0.101407;-0.028204;-0.203762;0.695014;0.000000;-0.039303;0.056049;0.000000;0.000000;0.172489;0.100613;-0.468932;0.025209;10.111300;0.010116;13.055509;0.011204;0.001621;0.000000;9.738300;3.017578;2.260945;102.248499;39.967751
3.000000;3.000000;0.000000;0.000000;3.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;918.000000;-0.000000;-0.281648;-0.291320;0.124463;0.015491;0.307923;0.042086;0.237236;-1.317738;0.228257;0.029412;0.029412;0.000000;8.881685;0.418131;9.642466;9.611200;0.148741;0.022124;9.643613;0.106697;1.586299;3.029785;0.164225;0.323529;0.323529;0.000000;9484.798216;0.001578;2.285704;2.397000;0.351865;0.123809;2.312629;0.141677;-0.557868;-0.550292;0.537775;0.088235;0.088235;0.000000;539.211492;0.083360;3.220791;2.982150;7.855283;61.705478;8.489934;2.938682;0.456285;-0.197185;9.948750;0.137255;0.137255;0.501961;4205.162438;2.230179;-0.401360;-0.328795;2.477822;6.139600;2.510117;1.082470;0.088931;-0.487753;3.505925;0.127451;0.127451;1.003922;329.568067;2.100913;0.000000;0.000000;0.255359;0.013736;0.027302;0.476657;0.000000;0.428364;-0.031060;0.000000;0.000000;-0.537564;0.186516;-0.281352;0.124394;10.103174;0.019956;12.924953;0.024826;0.013162;0.000000;9.675986;3.017578;2.432864;102.094085;83.727912
3.000000;3.000000;0.000000;0.000000;3.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;918.000000;-0.000000;-0.186329;-0.183520;0.068731;0.004724;0.198601;0.057587;-0.510324;2.356360;0.088478;0.392157;0.392157;0.000000;3.782603;0.445884;9.685321;9.661200;0.162517;0.026412;9.686684;0.127872;1.223855;1.637581;0.170475;0.313725;0.313725;0.000000;9569.504211;0.001849;2.107017;2.029200;0.423099;0.179013;2.149077;0.184961;0.221755;-0.755723;0.608425;0.117647;0.117647;0.000000;461.964006;0.125892;-0.006533;-0.067290;10.442091;109.037271;10.442093;4.313932;0.174657;-0.772210;15.032075;0.107843;0.107843;0.501961;5561.860762;2.124990;-0.326248;-0.573485;2.677254;7.167687;2.697059;1.207387;0.050738;-0.879410;4.331675;0.137255;0.137255;1.003922;376.422056;2.512846;0.000000;0.000000;-0.121722;0.015399;-0.129517;0.470233;0.000000;-0.017312;0.038309;0.000000;0.000000;0.090536;-0.054206;-0.296054;0.089104;10.141356;0.024185;12.872490;0.026759;0.004685;0.000000;9.750680;3.017578;2.080997;102.871289;120.929970
3.000000;3.000000;0.000000;0.000000;3.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;918.000000;-0.000000;-0.216792;-0.202890;0.080164;0.006426;0.231139;0.051700;-0.053048;0.463083;0.111008;0.215686;0.215686;0.000000;5.121746;0.416982;9.622688;9.620850;0.164687;0.027122;9.624097;0.104533;0.452022;0.683992;0.225925;0.264706;0.264706;0.000000;9446.190846;0.001845;2.445411;2.408500;0.541300;0.293006;2.504604;0.162279;-0.159168;-0.853353;0.793950;0.127451;0.127451;0.000000;624.908501;0.152408;-6.677229;-6.611350;8.720332;76.044186;10.983150;4.343311;-0.225779;-0.565566;13.901260;0.225490;0.225490;0.000000;8426.032382;1.906499;-1.058955;-1.116400;2.187286;4.784221;2.430146;1.441773;0.181633;-0.467340;3.257357;0.254902;0.254902;0.000000;359.134472;2.629752;0.000000;0.000000;-0.282691;-0.082554;-0.339782;0.534546;0.000000;-0.041468;0.284683;0.000000;0.000000;0.237429;0.023708;-0.669744;0.147393;10.082252;0.024873;12.840495;0.028049;0.005831;0.000000;9.712390;3.017578;2.279033;101.676676;132.808225
3.000000;3.000000;0.000000;0.000000;3.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;918.000000;-0.000000;-0.255833;-0.265205;0.082346;0.006781;0.268759;0.043289;0.501284;0.506343;0.115325;0.245098;0.245098;0.000000;7.021776;0.302916;9.462695;9.440350;0.184799;0.034151;9.464499;0.093859;0.182056;-0.082420;0.220575;0.235294;0.235294;0.000000;9135.094481;0.002265;3.046545;3.142700;0.449678;0.202211;3.079553;0.136063;-0.709395;-0.418303;0.572550;0.107843;0.107843;0.000000;957.022396;0.076391;-2.828557;-0.529590;9.970611;99.413089;10.364064;3.205961;-0.488816;-0.344958;13.603725;0.068627;0.068627;1.003922;5886.143378;2.074416;-0.908275;-0.795230;1.935558;3.746384;2.138071;1.546850;-0.020722;0.075476;2.844480;0.323529;0.323529;0.000000;276.036230;3.017210;0.000000;0.000000;0.042802;0.143350;-0.046113;0.378268;0.000000;0.138327;0.083157;0.000000;0.000000;0.000153;0.072874;-0.773520;-0.072896;9.930661;0.030962;12.719543;0.034505;0.006832;0.000000;9.556099;3.017578;2.965993;98.648981;121.468817
3.000000;3.000000;0.000000;0.000000;3.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;918.000000;-0.000000;-0.585229;-0.586590;0.034355;0.001180;0.586237;0.028308;0.541629;0.591398;0.045588;0.401961;0.401961;0.000000;34.994510;0.018275;9.637187;9.651950;0.066617;0.004438;9.637417;0.065580;-0.276882;-0.054645;0.087500;0.372549;0.372549;0.000000;9473.515330;0.000352;2.226428;2.238500;0.151615;0.022987;2.231585;0.066297;0.161646;-0.932656;0.241475;0.186275;0.186275;0.000000;506.785090;0.020333;-0.819855;0.932360;4.129260;17.050787;4.209863;1.993435;-0.819349;0.109751;5.617450;0.117647;0.117647;0.501961;939.786416;2.189614;-0.655195;-0.252330;1.711670;2.929816;1.832784;0.776606;-0.505673;-0.292541;2.534785;0.098039;0.098039;0.501961;193.505432;2.155507;0.000000;0.000000;-0.047910;-0.286306;-0.032589;0.718305;0.000000;-0.212882;-0.006188;0.000000;0.000000;0.349795;-0.002489;-0.583017;0.376181;10.110363;0.004046;13.222416;0.004485;0.001188;0.000000;9.705240;3.017578;2.243376;102.223489;26.062016
3.000000;3.000000;0.000000;0.000000;3.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;918.000000;-0.000000;-0.523872;-0.545570;0.082929;0.006877;0.530396;0.028589;0.856298;-0.310674;0.108918;0.147059;0.147059;0.000000;28.343914;0.093471;9.561000;9.557700;0.121751;0.014823;9.561775;0.053366;-0.533374;-0.607346;0.178825;0.205882;0.205882;0.000000;9324.854667;0.001021;2.538130;2.513100;0.428319;0.183458;2.574017;0.072483;0.474667;-0.996000;0.701525;0.107843;0.107843;0.000000;666.451141;0.092812;-0.466044;0.497950;4.590805;21.075488;4.614400;1.839996;-0.068378;0.522323;5.628650;0.098039;0.098039;0.501961;1097.339289;2.134375;-0.668836;-0.497015;1.584617;2.511012;1.719987;0.702267;-0.488425;-0.417975;2.458295;0.137255;0.137255;0.501961;173.729711;2.197815;0.000000;0.000000;-0.791861;0.393208;0.283933;0.687470;0.000000;0.370244;-0.294094;0.000000;0.000000;0.865850;0.286167;-0.919175;-0.293677;10.034672;0.014227;13.084872;0.019974;0.001941;0.000000;9.690785;3.017578;2.325298;100.708864;30.876602
