Feature;Score
Chest_Ax_Mean;0.000000
Chest_Ax_Median;0.000000
Chest_Ax_Std;0.000000
Chest_Ax_Var;0.000000
Chest_Ax_RMS;0.000000
Chest_Ax_AvgDeriv;0.000000
Chest_Ax_Skew;0.000000
Chest_Ax_Kurt;0.000000
Chest_Ax_IQR;0.000000
Chest_Ax_ZCR;0.000000
Chest_Ax_MCR;0.000000
Chest_Ax_DomFreq;0.000000
Chest_Ax_Energy;0.000000
Chest_Ax_SpecEnt;0.000000
Chest_Ay_Mean;0.791493
Chest_Ay_Median;0.792167
Chest_Ay_Std;3.307265
Chest_Ay_Var;1.791924
Chest_Ay_RMS;3.523549
Chest_Ay_AvgDeriv;2.380074
Chest_Ay_Skew;0.663264
Chest_Ay_Kurt;0.311067
Chest_Ay_IQR;2.663858
Chest_Ay_ZCR;2.605578
Chest_Ay_MCR;2.605578
Chest_Ay_DomFreq;0.625227
Chest_Ay_Energy;1.451571
Chest_Ay_SpecEnt;3.174959
Chest_Az_Mean;51.679597
Chest_Az_Median;40.877239
Chest_Az_Std;2.937339
Chest_Az_Var;1.731070
Chest_Az_RMS;47.119064
Chest_Az_AvgDeriv;2.787862
Chest_Az_Skew;1.221837
Chest_Az_Kurt;0.411285
Chest_Az_IQR;2.297305
Chest_Az_ZCR;2.835826
Chest_Az_MCR;2.835826
Chest_Az_DomFreq;0.000000
Chest_Az_Energy;25.091429
Chest_Az_SpecEnt;2.017767
Chest_Gx_Mean;1.485057
Chest_Gx_Median;1.557156
Chest_Gx_Std;3.631951
Chest_Gx_Var;1.983923
Chest_Gx_RMS;2.417478
Chest_Gx_AvgDeriv;2.827484
Chest_Gx_Skew;0.840805
Chest_Gx_Kurt;0.605918
Chest_Gx_IQR;3.190285
Chest_Gx_ZCR;2.579373
Chest_Gx_MCR;2.579373
Chest_Gx_DomFreq;0.366566
Chest_Gx_Energy;1.123689
Chest_Gx_SpecEnt;1.429179
Chest_Gy_Mean;0.755466
Chest_Gy_Median;0.894470
Chest_Gy_Std;3.627476
Chest_Gy_Var;1.974123
Chest_Gy_RMS;3.663989
Chest_Gy_AvgDeriv;2.627091
Chest_Gy_Skew;1.165937
Chest_Gy_Kurt;0.715325
Chest_Gy_IQR;3.255459
Chest_Gy_ZCR;2.746920
Chest_Gy_MCR;2.746920
Chest_Gy_DomFreq;1.168028
Chest_Gy_Energy;1.991400
Chest_Gy_SpecEnt;6.446977
Chest_Gz_Mean;0.758679
Chest_Gz_Median;0.749886
Chest_Gz_Std;1.982096
Chest_Gz_Var;0.942052
Chest_Gz_RMS;1.723217
Chest_Gz_AvgDeriv;2.652209
Chest_Gz_Skew;0.696616
Chest_Gz_Kurt;0.414915
Chest_Gz_IQR;1.681191
Chest_Gz_ZCR;1.421496
Chest_Gz_MCR;1.421496
Chest_Gz_DomFreq;0.555556
Chest_Gz_Energy;0.878911
Chest_Gz_SpecEnt;2.055298
Chest_Corr_AxAy;0.000000
Chest_Corr_AxAz;0.000000
Chest_Corr_AyAz;0.788095
Chest_Corr_GxGy;0.822424
Chest_Corr_GxGz;0.789733
Chest_Corr_GyGz;0.804164
Chest_Corr_AxGx;0.000000
Chest_Corr_AyGy;0.783466
Chest_Corr_AzGz;0.770154
Chest_Corr_AxGy;0.000000
Chest_Corr_AxGz;0.000000
Chest_Corr_AyGx;0.822499
Chest_Corr_AyGz;0.957272
Chest_Corr_AzGx;1.177892
Chest_Corr_AzGy;1.816228
Chest_AI;53.424336
Chest_VI;1.723879
Chest_SMA;39.222028
Chest_EVA1;1.782284
Chest_EVA2;1.802703
Chest_CAGH;0.000000
Chest_AVH;47.120927
Chest_AVG;0.000000
Chest_ARATG;1.472524
Chest_AAE;24.723152
Chest_ARE;1.056923
