Feature;Score
Left Lower Leg_Ax_Mean;1000000000.000000
Left Lower Leg_Ax_Median;1000000000.000000
Left Lower Leg_Ax_Std;1000000000.000000
Left Lower Leg_Ax_Var;1000000000.000000
Left Lower Leg_Ax_RMS;1000000000.000000
Left Lower Leg_Ax_AvgDeriv;1000000000.000000
Left Lower Leg_Ax_Skew;1000000000.000000
Left Lower Leg_Ax_Kurt;1000000000.000000
Left Lower Leg_Ax_IQR;1000000000.000000
Left Lower Leg_Ax_ZCR;1000000000.000000
Left Lower Leg_Ax_MCR;1000000000.000000
Left Lower Leg_Ax_DomFreq;1000000000.000000
Left Lower Leg_Ax_Energy;1000000000.000000
Left Lower Leg_Ax_SpecEnt;1000000000.000000
Left Lower Leg_Ay_Mean;0.018342
Left Lower Leg_Ay_Median;0.017814
Left Lower Leg_Ay_Std;0.028022
Left Lower Leg_Ay_Var;0.029588
Left Lower Leg_Ay_RMS;0.017466
Left Lower Leg_Ay_AvgDeriv;0.028261
Left Lower Leg_Ay_Skew;0.015848
Left Lower Leg_Ay_Kurt;0.023525
Left Lower Leg_Ay_IQR;0.023274
Left Lower Leg_Ay_ZCR;0.016196
Left Lower Leg_Ay_MCR;0.016196
Left Lower Leg_Ay_DomFreq;0.039338
Left Lower Leg_Ay_Energy;0.021977
Left Lower Leg_Ay_SpecEnt;0.019562
Left Lower Leg_Az_Mean;0.024363
Left Lower Leg_Az_Median;0.024336
Left Lower Leg_Az_Std;0.033218
Left Lower Leg_Az_Var;0.037213
Left Lower Leg_Az_RMS;0.024273
Left Lower Leg_Az_AvgDeriv;0.029010
Left Lower Leg_Az_Skew;0.018312
Left Lower Leg_Az_Kurt;0.028184
Left Lower Leg_Az_IQR;0.025737
Left Lower Leg_Az_ZCR;0.015990
Left Lower Leg_Az_MCR;0.015990
Left Lower Leg_Az_DomFreq;1000000000.000000
Left Lower Leg_Az_Energy;0.024149
Left Lower Leg_Az_SpecEnt;0.037312
Left Lower Leg_Gx_Mean;0.020367
Left Lower Leg_Gx_Median;0.020123
Left Lower Leg_Gx_Std;0.030310
Left Lower Leg_Gx_Var;0.032983
Left Lower Leg_Gx_RMS;0.020210
Left Lower Leg_Gx_AvgDeriv;0.026498
Left Lower Leg_Gx_Skew;0.016275
Left Lower Leg_Gx_Kurt;0.021680
Left Lower Leg_Gx_IQR;0.024399
Left Lower Leg_Gx_ZCR;0.016444
Left Lower Leg_Gx_MCR;0.016444
Left Lower Leg_Gx_DomFreq;0.092999
Left Lower Leg_Gx_Energy;0.022563
Left Lower Leg_Gx_SpecEnt;0.039035
Left Lower Leg_Gy_Mean;0.016532
Left Lower Leg_Gy_Median;0.017012
Left Lower Leg_Gy_Std;0.028399
Left Lower Leg_Gy_Var;0.028426
Left Lower Leg_Gy_RMS;0.027648
Left Lower Leg_Gy_AvgDeriv;0.027978
Left Lower Leg_Gy_Skew;0.014249
Left Lower Leg_Gy_Kurt;0.017944
Left Lower Leg_Gy_IQR;0.024524
Left Lower Leg_Gy_ZCR;0.016189
Left Lower Leg_Gy_MCR;0.016189
Left Lower Leg_Gy_DomFreq;0.019902
Left Lower Leg_Gy_Energy;0.029161
Left Lower Leg_Gy_SpecEnt;0.013279
Left Lower Leg_Gz_Mean;0.015880
Left Lower Leg_Gz_Median;0.016632
Left Lower Leg_Gz_Std;0.024242
Left Lower Leg_Gz_Var;0.028225
Left Lower Leg_Gz_RMS;0.024588
Left Lower Leg_Gz_AvgDeriv;0.025569
Left Lower Leg_Gz_Skew;0.014018
Left Lower Leg_Gz_Kurt;0.017507
Left Lower Leg_Gz_IQR;0.021126
Left Lower Leg_Gz_ZCR;0.015077
Left Lower Leg_Gz_MCR;0.015077
Left Lower Leg_Gz_DomFreq;0.016146
Left Lower Leg_Gz_Energy;0.027949
Left Lower Leg_Gz_SpecEnt;0.016038
Left Lower Leg_Corr_AxAy;1000000000.000000
Left Lower Leg_Corr_AxAz;1000000000.000000
Left Lower Leg_Corr_AyAz;0.013524
Left Lower Leg_Corr_GxGy;0.012130
Left Lower Leg_Corr_GxGz;0.012605
Left Lower Leg_Corr_GyGz;0.012438
Left Lower Leg_Corr_AxGx;1000000000.000000
Left Lower Leg_Corr_AyGy;0.012164
Left Lower Leg_Corr_AzGz;0.013274
Left Lower Leg_Corr_AxGy;1000000000.000000
Left Lower Leg_Corr_AxGz;1000000000.000000
Left Lower Leg_Corr_AyGx;0.012912
Left Lower Leg_Corr_AyGz;0.012407
Left Lower Leg_Corr_AzGx;0.013739
Left Lower Leg_Corr_AzGy;0.012461
Left Lower Leg_AI;0.022495
Left Lower Leg_VI;0.039125
Left Lower Leg_SMA;0.015518
Left Lower Leg_EVA1;0.029801
Left Lower Leg_EVA2;0.034913
Left Lower Leg_CAGH;1000000000.000000
Left Lower Leg_AVH;0.022779
Left Lower Leg_AVG;1000000000.000000
Left Lower Leg_ARATG;0.020229
Left Lower Leg_AAE;0.022283
Left Lower Leg_ARE;0.029190
