Feature;Score
Left Lower Leg_Ax_Mean;0.000000
Left Lower Leg_Ax_Median;0.000000
Left Lower Leg_Ax_Std;0.000000
Left Lower Leg_Ax_Var;0.000000
Left Lower Leg_Ax_RMS;0.000000
Left Lower Leg_Ax_AvgDeriv;0.000000
Left Lower Leg_Ax_Skew;0.000000
Left Lower Leg_Ax_Kurt;0.000000
Left Lower Leg_Ax_IQR;0.000000
Left Lower Leg_Ax_ZCR;0.000000
Left Lower Leg_Ax_MCR;0.000000
Left Lower Leg_Ax_DomFreq;0.000000
Left Lower Leg_Ax_Energy;0.000000
Left Lower Leg_Ax_SpecEnt;0.000000
Left Lower Leg_Ay_Mean;0.920986
Left Lower Leg_Ay_Median;0.921129
Left Lower Leg_Ay_Std;0.396997
Left Lower Leg_Ay_Var;0.082051
Left Lower Leg_Ay_RMS;1.962152
Left Lower Leg_Ay_AvgDeriv;0.842516
Left Lower Leg_Ay_Skew;0.440323
Left Lower Leg_Ay_Kurt;0.202254
Left Lower Leg_Ay_IQR;0.394600
Left Lower Leg_Ay_ZCR;5.387614
Left Lower Leg_Ay_MCR;5.387614
Left Lower Leg_Ay_DomFreq;0.024656
Left Lower Leg_Ay_Energy;1.205221
Left Lower Leg_Ay_SpecEnt;0.242955
Left Lower Leg_Az_Mean;31.665337
Left Lower Leg_Az_Median;31.647199
Left Lower Leg_Az_Std;0.413018
Left Lower Leg_Az_Var;0.088379
Left Lower Leg_Az_RMS;31.674610
Left Lower Leg_Az_AvgDeriv;0.837670
Left Lower Leg_Az_Skew;0.477548
Left Lower Leg_Az_Kurt;0.256573
Left Lower Leg_Az_IQR;0.714472
Left Lower Leg_Az_ZCR;5.486912
Left Lower Leg_Az_MCR;5.486912
Left Lower Leg_Az_DomFreq;0.000000
Left Lower Leg_Az_Energy;16.063503
Left Lower Leg_Az_SpecEnt;0.098612
Left Lower Leg_Gx_Mean;1.443981
Left Lower Leg_Gx_Median;1.443480
Left Lower Leg_Gx_Std;0.520122
Left Lower Leg_Gx_Var;0.086701
Left Lower Leg_Gx_RMS;1.876407
Left Lower Leg_Gx_AvgDeriv;1.055063
Left Lower Leg_Gx_Skew;0.505054
Left Lower Leg_Gx_Kurt;0.228435
Left Lower Leg_Gx_IQR;0.511629
Left Lower Leg_Gx_ZCR;4.263179
Left Lower Leg_Gx_MCR;4.263179
Left Lower Leg_Gx_DomFreq;0.024656
Left Lower Leg_Gx_Energy;1.127032
Left Lower Leg_Gx_SpecEnt;0.190995
Left Lower Leg_Gy_Mean;1.464884
Left Lower Leg_Gy_Median;2.421345
Left Lower Leg_Gy_Std;0.485938
Left Lower Leg_Gy_Var;0.084178
Left Lower Leg_Gy_RMS;0.911507
Left Lower Leg_Gy_AvgDeriv;1.441691
Left Lower Leg_Gy_Skew;0.612429
Left Lower Leg_Gy_Kurt;0.439085
Left Lower Leg_Gy_IQR;0.527329
Left Lower Leg_Gy_ZCR;3.351943
Left Lower Leg_Gy_MCR;3.351943
Left Lower Leg_Gy_DomFreq;0.134452
Left Lower Leg_Gy_Energy;0.107402
Left Lower Leg_Gy_SpecEnt;1.445982
Left Lower Leg_Gz_Mean;1.058092
Left Lower Leg_Gz_Median;2.997117
Left Lower Leg_Gz_Std;0.341023
Left Lower Leg_Gz_Var;0.059201
Left Lower Leg_Gz_RMS;0.578893
Left Lower Leg_Gz_AvgDeriv;0.809224
Left Lower Leg_Gz_Skew;0.526528
Left Lower Leg_Gz_Kurt;0.291437
Left Lower Leg_Gz_IQR;0.620545
Left Lower Leg_Gz_ZCR;4.233288
Left Lower Leg_Gz_MCR;4.233288
Left Lower Leg_Gz_DomFreq;0.110272
Left Lower Leg_Gz_Energy;0.067209
Left Lower Leg_Gz_SpecEnt;1.264993
Left Lower Leg_Corr_AxAy;0.000000
Left Lower Leg_Corr_AxAz;0.000000
Left Lower Leg_Corr_AyAz;0.967470
Left Lower Leg_Corr_GxGy;1.137227
Left Lower Leg_Corr_GxGz;0.971472
Left Lower Leg_Corr_GyGz;0.752496
Left Lower Leg_Corr_AxGx;0.000000
Left Lower Leg_Corr_AyGy;0.807609
Left Lower Leg_Corr_AzGz;0.783631
Left Lower Leg_Corr_AxGy;0.000000
Left Lower Leg_Corr_AxGz;0.000000
Left Lower Leg_Corr_AyGx;0.921947
Left Lower Leg_Corr_AyGz;0.859098
Left Lower Leg_Corr_AzGx;0.779736
Left Lower Leg_Corr_AzGy;0.783639
Left Lower Leg_AI;40.428691
Left Lower Leg_VI;0.087094
Left Lower Leg_SMA;22.698326
Left Lower Leg_EVA1;0.095375
Left Lower Leg_EVA2;0.062947
Left Lower Leg_CAGH;0.000000
Left Lower Leg_AVH;31.398710
Left Lower Leg_AVG;0.000000
Left Lower Leg_ARATG;1.443440
Left Lower Leg_AAE;20.482939
Left Lower Leg_ARE;0.318749
