Left Lower Leg_Ax_Mean;Left Lower Leg_Ax_Median;Left Lower Leg_Ax_Std;Left Lower Leg_Ax_Var;Left Lower Leg_Ax_RMS;Left Lower Leg_Ax_AvgDeriv;Left Lower Leg_Ax_Skew;Left Lower Leg_Ax_Kurt;Left Lower Leg_Ax_IQR;Left Lower Leg_Ax_ZCR;Left Lower Leg_Ax_MCR;Left Lower Leg_Ax_DomFreq;Left Lower Leg_Ax_Energy;Left Lower Leg_Ax_SpecEnt;Left Lower Leg_Ay_Mean;Left Lower Leg_Ay_Median;Left Lower Leg_Ay_Std;Left Lower Leg_Ay_Var;Left Lower Leg_Ay_RMS;Left Lower Leg_Ay_AvgDeriv;Left Lower Leg_Ay_Skew;Left Lower Leg_Ay_Kurt;Left Lower Leg_Ay_IQR;Left Lower Leg_Ay_ZCR;Left Lower Leg_Ay_MCR;Left Lower Leg_Ay_DomFreq;Left Lower Leg_Ay_Energy;Left Lower Leg_Ay_SpecEnt;Left Lower Leg_Az_Mean;Left Lower Leg_Az_Median;Left Lower Leg_Az_Std;Left Lower Leg_Az_Var;Left Lower Leg_Az_RMS;Left Lower Leg_Az_AvgDeriv;Left Lower Leg_Az_Skew;Left Lower Leg_Az_Kurt;Left Lower Leg_Az_IQR;Left Lower Leg_Az_ZCR;Left Lower Leg_Az_MCR;Left Lower Leg_Az_DomFreq;Left Lower Leg_Az_Energy;Left Lower Leg_Az_SpecEnt;Left Lower Leg_Gx_Mean;Left Lower Leg_Gx_Median;Left Lower Leg_Gx_Std;Left Lower Leg_Gx_Var;Left Lower Leg_Gx_RMS;Left Lower Leg_Gx_AvgDeriv;Left Lower Leg_Gx_Skew;Left Lower Leg_Gx_Kurt;Left Lower Leg_Gx_IQR;Left Lower Leg_Gx_ZCR;Left Lower Leg_Gx_MCR;Left Lower Leg_Gx_DomFreq;Left Lower Leg_Gx_Energy;Left Lower Leg_Gx_SpecEnt;Left Lower Leg_Gy_Mean;Left Lower Leg_Gy_Median;Left Lower Leg_Gy_Std;Left Lower Leg_Gy_Var;Left Lower Leg_Gy_RMS;Left Lower Leg_Gy_AvgDeriv;Left Lower Leg_Gy_Skew;Left Lower Leg_Gy_Kurt;Left Lower Leg_Gy_IQR;Left Lower Leg_Gy_ZCR;Left Lower Leg_Gy_MCR;Left Lower Leg_Gy_DomFreq;Left Lower Leg_Gy_Energy;Left Lower Leg_Gy_SpecEnt;Left Lower Leg_Gz_Mean;Left Lower Leg_Gz_Median;Left Lower Leg_Gz_Std;Left Lower Leg_Gz_Var;Left Lower Leg_Gz_RMS;Left Lower Leg_Gz_AvgDeriv;Left Lower Leg_Gz_Skew;Left Lower Leg_Gz_Kurt;Left Lower Leg_Gz_IQR;Left Lower Leg_Gz_ZCR;Left Lower Leg_Gz_MCR;Left Lower Leg_Gz_DomFreq;Left Lower Leg_Gz_Energy;Left Lower Leg_Gz_SpecEnt;Left Lower Leg_Corr_AxAy;Left Lower Leg_Corr_AxAz;Left Lower Leg_Corr_AyAz;Left Lower Leg_Corr_GxGy;Left Lower Leg_Corr_GxGz;Left Lower Leg_Corr_GyGz;Left Lower Leg_Corr_AxGx;Left Lower Leg_Corr_AyGy;Left Lower Leg_Corr_AzGz;Left Lower Leg_Corr_AxGy;Left Lower Leg_Corr_AxGz;Left Lower Leg_Corr_AyGx;Left Lower Leg_Corr_AyGz;Left Lower Leg_Corr_AzGx;Left Lower Leg_Corr_AzGy;Left Lower Leg_AI;Left Lower Leg_VI;Left Lower Leg_SMA;Left Lower Leg_EVA1;Left Lower Leg_EVA2;Left Lower Leg_CAGH;Left Lower Leg_AVH;Left Lower Leg_AVG;Left Lower Leg_ARATG;Left Lower Leg_AAE;Left Lower Leg_ARE
5.000000;5.000000;0.000000;0.000000;5.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;2550.000000;-0.000000;-1.462958;-1.464900;0.015202;0.000231;1.463037;0.013947;0.220433;5.586698;0.012675;0.431373;0.431373;0.000000;218.316931;0.000792;9.636504;9.633300;0.013840;0.000192;9.636514;0.013839;-0.197713;-0.053490;0.012400;0.411765;0.411765;0.000000;9471.955038;0.000019;-0.277651;-0.273370;0.017977;0.000323;0.278232;0.014018;0.017467;-0.231038;0.013167;0.284314;0.284314;0.000000;7.879746;0.021766;0.449874;0.428195;0.254083;0.064558;0.516667;0.151976;0.308174;-0.614179;0.398017;0.186275;0.186275;0.000000;23.943551;0.776035;-0.388928;-0.363600;0.177469;0.031495;0.427505;0.152088;-0.564249;1.294886;0.213820;0.362745;0.362745;0.000000;17.048359;0.634703;0.000000;0.000000;-0.389617;0.058340;0.044023;-0.050753;0.000000;-0.145611;-0.102391;0.000000;0.000000;-0.173082;0.319726;-0.124309;0.173690;10.954575;0.000172;16.099462;0.000299;0.000128;0.000000;9.803209;5.029297;-0.280326;120.002876;0.527118
5.000000;5.000000;0.000000;0.000000;5.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;2550.000000;-0.000000;-1.472530;-1.465000;0.048786;0.002380;1.473338;0.023915;-3.847830;18.569591;0.024575;0.362745;0.362745;0.000000;221.292713;0.006568;9.632939;9.633200;0.026858;0.000721;9.632977;0.022310;-1.913310;8.985155;0.023975;0.470588;0.470588;0.000000;9464.976222;0.000067;-0.282051;-0.273120;0.075862;0.005755;0.292075;0.027812;-2.177568;11.092236;0.025243;0.254902;0.254902;0.000000;8.408302;0.253587;0.455700;0.428195;0.627159;0.393328;0.775236;0.280500;-0.176076;10.315289;0.395647;0.215686;0.215686;0.000000;41.285803;2.260779;0.847750;-0.348075;3.899947;15.209589;3.991024;0.397224;3.314155;10.010639;0.487098;0.009804;0.009804;0.501961;849.108919;2.513053;0.000000;0.000000;-0.099950;0.650731;0.230196;0.418952;0.000000;-0.179420;-0.051154;0.000000;0.000000;-0.380393;-0.562558;0.359940;0.213518;10.952823;0.000637;16.105470;0.002414;0.000718;0.000000;9.803229;5.029297;-0.278821;119.964965;16.614567
5.000000;5.000000;0.000000;0.000000;5.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;2550.000000;-0.000000;-1.501422;-1.489200;0.082487;0.006804;1.503686;0.037873;-2.047030;6.920063;0.052100;0.215686;0.215686;0.000000;230.282316;0.015487;9.621108;9.620850;0.035806;0.001282;9.621174;0.024100;-0.775080;2.477085;0.036100;0.254902;0.254902;0.000000;9441.769134;0.000113;-0.396612;-0.363695;0.187588;0.035189;0.438738;0.053254;0.573732;0.440490;0.303248;0.068627;0.068627;0.000000;17.841399;0.576311;1.076813;0.566285;1.388700;1.928487;1.757274;0.401434;1.115644;1.363544;1.269588;0.078431;0.078431;0.000000;216.625999;1.690867;1.645510;-0.200055;5.232482;27.378864;5.485122;1.000777;1.831681;2.836371;1.032075;0.019608;0.019608;0.501961;1672.546432;2.298653;0.000000;0.000000;-0.007661;-0.038129;0.305854;0.175828;0.000000;-0.194732;-0.191072;0.000000;0.000000;-0.276299;-0.149301;0.299625;-0.110664;10.946548;0.001145;16.122529;0.006872;0.001295;0.000000;9.797805;5.029297;-0.330356;119.828069;33.367070
5.000000;5.000000;0.000000;0.000000;5.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;2550.000000;-0.000000;-1.514779;-1.504500;0.067048;0.004495;1.516263;0.030255;-2.369234;13.665627;0.036400;0.303922;0.303922;0.000000;234.274071;0.010761;9.610610;9.605800;0.030633;0.000938;9.610659;0.021306;0.000556;2.948261;0.023775;0.382353;0.382353;0.000000;9421.157594;0.000085;-0.547139;-0.577140;0.140350;0.019698;0.564854;0.040633;3.922784;17.053656;0.025962;0.147059;0.147059;0.000000;31.542648;0.238189;1.136633;0.695240;1.235809;1.527224;1.679035;0.273366;1.823348;2.307323;0.627730;0.049020;0.049020;0.000000;209.666464;1.431001;0.419978;-0.294355;3.766167;14.184014;3.789511;0.703302;2.772300;9.664968;0.333100;0.068627;0.068627;2.509804;741.522059;2.529969;0.000000;0.000000;-0.133031;0.290798;0.384596;0.208560;0.000000;-0.101652;-0.312186;0.000000;0.000000;-0.602472;0.061812;0.126761;-0.050025;10.939055;0.000895;16.125389;0.004561;0.000927;0.000000;9.789427;5.029297;-0.516738;119.663811;17.498615
5.000000;5.000000;0.000000;0.000000;5.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;2550.000000;-0.000000;-1.506341;-1.504500;0.018506;0.000342;1.506455;0.014950;-0.661952;3.494332;0.024000;0.333333;0.333333;0.000000;231.461968;0.001046;9.606346;9.605500;0.019762;0.000391;9.606366;0.018143;0.304030;6.668220;0.024000;0.441176;0.441176;0.000000;9412.772701;0.000038;-0.592416;-0.589090;0.015483;0.000240;0.592618;0.013261;0.071254;0.633199;0.024075;0.352941;0.352941;0.000000;35.809801;0.004206;0.542105;0.527895;0.197668;0.039073;0.577018;0.135083;0.087720;-0.163604;0.282728;0.235294;0.235294;0.000000;31.970926;0.401373;-0.322431;-0.312590;0.209155;0.043746;0.384327;0.172719;1.919718;12.232982;0.221205;0.392157;0.392157;0.000000;12.843936;1.048586;0.000000;0.000000;-0.459384;0.010603;0.164219;0.005040;0.000000;-0.043499;0.418155;0.000000;0.000000;-0.227143;-0.415550;0.052742;0.183399;10.933953;0.000349;16.112687;0.000542;0.000199;0.000000;9.782342;5.029297;-0.593332;119.551682;0.831854
5.000000;5.000000;0.000000;0.000000;5.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;2550.000000;-0.000000;-1.505553;-1.504500;0.013301;0.000177;1.505612;0.012052;-0.053237;-0.250132;0.024150;0.362745;0.362745;0.000000;231.211387;0.000566;9.606064;9.605500;0.013781;0.000190;9.606074;0.014599;0.290160;0.257550;0.023750;0.450980;0.450980;0.000000;9412.208693;0.000019;-0.597686;-0.601040;0.012578;0.000158;0.597819;0.010598;0.080293;-0.647516;0.012920;0.382353;0.382353;0.000000;36.445451;0.002847;0.499467;0.497770;0.149039;0.022213;0.521230;0.119344;-0.170981;0.255251;0.182962;0.333333;0.333333;0.000000;26.580810;0.308781;-0.338110;-0.327805;0.153995;0.023714;0.371527;0.131701;-0.090268;-0.794234;0.245090;0.343137;0.343137;0.000000;12.870701;0.603929;0.000000;0.000000;-0.312997;-0.156271;0.080151;-0.147117;0.000000;-0.352465;0.097890;0.000000;0.000000;0.140187;0.086515;-0.190269;0.115744;10.933588;0.000164;16.111617;0.000244;0.000127;0.000000;9.780024;5.029297;-0.599992;119.543517;0.767100
5.000000;5.000000;0.000000;0.000000;5.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;2550.000000;-0.000000;-1.505236;-1.504500;0.013815;0.000191;1.505300;0.012682;0.190896;0.721752;0.024275;0.392157;0.392157;0.000000;231.114878;0.000614;9.607099;9.605500;0.014344;0.000206;9.607110;0.015035;0.311413;0.060290;0.023800;0.480392;0.480392;0.000000;9414.238356;0.000020;-0.600703;-0.601040;0.012037;0.000145;0.600824;0.011663;0.187808;-0.521954;0.024083;0.411765;0.411765;0.000000;36.813548;0.002597;0.479444;0.481800;0.137361;0.018868;0.498733;0.118604;0.172314;-0.249002;0.184592;0.343137;0.343137;0.000000;24.411622;0.287197;-0.348742;-0.353425;0.139488;0.019457;0.375604;0.128979;0.044968;-0.432428;0.201923;0.421569;0.421569;0.000000;13.400934;0.512498;0.000000;0.000000;-0.352192;-0.171323;0.024428;-0.009894;0.000000;-0.059121;0.075267;0.000000;0.000000;0.102591;-0.086725;-0.209776;-0.004840;10.934455;0.000179;16.112335;0.000271;0.000129;0.000000;9.781808;5.029297;-0.603931;119.562484;0.750802
5.000000;5.000000;0.000000;0.000000;5.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;2550.000000;-0.000000;-1.502521;-1.504550;0.014028;0.000197;1.502586;0.012887;0.179707;0.341331;0.024300;0.352941;0.352941;0.000000;230.282019;0.000632;9.608400;9.605600;0.014105;0.000199;9.608410;0.015491;0.233833;-0.487076;0.023900;0.509804;0.509804;0.000000;9416.787921;0.000020;-0.603294;-0.601290;0.011662;0.000136;0.603407;0.010649;-0.034252;-0.710690;0.023650;0.333333;0.333333;0.000000;37.131314;0.002455;0.466024;0.458445;0.139669;0.019507;0.486504;0.117057;0.190133;-0.281194;0.208580;0.411765;0.411765;0.000000;23.148796;0.318514;-0.333915;-0.342395;0.112680;0.012697;0.352415;0.118842;0.181617;-0.158589;0.162335;0.470588;0.470588;0.000000;12.022758;0.399672;0.000000;0.000000;-0.235004;0.025869;-0.104714;0.118964;0.000000;0.073555;0.156570;0.000000;0.000000;0.062516;-0.171689;-0.181055;-0.110498;10.935225;0.000169;16.110921;0.000247;0.000153;0.000000;9.781542;5.029297;-0.606300;119.579314;0.724982
5.000000;5.000000;0.000000;0.000000;5.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;2550.000000;-0.000000;-1.501456;-1.504500;0.012553;0.000158;1.501508;0.012007;0.021074;-0.892892;0.024275;0.382353;0.382353;0.000000;229.953799;0.000517;9.608635;9.605600;0.012373;0.000153;9.608643;0.013189;0.046853;-0.426902;0.012275;0.431373;0.431373;0.000000;9417.246779;0.000015;-0.604636;-0.601290;0.012188;0.000149;0.604758;0.011067;-0.082698;-0.492193;0.012850;0.343137;0.343137;0.000000;37.297201;0.002629;0.462009;0.460515;0.148339;0.022005;0.485239;0.114754;-0.092980;-0.484506;0.211375;0.382353;0.382353;0.000000;22.894407;0.353788;-0.320045;-0.333880;0.135700;0.018415;0.347625;0.128848;0.293742;-0.034540;0.192360;0.401961;0.401961;0.000000;11.388019;0.564335;0.000000;0.000000;-0.117538;0.083435;-0.042103;0.216173;0.000000;-0.062818;0.115549;0.000000;0.000000;0.242948;-0.216455;-0.056386;-0.069001;10.935284;0.000126;16.110091;0.000175;0.000138;0.000000;9.782644;5.029297;-0.607853;119.580553;0.722033
5.000000;5.000000;0.000000;0.000000;5.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;2550.000000;-0.000000;-1.504675;-1.504600;0.013720;0.000188;1.504737;0.012700;-0.068050;-0.001339;0.024300;0.382353;0.382353;0.000000;230.942230;0.000608;9.606591;9.605550;0.010726;0.000115;9.606597;0.010224;0.211974;-0.593360;0.023875;0.333333;0.333333;0.000000;9413.238458;0.000012;-0.605487;-0.601290;0.012300;0.000151;0.605612;0.011611;-0.097411;-0.191890;0.012618;0.421569;0.421569;0.000000;37.402355;0.002639;0.471512;0.488650;0.143688;0.020646;0.492920;0.119648;-0.249248;-0.504010;0.208908;0.343137;0.343137;0.000000;23.730772;0.322361;-0.330926;-0.353250;0.170641;0.029118;0.372331;0.147497;0.041986;-0.749584;0.246020;0.343137;0.343137;0.000000;12.657873;0.712462;0.000000;0.000000;-0.072845;-0.007680;0.068277;0.055094;0.000000;-0.114805;-0.006735;0.000000;0.000000;-0.024427;-0.206538;-0.041471;-0.043371;10.933931;0.000095;16.111266;0.000192;0.000115;0.000000;9.780609;5.029297;-0.608067;119.550943;0.748366
