Left Wrist_Ax_Mean;Left Wrist_Ax_Median;Left Wrist_Ax_Std;Left Wrist_Ax_Var;Left Wrist_Ax_RMS;Left Wrist_Ax_AvgDeriv;Left Wrist_Ax_Skew;Left Wrist_Ax_Kurt;Left Wrist_Ax_IQR;Left Wrist_Ax_ZCR;Left Wrist_Ax_MCR;Left Wrist_Ax_DomFreq;Left Wrist_Ax_Energy;Left Wrist_Ax_SpecEnt;Left Wrist_Ay_Mean;Left Wrist_Ay_Median;Left Wrist_Ay_Std;Left Wrist_Ay_Var;Left Wrist_Ay_RMS;Left Wrist_Ay_AvgDeriv;Left Wrist_Ay_Skew;Left Wrist_Ay_Kurt;Left Wrist_Ay_IQR;Left Wrist_Ay_ZCR;Left Wrist_Ay_MCR;Left Wrist_Ay_DomFreq;Left Wrist_Ay_Energy;Left Wrist_Ay_SpecEnt;Left Wrist_Az_Mean;Left Wrist_Az_Median;Left Wrist_Az_Std;Left Wrist_Az_Var;Left Wrist_Az_RMS;Left Wrist_Az_AvgDeriv;Left Wrist_Az_Skew;Left Wrist_Az_Kurt;Left Wrist_Az_IQR;Left Wrist_Az_ZCR;Left Wrist_Az_MCR;Left Wrist_Az_DomFreq;Left Wrist_Az_Energy;Left Wrist_Az_SpecEnt;Left Wrist_Gx_Mean;Left Wrist_Gx_Median;Left Wrist_Gx_Std;Left Wrist_Gx_Var;Left Wrist_Gx_RMS;Left Wrist_Gx_AvgDeriv;Left Wrist_Gx_Skew;Left Wrist_Gx_Kurt;Left Wrist_Gx_IQR;Left Wrist_Gx_ZCR;Left Wrist_Gx_MCR;Left Wrist_Gx_DomFreq;Left Wrist_Gx_Energy;Left Wrist_Gx_SpecEnt;Left Wrist_Gy_Mean;Left Wrist_Gy_Median;Left Wrist_Gy_Std;Left Wrist_Gy_Var;Left Wrist_Gy_RMS;Left Wrist_Gy_AvgDeriv;Left Wrist_Gy_Skew;Left Wrist_Gy_Kurt;Left Wrist_Gy_IQR;Left Wrist_Gy_ZCR;Left Wrist_Gy_MCR;Left Wrist_Gy_DomFreq;Left Wrist_Gy_Energy;Left Wrist_Gy_SpecEnt;Left Wrist_Gz_Mean;Left Wrist_Gz_Median;Left Wrist_Gz_Std;Left Wrist_Gz_Var;Left Wrist_Gz_RMS;Left Wrist_Gz_AvgDeriv;Left Wrist_Gz_Skew;Left Wrist_Gz_Kurt;Left Wrist_Gz_IQR;Left Wrist_Gz_ZCR;Left Wrist_Gz_MCR;Left Wrist_Gz_DomFreq;Left Wrist_Gz_Energy;Left Wrist_Gz_SpecEnt;Left Wrist_Corr_AxAy;Left Wrist_Corr_AxAz;Left Wrist_Corr_AyAz;Left Wrist_Corr_GxGy;Left Wrist_Corr_GxGz;Left Wrist_Corr_GyGz;Left Wrist_Corr_AxGx;Left Wrist_Corr_AyGy;Left Wrist_Corr_AzGz;Left Wrist_Corr_AxGy;Left Wrist_Corr_AxGz;Left Wrist_Corr_AyGx;Left Wrist_Corr_AyGz;Left Wrist_Corr_AzGx;Left Wrist_Corr_AzGy;Left Wrist_AI;Left Wrist_VI;Left Wrist_SMA;Left Wrist_EVA1;Left Wrist_EVA2;Left Wrist_CAGH;Left Wrist_AVH;Left Wrist_AVG;Left Wrist_ARATG;Left Wrist_AAE;Left Wrist_ARE
1.000000;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;102.000000;-0.000000;-3.019832;-2.931700;0.572713;0.328000;3.073660;0.240376;-0.570335;1.310618;0.626900;0.176471;0.176471;0.000000;946.910028;0.131751;9.468251;9.038500;2.463418;6.068430;9.783466;0.640759;0.579059;0.703216;2.473775;0.117647;0.117647;0.000000;9453.563215;0.213962;2.702332;2.554500;0.652983;0.426387;2.780106;0.270118;0.375817;0.168376;0.958300;0.078431;0.078431;0.000000;766.615996;0.203032;-9.308835;-16.380000;38.115777;1452.812463;39.236041;4.965611;0.499453;-0.756452;50.894250;0.039216;0.039216;1.003922;82933.810766;1.786660;0.720746;5.040350;21.665990;469.415104;21.677975;5.328080;-0.229987;-0.828454;36.533000;0.068627;0.068627;1.003922;23999.366862;1.910791;0.000000;0.000000;-0.583816;0.613573;0.060197;0.273934;0.000000;0.122223;-0.025271;0.000000;0.000000;0.195697;-0.112749;0.044754;0.161527;10.013905;5.885307;13.488083;6.245507;0.214254;0.000000;10.231227;1.005859;2.657291;106.163594;2017.130443
1.000000;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;102.000000;-0.000000;-1.122317;-1.000275;0.965900;0.932962;1.480729;0.240297;-0.152754;-0.286848;1.361792;0.098039;0.098039;0.000000;176.060253;1.085195;9.682782;9.108250;3.197492;10.223952;10.197069;0.964114;1.645296;3.687690;3.008325;0.107843;0.107843;0.000000;10084.582519;0.331677;1.266375;1.114150;0.668305;0.446631;1.431899;0.206959;0.798999;0.573770;0.645925;0.137255;0.137255;0.000000;186.356148;0.645774;0.585316;0.453957;8.625071;74.391850;8.644909;3.369723;0.014287;0.778244;9.189250;0.088235;0.088235;2.509804;3828.987404;2.991167;-2.320895;-0.291730;43.293348;1874.313953;43.355513;7.554480;-0.508143;-0.035119;48.207000;0.088235;0.088235;0.501961;96139.567181;1.818213;0.000000;0.000000;0.257133;0.210132;0.325406;0.234517;0.000000;-0.301782;-0.377183;0.000000;0.000000;0.067163;-0.521172;0.200068;0.224679;9.861565;9.922323;11.895101;10.393237;0.874142;0.000000;9.653698;1.005859;1.242628;107.172785;1956.485286
1.000000;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;102.000000;-0.000000;0.406818;0.109840;1.183957;1.401753;1.251900;0.330106;0.689041;0.521426;1.465860;0.078431;0.078431;2.509804;88.370487;2.150036;10.245324;9.428950;2.506570;6.282895;10.547490;0.628253;1.516361;2.812650;3.460725;0.088235;0.088235;0.000000;11027.027382;0.189881;2.308837;2.165450;1.019005;1.038372;2.523707;0.278005;0.473601;-0.042208;1.444350;0.127451;0.127451;0.000000;596.701226;0.502346;-11.927412;-13.935500;68.891888;4746.092208;69.916775;8.643533;0.890251;0.318310;92.394250;0.088235;0.088235;0.501961;256580.499786;1.619073;-10.990160;-16.799000;86.462453;7475.755831;87.158129;18.501277;0.599738;1.308617;90.368000;0.098039;0.098039;0.501961;393596.877270;2.039985;0.000000;0.000000;0.002202;0.203531;0.139079;0.494774;0.000000;-0.071260;-0.141177;0.000000;0.000000;-0.263934;-0.251731;-0.425660;0.125508;10.374424;6.188133;12.178544;6.345111;1.415623;0.000000;10.043646;1.005859;2.391131;113.816804;12491.263911
1.000000;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;102.000000;-0.000000;-2.762037;-2.815650;0.995569;0.991158;2.935985;0.285037;0.547401;1.418909;1.191250;0.137255;0.137255;0.000000;828.691957;0.365628;9.365885;8.758050;3.511230;12.328737;10.002427;0.871987;0.722256;-0.229446;5.330625;0.068627;0.068627;0.000000;9576.189498;0.349849;3.132873;2.907900;1.281901;1.643271;3.384991;0.291893;0.768747;-0.103019;1.540450;0.058824;0.058824;0.000000;1084.925793;0.409846;9.101766;11.767500;26.707024;713.265157;28.215374;4.304838;-0.249236;-0.599762;40.090750;0.068627;0.068627;0.501961;44835.269838;2.322928;-47.914986;-51.344000;54.072730;2923.860152;72.247533;11.059451;0.626125;1.596227;51.557250;0.088235;0.088235;0.000000;383334.531116;1.594000;0.000000;0.000000;-0.683160;0.146708;-0.333766;-0.694771;0.000000;-0.349356;-0.030323;0.000000;0.000000;-0.299963;-0.031344;0.454295;0.145166;9.857314;12.501918;13.139011;12.938068;0.513707;0.000000;9.802062;1.005859;3.373269;109.668553;6027.271526
1.000000;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;102.000000;-0.000000;-2.393801;-1.994650;1.830420;3.350436;3.013423;0.394442;-1.230790;1.008665;1.080200;0.009804;0.009804;0.000000;755.657572;0.922252;9.335999;9.535450;1.568987;2.461719;9.466921;0.352308;-0.656228;-0.054033;2.215850;0.049020;0.049020;0.000000;9015.957191;0.102813;0.186236;0.607015;2.166484;4.693652;2.174474;0.323681;-0.349764;-0.758555;3.635175;0.029412;0.029412;0.501961;242.925559;1.866460;-21.221733;-20.743000;30.478501;928.939017;37.138941;4.667091;-0.567779;-0.002890;41.693650;0.058824;0.058824;0.000000;93313.849731;1.439001;34.080995;40.618000;39.392544;1551.772490;52.089219;8.082119;-1.311971;2.190216;30.343500;0.088235;0.088235;0.000000;197614.881121;1.410716;0.000000;0.000000;0.567663;0.488628;0.000336;-0.467594;0.000000;-0.410949;0.420948;0.000000;0.000000;0.438107;0.567258;0.401910;-0.372992;9.911391;1.467639;12.745851;4.641329;1.228372;0.000000;9.608313;1.005859;-0.726026;99.703314;4097.316010
1.000000;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;102.000000;-0.000000;-1.025183;-0.561530;1.452185;2.108841;1.777594;0.231405;-1.346223;0.822006;0.894575;0.039216;0.039216;0.000000;214.753105;1.513848;9.479528;8.744800;2.891071;8.358294;9.910588;0.607317;1.443105;1.517335;2.365825;0.068627;0.068627;0.000000;9592.142712;0.261330;2.732518;2.647600;0.767699;0.589361;2.838312;0.157552;1.459692;2.464519;0.923400;0.068627;0.068627;0.000000;791.656598;0.236778;1.177923;2.332600;13.716166;188.133198;13.766652;2.600207;0.104876;0.445349;16.227225;0.068627;0.068627;1.003922;9737.101304;2.153759;-9.588308;-10.885000;36.780267;1352.788077;38.009522;9.190385;0.123815;0.093127;42.236200;0.098039;0.098039;2.007843;78371.875500;2.015959;0.000000;0.000000;0.166687;0.524041;-0.373338;-0.268850;0.000000;-0.067360;-0.069977;0.000000;0.000000;0.169923;-0.287563;0.422857;-0.000689;9.724844;7.807004;11.626296;8.519221;2.051548;0.000000;9.467656;1.005859;2.794397;102.379595;1642.300444
1.000000;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;102.000000;-0.000000;-3.223670;-3.030100;1.145197;1.311476;3.421041;0.461620;-0.142559;0.143114;1.481300;0.137255;0.137255;0.000000;1126.876085;0.351764;9.417815;8.638000;3.350738;11.227443;9.996133;0.922663;1.690121;3.557569;3.292000;0.098039;0.098039;0.000000;9619.544528;0.355943;2.197610;1.975700;1.168565;1.365543;2.488982;0.340480;0.643489;0.525303;1.566325;0.088235;0.088235;0.000000;562.258572;0.675060;3.481147;4.624200;29.330779;860.294591;29.536638;4.772861;0.029257;-0.094367;37.763250;0.039216;0.039216;0.501961;45111.396048;1.564869;5.112811;21.376000;65.883093;4340.581917;66.081183;19.175901;-0.704520;-0.047318;86.429500;0.107843;0.107843;3.011765;224041.581445;2.034600;0.000000;0.000000;-0.447854;0.349818;0.000863;0.190587;0.000000;-0.045070;-0.105933;0.000000;0.000000;-0.177163;-0.062913;0.237684;0.277457;10.074480;11.131058;13.641485;11.630862;1.032204;0.000000;10.086235;1.005859;2.069433;112.626200;5245.330759
1.000000;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;102.000000;-0.000000;-2.298170;-1.996800;1.146792;1.315132;2.568408;0.232196;-1.259950;1.852688;1.006125;0.078431;0.078431;0.000000;605.793652;0.546127;9.580576;9.426400;1.995163;3.980675;9.786119;0.488161;0.529073;0.097741;2.655075;0.107843;0.107843;0.000000;9565.334137;0.146895;2.149184;2.195500;0.595433;0.354541;2.230142;0.201570;-0.217044;-0.048736;0.751600;0.127451;0.127451;0.000000;489.220309;0.255560;3.523106;-0.699665;15.486773;239.840130;15.882456;3.329806;0.703142;-0.509031;22.772000;0.058824;0.058824;1.505882;13498.270660;2.010258;-6.638558;-19.493500;52.716369;2779.015595;53.132721;9.892196;0.857688;0.301755;60.368250;0.058824;0.058824;1.505882;146234.527819;1.913204;0.000000;0.000000;-0.482141;0.137699;0.118485;-0.340380;0.000000;0.001734;-0.076415;0.000000;0.000000;0.033973;-0.486258;-0.138366;0.250810;9.955553;4.251799;12.878747;4.421346;0.926894;0.000000;9.699902;1.005859;2.176638;103.364838;3080.311986
1.000000;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;102.000000;-0.000000;-4.005084;-4.108000;1.241407;1.541091;4.193064;0.394128;0.204568;-0.059171;1.640875;0.107843;0.107843;0.000000;1714.748198;0.303251;8.858186;8.798800;2.656591;7.057474;9.247969;0.753878;0.605087;0.145586;3.469375;0.098039;0.098039;0.000000;8363.615345;0.261324;2.891098;3.269150;1.771458;3.138065;3.390651;0.385380;-0.723625;0.588417;1.791650;0.058824;0.058824;0.000000;1012.616743;0.693261;-5.557846;-14.174000;52.388071;2744.510009;52.682062;7.205997;0.052614;-0.467916;77.684750;0.029412;0.029412;1.505882;143122.017159;1.123772;2.398610;-9.088100;85.740249;7351.390230;85.773793;21.675115;0.235301;0.747207;92.247500;0.088235;0.088235;3.011765;375596.140075;2.182623;0.000000;0.000000;-0.377186;0.506194;-0.246109;-0.378377;0.000000;-0.372481;-0.500394;0.000000;0.000000;-0.490371;-0.029047;0.600423;0.373258;9.853743;7.010468;13.863270;7.397526;1.286173;0.000000;9.748947;1.005859;2.542081;104.106727;10144.039734
1.000000;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;102.000000;-0.000000;-2.119068;-1.956150;0.924807;0.855268;2.312081;0.291238;-0.602498;-0.658328;1.347450;0.107843;0.107843;0.000000;501.651801;0.493428;9.722424;9.592150;1.725789;2.978347;9.874405;0.508296;0.424176;-0.596981;2.686200;0.107843;0.107843;0.000000;9793.499249;0.106558;1.457689;1.305350;1.001451;1.002903;1.768547;0.227943;0.412620;-0.503443;1.489110;0.049020;0.049020;0.000000;267.890758;0.873428;0.185433;-5.346100;36.861895;1358.799273;36.862361;5.977455;0.399083;-0.426299;44.824750;0.058824;0.058824;1.505882;69306.208438;1.385337;7.761068;12.108000;57.199641;3271.798968;57.723766;15.231992;-0.446199;0.645338;57.203750;0.107843;0.107843;1.003922;173008.732665;2.319486;0.000000;0.000000;0.031474;0.693632;-0.158871;-0.209580;0.000000;-0.287624;-0.181443;0.000000;0.000000;-0.602619;0.017129;0.121943;0.344919;10.049380;2.859553;12.841492;3.009035;0.862536;0.000000;9.874693;1.005859;1.346506;103.849584;4693.994557
