Feature;Score
Left Wrist_Ax_Mean;0.000000
Left Wrist_Ax_Median;0.000000
Left Wrist_Ax_Std;0.000000
Left Wrist_Ax_Var;0.000000
Left Wrist_Ax_RMS;0.000000
Left Wrist_Ax_AvgDeriv;0.000000
Left Wrist_Ax_Skew;0.000000
Left Wrist_Ax_Kurt;0.000000
Left Wrist_Ax_IQR;0.000000
Left Wrist_Ax_ZCR;0.000000
Left Wrist_Ax_MCR;0.000000
Left Wrist_Ax_DomFreq;0.000000
Left Wrist_Ax_Energy;0.000000
Left Wrist_Ax_SpecEnt;0.000000
Left Wrist_Ay_Mean;3.025122
Left Wrist_Ay_Median;3.020586
Left Wrist_Ay_Std;0.504826
Left Wrist_Ay_Var;0.074448
Left Wrist_Ay_RMS;3.037869
Left Wrist_Ay_AvgDeriv;1.503469
Left Wrist_Ay_Skew;0.649085
Left Wrist_Ay_Kurt;0.476231
Left Wrist_Ay_IQR;0.413727
Left Wrist_Ay_ZCR;3.308267
Left Wrist_Ay_MCR;3.308267
Left Wrist_Ay_DomFreq;0.035245
Left Wrist_Ay_Energy;1.717159
Left Wrist_Ay_SpecEnt;0.108053
Left Wrist_Az_Mean;1.713955
Left Wrist_Az_Median;1.710339
Left Wrist_Az_Std;0.347286
Left Wrist_Az_Var;0.052165
Left Wrist_Az_RMS;1.790773
Left Wrist_Az_AvgDeriv;1.705190
Left Wrist_Az_Skew;0.695830
Left Wrist_Az_Kurt;0.464056
Left Wrist_Az_IQR;0.256371
Left Wrist_Az_ZCR;3.058840
Left Wrist_Az_MCR;3.058840
Left Wrist_Az_DomFreq;0.024915
Left Wrist_Az_Energy;1.036409
Left Wrist_Az_SpecEnt;0.238315
Left Wrist_Gx_Mean;5.066265
Left Wrist_Gx_Median;5.058853
Left Wrist_Gx_Std;0.457325
Left Wrist_Gx_Var;0.055243
Left Wrist_Gx_RMS;5.067510
Left Wrist_Gx_AvgDeriv;1.686327
Left Wrist_Gx_Skew;0.650562
Left Wrist_Gx_Kurt;0.479842
Left Wrist_Gx_IQR;0.339170
Left Wrist_Gx_ZCR;3.759619
Left Wrist_Gx_MCR;3.759619
Left Wrist_Gx_DomFreq;0.000000
Left Wrist_Gx_Energy;2.736061
Left Wrist_Gx_SpecEnt;0.081335
Left Wrist_Gy_Mean;1.836849
Left Wrist_Gy_Median;3.032897
Left Wrist_Gy_Std;0.415980
Left Wrist_Gy_Var;0.070124
Left Wrist_Gy_RMS;0.797266
Left Wrist_Gy_AvgDeriv;0.850223
Left Wrist_Gy_Skew;0.753893
Left Wrist_Gy_Kurt;0.573525
Left Wrist_Gy_IQR;0.500729
Left Wrist_Gy_ZCR;2.050923
Left Wrist_Gy_MCR;2.050923
Left Wrist_Gy_DomFreq;0.166899
Left Wrist_Gy_Energy;0.104435
Left Wrist_Gy_SpecEnt;1.143110
Left Wrist_Gz_Mean;0.157633
Left Wrist_Gz_Median;0.240917
Left Wrist_Gz_Std;0.351881
Left Wrist_Gz_Var;0.067176
Left Wrist_Gz_RMS;0.330184
Left Wrist_Gz_AvgDeriv;0.768822
Left Wrist_Gz_Skew;0.639045
Left Wrist_Gz_Kurt;0.501076
Left Wrist_Gz_IQR;0.434225
Left Wrist_Gz_ZCR;2.758400
Left Wrist_Gz_MCR;2.758400
Left Wrist_Gz_DomFreq;0.925638
Left Wrist_Gz_Energy;0.062162
Left Wrist_Gz_SpecEnt;6.892035
Left Wrist_Corr_AxAy;0.000000
Left Wrist_Corr_AxAz;0.000000
Left Wrist_Corr_AyAz;0.955318
Left Wrist_Corr_GxGy;0.837893
Left Wrist_Corr_GxGz;0.992557
Left Wrist_Corr_GyGz;1.195755
Left Wrist_Corr_AxGx;0.000000
Left Wrist_Corr_AyGy;0.818862
Left Wrist_Corr_AzGz;0.810030
Left Wrist_Corr_AxGy;0.000000
Left Wrist_Corr_AxGz;0.000000
Left Wrist_Corr_AyGx;1.149924
Left Wrist_Corr_AyGz;1.227787
Left Wrist_Corr_AzGx;0.816881
Left Wrist_Corr_AzGy;0.806443
Left Wrist_AI;3.963332
Left Wrist_VI;0.066501
Left Wrist_SMA;4.037832
Left Wrist_EVA1;0.059760
Left Wrist_EVA2;0.075966
Left Wrist_CAGH;0.000000
Left Wrist_AVH;3.833880
Left Wrist_AVG;0.000000
Left Wrist_ARATG;5.064116
Left Wrist_AAE;2.211192
Left Wrist_ARE;0.213096
