Feature;Score
Left Wrist_Ax_Mean;1000000000.000000
Left Wrist_Ax_Median;1000000000.000000
Left Wrist_Ax_Std;1000000000.000000
Left Wrist_Ax_Var;1000000000.000000
Left Wrist_Ax_RMS;1000000000.000000
Left Wrist_Ax_AvgDeriv;1000000000.000000
Left Wrist_Ax_Skew;1000000000.000000
Left Wrist_Ax_Kurt;1000000000.000000
Left Wrist_Ax_IQR;1000000000.000000
Left Wrist_Ax_ZCR;1000000000.000000
Left Wrist_Ax_MCR;1000000000.000000
Left Wrist_Ax_DomFreq;1000000000.000000
Left Wrist_Ax_Energy;1000000000.000000
Left Wrist_Ax_SpecEnt;1000000000.000000
Left Wrist_Ay_Mean;0.015964
Left Wrist_Ay_Median;0.015751
Left Wrist_Ay_Std;0.029179
Left Wrist_Ay_Var;0.028019
Left Wrist_Ay_RMS;0.016747
Left Wrist_Ay_AvgDeriv;0.027060
Left Wrist_Ay_Skew;0.011949
Left Wrist_Ay_Kurt;0.015801
Left Wrist_Ay_IQR;0.026467
Left Wrist_Ay_ZCR;0.014208
Left Wrist_Ay_MCR;0.014208
Left Wrist_Ay_DomFreq;0.049870
Left Wrist_Ay_Energy;0.018334
Left Wrist_Ay_SpecEnt;0.025608
Left Wrist_Az_Mean;0.029404
Left Wrist_Az_Median;0.030078
Left Wrist_Az_Std;0.036391
Left Wrist_Az_Var;0.036860
Left Wrist_Az_RMS;0.027111
Left Wrist_Az_AvgDeriv;0.027035
Left Wrist_Az_Skew;0.014099
Left Wrist_Az_Kurt;0.026441
Left Wrist_Az_IQR;0.036029
Left Wrist_Az_ZCR;0.019687
Left Wrist_Az_MCR;0.019687
Left Wrist_Az_DomFreq;1000000000.000000
Left Wrist_Az_Energy;0.025582
Left Wrist_Az_SpecEnt;0.042016
Left Wrist_Gx_Mean;0.017494
Left Wrist_Gx_Median;0.017343
Left Wrist_Gx_Std;0.034881
Left Wrist_Gx_Var;0.043034
Left Wrist_Gx_RMS;0.019939
Left Wrist_Gx_AvgDeriv;0.028644
Left Wrist_Gx_Skew;0.013452
Left Wrist_Gx_Kurt;0.019855
Left Wrist_Gx_IQR;0.034327
Left Wrist_Gx_ZCR;0.017033
Left Wrist_Gx_MCR;0.017033
Left Wrist_Gx_DomFreq;0.072152
Left Wrist_Gx_Energy;0.025624
Left Wrist_Gx_SpecEnt;0.025770
Left Wrist_Gy_Mean;0.027833
Left Wrist_Gy_Median;0.025671
Left Wrist_Gy_Std;0.030597
Left Wrist_Gy_Var;0.035704
Left Wrist_Gy_RMS;0.032251
Left Wrist_Gy_AvgDeriv;0.028014
Left Wrist_Gy_Skew;0.012940
Left Wrist_Gy_Kurt;0.020958
Left Wrist_Gy_IQR;0.029975
Left Wrist_Gy_ZCR;0.015566
Left Wrist_Gy_MCR;0.015566
Left Wrist_Gy_DomFreq;0.016471
Left Wrist_Gy_Energy;0.037626
Left Wrist_Gy_SpecEnt;0.014183
Left Wrist_Gz_Mean;0.019034
Left Wrist_Gz_Median;0.016860
Left Wrist_Gz_Std;0.024775
Left Wrist_Gz_Var;0.030179
Left Wrist_Gz_RMS;0.025307
Left Wrist_Gz_AvgDeriv;0.025636
Left Wrist_Gz_Skew;0.011798
Left Wrist_Gz_Kurt;0.014095
Left Wrist_Gz_IQR;0.023100
Left Wrist_Gz_ZCR;0.013186
Left Wrist_Gz_MCR;0.013186
Left Wrist_Gz_DomFreq;0.014244
Left Wrist_Gz_Energy;0.028755
Left Wrist_Gz_SpecEnt;0.011125
Left Wrist_Corr_AxAy;1000000000.000000
Left Wrist_Corr_AxAz;1000000000.000000
Left Wrist_Corr_AyAz;0.012047
Left Wrist_Corr_GxGy;0.011807
Left Wrist_Corr_GxGz;0.011261
Left Wrist_Corr_GyGz;0.012270
Left Wrist_Corr_AxGx;1000000000.000000
Left Wrist_Corr_AyGy;0.012029
Left Wrist_Corr_AzGz;0.012182
Left Wrist_Corr_AxGy;1000000000.000000
Left Wrist_Corr_AxGz;1000000000.000000
Left Wrist_Corr_AyGx;0.012206
Left Wrist_Corr_AyGz;0.011410
Left Wrist_Corr_AzGx;0.014526
Left Wrist_Corr_AzGy;0.011478
Left Wrist_AI;0.027483
Left Wrist_VI;0.034418
Left Wrist_SMA;0.015775
Left Wrist_EVA1;0.035420
Left Wrist_EVA2;0.032934
Left Wrist_CAGH;1000000000.000000
Left Wrist_AVH;0.030333
Left Wrist_AVG;1000000000.000000
Left Wrist_ARATG;0.020444
Left Wrist_AAE;0.024575
Left Wrist_ARE;0.030752
