Feature;Score
Right Upper Leg_Ax_Mean;0.000000
Right Upper Leg_Ax_Median;0.000000
Right Upper Leg_Ax_Std;0.000000
Right Upper Leg_Ax_Var;0.000000
Right Upper Leg_Ax_RMS;0.000000
Right Upper Leg_Ax_AvgDeriv;0.000000
Right Upper Leg_Ax_Skew;0.000000
Right Upper Leg_Ax_Kurt;0.000000
Right Upper Leg_Ax_IQR;0.000000
Right Upper Leg_Ax_ZCR;0.000000
Right Upper Leg_Ax_MCR;0.000000
Right Upper Leg_Ax_DomFreq;0.000000
Right Upper Leg_Ax_Energy;0.000000
Right Upper Leg_Ax_SpecEnt;0.000000
Right Upper Leg_Ay_Mean;1.051475
Right Upper Leg_Ay_Median;1.005005
Right Upper Leg_Ay_Std;3.775824
Right Upper Leg_Ay_Var;2.113798
Right Upper Leg_Ay_RMS;3.876919
Right Upper Leg_Ay_AvgDeriv;2.913012
Right Upper Leg_Ay_Skew;0.883276
Right Upper Leg_Ay_Kurt;0.874269
Right Upper Leg_Ay_IQR;3.975980
Right Upper Leg_Ay_ZCR;4.171969
Right Upper Leg_Ay_MCR;4.171969
Right Upper Leg_Ay_DomFreq;0.800676
Right Upper Leg_Ay_Energy;1.857357
Right Upper Leg_Ay_SpecEnt;4.996332
Right Upper Leg_Az_Mean;2.987985
Right Upper Leg_Az_Median;2.340122
Right Upper Leg_Az_Std;1.896129
Right Upper Leg_Az_Var;0.876267
Right Upper Leg_Az_RMS;18.952819
Right Upper Leg_Az_AvgDeriv;2.063105
Right Upper Leg_Az_Skew;1.469872
Right Upper Leg_Az_Kurt;0.977884
Right Upper Leg_Az_IQR;1.146794
Right Upper Leg_Az_ZCR;3.786901
Right Upper Leg_Az_MCR;3.786901
Right Upper Leg_Az_DomFreq;0.267261
Right Upper Leg_Az_Energy;6.406637
Right Upper Leg_Az_SpecEnt;1.037845
Right Upper Leg_Gx_Mean;0.660224
Right Upper Leg_Gx_Median;0.664225
Right Upper Leg_Gx_Std;3.450611
Right Upper Leg_Gx_Var;1.770498
Right Upper Leg_Gx_RMS;2.637659
Right Upper Leg_Gx_AvgDeriv;2.157091
Right Upper Leg_Gx_Skew;1.149546
Right Upper Leg_Gx_Kurt;0.899638
Right Upper Leg_Gx_IQR;3.496916
Right Upper Leg_Gx_ZCR;2.430240
Right Upper Leg_Gx_MCR;2.430240
Right Upper Leg_Gx_DomFreq;0.900998
Right Upper Leg_Gx_Energy;0.905936
Right Upper Leg_Gx_SpecEnt;3.292153
Right Upper Leg_Gy_Mean;0.869630
Right Upper Leg_Gy_Median;1.167280
Right Upper Leg_Gy_Std;2.145527
Right Upper Leg_Gy_Var;0.780096
Right Upper Leg_Gy_RMS;2.171192
Right Upper Leg_Gy_AvgDeriv;1.396577
Right Upper Leg_Gy_Skew;1.312485
Right Upper Leg_Gy_Kurt;0.780684
Right Upper Leg_Gy_IQR;2.444108
Right Upper Leg_Gy_ZCR;2.663089
Right Upper Leg_Gy_MCR;2.663089
Right Upper Leg_Gy_DomFreq;2.549511
Right Upper Leg_Gy_Energy;0.800025
Right Upper Leg_Gy_SpecEnt;6.443652
Right Upper Leg_Gz_Mean;0.765332
Right Upper Leg_Gz_Median;0.765422
Right Upper Leg_Gz_Std;4.102832
Right Upper Leg_Gz_Var;2.178033
Right Upper Leg_Gz_RMS;3.684028
Right Upper Leg_Gz_AvgDeriv;3.145947
Right Upper Leg_Gz_Skew;0.806223
Right Upper Leg_Gz_Kurt;0.707084
Right Upper Leg_Gz_IQR;3.111338
Right Upper Leg_Gz_ZCR;3.734462
Right Upper Leg_Gz_MCR;3.734462
Right Upper Leg_Gz_DomFreq;0.845154
Right Upper Leg_Gz_Energy;1.486857
Right Upper Leg_Gz_SpecEnt;2.742191
Right Upper Leg_Corr_AxAy;0.000000
Right Upper Leg_Corr_AxAz;0.000000
Right Upper Leg_Corr_AyAz;1.031805
Right Upper Leg_Corr_GxGy;0.886549
Right Upper Leg_Corr_GxGz;1.070188
Right Upper Leg_Corr_GyGz;1.268558
Right Upper Leg_Corr_AxGx;0.000000
Right Upper Leg_Corr_AyGy;0.861627
Right Upper Leg_Corr_AzGz;0.972819
Right Upper Leg_Corr_AxGy;0.000000
Right Upper Leg_Corr_AxGz;0.000000
Right Upper Leg_Corr_AyGx;1.120522
Right Upper Leg_Corr_AyGz;1.093211
Right Upper Leg_Corr_AzGx;0.828049
Right Upper Leg_Corr_AzGy;1.139841
Right Upper Leg_AI;23.320240
Right Upper Leg_VI;1.472421
Right Upper Leg_SMA;21.740651
Right Upper Leg_EVA1;0.935232
Right Upper Leg_EVA2;2.114006
Right Upper Leg_CAGH;0.000000
Right Upper Leg_AVH;5.526504
Right Upper Leg_AVG;0.000000
Right Upper Leg_ARATG;0.694279
Right Upper Leg_AAE;10.170068
Right Upper Leg_ARE;1.403776
