Right Upper Leg_Ax_Mean;Right Upper Leg_Ax_Median;Right Upper Leg_Ax_Std;Right Upper Leg_Ax_Var;Right Upper Leg_Ax_RMS;Right Upper Leg_Ax_AvgDeriv;Right Upper Leg_Ax_Skew;Right Upper Leg_Ax_Kurt;Right Upper Leg_Ax_IQR;Right Upper Leg_Ax_ZCR;Right Upper Leg_Ax_MCR;Right Upper Leg_Ax_DomFreq;Right Upper Leg_Ax_Energy;Right Upper Leg_Ax_SpecEnt;Right Upper Leg_Ay_Mean;Right Upper Leg_Ay_Median;Right Upper Leg_Ay_Std;Right Upper Leg_Ay_Var;Right Upper Leg_Ay_RMS;Right Upper Leg_Ay_AvgDeriv;Right Upper Leg_Ay_Skew;Right Upper Leg_Ay_Kurt;Right Upper Leg_Ay_IQR;Right Upper Leg_Ay_ZCR;Right Upper Leg_Ay_MCR;Right Upper Leg_Ay_DomFreq;Right Upper Leg_Ay_Energy;Right Upper Leg_Ay_SpecEnt;Right Upper Leg_Az_Mean;Right Upper Leg_Az_Median;Right Upper Leg_Az_Std;Right Upper Leg_Az_Var;Right Upper Leg_Az_RMS;Right Upper Leg_Az_AvgDeriv;Right Upper Leg_Az_Skew;Right Upper Leg_Az_Kurt;Right Upper Leg_Az_IQR;Right Upper Leg_Az_ZCR;Right Upper Leg_Az_MCR;Right Upper Leg_Az_DomFreq;Right Upper Leg_Az_Energy;Right Upper Leg_Az_SpecEnt;Right Upper Leg_Gx_Mean;Right Upper Leg_Gx_Median;Right Upper Leg_Gx_Std;Right Upper Leg_Gx_Var;Right Upper Leg_Gx_RMS;Right Upper Leg_Gx_AvgDeriv;Right Upper Leg_Gx_Skew;Right Upper Leg_Gx_Kurt;Right Upper Leg_Gx_IQR;Right Upper Leg_Gx_ZCR;Right Upper Leg_Gx_MCR;Right Upper Leg_Gx_DomFreq;Right Upper Leg_Gx_Energy;Right Upper Leg_Gx_SpecEnt;Right Upper Leg_Gy_Mean;Right Upper Leg_Gy_Median;Right Upper Leg_Gy_Std;Right Upper Leg_Gy_Var;Right Upper Leg_Gy_RMS;Right Upper Leg_Gy_AvgDeriv;Right Upper Leg_Gy_Skew;Right Upper Leg_Gy_Kurt;Right Upper Leg_Gy_IQR;Right Upper Leg_Gy_ZCR;Right Upper Leg_Gy_MCR;Right Upper Leg_Gy_DomFreq;Right Upper Leg_Gy_Energy;Right Upper Leg_Gy_SpecEnt;Right Upper Leg_Gz_Mean;Right Upper Leg_Gz_Median;Right Upper Leg_Gz_Std;Right Upper Leg_Gz_Var;Right Upper Leg_Gz_RMS;Right Upper Leg_Gz_AvgDeriv;Right Upper Leg_Gz_Skew;Right Upper Leg_Gz_Kurt;Right Upper Leg_Gz_IQR;Right Upper Leg_Gz_ZCR;Right Upper Leg_Gz_MCR;Right Upper Leg_Gz_DomFreq;Right Upper Leg_Gz_Energy;Right Upper Leg_Gz_SpecEnt;Right Upper Leg_Corr_AxAy;Right Upper Leg_Corr_AxAz;Right Upper Leg_Corr_AyAz;Right Upper Leg_Corr_GxGy;Right Upper Leg_Corr_GxGz;Right Upper Leg_Corr_GyGz;Right Upper Leg_Corr_AxGx;Right Upper Leg_Corr_AyGy;Right Upper Leg_Corr_AzGz;Right Upper Leg_Corr_AxGy;Right Upper Leg_Corr_AxGz;Right Upper Leg_Corr_AyGx;Right Upper Leg_Corr_AyGz;Right Upper Leg_Corr_AzGx;Right Upper Leg_Corr_AzGy;Right Upper Leg_AI;Right Upper Leg_VI;Right Upper Leg_SMA;Right Upper Leg_EVA1;Right Upper Leg_EVA2;Right Upper Leg_CAGH;Right Upper Leg_AVH;Right Upper Leg_AVG;Right Upper Leg_ARATG;Right Upper Leg_AAE;Right Upper Leg_ARE
4.000000;4.000000;0.000000;0.000000;4.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1632.000000;-0.000000;1.093131;0.984720;1.497822;2.243471;1.854294;0.745443;0.333421;-0.087872;1.705875;0.235294;0.235294;0.000000;236.300546;1.933736;9.931038;9.952400;2.007050;4.028248;10.131820;0.714669;0.778508;2.160993;1.688000;0.196078;0.196078;0.000000;10265.245216;0.150353;0.107782;-0.253580;1.822678;3.322154;1.825862;0.522224;0.723711;-0.273256;2.691625;0.068627;0.068627;0.501961;170.615324;2.162826;-8.518726;20.710500;80.172634;6427.651199;80.623941;16.604514;-0.551786;-0.868044;126.384500;0.058824;0.058824;1.505882;335214.743648;1.748477;79.806928;75.748500;51.228621;2624.371626;94.834157;16.911580;0.156435;-0.847578;73.964000;0.137255;0.137255;0.000000;783531.370928;0.818779;0.000000;0.000000;0.346274;0.308379;0.325537;-0.328949;0.000000;-0.162526;-0.243854;0.000000;0.000000;-0.151491;-0.002588;-0.211355;-0.105471;10.882508;3.663190;15.362620;4.551606;1.782209;0.000000;10.114750;4.023438;0.001140;122.092175;15497.071037
4.000000;4.000000;0.000000;0.000000;4.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1632.000000;-0.000000;0.243012;0.379220;2.576912;6.640477;2.588345;1.384211;-0.357330;2.758715;2.439660;0.196078;0.196078;9.035294;344.729230;3.225432;9.817553;9.506050;4.819733;23.229823;10.936826;1.860652;0.921031;1.208258;5.345650;0.147059;0.147059;0.000000;11016.585196;0.650454;1.036489;0.256565;3.052607;9.318407;3.223774;1.113934;1.370328;2.425821;2.814672;0.186275;0.186275;0.000000;585.011790;2.672867;-11.476696;16.090000;93.578216;8756.882460;94.279356;24.695222;-0.540428;-0.750724;130.966250;0.088235;0.088235;1.003922;460084.855557;1.984224;4.488125;-13.501500;72.877523;5311.133364;73.015592;34.612707;0.808231;0.523470;89.691750;0.166667;0.166667;1.003922;272994.512856;2.825899;0.000000;0.000000;0.016996;0.241858;-0.005904;-0.116871;0.000000;0.026466;-0.244016;0.000000;0.000000;-0.241944;-0.153436;-0.011602;-0.296411;11.055520;20.089166;15.652594;23.462533;6.703512;0.000000;9.789262;4.023438;1.094669;142.313697;14230.266359
4.000000;4.000000;0.000000;0.000000;4.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1632.000000;-0.000000;0.716387;0.392775;3.217656;10.353311;3.296441;1.898732;0.465017;0.100811;4.002625;0.215686;0.215686;8.031373;581.769222;2.868935;9.315312;9.521050;6.159935;37.944804;11.167804;3.042391;0.468328;1.103753;6.762550;0.225490;0.225490;0.000000;10788.123463;0.946798;0.469997;-0.227315;3.789403;14.359574;3.818438;1.784557;1.494186;2.610512;2.610902;0.176471;0.176471;1.505882;754.870065;2.855881;19.958965;42.420500;86.419131;7468.266263;88.694005;34.008657;-0.853097;0.500901;79.626650;0.186275;0.186275;1.003922;421851.600741;2.465359;15.101553;-3.442085;83.913785;7041.523307;85.261833;38.185362;0.503867;0.365366;108.353000;0.147059;0.147059;1.003922;382431.752831;2.772648;0.000000;0.000000;0.611492;-0.083642;0.293176;-0.681868;0.000000;-0.253051;-0.119753;0.000000;0.000000;-0.031428;-0.062640;0.222821;-0.066905;11.173795;26.732673;16.138402;42.933522;5.842793;0.000000;9.134759;4.023438;0.891434;151.586359;15150.787230
4.000000;4.000000;0.000000;0.000000;4.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1632.000000;-0.000000;0.643149;0.776825;1.998468;3.993874;2.099408;0.924416;-0.282751;-0.153993;2.489585;0.147059;0.147059;0.000000;245.939138;2.745166;9.838363;9.399300;2.421212;5.862266;10.131912;1.206726;0.840955;1.943275;1.631325;0.215686;0.215686;0.000000;10171.959364;0.217597;0.040353;-1.091700;2.941527;8.652584;2.941804;1.255341;0.488476;0.555058;3.802925;0.107843;0.107843;1.505882;441.734838;2.778835;6.166368;15.926000;44.102335;1945.015934;44.531338;12.308920;-0.306061;-0.110353;57.768000;0.078431;0.078431;0.501961;103129.389495;2.100425;-92.577021;-109.625000;69.519452;4832.954142;115.773308;21.139560;1.036864;0.801683;86.142500;0.127451;0.127451;0.000000;1121194.584864;1.013318;0.000000;0.000000;-0.065239;0.152323;0.321627;0.191102;0.000000;0.250950;0.002229;0.000000;0.000000;-0.045064;-0.165421;-0.006820;-0.300802;10.857727;5.172919;15.540542;5.972716;3.981010;0.000000;9.953164;4.023438;0.263802;123.063162;15395.153130
4.000000;4.000000;0.000000;0.000000;4.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1632.000000;-0.000000;1.045420;1.055940;2.568562;6.597510;2.773159;1.443692;1.165507;5.475418;2.491615;0.176471;0.176471;0.000000;447.949381;3.009991;-2.645720;-6.408900;8.714338;75.939693;9.107114;2.255433;0.524211;-0.103614;14.466800;0.058824;0.058824;0.501961;4586.937974;1.953951;-5.229501;-5.475600;4.481576;20.084523;6.887104;2.463144;0.359261;1.412235;4.461250;0.245098;0.245098;0.000000;3815.021694;1.456245;-8.670000;-4.663200;212.092303;44983.145047;212.269437;76.558471;0.352459;1.103689;178.221750;0.147059;0.147059;1.003922;2311192.925892;2.902922;-26.179034;-21.507000;74.791235;5593.728778;79.240587;36.717878;-0.747490;4.592930;68.816250;0.156863;0.156863;0.000000;357062.952064;3.273902;0.000000;0.000000;-0.325662;-0.199765;-0.222047;0.168715;0.000000;-0.023367;-0.035632;0.000000;0.000000;-0.168681;0.315141;-0.148290;0.114190;9.583273;14.790813;14.109124;77.457068;5.897335;0.000000;3.211166;4.023438;-5.138423;106.629943;51384.816723
4.000000;4.000000;0.000000;0.000000;4.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1632.000000;-0.000000;0.197479;0.650815;1.777162;3.158306;1.788101;0.660616;-0.542936;0.139077;2.523100;0.107843;0.107843;0.501961;165.054323;2.555779;9.768361;9.843750;1.664273;2.769806;9.909121;0.671294;-0.111532;-0.285208;1.785250;0.186275;0.186275;0.000000;9874.189568;0.112530;1.363457;0.731020;2.035753;4.144291;2.450165;0.509113;1.080051;0.872849;2.061253;0.098039;0.098039;0.000000;401.101566;1.675975;5.315664;30.765000;62.370994;3890.140955;62.597102;12.006931;-0.843957;-0.534383;81.656750;0.049020;0.049020;0.501961;201287.442217;1.908436;-4.907663;-18.074500;56.377521;3178.424926;56.590724;14.878238;0.505879;-0.800234;100.313500;0.107843;0.107843;0.501961;164596.501438;1.821373;0.000000;0.000000;0.409183;0.107957;0.102003;-0.807599;0.000000;0.263709;-0.050501;0.000000;0.000000;-0.605872;-0.353041;-0.321203;-0.099331;10.728314;2.291266;15.268983;4.231262;1.755544;0.000000;9.816820;4.023438;1.499295;117.387983;7126.910628
4.000000;4.000000;0.000000;0.000000;4.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1632.000000;-0.000000;0.188251;0.419100;2.901354;8.417856;2.907455;1.760135;-0.058968;3.233166;1.992335;0.215686;0.215686;9.035294;432.936570;3.387128;9.787879;9.596650;4.289976;18.403891;10.686743;2.306100;1.070283;3.569392;2.984525;0.215686;0.215686;0.000000;10714.817380;0.597133;1.242688;0.611235;3.873532;15.004248;4.067987;1.772790;-0.306127;2.352297;4.076495;0.107843;0.107843;0.000000;922.964439;3.207725;13.862722;32.091500;64.209566;4122.868372;65.688990;19.747455;-0.976951;0.296045;68.186250;0.117647;0.117647;0.501961;230144.306233;2.250236;-8.363954;-8.651600;62.419912;3896.245443;62.977783;33.103582;-0.661155;3.045461;60.186500;0.254902;0.254902;0.501961;206154.613303;3.261321;0.000000;0.000000;0.252861;-0.188395;0.539986;-0.352766;0.000000;0.239637;-0.167772;0.000000;0.000000;-0.062016;-0.276588;-0.001541;0.106435;11.107212;15.289612;15.738155;19.504265;7.583043;0.000000;10.128283;4.023438;1.386873;138.659769;8297.793120
4.000000;4.000000;0.000000;0.000000;4.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1632.000000;-0.000000;2.483085;3.019100;2.330967;5.433408;3.405748;0.912628;-0.457632;-0.114341;3.124007;0.137255;0.137255;0.000000;906.022793;1.416763;9.392125;9.062600;2.331404;5.435444;9.677162;0.953499;0.367293;0.839437;2.414725;0.127451;0.127451;0.000000;9274.916867;0.215208;1.470474;1.899100;2.091654;4.375017;2.556817;0.781795;-0.484841;-0.688615;3.289602;0.068627;0.068627;0.000000;443.704654;1.779803;1.982187;-7.260200;62.720590;3933.872446;62.751904;12.409553;0.310016;0.199452;61.036250;0.107843;0.107843;1.505882;201028.339714;1.781514;-22.017803;-27.625000;70.658112;4992.568762;74.009137;19.071228;-0.363432;0.307036;102.115000;0.117647;0.117647;0.501961;304069.888924;1.970677;0.000000;0.000000;0.186375;-0.042160;0.630475;-0.055664;0.000000;-0.263414;0.157117;0.000000;0.000000;-0.343639;-0.385749;-0.248801;-0.250821;10.782177;4.991243;16.316239;6.511104;4.465360;0.000000;9.740147;4.023438;1.640656;121.246582;9421.691229
4.000000;4.000000;0.000000;0.000000;4.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1632.000000;-0.000000;1.071479;0.974170;2.459033;6.046846;2.682333;1.427485;0.593642;2.235112;2.510918;0.225490;0.225490;0.000000;425.587466;2.760181;9.770716;9.493500;3.299122;10.884206;10.312667;1.654125;0.629612;0.266750;4.826725;0.156863;0.156863;0.000000;10292.717354;0.347892;0.367836;-0.400400;3.254755;10.593433;3.275475;1.344695;1.008538;0.799152;2.915850;0.098039;0.098039;1.505882;554.738627;2.479846;-2.939485;-2.089250;73.516807;5404.720855;73.575549;18.518376;-0.285697;-0.871796;123.329750;0.068627;0.068627;1.003922;276537.188164;2.183130;6.908779;6.916400;69.027208;4764.755445;69.372089;31.159081;0.013434;-0.611226;103.383750;0.166667;0.166667;1.003922;247884.485627;2.555888;0.000000;0.000000;0.330766;0.102360;0.298611;-0.550650;0.000000;0.294736;0.050917;0.000000;0.000000;0.356031;-0.029971;0.146854;-0.179564;10.901611;10.700876;15.715643;12.197674;4.901012;0.000000;9.748500;4.023438;0.505680;129.546004;10236.576843
4.000000;4.000000;0.000000;0.000000;4.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1632.000000;-0.000000;-0.148962;-0.177255;3.048852;9.295500;3.052489;1.438203;-0.020966;0.571344;2.450600;0.245098;0.245098;4.015686;476.817016;3.010657;10.145090;9.914200;4.567579;20.862778;11.125899;2.448911;-0.397335;5.638109;2.503175;0.245098;0.245098;0.000000;11562.238080;0.593168;-0.456316;-1.037815;3.359472;11.286053;3.390321;1.677409;1.648508;7.099680;1.955852;0.245098;0.245098;1.505882;596.829811;3.306436;3.018201;18.507000;85.635769;7333.484932;85.688940;37.662032;-0.487545;0.057154;82.265250;0.156863;0.156863;0.501961;374940.614861;2.763103;58.623263;44.964500;91.772394;8422.172333;108.898390;33.814887;0.065771;-0.987260;154.763275;0.098039;0.098039;0.000000;780108.313001;1.764306;0.000000;0.000000;0.311546;-0.006797;0.220901;-0.248466;0.000000;0.075129;-0.049605;0.000000;0.000000;-0.030785;-0.136870;0.367833;0.097146;11.626839;13.919942;16.582433;22.530067;7.926807;0.000000;10.431285;4.023438;-0.072955;149.103322;19212.948037
