Feature;Score
Right Upper Leg_Ax_Mean;1000000000.000000
Right Upper Leg_Ax_Median;1000000000.000000
Right Upper Leg_Ax_Std;1000000000.000000
Right Upper Leg_Ax_Var;1000000000.000000
Right Upper Leg_Ax_RMS;1000000000.000000
Right Upper Leg_Ax_AvgDeriv;1000000000.000000
Right Upper Leg_Ax_Skew;1000000000.000000
Right Upper Leg_Ax_Kurt;1000000000.000000
Right Upper Leg_Ax_IQR;1000000000.000000
Right Upper Leg_Ax_ZCR;1000000000.000000
Right Upper Leg_Ax_MCR;1000000000.000000
Right Upper Leg_Ax_DomFreq;1000000000.000000
Right Upper Leg_Ax_Energy;1000000000.000000
Right Upper Leg_Ax_SpecEnt;1000000000.000000
Right Upper Leg_Ay_Mean;0.001445
Right Upper Leg_Ay_Median;0.001249
Right Upper Leg_Ay_Std;0.001232
Right Upper Leg_Ay_Var;0.001314
Right Upper Leg_Ay_RMS;0.001259
Right Upper Leg_Ay_AvgDeriv;0.001324
Right Upper Leg_Ay_Skew;0.000808
Right Upper Leg_Ay_Kurt;0.000900
Right Upper Leg_Ay_IQR;0.000934
Right Upper Leg_Ay_ZCR;0.000897
Right Upper Leg_Ay_MCR;0.000897
Right Upper Leg_Ay_DomFreq;0.001174
Right Upper Leg_Ay_Energy;0.001409
Right Upper Leg_Ay_SpecEnt;0.001285
Right Upper Leg_Az_Mean;0.001287
Right Upper Leg_Az_Median;0.000956
Right Upper Leg_Az_Std;0.001435
Right Upper Leg_Az_Var;0.001479
Right Upper Leg_Az_RMS;0.001290
Right Upper Leg_Az_AvgDeriv;0.001331
Right Upper Leg_Az_Skew;0.000992
Right Upper Leg_Az_Kurt;0.001042
Right Upper Leg_Az_IQR;0.001131
Right Upper Leg_Az_ZCR;0.000766
Right Upper Leg_Az_MCR;0.000766
Right Upper Leg_Az_DomFreq;1000000000.000000
Right Upper Leg_Az_Energy;0.001258
Right Upper Leg_Az_SpecEnt;0.001419
Right Upper Leg_Gx_Mean;0.001739
Right Upper Leg_Gx_Median;0.001493
Right Upper Leg_Gx_Std;0.001248
Right Upper Leg_Gx_Var;0.001274
Right Upper Leg_Gx_RMS;0.001421
Right Upper Leg_Gx_AvgDeriv;0.001267
Right Upper Leg_Gx_Skew;0.000975
Right Upper Leg_Gx_Kurt;0.001013
Right Upper Leg_Gx_IQR;0.000987
Right Upper Leg_Gx_ZCR;0.000983
Right Upper Leg_Gx_MCR;0.000983
Right Upper Leg_Gx_DomFreq;0.002923
Right Upper Leg_Gx_Energy;0.001591
Right Upper Leg_Gx_SpecEnt;0.001314
Right Upper Leg_Gy_Mean;0.000805
Right Upper Leg_Gy_Median;0.000881
Right Upper Leg_Gy_Std;0.001525
Right Upper Leg_Gy_Var;0.001621
Right Upper Leg_Gy_RMS;0.001512
Right Upper Leg_Gy_AvgDeriv;0.001408
Right Upper Leg_Gy_Skew;0.000844
Right Upper Leg_Gy_Kurt;0.000982
Right Upper Leg_Gy_IQR;0.001202
Right Upper Leg_Gy_ZCR;0.000922
Right Upper Leg_Gy_MCR;0.000922
Right Upper Leg_Gy_DomFreq;0.001041
Right Upper Leg_Gy_Energy;0.001569
Right Upper Leg_Gy_SpecEnt;0.000884
Right Upper Leg_Gz_Mean;0.001600
Right Upper Leg_Gz_Median;0.001399
Right Upper Leg_Gz_Std;0.001096
Right Upper Leg_Gz_Var;0.001131
Right Upper Leg_Gz_RMS;0.001306
Right Upper Leg_Gz_AvgDeriv;0.001232
Right Upper Leg_Gz_Skew;0.000713
Right Upper Leg_Gz_Kurt;0.000930
Right Upper Leg_Gz_IQR;0.000912
Right Upper Leg_Gz_ZCR;0.000877
Right Upper Leg_Gz_MCR;0.000877
Right Upper Leg_Gz_DomFreq;0.001813
Right Upper Leg_Gz_Energy;0.001309
Right Upper Leg_Gz_SpecEnt;0.001100
Right Upper Leg_Corr_AxAy;1000000000.000000
Right Upper Leg_Corr_AxAz;1000000000.000000
Right Upper Leg_Corr_AyAz;0.000854
Right Upper Leg_Corr_GxGy;0.000863
Right Upper Leg_Corr_GxGz;0.000906
Right Upper Leg_Corr_GyGz;0.000987
Right Upper Leg_Corr_AxGx;1000000000.000000
Right Upper Leg_Corr_AyGy;0.000851
Right Upper Leg_Corr_AzGz;0.000848
Right Upper Leg_Corr_AxGy;1000000000.000000
Right Upper Leg_Corr_AxGz;1000000000.000000
Right Upper Leg_Corr_AyGx;0.000970
Right Upper Leg_Corr_AyGz;0.000796
Right Upper Leg_Corr_AzGx;0.001040
Right Upper Leg_Corr_AzGy;0.000989
Right Upper Leg_AI;0.001273
Right Upper Leg_VI;0.001430
Right Upper Leg_SMA;0.001262
Right Upper Leg_EVA1;0.001453
Right Upper Leg_EVA2;0.001266
Right Upper Leg_CAGH;1000000000.000000
Right Upper Leg_AVH;0.001058
Right Upper Leg_AVG;1000000000.000000
Right Upper Leg_ARATG;0.001457
Right Upper Leg_AAE;0.001346
Right Upper Leg_ARE;0.001421
