Right Wrist_Ax_Mean;Right Wrist_Ax_Median;Right Wrist_Ax_Std;Right Wrist_Ax_Var;Right Wrist_Ax_RMS;Right Wrist_Ax_AvgDeriv;Right Wrist_Ax_Skew;Right Wrist_Ax_Kurt;Right Wrist_Ax_IQR;Right Wrist_Ax_ZCR;Right Wrist_Ax_MCR;Right Wrist_Ax_DomFreq;Right Wrist_Ax_Energy;Right Wrist_Ax_SpecEnt;Right Wrist_Ay_Mean;Right Wrist_Ay_Median;Right Wrist_Ay_Std;Right Wrist_Ay_Var;Right Wrist_Ay_RMS;Right Wrist_Ay_AvgDeriv;Right Wrist_Ay_Skew;Right Wrist_Ay_Kurt;Right Wrist_Ay_IQR;Right Wrist_Ay_ZCR;Right Wrist_Ay_MCR;Right Wrist_Ay_DomFreq;Right Wrist_Ay_Energy;Right Wrist_Ay_SpecEnt;Right Wrist_Az_Mean;Right Wrist_Az_Median;Right Wrist_Az_Std;Right Wrist_Az_Var;Right Wrist_Az_RMS;Right Wrist_Az_AvgDeriv;Right Wrist_Az_Skew;Right Wrist_Az_Kurt;Right Wrist_Az_IQR;Right Wrist_Az_ZCR;Right Wrist_Az_MCR;Right Wrist_Az_DomFreq;Right Wrist_Az_Energy;Right Wrist_Az_SpecEnt;Right Wrist_Gx_Mean;Right Wrist_Gx_Median;Right Wrist_Gx_Std;Right Wrist_Gx_Var;Right Wrist_Gx_RMS;Right Wrist_Gx_AvgDeriv;Right Wrist_Gx_Skew;Right Wrist_Gx_Kurt;Right Wrist_Gx_IQR;Right Wrist_Gx_ZCR;Right Wrist_Gx_MCR;Right Wrist_Gx_DomFreq;Right Wrist_Gx_Energy;Right Wrist_Gx_SpecEnt;Right Wrist_Gy_Mean;Right Wrist_Gy_Median;Right Wrist_Gy_Std;Right Wrist_Gy_Var;Right Wrist_Gy_RMS;Right Wrist_Gy_AvgDeriv;Right Wrist_Gy_Skew;Right Wrist_Gy_Kurt;Right Wrist_Gy_IQR;Right Wrist_Gy_ZCR;Right Wrist_Gy_MCR;Right Wrist_Gy_DomFreq;Right Wrist_Gy_Energy;Right Wrist_Gy_SpecEnt;Right Wrist_Gz_Mean;Right Wrist_Gz_Median;Right Wrist_Gz_Std;Right Wrist_Gz_Var;Right Wrist_Gz_RMS;Right Wrist_Gz_AvgDeriv;Right Wrist_Gz_Skew;Right Wrist_Gz_Kurt;Right Wrist_Gz_IQR;Right Wrist_Gz_ZCR;Right Wrist_Gz_MCR;Right Wrist_Gz_DomFreq;Right Wrist_Gz_Energy;Right Wrist_Gz_SpecEnt;Right Wrist_Corr_AxAy;Right Wrist_Corr_AxAz;Right Wrist_Corr_AyAz;Right Wrist_Corr_GxGy;Right Wrist_Corr_GxGz;Right Wrist_Corr_GyGz;Right Wrist_Corr_AxGx;Right Wrist_Corr_AyGy;Right Wrist_Corr_AzGz;Right Wrist_Corr_AxGy;Right Wrist_Corr_AxGz;Right Wrist_Corr_AyGx;Right Wrist_Corr_AyGz;Right Wrist_Corr_AzGx;Right Wrist_Corr_AzGy;Right Wrist_AI;Right Wrist_VI;Right Wrist_SMA;Right Wrist_EVA1;Right Wrist_EVA2;Right Wrist_CAGH;Right Wrist_AVH;Right Wrist_AVG;Right Wrist_ARATG;Right Wrist_AAE;Right Wrist_ARE
2.000000;2.000000;0.000000;0.000000;2.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;408.000000;-0.000000;0.110209;0.109575;0.117667;0.013846;0.161219;0.113221;-0.490514;2.446786;0.132534;0.500000;0.500000;0.000000;1.948664;1.906979;2.271209;2.269750;0.052651;0.002772;2.271819;0.051947;0.106971;0.461528;0.069250;0.450980;0.450980;0.000000;526.298215;0.003390;9.745149;9.745850;0.025465;0.000648;9.745182;0.027518;-0.377387;1.110368;0.025650;0.509804;0.509804;0.000000;9686.762616;0.000060;0.153941;0.067711;0.557383;0.310676;0.578250;0.427465;2.099706;10.602917;0.536070;0.372549;0.372549;0.000000;18.271778;3.287332;0.326954;0.251715;1.730433;2.994399;1.761050;0.958242;2.149694;10.121963;1.575135;0.235294;0.235294;1.505882;163.621645;3.042560;0.000000;0.000000;-0.283831;-0.089482;-0.077589;0.695424;0.000000;-0.041293;0.242601;0.000000;0.000000;-0.347431;-0.147993;0.052712;0.259841;3.030775;0.001557;4.404710;0.014258;0.002524;0.000000;2.282225;2.011719;9.805222;9.187153;98.404250
2.000000;2.000000;0.000000;0.000000;2.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;408.000000;-0.000000;0.128017;0.133435;0.137203;0.018825;0.187651;0.128087;-0.305836;1.136102;0.173919;0.441176;0.441176;0.000000;2.633977;1.881744;2.275637;2.277850;0.054871;0.003011;2.276299;0.052671;0.035634;0.252123;0.070150;0.411765;0.411765;0.000000;528.363207;0.003624;9.742403;9.742600;0.041723;0.001741;9.742492;0.039112;0.582916;5.460030;0.038775;0.529412;0.529412;0.000000;9681.359146;0.000147;0.105083;-0.001161;0.827799;0.685251;0.834442;0.485739;1.587891;3.850745;0.791643;0.313725;0.313725;4.015686;36.099015;3.059974;0.581961;0.038138;2.862525;8.194048;2.921083;1.248244;1.686528;3.132954;2.551550;0.205882;0.205882;1.003922;452.952304;2.757145;0.000000;0.000000;-0.284624;-0.167956;-0.046016;0.767902;0.000000;-0.188885;0.099734;0.000000;0.000000;-0.091560;-0.108411;-0.022132;0.228276;3.035632;0.001686;4.430506;0.019299;0.002753;0.000000;2.294631;2.011719;9.796679;9.216749;104.145176
2.000000;2.000000;0.000000;0.000000;2.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;408.000000;-0.000000;-0.020744;0.001836;0.230648;0.053198;0.231579;0.168351;-0.319896;-0.459626;0.346270;0.264706;0.264706;0.501961;2.791315;2.416500;2.256830;2.256800;0.082768;0.006851;2.258348;0.073186;0.929220;3.015968;0.092525;0.382353;0.382353;0.000000;519.871619;0.008130;9.761178;9.746400;0.155161;0.024075;9.762412;0.131288;2.642408;13.952585;0.058725;0.490196;0.490196;0.000000;9719.940875;0.001786;-0.262172;-0.316515;0.942468;0.888245;0.978253;0.633662;0.790483;2.298516;0.950770;0.323529;0.323529;4.015686;52.544225;3.203329;1.196514;0.244090;3.196563;10.218014;3.413160;1.496850;0.990429;0.485076;4.202903;0.098039;0.098039;0.501961;667.422647;2.262942;0.000000;0.000000;0.129121;0.202627;-0.016836;0.388480;0.000000;0.119866;0.040802;0.000000;0.000000;0.139771;-0.250266;0.188418;0.119696;3.024847;0.004062;4.446997;0.053857;0.006786;0.000000;2.286734;2.011719;9.810646;9.153763;107.911317
2.000000;2.000000;0.000000;0.000000;2.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;408.000000;-0.000000;-0.186043;-0.185670;0.159007;0.025283;0.244735;0.161726;0.417465;1.578304;0.165543;0.460784;0.460784;0.000000;4.856136;1.545299;2.222313;2.218650;0.084704;0.007175;2.223926;0.072335;1.376750;4.870084;0.091800;0.401961;0.401961;0.000000;504.119597;0.008700;9.768006;9.754400;0.152585;0.023282;9.769198;0.129743;2.654053;14.603946;0.050500;0.539216;0.539216;0.000000;9733.511895;0.001733;-0.200616;-0.101769;0.781538;0.610802;0.806876;0.566992;-0.639350;1.015920;0.955995;0.333333;0.333333;0.000000;35.448438;3.366965;1.079704;0.800915;2.525806;6.379695;2.746899;1.346412;0.342149;1.639264;2.795612;0.205882;0.205882;0.000000;445.052401;2.665534;0.000000;0.000000;0.093617;0.291315;-0.046362;0.098114;0.000000;-0.021700;0.161088;0.000000;0.000000;0.317987;-0.166183;0.244860;-0.082374;3.000233;0.004343;4.433010;0.025622;0.007158;0.000000;2.256868;2.011719;9.830474;9.005744;103.633726
2.000000;2.000000;0.000000;0.000000;2.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;408.000000;-0.000000;-0.185649;-0.191650;0.103613;0.010736;0.212606;0.089862;1.309425;5.939313;0.117243;0.401961;0.401961;0.000000;4.064672;0.855692;2.210086;2.216950;0.046165;0.002131;2.210568;0.040860;-1.060350;3.537298;0.054500;0.421569;0.421569;0.000000;498.325791;0.002766;9.760092;9.755850;0.030685;0.000942;9.760140;0.035025;0.633860;2.552145;0.030250;0.539216;0.539216;0.000000;9716.506953;0.000083;0.116268;0.150890;0.386817;0.149627;0.403913;0.277567;-0.837177;3.375545;0.411121;0.343137;0.343137;0.000000;9.018561;3.232367;0.275948;0.358505;1.451816;2.107769;1.477808;0.752054;-1.601942;6.768210;1.262427;0.294118;0.294118;1.505882;115.266957;3.096865;0.000000;0.000000;0.031883;0.031841;-0.215712;0.734228;0.000000;-0.388592;0.002116;0.000000;0.000000;0.187904;-0.282894;0.175951;0.132715;2.988417;0.001176;4.405730;0.010845;0.002150;0.000000;2.226343;2.011719;9.817432;8.931814;97.607403
2.000000;2.000000;0.000000;0.000000;2.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;408.000000;-0.000000;-0.219560;-0.227780;0.073161;0.005352;0.231428;0.061979;0.074856;-0.414528;0.096930;0.284314;0.284314;0.000000;5.190085;0.370050;2.222879;2.218350;0.034357;0.001180;2.223145;0.033726;0.064184;0.101072;0.037100;0.470588;0.470588;0.000000;504.062302;0.001615;9.759079;9.757850;0.024253;0.000588;9.759110;0.028888;0.493149;1.383724;0.025700;0.529412;0.529412;0.000000;9714.472433;0.000053;0.150386;0.137150;0.217706;0.047396;0.264598;0.196262;0.441899;0.333957;0.260215;0.411765;0.411765;0.000000;4.733951;2.427518;0.662120;0.640735;0.764583;0.584588;1.011430;0.454346;0.065901;-0.689484;1.132748;0.205882;0.205882;0.000000;74.531612;1.809281;0.000000;0.000000;-0.268322;0.152554;-0.031828;0.413733;0.000000;-0.226572;0.024933;0.000000;0.000000;0.192483;-0.368205;0.002940;0.167383;2.999196;0.000755;4.442439;0.005513;0.001085;0.000000;2.240982;2.011719;9.818222;8.995932;96.333222
2.000000;2.000000;0.000000;0.000000;2.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;408.000000;-0.000000;-0.276665;-0.264040;0.095311;0.009084;0.292622;0.084243;-0.563274;1.322154;0.105103;0.392157;0.392157;0.000000;8.270821;0.390183;2.233558;2.229350;0.036125;0.001305;2.233850;0.035735;0.858353;2.402589;0.056375;0.431373;0.431373;0.000000;508.922200;0.001754;9.753725;9.756900;0.025395;0.000645;9.753759;0.029218;-0.253066;0.712533;0.031875;0.568627;0.568627;0.000000;9703.819338;0.000058;0.103640;0.118840;0.311849;0.097250;0.328620;0.248963;-0.142155;1.179232;0.358977;0.421569;0.421569;0.000000;6.060198;3.006077;0.596910;0.625480;0.817816;0.668823;1.012484;0.530469;-0.282956;-0.368090;1.121253;0.284314;0.284314;0.000000;70.457827;2.061874;0.000000;0.000000;-0.426251;0.129980;0.084487;0.631135;0.000000;-0.392288;0.136905;0.000000;0.000000;-0.011028;-0.209296;0.069750;0.333300;3.012418;0.001051;4.510223;0.009444;0.001048;0.000000;2.260108;2.011719;9.813374;9.075713;96.268921
2.000000;2.000000;0.000000;0.000000;2.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;408.000000;-0.000000;-0.288138;-0.282295;0.101195;0.010240;0.305391;0.093738;-0.167977;0.992485;0.121252;0.382353;0.382353;0.000000;8.990892;0.398708;2.241418;2.240800;0.040443;0.001636;2.241782;0.039166;0.357991;1.446617;0.048150;0.450980;0.450980;0.000000;512.526862;0.002144;9.752262;9.755100;0.025037;0.000627;9.752294;0.028126;-0.304965;0.165484;0.036350;0.549020;0.549020;0.000000;9700.906141;0.000056;0.051393;0.040565;0.400287;0.160230;0.403573;0.306822;0.203233;-0.052907;0.523332;0.323529;0.323529;11.043137;8.481512;3.124156;-0.021987;0.015255;0.931726;0.868113;0.931985;0.650399;-0.226018;-0.401505;1.304347;0.264706;0.264706;11.043137;44.340364;2.973921;0.000000;0.000000;-0.394957;0.143835;-0.007159;0.697589;0.000000;-0.433734;0.253099;0.000000;0.000000;-0.093467;-0.470659;0.034221;0.321025;3.019538;0.001240;4.530062;0.010638;0.001355;0.000000;2.273778;2.011719;9.808324;9.118852;96.138704
2.000000;2.000000;0.000000;0.000000;2.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;408.000000;-0.000000;-0.263210;-0.257900;0.083250;0.006930;0.276062;0.077706;0.221123;0.421041;0.096683;0.352941;0.352941;0.000000;7.420011;0.344733;2.241789;2.241400;0.039323;0.001546;2.242134;0.037236;-0.389152;0.521022;0.044725;0.441176;0.441176;0.000000;512.691986;0.002029;9.752688;9.755050;0.023413;0.000548;9.752716;0.026460;-0.122092;-0.149474;0.032550;0.500000;0.500000;0.000000;9701.750904;0.000050;0.057794;0.048892;0.360185;0.129733;0.364792;0.286769;0.287113;0.008556;0.460982;0.343137;0.343137;5.521569;6.983361;3.436548;0.265473;0.434780;1.000747;1.001494;1.035360;0.556451;-0.380349;-0.050113;1.292905;0.215686;0.215686;0.501961;58.274228;2.796363;0.000000;0.000000;-0.343713;0.278271;0.056899;0.561021;0.000000;-0.329373;0.043668;0.000000;0.000000;-0.064821;-0.181369;-0.008924;0.103063;3.017008;0.001038;4.505506;0.007227;0.001334;0.000000;2.272680;2.011719;9.810937;9.103375;96.320520
2.000000;2.000000;0.000000;0.000000;2.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;408.000000;-0.000000;-0.270793;-0.263980;0.075572;0.005711;0.281141;0.077615;0.009770;-0.249786;0.105340;0.411765;0.411765;0.000000;7.771021;0.272155;2.240481;2.241050;0.034573;0.001195;2.240748;0.033244;-0.520882;0.534387;0.048125;0.480392;0.480392;0.000000;512.076289;0.001600;9.750343;9.748850;0.025795;0.000665;9.750377;0.029090;0.053727;0.809656;0.032150;0.490196;0.490196;0.000000;9697.092281;0.000061;0.035615;0.023594;0.289081;0.083568;0.291267;0.264470;-0.155634;0.422792;0.332946;0.333333;0.333333;12.047059;4.391436;3.480899;0.559518;0.533940;0.701398;0.491959;0.897229;0.514611;0.385076;-0.062869;0.892475;0.313725;0.313725;0.000000;57.027492;1.984281;0.000000;0.000000;-0.324414;0.176273;0.067178;0.508186;0.000000;-0.313354;0.087465;0.000000;0.000000;-0.068692;-0.271497;0.134160;0.157578;3.016482;0.000826;4.511275;0.005923;0.001052;0.000000;2.268549;2.011719;9.808416;9.099992;95.959712
