Feature;Score
Right Wrist_Ax_Mean;0.000000
Right Wrist_Ax_Median;0.000000
Right Wrist_Ax_Std;0.000000
Right Wrist_Ax_Var;0.000000
Right Wrist_Ax_RMS;0.000000
Right Wrist_Ax_AvgDeriv;0.000000
Right Wrist_Ax_Skew;0.000000
Right Wrist_Ax_Kurt;0.000000
Right Wrist_Ax_IQR;0.000000
Right Wrist_Ax_ZCR;0.000000
Right Wrist_Ax_MCR;0.000000
Right Wrist_Ax_DomFreq;0.000000
Right Wrist_Ax_Energy;0.000000
Right Wrist_Ax_SpecEnt;0.000000
Right Wrist_Ay_Mean;1.820060
Right Wrist_Ay_Median;1.826805
Right Wrist_Ay_Std;2.546925
Right Wrist_Ay_Var;0.934036
Right Wrist_Ay_RMS;4.028489
Right Wrist_Ay_AvgDeriv;2.395386
Right Wrist_Ay_Skew;0.754821
Right Wrist_Ay_Kurt;0.481600
Right Wrist_Ay_IQR;2.374533
Right Wrist_Ay_ZCR;2.525205
Right Wrist_Ay_MCR;2.525205
Right Wrist_Ay_DomFreq;0.026890
Right Wrist_Ay_Energy;1.992515
Right Wrist_Ay_SpecEnt;1.306342
Right Wrist_Az_Mean;1.947603
Right Wrist_Az_Median;1.942713
Right Wrist_Az_Std;2.870122
Right Wrist_Az_Var;1.052007
Right Wrist_Az_RMS;29.369347
Right Wrist_Az_AvgDeriv;2.792535
Right Wrist_Az_Skew;1.147277
Right Wrist_Az_Kurt;0.560532
Right Wrist_Az_IQR;2.425485
Right Wrist_Az_ZCR;3.267281
Right Wrist_Az_MCR;3.267281
Right Wrist_Az_DomFreq;0.026890
Right Wrist_Az_Energy;14.611794
Right Wrist_Az_SpecEnt;1.585208
Right Wrist_Gx_Mean;2.389554
Right Wrist_Gx_Median;2.378514
Right Wrist_Gx_Std;2.496001
Right Wrist_Gx_Var;1.228798
Right Wrist_Gx_RMS;3.203154
Right Wrist_Gx_AvgDeriv;2.581044
Right Wrist_Gx_Skew;0.746250
Right Wrist_Gx_Kurt;0.638171
Right Wrist_Gx_IQR;2.283919
Right Wrist_Gx_ZCR;2.444561
Right Wrist_Gx_MCR;2.444561
Right Wrist_Gx_DomFreq;0.176756
Right Wrist_Gx_Energy;1.884504
Right Wrist_Gx_SpecEnt;0.949921
Right Wrist_Gy_Mean;0.758079
Right Wrist_Gy_Median;0.761816
Right Wrist_Gy_Std;2.145871
Right Wrist_Gy_Var;1.099376
Right Wrist_Gy_RMS;2.256046
Right Wrist_Gy_AvgDeriv;2.523343
Right Wrist_Gy_Skew;0.733526
Right Wrist_Gy_Kurt;0.481413
Right Wrist_Gy_IQR;1.844445
Right Wrist_Gy_ZCR;2.497501
Right Wrist_Gy_MCR;2.497501
Right Wrist_Gy_DomFreq;1.430060
Right Wrist_Gy_Energy;1.175252
Right Wrist_Gy_SpecEnt;4.681897
Right Wrist_Gz_Mean;0.751669
Right Wrist_Gz_Median;0.746729
Right Wrist_Gz_Std;2.766639
Right Wrist_Gz_Var;1.454307
Right Wrist_Gz_RMS;2.650351
Right Wrist_Gz_AvgDeriv;2.332723
Right Wrist_Gz_Skew;0.798503
Right Wrist_Gz_Kurt;0.657234
Right Wrist_Gz_IQR;2.391134
Right Wrist_Gz_ZCR;2.451847
Right Wrist_Gz_MCR;2.451847
Right Wrist_Gz_DomFreq;0.784235
Right Wrist_Gz_Energy;1.234769
Right Wrist_Gz_SpecEnt;3.566159
Right Wrist_Corr_AxAy;0.000000
Right Wrist_Corr_AxAz;0.000000
Right Wrist_Corr_AyAz;0.824373
Right Wrist_Corr_GxGy;1.300956
Right Wrist_Corr_GxGz;0.818899
Right Wrist_Corr_GyGz;0.868934
Right Wrist_Corr_AxGx;0.000000
Right Wrist_Corr_AyGy;0.825752
Right Wrist_Corr_AzGz;0.860981
Right Wrist_Corr_AxGy;0.000000
Right Wrist_Corr_AxGz;0.000000
Right Wrist_Corr_AyGx;0.808876
Right Wrist_Corr_AyGz;0.861367
Right Wrist_Corr_AzGx;0.847134
Right Wrist_Corr_AzGy;0.822468
Right Wrist_AI;37.610750
Right Wrist_VI;1.657733
Right Wrist_SMA;23.907962
Right Wrist_EVA1;1.083431
Right Wrist_EVA2;1.031057
Right Wrist_CAGH;0.000000
Right Wrist_AVH;32.090611
Right Wrist_AVG;0.000000
Right Wrist_ARATG;2.365725
Right Wrist_AAE;17.804760
Right Wrist_ARE;1.504924
