Feature;Score
Right Wrist_Ax_Mean;1000000000.000000
Right Wrist_Ax_Median;1000000000.000000
Right Wrist_Ax_Std;1000000000.000000
Right Wrist_Ax_Var;1000000000.000000
Right Wrist_Ax_RMS;1000000000.000000
Right Wrist_Ax_AvgDeriv;1000000000.000000
Right Wrist_Ax_Skew;1000000000.000000
Right Wrist_Ax_Kurt;1000000000.000000
Right Wrist_Ax_IQR;1000000000.000000
Right Wrist_Ax_ZCR;1000000000.000000
Right Wrist_Ax_MCR;1000000000.000000
Right Wrist_Ax_DomFreq;1000000000.000000
Right Wrist_Ax_Energy;1000000000.000000
Right Wrist_Ax_SpecEnt;1000000000.000000
Right Wrist_Ay_Mean;0.003703
Right Wrist_Ay_Median;0.003607
Right Wrist_Ay_Std;0.002419
Right Wrist_Ay_Var;0.003135
Right Wrist_Ay_RMS;0.002531
Right Wrist_Ay_AvgDeriv;0.002564
Right Wrist_Ay_Skew;0.001398
Right Wrist_Ay_Kurt;0.001737
Right Wrist_Ay_IQR;0.002269
Right Wrist_Ay_ZCR;0.001653
Right Wrist_Ay_MCR;0.001653
Right Wrist_Ay_DomFreq;0.011981
Right Wrist_Ay_Energy;0.002985
Right Wrist_Ay_SpecEnt;0.002482
Right Wrist_Az_Mean;0.017839
Right Wrist_Az_Median;0.012765
Right Wrist_Az_Std;0.002558
Right Wrist_Az_Var;0.002943
Right Wrist_Az_RMS;0.002648
Right Wrist_Az_AvgDeriv;0.002334
Right Wrist_Az_Skew;0.002025
Right Wrist_Az_Kurt;0.001639
Right Wrist_Az_IQR;0.002182
Right Wrist_Az_ZCR;0.001644
Right Wrist_Az_MCR;0.001644
Right Wrist_Az_DomFreq;0.027141
Right Wrist_Az_Energy;0.002562
Right Wrist_Az_SpecEnt;0.003246
Right Wrist_Gx_Mean;0.003259
Right Wrist_Gx_Median;0.003001
Right Wrist_Gx_Std;0.002231
Right Wrist_Gx_Var;0.003168
Right Wrist_Gx_RMS;0.002757
Right Wrist_Gx_AvgDeriv;0.002389
Right Wrist_Gx_Skew;0.001589
Right Wrist_Gx_Kurt;0.002990
Right Wrist_Gx_IQR;0.001898
Right Wrist_Gx_ZCR;0.001593
Right Wrist_Gx_MCR;0.001593
Right Wrist_Gx_DomFreq;0.007489
Right Wrist_Gx_Energy;0.002871
Right Wrist_Gx_SpecEnt;0.002526
Right Wrist_Gy_Mean;0.002540
Right Wrist_Gy_Median;0.002230
Right Wrist_Gy_Std;0.002432
Right Wrist_Gy_Var;0.003294
Right Wrist_Gy_RMS;0.002531
Right Wrist_Gy_AvgDeriv;0.002185
Right Wrist_Gy_Skew;0.001393
Right Wrist_Gy_Kurt;0.001518
Right Wrist_Gy_IQR;0.002118
Right Wrist_Gy_ZCR;0.001679
Right Wrist_Gy_MCR;0.001679
Right Wrist_Gy_DomFreq;0.001873
Right Wrist_Gy_Energy;0.003283
Right Wrist_Gy_SpecEnt;0.001480
Right Wrist_Gz_Mean;0.003044
Right Wrist_Gz_Median;0.002753
Right Wrist_Gz_Std;0.002030
Right Wrist_Gz_Var;0.002499
Right Wrist_Gz_RMS;0.002282
Right Wrist_Gz_AvgDeriv;0.002216
Right Wrist_Gz_Skew;0.001374
Right Wrist_Gz_Kurt;0.001864
Right Wrist_Gz_IQR;0.001644
Right Wrist_Gz_ZCR;0.001633
Right Wrist_Gz_MCR;0.001633
Right Wrist_Gz_DomFreq;0.002537
Right Wrist_Gz_Energy;0.002297
Right Wrist_Gz_SpecEnt;0.001878
Right Wrist_Corr_AxAy;1000000000.000000
Right Wrist_Corr_AxAz;1000000000.000000
Right Wrist_Corr_AyAz;0.001636
Right Wrist_Corr_GxGy;0.001820
Right Wrist_Corr_GxGz;0.002009
Right Wrist_Corr_GyGz;0.001568
Right Wrist_Corr_AxGx;1000000000.000000
Right Wrist_Corr_AyGy;0.001529
Right Wrist_Corr_AzGz;0.001443
Right Wrist_Corr_AxGy;1000000000.000000
Right Wrist_Corr_AxGz;1000000000.000000
Right Wrist_Corr_AyGx;0.001473
Right Wrist_Corr_AyGz;0.001624
Right Wrist_Corr_AzGx;0.001553
Right Wrist_Corr_AzGy;0.001498
Right Wrist_AI;0.002051
Right Wrist_VI;0.002793
Right Wrist_SMA;0.002072
Right Wrist_EVA1;0.003027
Right Wrist_EVA2;0.002522
Right Wrist_CAGH;1000000000.000000
Right Wrist_AVH;0.002063
Right Wrist_AVG;1000000000.000000
Right Wrist_ARATG;0.002870
Right Wrist_AAE;0.002046
Right Wrist_ARE;0.002648
