Chest_Ax_Mean;Chest_Ax_Median;Chest_Ax_Std;Chest_Ax_Var;Chest_Ax_RMS;Chest_Ax_AvgDeriv;Chest_Ax_Skew;Chest_Ax_Kurt;Chest_Ax_IQR;Chest_Ax_ZCR;Chest_Ax_MCR;Chest_Ax_DomFreq;Chest_Ax_Energy;Chest_Ax_SpecEnt;Chest_Ay_Mean;Chest_Ay_Median;Chest_Ay_Std;Chest_Ay_Var;Chest_Ay_RMS;Chest_Ay_AvgDeriv;Chest_Ay_Skew;Chest_Ay_Kurt;Chest_Ay_IQR;Chest_Ay_ZCR;Chest_Ay_MCR;Chest_Ay_DomFreq;Chest_Ay_Energy;Chest_Ay_SpecEnt;Chest_Az_Mean;Chest_Az_Median;Chest_Az_Std;Chest_Az_Var;Chest_Az_RMS;Chest_Az_AvgDeriv;Chest_Az_Skew;Chest_Az_Kurt;Chest_Az_IQR;Chest_Az_ZCR;Chest_Az_MCR;Chest_Az_DomFreq;Chest_Az_Energy;Chest_Az_SpecEnt;Chest_Gx_Mean;Chest_Gx_Median;Chest_Gx_Std;Chest_Gx_Var;Chest_Gx_RMS;Chest_Gx_AvgDeriv;Chest_Gx_Skew;Chest_Gx_Kurt;Chest_Gx_IQR;Chest_Gx_ZCR;Chest_Gx_MCR;Chest_Gx_DomFreq;Chest_Gx_Energy;Chest_Gx_SpecEnt;Chest_Gy_Mean;Chest_Gy_Median;Chest_Gy_Std;Chest_Gy_Var;Chest_Gy_RMS;Chest_Gy_AvgDeriv;Chest_Gy_Skew;Chest_Gy_Kurt;Chest_Gy_IQR;Chest_Gy_ZCR;Chest_Gy_MCR;Chest_Gy_DomFreq;Chest_Gy_Energy;Chest_Gy_SpecEnt;Chest_Gz_Mean;Chest_Gz_Median;Chest_Gz_Std;Chest_Gz_Var;Chest_Gz_RMS;Chest_Gz_AvgDeriv;Chest_Gz_Skew;Chest_Gz_Kurt;Chest_Gz_IQR;Chest_Gz_ZCR;Chest_Gz_MCR;Chest_Gz_DomFreq;Chest_Gz_Energy;Chest_Gz_SpecEnt;Chest_Corr_AxAy;Chest_Corr_AxAz;Chest_Corr_AyAz;Chest_Corr_GxGy;Chest_Corr_GxGz;Chest_Corr_GyGz;Chest_Corr_AxGx;Chest_Corr_AyGy;Chest_Corr_AzGz;Chest_Corr_AxGy;Chest_Corr_AxGz;Chest_Corr_AyGx;Chest_Corr_AyGz;Chest_Corr_AzGx;Chest_Corr_AzGy;Chest_AI;Chest_VI;Chest_SMA;Chest_EVA1;Chest_EVA2;Chest_CAGH;Chest_AVH;Chest_AVG;Chest_ARATG;Chest_AAE;Chest_ARE
3.000000;3.000000;0.000000;0.000000;3.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;918.000000;-0.000000;-0.383264;-0.383585;0.407405;0.165979;0.559348;0.121340;-0.333101;0.305012;0.457148;0.137255;0.137255;0.000000;23.449705;1.342885;8.933732;9.095450;1.045859;1.093821;8.994743;0.269344;0.363245;0.355631;1.405050;0.058824;0.058824;0.000000;8196.576261;0.054912;-1.970125;-1.616100;3.917122;15.343846;4.384659;0.269784;0.057105;-1.436777;7.986450;0.039216;0.039216;0.501961;1178.505118;0.855226;-10.328458;-10.042150;54.841303;3007.568493;55.805426;4.963759;0.202747;-1.191169;92.649750;0.058824;0.058824;0.501961;164284.588077;0.740471;-0.674521;0.756995;8.574816;73.527461;8.601305;3.697684;-0.244798;-0.398176;11.041450;0.166667;0.166667;0.501961;3796.490726;2.309614;0.000000;0.000000;-0.350479;-0.228948;-0.309098;0.492666;0.000000;0.561322;-0.192146;0.000000;0.000000;-0.491161;0.557256;0.459029;-0.405325;9.446231;0.986981;12.380339;1.128326;0.143947;0.000000;8.739723;3.017578;-3.613391;90.218265;3207.453212
3.000000;3.000000;0.000000;0.000000;3.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;918.000000;-0.000000;-0.621239;-0.593955;0.243867;0.059471;0.667390;0.076056;-1.313211;2.023936;0.228695;0.147059;0.147059;0.000000;42.398954;0.412273;9.351956;9.296450;0.700814;0.491141;9.378178;0.180889;0.329322;6.116526;0.408050;0.147059;0.147059;0.000000;8945.880886;0.026556;2.546956;3.574600;2.210406;4.885895;3.372370;0.209549;-1.896917;3.365278;1.827200;0.009804;0.009804;0.000000;910.973622;1.186111;-25.905691;-8.229700;31.930022;1019.526334;41.117285;4.004765;-0.869649;-0.855023;56.759025;0.009804;0.009804;0.000000;120461.186420;1.293166;-2.613421;-1.445200;6.495690;42.193986;7.001711;1.739737;-0.705815;0.886325;6.231850;0.088235;0.088235;1.003922;2848.824171;1.957932;0.000000;0.000000;0.198082;0.892054;0.138416;0.425973;0.000000;0.520807;0.117133;0.000000;0.000000;0.427220;0.588369;-0.288602;-0.185616;9.846817;0.435819;12.973195;0.498668;0.057395;0.000000;9.528403;3.017578;1.559330;97.395628;1751.027982
3.000000;3.000000;0.000000;0.000000;3.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;918.000000;-0.000000;-0.587055;-0.600785;0.088158;0.007772;0.593637;0.043362;0.661315;0.281925;0.108920;0.196078;0.196078;0.000000;35.549050;0.090371;9.099951;9.114300;0.180753;0.032672;9.101746;0.084763;0.000075;0.191686;0.217925;0.205882;0.205882;0.000000;8448.195371;0.002427;4.086215;4.132400;0.295065;0.087063;4.096854;0.088105;-0.839806;1.113532;0.296275;0.147059;0.147059;0.000000;1707.550884;0.024805;-3.835308;-2.391650;7.699661;59.284779;8.601998;2.716541;-0.492112;-0.290331;10.265075;0.166667;0.166667;0.000000;4524.105429;2.482559;-0.870796;-0.764640;2.053755;4.217909;2.230739;0.892435;-0.004803;-0.289320;2.741267;0.176471;0.176471;0.000000;292.571618;2.486768;0.000000;0.000000;-0.002638;0.181278;-0.032841;0.082615;0.000000;0.097850;-0.050528;0.000000;0.000000;-0.122000;0.260503;-0.505628;0.094770;9.600247;0.029440;12.687006;0.032995;0.007849;0.000000;9.236251;3.017578;3.976022;92.194185;95.754778
3.000000;3.000000;0.000000;0.000000;3.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;918.000000;-0.000000;-0.585199;-0.586865;0.051997;0.002704;0.587505;0.027240;0.392246;2.768575;0.060090;0.245098;0.245098;0.000000;35.068781;0.037338;8.998659;8.990450;0.128270;0.016453;8.999573;0.076559;-0.319239;-0.339281;0.169425;0.205882;0.205882;0.000000;8260.378089;0.001323;4.318538;4.292950;0.155453;0.024166;4.321335;0.059262;0.613514;-0.088872;0.207525;0.127451;0.127451;0.000000;1903.509282;0.006920;-1.442614;0.577195;8.689517;75.507701;8.808453;2.501761;-0.578287;-0.494868;11.009400;0.117647;0.117647;1.003922;4063.177269;2.296532;-0.519511;-0.206455;1.371087;1.879879;1.466210;0.636091;-0.643782;0.226091;1.800778;0.147059;0.147059;0.000000;123.435549;2.571579;0.000000;0.000000;-0.384521;0.146390;0.088976;0.626453;0.000000;0.264447;-0.243490;0.000000;0.000000;0.381316;0.235552;-0.484412;0.140614;9.503811;0.015044;12.583858;0.017083;0.002263;0.000000;9.079179;3.017578;4.323223;90.337475;98.412547
3.000000;3.000000;0.000000;0.000000;3.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;918.000000;-0.000000;-0.568676;-0.573840;0.037581;0.001412;0.569917;0.023407;0.822814;1.800525;0.046022;0.333333;0.333333;0.000000;33.058108;0.021700;8.938211;8.939200;0.121794;0.014834;8.939041;0.071538;-0.414185;-0.045865;0.157425;0.254902;0.254902;0.000000;8149.701007;0.001183;4.465274;4.458550;0.195543;0.038237;4.469553;0.055687;0.432978;-0.382369;0.245625;0.117647;0.117647;0.000000;2035.694247;0.008991;-0.093242;1.292550;7.310992;53.450597;7.311586;2.068445;-0.851271;0.083856;7.467900;0.098039;0.098039;1.003922;2727.044331;2.150971;-0.441094;-0.152930;1.085582;1.178489;1.171773;0.524953;-1.118895;1.297193;1.361065;0.186275;0.186275;0.000000;79.955445;2.537954;0.000000;0.000000;-0.464151;0.035650;0.087123;0.720335;0.000000;0.159455;-0.094344;0.000000;0.000000;0.489279;0.179944;-0.689075;0.099924;9.445514;0.013517;12.506887;0.015312;0.001095;0.000000;9.043613;3.017578;4.424292;89.231251;74.809249
3.000000;3.000000;0.000000;0.000000;3.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;918.000000;-0.000000;-0.556139;-0.560600;0.040201;0.001616;0.557590;0.026070;0.506724;0.594069;0.049478;0.176471;0.176471;0.000000;31.630046;0.026210;8.856657;8.860950;0.124061;0.015391;8.857526;0.076331;-0.556825;0.086935;0.173275;0.245098;0.245098;0.000000;8001.702861;0.001263;4.633584;4.618200;0.147337;0.021708;4.635926;0.061992;0.194841;-0.554207;0.206875;0.156863;0.156863;0.000000;2191.057688;0.005441;-0.370410;1.153250;8.063444;65.019135;8.071948;2.532663;-0.954634;0.832515;7.160475;0.117647;0.117647;1.003922;3329.973109;2.106353;-0.502565;-0.397615;1.099212;1.208267;1.208652;0.517234;-0.689687;1.198358;1.185195;0.225490;0.225490;0.000000;87.390541;2.551720;0.000000;0.000000;-0.229440;0.205595;0.035582;0.713090;0.000000;0.268165;0.016528;0.000000;0.000000;0.450461;0.098344;-0.462119;0.169499;9.367646;0.013877;12.412795;0.015639;0.001537;0.000000;8.952239;3.017578;4.613726;87.766668;88.108989
3.000000;3.000000;0.000000;0.000000;3.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;918.000000;-0.000000;-0.423424;-0.472675;0.344451;0.118647;0.545834;0.142253;0.518044;-0.264001;0.477782;0.127451;0.127451;0.000000;24.338412;1.188135;9.136649;8.877200;0.826007;0.682287;9.173911;0.231860;1.417671;1.804504;0.928625;0.078431;0.078431;0.000000;8549.603503;0.034278;2.708830;4.445800;3.326338;11.064522;4.289788;0.223111;-0.916195;-0.552605;4.950357;0.029412;0.029412;0.000000;1312.837028;1.292006;-27.214380;-25.733000;23.322448;543.936570;35.840746;5.360247;-0.410807;-0.534177;42.878175;0.058824;0.058824;0.000000;103291.579461;0.897610;-3.301597;-4.855500;12.152767;147.689744;12.593263;4.359352;0.114768;-0.644410;17.953775;0.127451;0.127451;0.501961;8648.798376;2.368262;0.000000;0.000000;-0.349343;0.644090;0.097255;0.297841;0.000000;0.488538;-0.160957;0.000000;0.000000;0.226578;0.484437;-0.734805;-0.714951;9.634887;0.627539;12.611974;0.706225;0.102639;0.000000;9.561038;3.017578;0.999477;93.458577;1461.551605
3.000000;3.000000;0.000000;0.000000;3.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;918.000000;-0.000000;-0.251303;-0.239610;0.354041;0.125345;0.434163;0.122853;0.175572;-0.573752;0.513036;0.156863;0.156863;0.000000;12.834425;1.894947;8.537289;8.505450;0.205607;0.042274;8.539765;0.131502;0.330469;-0.594667;0.332500;0.215686;0.215686;0.000000;7436.473860;0.003505;5.238524;5.248200;0.382098;0.145999;5.252440;0.136232;-0.152345;1.342147;0.337400;0.176471;0.176471;0.000000;2806.555969;0.025172;-4.288010;-3.201300;10.406306;108.291208;11.255143;3.382677;-0.895844;1.260384;9.187950;0.186275;0.186275;0.000000;7399.699734;2.388141;-0.993715;-4.381400;13.186440;173.882192;13.223829;2.776038;0.440033;-0.556029;18.439700;0.058824;0.058824;0.501961;8969.213122;1.636306;0.000000;0.000000;-0.356798;0.240643;0.062988;0.405276;0.000000;0.315890;-0.127861;0.000000;0.000000;0.343713;0.189379;-0.092203;-0.325067;9.059629;0.039200;11.896109;0.134112;0.035167;0.000000;8.619085;3.017578;5.242592;82.116079;329.136026
3.000000;3.000000;0.000000;0.000000;3.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;918.000000;-0.000000;-0.214219;-0.201500;0.296359;0.087829;0.365676;0.108296;0.033058;0.048707;0.346810;0.156863;0.156863;0.000000;9.160107;1.681107;8.424871;8.373800;0.195931;0.038389;8.427149;0.080800;0.592930;-0.616168;0.287650;0.137255;0.137255;0.000000;7241.759908;0.003105;5.410468;5.402800;0.274652;0.075434;5.417434;0.086453;-0.290830;-0.276701;0.357600;0.088235;0.088235;0.000000;2989.710031;0.012307;-0.886510;-1.823850;5.866807;34.419420;5.933407;2.510302;0.628962;0.949496;6.051275;0.186275;0.186275;1.505882;1837.401339;2.746463;-1.437963;-1.926900;10.012446;100.249070;10.115177;1.752457;1.071061;1.359346;10.261525;0.078431;0.078431;1.003922;5323.925191;2.100551;0.000000;0.000000;-0.183877;-0.112048;-0.100794;0.519645;0.000000;-0.074185;-0.206832;0.000000;0.000000;0.167009;-0.041763;-0.705245;-0.123405;8.950727;0.035037;11.719888;0.090928;0.036540;0.000000;8.542570;3.017578;5.318909;80.150552;166.870720
3.000000;3.000000;0.000000;0.000000;3.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;918.000000;-0.000000;-0.175594;-0.170780;0.245753;0.060394;0.302039;0.100536;-0.159420;-0.537334;0.373630;0.127451;0.127451;0.000000;6.225297;1.687168;8.305183;8.284300;0.120577;0.014539;8.306059;0.070544;1.184121;2.278096;0.123500;0.225490;0.225490;0.000000;7036.302531;0.001388;5.619884;5.636050;0.149159;0.022248;5.621863;0.074588;-0.509393;0.114687;0.191200;0.225490;0.225490;0.000000;3222.613473;0.004114;-1.122261;-1.042300;4.468595;19.968344;4.607365;1.966353;0.611919;4.149208;4.082223;0.225490;0.225490;1.003922;1146.955707;2.918042;-0.879191;-0.856400;3.835232;14.709003;3.934715;1.389986;-0.489143;-0.365026;5.753950;0.166667;0.166667;3.513725;829.079083;2.764007;0.000000;0.000000;0.217962;0.202558;0.197041;0.217835;0.000000;0.033757;-0.282400;0.000000;0.000000;-0.157788;0.236325;-0.610277;-0.183605;8.835685;0.012504;11.548315;0.061893;0.013782;0.000000;8.382453;3.017578;5.629153;78.081837;68.315141
