Feature;Score
Chest_Ax_Mean;0.000000
Chest_Ax_Median;0.000000
Chest_Ax_Std;0.000000
Chest_Ax_Var;0.000000
Chest_Ax_RMS;0.000000
Chest_Ax_AvgDeriv;0.000000
Chest_Ax_Skew;0.000000
Chest_Ax_Kurt;0.000000
Chest_Ax_IQR;0.000000
Chest_Ax_ZCR;0.000000
Chest_Ax_MCR;0.000000
Chest_Ax_DomFreq;0.000000
Chest_Ax_Energy;0.000000
Chest_Ax_SpecEnt;0.000000
Chest_Ay_Mean;0.758314
Chest_Ay_Median;0.751527
Chest_Ay_Std;3.482655
Chest_Ay_Var;2.035681
Chest_Ay_RMS;3.575894
Chest_Ay_AvgDeriv;2.526951
Chest_Ay_Skew;0.746779
Chest_Ay_Kurt;0.734891
Chest_Ay_IQR;2.231451
Chest_Ay_ZCR;2.105464
Chest_Ay_MCR;2.105464
Chest_Ay_DomFreq;0.885257
Chest_Ay_Energy;1.681870
Chest_Ay_SpecEnt;3.765024
Chest_Az_Mean;53.119669
Chest_Az_Median;44.250983
Chest_Az_Std;2.617218
Chest_Az_Var;1.626341
Chest_Az_RMS;49.677942
Chest_Az_AvgDeriv;2.521608
Chest_Az_Skew;1.506317
Chest_Az_Kurt;1.004458
Chest_Az_IQR;1.879001
Chest_Az_ZCR;2.844805
Chest_Az_MCR;2.844805
Chest_Az_DomFreq;0.000000
Chest_Az_Energy;26.001019
Chest_Az_SpecEnt;1.824271
Chest_Gx_Mean;1.785023
Chest_Gx_Median;1.898561
Chest_Gx_Std;3.597176
Chest_Gx_Var;2.088257
Chest_Gx_RMS;2.401202
Chest_Gx_AvgDeriv;2.732404
Chest_Gx_Skew;0.957574
Chest_Gx_Kurt;0.558128
Chest_Gx_IQR;2.462441
Chest_Gx_ZCR;3.101711
Chest_Gx_MCR;3.101711
Chest_Gx_DomFreq;0.276686
Chest_Gx_Energy;1.189336
Chest_Gx_SpecEnt;1.423161
Chest_Gy_Mean;0.839229
Chest_Gy_Median;1.082068
Chest_Gy_Std;2.812700
Chest_Gy_Var;1.614100
Chest_Gy_RMS;2.974687
Chest_Gy_AvgDeriv;2.452408
Chest_Gy_Skew;1.056140
Chest_Gy_Kurt;0.661664
Chest_Gy_IQR;2.610618
Chest_Gy_ZCR;3.319876
Chest_Gy_MCR;3.319876
Chest_Gy_DomFreq;1.086477
Chest_Gy_Energy;1.723415
Chest_Gy_SpecEnt;7.149681
Chest_Gz_Mean;0.622973
Chest_Gz_Median;0.606684
Chest_Gz_Std;2.279472
Chest_Gz_Var;1.177188
Chest_Gz_RMS;1.888898
Chest_Gz_AvgDeriv;2.689563
Chest_Gz_Skew;0.620006
Chest_Gz_Kurt;0.619789
Chest_Gz_IQR;1.692000
Chest_Gz_ZCR;1.652718
Chest_Gz_MCR;1.652718
Chest_Gz_DomFreq;0.559744
Chest_Gz_Energy;0.771049
Chest_Gz_SpecEnt;3.649152
Chest_Corr_AxAy;0.000000
Chest_Corr_AxAz;0.000000
Chest_Corr_AyAz;0.763660
Chest_Corr_GxGy;0.854073
Chest_Corr_GxGz;0.722193
Chest_Corr_GyGz;0.769830
Chest_Corr_AxGx;0.000000
Chest_Corr_AyGy;0.796910
Chest_Corr_AzGz;0.750977
Chest_Corr_AxGy;0.000000
Chest_Corr_AxGz;0.000000
Chest_Corr_AyGx;0.789979
Chest_Corr_AyGz;0.831762
Chest_Corr_AzGx;1.212685
Chest_Corr_AzGy;1.765025
Chest_AI;57.709167
Chest_VI;1.617205
Chest_SMA;47.755758
Chest_EVA1;1.721876
Chest_EVA2;1.855976
Chest_CAGH;0.000000
Chest_AVH;45.752418
Chest_AVG;0.000000
Chest_ARATG;1.677737
Chest_AAE;27.133951
Chest_ARE;1.258011
