Feature;Score
Chest_Ax_Mean;1000000000.000000
Chest_Ax_Median;1000000000.000000
Chest_Ax_Std;1000000000.000000
Chest_Ax_Var;1000000000.000000
Chest_Ax_RMS;1000000000.000000
Chest_Ax_AvgDeriv;1000000000.000000
Chest_Ax_Skew;1000000000.000000
Chest_Ax_Kurt;1000000000.000000
Chest_Ax_IQR;1000000000.000000
Chest_Ax_ZCR;1000000000.000000
Chest_Ax_MCR;1000000000.000000
Chest_Ax_DomFreq;1000000000.000000
Chest_Ax_Energy;1000000000.000000
Chest_Ax_SpecEnt;1000000000.000000
Chest_Ay_Mean;0.014444
Chest_Ay_Median;0.014540
Chest_Ay_Std;0.022719
Chest_Ay_Var;0.036974
Chest_Ay_RMS;0.013978
Chest_Ay_AvgDeriv;0.023693
Chest_Ay_Skew;0.008406
Chest_Ay_Kurt;0.009990
Chest_Ay_IQR;0.019756
Chest_Ay_ZCR;0.009786
Chest_Ay_MCR;0.009786
Chest_Ay_DomFreq;0.031852
Chest_Ay_Energy;0.018727
Chest_Ay_SpecEnt;0.013132
Chest_Az_Mean;0.019501
Chest_Az_Median;0.018371
Chest_Az_Std;0.027146
Chest_Az_Var;0.040291
Chest_Az_RMS;0.019473
Chest_Az_AvgDeriv;0.019201
Chest_Az_Skew;0.009578
Chest_Az_Kurt;0.010910
Chest_Az_IQR;0.024819
Chest_Az_ZCR;0.012110
Chest_Az_MCR;0.012110
Chest_Az_DomFreq;1000000000.000000
Chest_Az_Energy;0.019314
Chest_Az_SpecEnt;0.037656
Chest_Gx_Mean;0.017974
Chest_Gx_Median;0.017363
Chest_Gx_Std;0.016451
Chest_Gx_Var;0.021466
Chest_Gx_RMS;0.018263
Chest_Gx_AvgDeriv;0.013469
Chest_Gx_Skew;0.009196
Chest_Gx_Kurt;0.013459
Chest_Gx_IQR;0.014819
Chest_Gx_ZCR;0.011541
Chest_Gx_MCR;0.011541
Chest_Gx_DomFreq;1000000000.000000
Chest_Gx_Energy;0.019677
Chest_Gx_SpecEnt;0.021125
Chest_Gy_Mean;0.010126
Chest_Gy_Median;0.010695
Chest_Gy_Std;0.016196
Chest_Gy_Var;0.024032
Chest_Gy_RMS;0.016405
Chest_Gy_AvgDeriv;0.015074
Chest_Gy_Skew;0.009219
Chest_Gy_Kurt;0.010816
Chest_Gy_IQR;0.012515
Chest_Gy_ZCR;0.010168
Chest_Gy_MCR;0.010168
Chest_Gy_DomFreq;0.025196
Chest_Gy_Energy;0.022822
Chest_Gy_SpecEnt;0.010781
Chest_Gz_Mean;0.013305
Chest_Gz_Median;0.011564
Chest_Gz_Std;0.024237
Chest_Gz_Var;0.035670
Chest_Gz_RMS;0.024289
Chest_Gz_AvgDeriv;0.018752
Chest_Gz_Skew;0.009611
Chest_Gz_Kurt;0.016847
Chest_Gz_IQR;0.022285
Chest_Gz_ZCR;0.010094
Chest_Gz_MCR;0.010094
Chest_Gz_DomFreq;0.015256
Chest_Gz_Energy;0.034666
Chest_Gz_SpecEnt;0.010225
Chest_Corr_AxAy;1000000000.000000
Chest_Corr_AxAz;1000000000.000000
Chest_Corr_AyAz;0.009490
Chest_Corr_GxGy;0.008680
Chest_Corr_GxGz;0.009027
Chest_Corr_GyGz;0.010116
Chest_Corr_AxGx;1000000000.000000
Chest_Corr_AyGy;0.008219
Chest_Corr_AzGz;0.009965
Chest_Corr_AxGy;1000000000.000000
Chest_Corr_AxGz;1000000000.000000
Chest_Corr_AyGx;0.009074
Chest_Corr_AyGz;0.008346
Chest_Corr_AzGx;0.013294
Chest_Corr_AzGy;0.010706
Chest_AI;0.020056
Chest_VI;0.040230
Chest_SMA;0.016551
Chest_EVA1;0.039903
Chest_EVA2;0.039436
Chest_CAGH;1000000000.000000
Chest_AVH;0.018960
Chest_AVG;1000000000.000000
Chest_ARATG;0.016899
Chest_AAE;0.019893
Chest_ARE;0.029922
