Left Lower Leg_Ax_Mean;Left Lower Leg_Ax_Median;Left Lower Leg_Ax_Std;Left Lower Leg_Ax_Var;Left Lower Leg_Ax_RMS;Left Lower Leg_Ax_AvgDeriv;Left Lower Leg_Ax_Skew;Left Lower Leg_Ax_Kurt;Left Lower Leg_Ax_IQR;Left Lower Leg_Ax_ZCR;Left Lower Leg_Ax_MCR;Left Lower Leg_Ax_DomFreq;Left Lower Leg_Ax_Energy;Left Lower Leg_Ax_SpecEnt;Left Lower Leg_Ay_Mean;Left Lower Leg_Ay_Median;Left Lower Leg_Ay_Std;Left Lower Leg_Ay_Var;Left Lower Leg_Ay_RMS;Left Lower Leg_Ay_AvgDeriv;Left Lower Leg_Ay_Skew;Left Lower Leg_Ay_Kurt;Left Lower Leg_Ay_IQR;Left Lower Leg_Ay_ZCR;Left Lower Leg_Ay_MCR;Left Lower Leg_Ay_DomFreq;Left Lower Leg_Ay_Energy;Left Lower Leg_Ay_SpecEnt;Left Lower Leg_Az_Mean;Left Lower Leg_Az_Median;Left Lower Leg_Az_Std;Left Lower Leg_Az_Var;Left Lower Leg_Az_RMS;Left Lower Leg_Az_AvgDeriv;Left Lower Leg_Az_Skew;Left Lower Leg_Az_Kurt;Left Lower Leg_Az_IQR;Left Lower Leg_Az_ZCR;Left Lower Leg_Az_MCR;Left Lower Leg_Az_DomFreq;Left Lower Leg_Az_Energy;Left Lower Leg_Az_SpecEnt;Left Lower Leg_Gx_Mean;Left Lower Leg_Gx_Median;Left Lower Leg_Gx_Std;Left Lower Leg_Gx_Var;Left Lower Leg_Gx_RMS;Left Lower Leg_Gx_AvgDeriv;Left Lower Leg_Gx_Skew;Left Lower Leg_Gx_Kurt;Left Lower Leg_Gx_IQR;Left Lower Leg_Gx_ZCR;Left Lower Leg_Gx_MCR;Left Lower Leg_Gx_DomFreq;Left Lower Leg_Gx_Energy;Left Lower Leg_Gx_SpecEnt;Left Lower Leg_Gy_Mean;Left Lower Leg_Gy_Median;Left Lower Leg_Gy_Std;Left Lower Leg_Gy_Var;Left Lower Leg_Gy_RMS;Left Lower Leg_Gy_AvgDeriv;Left Lower Leg_Gy_Skew;Left Lower Leg_Gy_Kurt;Left Lower Leg_Gy_IQR;Left Lower Leg_Gy_ZCR;Left Lower Leg_Gy_MCR;Left Lower Leg_Gy_DomFreq;Left Lower Leg_Gy_Energy;Left Lower Leg_Gy_SpecEnt;Left Lower Leg_Gz_Mean;Left Lower Leg_Gz_Median;Left Lower Leg_Gz_Std;Left Lower Leg_Gz_Var;Left Lower Leg_Gz_RMS;Left Lower Leg_Gz_AvgDeriv;Left Lower Leg_Gz_Skew;Left Lower Leg_Gz_Kurt;Left Lower Leg_Gz_IQR;Left Lower Leg_Gz_ZCR;Left Lower Leg_Gz_MCR;Left Lower Leg_Gz_DomFreq;Left Lower Leg_Gz_Energy;Left Lower Leg_Gz_SpecEnt;Left Lower Leg_Corr_AxAy;Left Lower Leg_Corr_AxAz;Left Lower Leg_Corr_AyAz;Left Lower Leg_Corr_GxGy;Left Lower Leg_Corr_GxGz;Left Lower Leg_Corr_GyGz;Left Lower Leg_Corr_AxGx;Left Lower Leg_Corr_AyGy;Left Lower Leg_Corr_AzGz;Left Lower Leg_Corr_AxGy;Left Lower Leg_Corr_AxGz;Left Lower Leg_Corr_AyGx;Left Lower Leg_Corr_AyGz;Left Lower Leg_Corr_AzGx;Left Lower Leg_Corr_AzGy;Left Lower Leg_AI;Left Lower Leg_VI;Left Lower Leg_SMA;Left Lower Leg_EVA1;Left Lower Leg_EVA2;Left Lower Leg_CAGH;Left Lower Leg_AVH;Left Lower Leg_AVG;Left Lower Leg_ARATG;Left Lower Leg_AAE;Left Lower Leg_ARE
5.000000;5.000000;0.000000;0.000000;5.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;2550.000000;-0.000000;2.787433;2.092800;4.805150;23.089471;5.555110;1.839609;1.712995;4.717739;3.223377;0.127451;0.127451;0.000000;1971.905381;2.497427;9.623771;9.483150;4.279470;18.313864;10.532371;1.063984;-0.137890;1.685551;1.957050;0.107843;0.107843;0.000000;10380.999362;0.491054;-1.039713;-1.505500;2.713208;7.361498;2.905598;1.103903;1.871560;9.937112;2.401440;0.098039;0.098039;0.000000;485.891500;2.846944;-7.125131;-9.215650;40.573028;1646.170634;41.193909;8.553044;-0.289470;1.706988;34.091700;0.127451;0.127451;1.003922;89138.115185;2.059864;15.459341;2.277500;50.564999;2556.819147;52.875423;15.739317;1.259663;2.312730;41.161975;0.088235;0.088235;2.509804;154855.493355;2.650663;0.000000;0.000000;0.063349;0.424010;-0.200622;-0.464243;0.000000;0.312241;0.665388;0.000000;0.000000;0.767909;0.020619;-0.353079;-0.679363;12.193060;18.119364;18.257790;23.653595;18.159674;0.000000;9.709143;5.029297;-1.389411;166.790086;4501.191005
5.000000;5.000000;0.000000;0.000000;5.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;2550.000000;-0.000000;2.428844;1.838850;5.596495;31.320759;6.100823;1.885797;1.102946;2.393787;3.664216;0.127451;0.127451;0.000000;2199.786867;2.670661;9.993984;9.485600;3.713968;13.793556;10.661767;1.062524;-0.134699;1.225266;2.662200;0.078431;0.078431;0.000000;10891.333489;0.377891;-0.444775;-1.232650;2.762468;7.631229;2.798045;1.217466;2.210776;7.765735;2.709722;0.166667;0.166667;1.505882;409.732048;3.180651;18.626752;-1.721050;69.947891;4892.707441;72.385519;10.348527;0.989373;1.237012;35.030500;0.049020;0.049020;1.003922;284920.992454;2.105220;15.955474;4.014650;50.095219;2509.530980;52.574786;16.118120;1.127277;2.149967;47.836875;0.098039;0.098039;2.509804;153958.437254;2.492559;0.000000;0.000000;0.512791;0.174150;0.165571;-0.259312;0.000000;-0.138419;0.426827;0.000000;0.000000;0.654188;0.191381;0.304055;-0.025553;12.671390;15.329187;19.111493;36.715794;8.845198;0.000000;10.701967;5.029297;0.022965;175.893320;8011.600521
5.000000;5.000000;0.000000;0.000000;5.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;2550.000000;-0.000000;1.776780;0.349710;5.349231;28.614270;5.636596;1.954262;1.114552;2.661660;4.408383;0.098039;0.098039;0.000000;1781.703436;2.869756;9.378270;9.474750;5.068541;25.690107;10.660302;1.361179;0.256952;0.270723;3.201650;0.166667;0.166667;0.000000;10281.401368;0.668177;-0.544718;-1.076250;2.756020;7.595644;2.809335;0.978604;0.594796;1.184347;3.461325;0.088235;0.088235;0.501961;418.789629;2.790623;13.703640;0.094237;81.793242;6690.134406;82.933251;11.957543;0.432209;-0.003283;85.755250;0.049020;0.049020;1.505882;360351.546989;1.756693;-0.092372;-2.243450;46.158653;2130.621220;46.158745;16.314528;0.552459;0.431908;37.058750;0.117647;0.117647;4.015686;108693.369195;2.372148;0.000000;0.000000;0.315266;0.266897;0.168727;-0.279692;0.000000;-0.120216;0.548147;0.000000;0.000000;0.663619;0.170997;0.023053;-0.275339;12.211284;21.297798;18.024085;36.178774;18.663271;0.000000;9.774067;5.029297;-0.556000;170.413262;9016.446272
5.000000;5.000000;0.000000;0.000000;5.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;2550.000000;-0.000000;2.244926;1.693200;2.928121;8.573890;3.689659;0.958289;0.883695;7.942847;0.963525;0.137255;0.137255;0.000000;952.136593;2.239619;9.383236;8.921700;1.832966;3.359766;9.560590;0.489856;0.315361;1.206632;0.987925;0.098039;0.098039;0.000000;9152.014171;0.138525;-3.761739;-3.492800;1.520993;2.313418;4.057598;0.686306;-0.714031;5.210190;0.771600;0.166667;0.166667;0.000000;1561.435585;0.503665;-16.783262;0.437310;48.367576;2339.422391;51.196682;6.442347;-0.976207;0.820042;39.824700;0.058824;0.058824;0.501961;148050.070507;1.703355;-38.049655;-0.838370;72.374099;5238.010148;81.766658;13.250978;-1.772149;2.515271;67.547650;0.039216;0.039216;0.000000;414858.865876;1.884393;0.000000;0.000000;0.031740;0.006788;0.631753;0.048209;0.000000;0.379160;0.154066;0.000000;0.000000;0.117841;-0.139397;0.260856;0.043744;11.190977;4.780514;16.988291;8.664395;3.387416;0.000000;9.382924;5.029297;-3.701975;130.018471;9323.350729
5.000000;5.000000;0.000000;0.000000;5.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;2550.000000;-0.000000;2.388232;1.697100;2.912332;8.481679;3.766342;0.976749;0.754679;8.017831;1.008950;0.147059;0.147059;0.000000;1015.030876;2.118731;9.688358;8.958600;2.112226;4.461498;9.915935;0.598216;0.295378;0.248331;2.324750;0.098039;0.098039;0.000000;9801.709784;0.159061;-3.915134;-3.842950;1.556848;2.423774;4.213318;0.745415;-0.434051;4.343385;1.012025;0.196078;0.196078;0.000000;1687.097000;0.491867;-19.035585;-0.133672;49.498239;2450.075615;53.032340;7.674003;-0.825082;0.380535;55.087925;0.049020;0.049020;1.003922;161926.872834;1.822733;-27.816293;-0.090234;79.501633;6320.509638;84.227405;15.313469;-1.493324;1.742672;85.177000;0.039216;0.039216;0.501961;401282.901731;1.932816;0.000000;0.000000;-0.001932;0.015279;0.496399;0.002947;0.000000;0.385935;0.267340;0.000000;0.000000;0.149221;-0.124880;0.186527;-0.080592;11.492535;5.432747;17.436719;8.565691;4.505635;0.000000;10.183408;5.029297;-3.966754;137.511107;9924.436953
5.000000;5.000000;0.000000;0.000000;5.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;2550.000000;-0.000000;1.861994;1.691150;1.674751;2.804790;2.504359;0.684737;-2.050218;16.044370;0.686375;0.117647;0.117647;0.000000;497.465374;1.590478;9.334701;8.809900;1.536777;2.361683;9.460355;0.415806;1.247124;2.294655;1.163550;0.098039;0.098039;0.000000;9008.613482;0.106666;-3.532877;-3.780900;0.915558;0.838246;3.649585;0.419064;0.253851;1.128406;0.855575;0.098039;0.098039;0.000000;1315.903583;0.236776;3.489781;0.255035;28.247362;797.913451;28.462116;4.291152;0.270523;1.786682;18.688550;0.039216;0.039216;0.501961;41943.329760;1.965681;33.829203;22.555500;43.457271;1888.534427;55.072220;8.261710;0.659383;-0.001083;55.117390;0.078431;0.078431;0.000000;213046.791641;1.664487;0.000000;0.000000;0.057574;0.389919;0.434135;0.418809;0.000000;0.155070;0.148026;0.000000;0.000000;0.085328;0.022038;-0.314610;-0.526740;10.889909;2.180017;16.459179;2.877992;2.339634;0.000000;9.717553;5.029297;-3.731303;120.770139;3856.360899
5.000000;5.000000;0.000000;0.000000;5.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;2550.000000;-0.000000;1.484390;0.543025;4.346237;18.889773;4.592732;1.258959;1.557307;3.244806;2.295485;0.098039;0.098039;0.000000;1191.187444;2.712060;9.102707;9.058450;4.361341;19.021292;10.093590;0.999029;-0.304049;1.591214;0.833200;0.186275;0.186275;0.000000;9421.919845;0.557863;-3.638095;-3.521500;3.383815;11.450204;4.968495;1.012108;-1.553921;4.568368;0.881975;0.196078;0.196078;0.000000;1934.010319;1.477362;-23.414672;-8.529700;60.255195;3630.688575;64.644686;7.914390;-1.811592;2.733361;22.225850;0.019608;0.019608;1.003922;241086.297857;1.787166;-34.404926;-5.332000;79.955893;6392.944840;87.043919;14.897231;-3.299176;12.089879;31.290348;0.039216;0.039216;0.000000;446792.187735;2.380570;0.000000;0.000000;-0.123311;0.540449;0.425052;0.663406;0.000000;0.080377;-0.201965;0.000000;0.000000;-0.038583;-0.234343;-0.173751;-0.286998;11.557593;14.395787;16.934511;21.504698;16.781724;0.000000;9.298459;5.029297;-3.824571;147.973749;11780.265123
5.000000;5.000000;0.000000;0.000000;5.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;2550.000000;-0.000000;1.813081;0.646470;5.102338;26.033856;5.414898;1.493466;1.223698;1.845156;2.709892;0.078431;0.078431;0.000000;1664.777845;2.513316;8.875770;8.919850;3.640453;13.252901;9.593341;1.029072;-0.286975;1.287882;1.214025;0.166667;0.166667;0.000000;8712.049522;0.482428;-2.881758;-3.443450;2.576737;6.639572;3.865760;1.043535;-0.653519;5.457592;2.265600;0.127451;0.127451;0.000000;1185.743497;1.503230;3.690562;-4.273800;24.859714;618.005404;25.132164;6.964149;1.388863;2.311144;24.809500;0.068627;0.068627;1.003922;32917.979667;2.631327;0.544779;0.509730;45.922305;2108.858076;45.925536;10.092333;0.290538;1.465694;24.221675;0.068627;0.068627;0.501961;107583.851211;1.896725;0.000000;0.000000;0.349259;0.152160;-0.236007;-0.344792;0.000000;-0.170111;0.572616;0.000000;0.000000;0.005037;-0.045767;-0.472717;-0.405163;11.557699;12.772916;17.216193;29.034337;10.641397;0.000000;9.360293;5.029297;-2.566089;146.353313;2755.724609
5.000000;5.000000;0.000000;0.000000;5.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;2550.000000;-0.000000;0.895129;0.038664;4.222494;17.829457;4.316331;1.190589;1.325520;3.438410;1.805552;0.068627;0.068627;3.011765;991.718457;2.622366;8.844899;8.903200;4.281728;18.333198;9.826772;0.901529;-0.509194;-0.169299;3.085900;0.127451;0.127451;0.000000;8914.751917;0.519783;-3.518685;-3.947600;1.748270;3.056448;3.929070;0.667806;1.087887;1.103093;1.446250;0.196078;0.196078;0.000000;1418.910186;0.641487;-23.583184;-14.919500;58.170168;3383.768400;62.768901;8.605673;-0.322661;0.620202;46.686550;0.039216;0.039216;0.501961;229305.375530;2.002636;-17.085229;1.408650;69.274659;4798.978364;71.350427;11.651462;-0.699101;0.705299;46.971825;0.029412;0.029412;1.003922;274523.892343;1.854589;0.000000;0.000000;0.403710;0.494024;0.347104;0.484357;0.000000;-0.075185;0.283917;0.000000;0.000000;-0.293022;0.017512;-0.170850;-0.352977;11.266023;13.272887;16.435217;25.635918;10.884783;0.000000;9.583799;5.029297;-3.243748;140.196153;9046.255997
5.000000;5.000000;0.000000;0.000000;5.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;2550.000000;-0.000000;2.246460;1.330950;5.465038;29.866638;5.908741;2.195186;1.212836;2.430369;3.675569;0.156863;0.156863;0.000000;2042.967633;2.884129;10.238410;9.690550;4.640971;21.538608;11.241158;1.395233;0.487111;1.222512;3.309025;0.117647;0.117647;0.000000;11790.682916;0.545369;-1.605383;-1.555050;3.034830;9.210191;3.433285;1.524735;3.484288;31.670354;1.555755;0.225490;0.225490;0.000000;732.992080;2.929795;1.718354;-5.699650;33.403222;1115.775249;33.447391;7.636044;0.944191;0.594480;24.261025;0.078431;0.078431;1.003922;57213.581422;2.153873;21.023715;13.828500;55.219773;3049.223311;59.086546;17.503111;0.472176;0.376221;54.584725;0.127451;0.127451;0.000000;201002.202486;2.480080;0.000000;0.000000;0.187791;0.070713;0.026357;-0.286722;0.000000;0.346352;0.776462;0.000000;0.000000;-0.054399;0.189082;0.184740;-0.537013;12.874235;20.530932;19.199647;32.346251;19.567958;0.000000;10.232908;5.029297;-1.479873;186.276865;4621.735349
