Feature;Score
Left Lower Leg_Ax_Mean;1000000000.000000
Left Lower Leg_Ax_Median;1000000000.000000
Left Lower Leg_Ax_Std;1000000000.000000
Left Lower Leg_Ax_Var;1000000000.000000
Left Lower Leg_Ax_RMS;1000000000.000000
Left Lower Leg_Ax_AvgDeriv;1000000000.000000
Left Lower Leg_Ax_Skew;1000000000.000000
Left Lower Leg_Ax_Kurt;1000000000.000000
Left Lower Leg_Ax_IQR;1000000000.000000
Left Lower Leg_Ax_ZCR;1000000000.000000
Left Lower Leg_Ax_MCR;1000000000.000000
Left Lower Leg_Ax_DomFreq;1000000000.000000
Left Lower Leg_Ax_Energy;1000000000.000000
Left Lower Leg_Ax_SpecEnt;1000000000.000000
Left Lower Leg_Ay_Mean;0.059081
Left Lower Leg_Ay_Median;0.059606
Left Lower Leg_Ay_Std;0.067195
Left Lower Leg_Ay_Var;0.071251
Left Lower Leg_Ay_RMS;0.061622
Left Lower Leg_Ay_AvgDeriv;0.069414
Left Lower Leg_Ay_Skew;0.054211
Left Lower Leg_Ay_Kurt;0.059690
Left Lower Leg_Ay_IQR;0.054113
Left Lower Leg_Ay_ZCR;0.055200
Left Lower Leg_Ay_MCR;0.055200
Left Lower Leg_Ay_DomFreq;0.081396
Left Lower Leg_Ay_Energy;0.060269
Left Lower Leg_Ay_SpecEnt;0.069680
Left Lower Leg_Az_Mean;0.070537
Left Lower Leg_Az_Median;0.074758
Left Lower Leg_Az_Std;0.063902
Left Lower Leg_Az_Var;0.066502
Left Lower Leg_Az_RMS;0.071939
Left Lower Leg_Az_AvgDeriv;0.064324
Left Lower Leg_Az_Skew;0.063048
Left Lower Leg_Az_Kurt;0.072449
Left Lower Leg_Az_IQR;0.061835
Left Lower Leg_Az_ZCR;0.058071
Left Lower Leg_Az_MCR;0.058071
Left Lower Leg_Az_DomFreq;1000000000.000000
Left Lower Leg_Az_Energy;0.069840
Left Lower Leg_Az_SpecEnt;0.059860
Left Lower Leg_Gx_Mean;0.062947
Left Lower Leg_Gx_Median;0.061456
Left Lower Leg_Gx_Std;0.064689
Left Lower Leg_Gx_Var;0.068533
Left Lower Leg_Gx_RMS;0.058821
Left Lower Leg_Gx_AvgDeriv;0.068914
Left Lower Leg_Gx_Skew;0.056921
Left Lower Leg_Gx_Kurt;0.055676
Left Lower Leg_Gx_IQR;0.056536
Left Lower Leg_Gx_ZCR;0.060015
Left Lower Leg_Gx_MCR;0.060015
Left Lower Leg_Gx_DomFreq;1000000000.000000
Left Lower Leg_Gx_Energy;0.065300
Left Lower Leg_Gx_SpecEnt;0.064553
Left Lower Leg_Gy_Mean;0.056073
Left Lower Leg_Gy_Median;0.054307
Left Lower Leg_Gy_Std;0.064618
Left Lower Leg_Gy_Var;0.071375
Left Lower Leg_Gy_RMS;0.064924
Left Lower Leg_Gy_AvgDeriv;0.071030
Left Lower Leg_Gy_Skew;0.061592
Left Lower Leg_Gy_Kurt;0.060269
Left Lower Leg_Gy_IQR;0.067769
Left Lower Leg_Gy_ZCR;0.056260
Left Lower Leg_Gy_MCR;0.056260
Left Lower Leg_Gy_DomFreq;0.063479
Left Lower Leg_Gy_Energy;0.072224
Left Lower Leg_Gy_SpecEnt;0.056522
Left Lower Leg_Gz_Mean;0.060365
Left Lower Leg_Gz_Median;0.059431
Left Lower Leg_Gz_Std;0.067605
Left Lower Leg_Gz_Var;0.070192
Left Lower Leg_Gz_RMS;0.068595
Left Lower Leg_Gz_AvgDeriv;0.069567
Left Lower Leg_Gz_Skew;0.062244
Left Lower Leg_Gz_Kurt;0.067989
Left Lower Leg_Gz_IQR;0.058975
Left Lower Leg_Gz_ZCR;0.060652
Left Lower Leg_Gz_MCR;0.060652
Left Lower Leg_Gz_DomFreq;0.064611
Left Lower Leg_Gz_Energy;0.071996
Left Lower Leg_Gz_SpecEnt;0.058715
Left Lower Leg_Corr_AxAy;1000000000.000000
Left Lower Leg_Corr_AxAz;1000000000.000000
Left Lower Leg_Corr_AyAz;0.056416
Left Lower Leg_Corr_GxGy;0.054470
Left Lower Leg_Corr_GxGz;0.055361
Left Lower Leg_Corr_GyGz;0.056023
Left Lower Leg_Corr_AxGx;1000000000.000000
Left Lower Leg_Corr_AyGy;0.056978
Left Lower Leg_Corr_AzGz;0.054361
Left Lower Leg_Corr_AxGy;1000000000.000000
Left Lower Leg_Corr_AxGz;1000000000.000000
Left Lower Leg_Corr_AyGx;0.053816
Left Lower Leg_Corr_AyGz;0.057685
Left Lower Leg_Corr_AzGx;0.053134
Left Lower Leg_Corr_AzGy;0.057562
Left Lower Leg_AI;0.071102
Left Lower Leg_VI;0.075773
Left Lower Leg_SMA;0.064349
Left Lower Leg_EVA1;0.072750
Left Lower Leg_EVA2;0.071267
Left Lower Leg_CAGH;1000000000.000000
Left Lower Leg_AVH;0.059677
Left Lower Leg_AVG;1000000000.000000
Left Lower Leg_ARATG;0.065562
Left Lower Leg_AAE;0.074445
Left Lower Leg_ARE;0.069322
