Feature;Score
Left Lower Leg_Ax_Mean;0.000000
Left Lower Leg_Ax_Median;0.000000
Left Lower Leg_Ax_Std;0.000000
Left Lower Leg_Ax_Var;0.000000
Left Lower Leg_Ax_RMS;0.000000
Left Lower Leg_Ax_AvgDeriv;0.000000
Left Lower Leg_Ax_Skew;0.000000
Left Lower Leg_Ax_Kurt;0.000000
Left Lower Leg_Ax_IQR;0.000000
Left Lower Leg_Ax_ZCR;0.000000
Left Lower Leg_Ax_MCR;0.000000
Left Lower Leg_Ax_DomFreq;0.000000
Left Lower Leg_Ax_Energy;0.000000
Left Lower Leg_Ax_SpecEnt;0.000000
Left Lower Leg_Ay_Mean;0.903720
Left Lower Leg_Ay_Median;0.895204
Left Lower Leg_Ay_Std;0.840339
Left Lower Leg_Ay_Var;0.493724
Left Lower Leg_Ay_RMS;1.851394
Left Lower Leg_Ay_AvgDeriv;0.865303
Left Lower Leg_Ay_Skew;0.639601
Left Lower Leg_Ay_Kurt;0.520187
Left Lower Leg_Ay_IQR;0.693234
Left Lower Leg_Ay_ZCR;1.724236
Left Lower Leg_Ay_MCR;1.724236
Left Lower Leg_Ay_DomFreq;0.287883
Left Lower Leg_Ay_Energy;0.969099
Left Lower Leg_Ay_SpecEnt;0.804649
Left Lower Leg_Az_Mean;36.384048
Left Lower Leg_Az_Median;36.126686
Left Lower Leg_Az_Std;0.774629
Left Lower Leg_Az_Var;0.406563
Left Lower Leg_Az_RMS;36.091949
Left Lower Leg_Az_AvgDeriv;0.925191
Left Lower Leg_Az_Skew;0.638534
Left Lower Leg_Az_Kurt;0.561670
Left Lower Leg_Az_IQR;0.909281
Left Lower Leg_Az_ZCR;3.108249
Left Lower Leg_Az_MCR;3.108249
Left Lower Leg_Az_DomFreq;0.000000
Left Lower Leg_Az_Energy;18.433249
Left Lower Leg_Az_SpecEnt;0.443316
Left Lower Leg_Gx_Mean;1.469298
Left Lower Leg_Gx_Median;1.485406
Left Lower Leg_Gx_Std;0.863358
Left Lower Leg_Gx_Var;0.434512
Left Lower Leg_Gx_RMS;1.872480
Left Lower Leg_Gx_AvgDeriv;0.887382
Left Lower Leg_Gx_Skew;0.730823
Left Lower Leg_Gx_Kurt;0.648917
Left Lower Leg_Gx_IQR;0.785441
Left Lower Leg_Gx_ZCR;1.757221
Left Lower Leg_Gx_MCR;1.757221
Left Lower Leg_Gx_DomFreq;0.148250
Left Lower Leg_Gx_Energy;1.066274
Left Lower Leg_Gx_SpecEnt;0.588006
Left Lower Leg_Gy_Mean;0.654108
Left Lower Leg_Gy_Median;0.529509
Left Lower Leg_Gy_Std;0.821554
Left Lower Leg_Gy_Var;0.378824
Left Lower Leg_Gy_RMS;0.864887
Left Lower Leg_Gy_AvgDeriv;0.989967
Left Lower Leg_Gy_Skew;0.700340
Left Lower Leg_Gy_Kurt;0.504506
Left Lower Leg_Gy_IQR;0.826865
Left Lower Leg_Gy_ZCR;1.376044
Left Lower Leg_Gy_MCR;1.376044
Left Lower Leg_Gy_DomFreq;0.565255
Left Lower Leg_Gy_Energy;0.412330
Left Lower Leg_Gy_SpecEnt;2.190749
Left Lower Leg_Gz_Mean;0.621449
Left Lower Leg_Gz_Median;0.557372
Left Lower Leg_Gz_Std;0.737958
Left Lower Leg_Gz_Var;0.311874
Left Lower Leg_Gz_RMS;0.755455
Left Lower Leg_Gz_AvgDeriv;0.893594
Left Lower Leg_Gz_Skew;0.714716
Left Lower Leg_Gz_Kurt;0.635889
Left Lower Leg_Gz_IQR;0.808743
Left Lower Leg_Gz_ZCR;1.615600
Left Lower Leg_Gz_MCR;1.615600
Left Lower Leg_Gz_DomFreq;0.718317
Left Lower Leg_Gz_Energy;0.333855
Left Lower Leg_Gz_SpecEnt;2.804482
Left Lower Leg_Corr_AxAy;0.000000
Left Lower Leg_Corr_AxAz;0.000000
Left Lower Leg_Corr_AyAz;0.807695
Left Lower Leg_Corr_GxGy;0.767983
Left Lower Leg_Corr_GxGz;1.068460
Left Lower Leg_Corr_GyGz;0.839203
Left Lower Leg_Corr_AxGx;0.000000
Left Lower Leg_Corr_AyGy;0.768029
Left Lower Leg_Corr_AzGz;0.826314
Left Lower Leg_Corr_AxGy;0.000000
Left Lower Leg_Corr_AxGz;0.000000
Left Lower Leg_Corr_AyGx;0.797683
Left Lower Leg_Corr_AyGz;0.850203
Left Lower Leg_Corr_AzGx;1.085469
Left Lower Leg_Corr_AzGy;0.736244
Left Lower Leg_AI;43.824585
Left Lower Leg_VI;0.383685
Left Lower Leg_SMA;24.643158
Left Lower Leg_EVA1;0.505084
Left Lower Leg_EVA2;0.407667
Left Lower Leg_CAGH;0.000000
Left Lower Leg_AVH;35.433256
Left Lower Leg_AVG;0.000000
Left Lower Leg_ARATG;1.472887
Left Lower Leg_AAE;21.820773
Left Lower Leg_ARE;0.355255
