Feature;Score
Left Wrist_Ax_Mean;1000000000.000000
Left Wrist_Ax_Median;1000000000.000000
Left Wrist_Ax_Std;1000000000.000000
Left Wrist_Ax_Var;1000000000.000000
Left Wrist_Ax_RMS;1000000000.000000
Left Wrist_Ax_AvgDeriv;1000000000.000000
Left Wrist_Ax_Skew;1000000000.000000
Left Wrist_Ax_Kurt;1000000000.000000
Left Wrist_Ax_IQR;1000000000.000000
Left Wrist_Ax_ZCR;1000000000.000000
Left Wrist_Ax_MCR;1000000000.000000
Left Wrist_Ax_DomFreq;1000000000.000000
Left Wrist_Ax_Energy;1000000000.000000
Left Wrist_Ax_SpecEnt;1000000000.000000
Left Wrist_Ay_Mean;0.065761
Left Wrist_Ay_Median;0.064533
Left Wrist_Ay_Std;0.065251
Left Wrist_Ay_Var;0.068027
Left Wrist_Ay_RMS;0.060665
Left Wrist_Ay_AvgDeriv;0.068560
Left Wrist_Ay_Skew;0.054530
Left Wrist_Ay_Kurt;0.067134
Left Wrist_Ay_IQR;0.059117
Left Wrist_Ay_ZCR;0.054244
Left Wrist_Ay_MCR;0.054244
Left Wrist_Ay_DomFreq;0.125599
Left Wrist_Ay_Energy;0.059674
Left Wrist_Ay_SpecEnt;0.074261
Left Wrist_Az_Mean;0.064598
Left Wrist_Az_Median;0.061681
Left Wrist_Az_Std;0.064090
Left Wrist_Az_Var;0.064982
Left Wrist_Az_RMS;0.065908
Left Wrist_Az_AvgDeriv;0.065840
Left Wrist_Az_Skew;0.065959
Left Wrist_Az_Kurt;0.059766
Left Wrist_Az_IQR;0.065082
Left Wrist_Az_ZCR;0.056124
Left Wrist_Az_MCR;0.056124
Left Wrist_Az_DomFreq;1000000000.000000
Left Wrist_Az_Energy;0.065760
Left Wrist_Az_SpecEnt;0.062121
Left Wrist_Gx_Mean;0.057314
Left Wrist_Gx_Median;0.055937
Left Wrist_Gx_Std;0.057346
Left Wrist_Gx_Var;0.057710
Left Wrist_Gx_RMS;0.059779
Left Wrist_Gx_AvgDeriv;0.066606
Left Wrist_Gx_Skew;0.059996
Left Wrist_Gx_Kurt;0.064304
Left Wrist_Gx_IQR;0.054275
Left Wrist_Gx_ZCR;0.062336
Left Wrist_Gx_MCR;0.062336
Left Wrist_Gx_DomFreq;0.113384
Left Wrist_Gx_Energy;0.059043
Left Wrist_Gx_SpecEnt;0.059622
Left Wrist_Gy_Mean;0.065460
Left Wrist_Gy_Median;0.079983
Left Wrist_Gy_Std;0.081139
Left Wrist_Gy_Var;0.107503
Left Wrist_Gy_RMS;0.080954
Left Wrist_Gy_AvgDeriv;0.088241
Left Wrist_Gy_Skew;0.053085
Left Wrist_Gy_Kurt;0.052493
Left Wrist_Gy_IQR;0.076316
Left Wrist_Gy_ZCR;0.059362
Left Wrist_Gy_MCR;0.059362
Left Wrist_Gy_DomFreq;0.065486
Left Wrist_Gy_Energy;0.107284
Left Wrist_Gy_SpecEnt;0.055393
Left Wrist_Gz_Mean;0.067577
Left Wrist_Gz_Median;0.060873
Left Wrist_Gz_Std;0.072501
Left Wrist_Gz_Var;0.080965
Left Wrist_Gz_RMS;0.073964
Left Wrist_Gz_AvgDeriv;0.069325
Left Wrist_Gz_Skew;0.054565
Left Wrist_Gz_Kurt;0.057209
Left Wrist_Gz_IQR;0.063086
Left Wrist_Gz_ZCR;0.054192
Left Wrist_Gz_MCR;0.054192
Left Wrist_Gz_DomFreq;0.058045
Left Wrist_Gz_Energy;0.083865
Left Wrist_Gz_SpecEnt;0.081443
Left Wrist_Corr_AxAy;1000000000.000000
Left Wrist_Corr_AxAz;1000000000.000000
Left Wrist_Corr_AyAz;0.056982
Left Wrist_Corr_GxGy;0.055522
Left Wrist_Corr_GxGz;0.052894
Left Wrist_Corr_GyGz;0.060268
Left Wrist_Corr_AxGx;1000000000.000000
Left Wrist_Corr_AyGy;0.056477
Left Wrist_Corr_AzGz;0.057818
Left Wrist_Corr_AxGy;1000000000.000000
Left Wrist_Corr_AxGz;1000000000.000000
Left Wrist_Corr_AyGx;0.060134
Left Wrist_Corr_AyGz;0.059908
Left Wrist_Corr_AzGx;0.059916
Left Wrist_Corr_AzGy;0.055962
Left Wrist_AI;0.068911
Left Wrist_VI;0.066500
Left Wrist_SMA;0.067286
Left Wrist_EVA1;0.065810
Left Wrist_EVA2;0.066811
Left Wrist_CAGH;1000000000.000000
Left Wrist_AVH;0.059694
Left Wrist_AVG;1000000000.000000
Left Wrist_ARATG;0.059113
Left Wrist_AAE;0.067903
Left Wrist_ARE;0.095948
