Feature;Score
Left Wrist_Ax_Mean;0.000000
Left Wrist_Ax_Median;0.000000
Left Wrist_Ax_Std;0.000000
Left Wrist_Ax_Var;0.000000
Left Wrist_Ax_RMS;0.000000
Left Wrist_Ax_AvgDeriv;0.000000
Left Wrist_Ax_Skew;0.000000
Left Wrist_Ax_Kurt;0.000000
Left Wrist_Ax_IQR;0.000000
Left Wrist_Ax_ZCR;0.000000
Left Wrist_Ax_MCR;0.000000
Left Wrist_Ax_DomFreq;0.000000
Left Wrist_Ax_Energy;0.000000
Left Wrist_Ax_SpecEnt;0.000000
Left Wrist_Ay_Mean;1.788334
Left Wrist_Ay_Median;1.780861
Left Wrist_Ay_Std;2.216679
Left Wrist_Ay_Var;0.668644
Left Wrist_Ay_RMS;2.377340
Left Wrist_Ay_AvgDeriv;2.338264
Left Wrist_Ay_Skew;0.725988
Left Wrist_Ay_Kurt;0.477108
Left Wrist_Ay_IQR;1.993541
Left Wrist_Ay_ZCR;2.399399
Left Wrist_Ay_MCR;2.399399
Left Wrist_Ay_DomFreq;0.210285
Left Wrist_Ay_Energy;1.197074
Left Wrist_Ay_SpecEnt;1.090277
Left Wrist_Az_Mean;19.260925
Left Wrist_Az_Median;17.380052
Left Wrist_Az_Std;2.617820
Left Wrist_Az_Var;0.995259
Left Wrist_Az_RMS;21.434005
Left Wrist_Az_AvgDeriv;2.785801
Left Wrist_Az_Skew;1.280515
Left Wrist_Az_Kurt;0.609735
Left Wrist_Az_IQR;2.158162
Left Wrist_Az_ZCR;3.569029
Left Wrist_Az_MCR;3.569029
Left Wrist_Az_DomFreq;0.026832
Left Wrist_Az_Energy;10.882051
Left Wrist_Az_SpecEnt;1.389940
Left Wrist_Gx_Mean;3.016735
Left Wrist_Gx_Median;2.849040
Left Wrist_Gx_Std;2.598993
Left Wrist_Gx_Var;1.289703
Left Wrist_Gx_RMS;3.782247
Left Wrist_Gx_AvgDeriv;2.663684
Left Wrist_Gx_Skew;0.762352
Left Wrist_Gx_Kurt;0.659767
Left Wrist_Gx_IQR;2.319554
Left Wrist_Gx_ZCR;2.301953
Left Wrist_Gx_MCR;2.301953
Left Wrist_Gx_DomFreq;0.124906
Left Wrist_Gx_Energy;1.851545
Left Wrist_Gx_SpecEnt;1.506856
Left Wrist_Gy_Mean;0.758845
Left Wrist_Gy_Median;0.744262
Left Wrist_Gy_Std;1.880685
Left Wrist_Gy_Var;0.882648
Left Wrist_Gy_RMS;1.935467
Left Wrist_Gy_AvgDeriv;2.025331
Left Wrist_Gy_Skew;0.767844
Left Wrist_Gy_Kurt;1.087786
Left Wrist_Gy_IQR;1.739327
Left Wrist_Gy_ZCR;2.868112
Left Wrist_Gy_MCR;2.868112
Left Wrist_Gy_DomFreq;1.705491
Left Wrist_Gy_Energy;0.937602
Left Wrist_Gy_SpecEnt;4.617303
Left Wrist_Gz_Mean;0.754121
Left Wrist_Gz_Median;0.766263
Left Wrist_Gz_Std;2.303089
Left Wrist_Gz_Var;1.132430
Left Wrist_Gz_RMS;2.363852
Left Wrist_Gz_AvgDeriv;2.070371
Left Wrist_Gz_Skew;0.808129
Left Wrist_Gz_Kurt;0.660213
Left Wrist_Gz_IQR;2.128740
Left Wrist_Gz_ZCR;2.594410
Left Wrist_Gz_MCR;2.594410
Left Wrist_Gz_DomFreq;0.802076
Left Wrist_Gz_Energy;1.179771
Left Wrist_Gz_SpecEnt;3.711622
Left Wrist_Corr_AxAy;0.000000
Left Wrist_Corr_AxAz;0.000000
Left Wrist_Corr_AyAz;0.821685
Left Wrist_Corr_GxGy;1.659680
Left Wrist_Corr_GxGz;0.827397
Left Wrist_Corr_GyGz;0.840218
Left Wrist_Corr_AxGx;0.000000
Left Wrist_Corr_AyGy;0.856435
Left Wrist_Corr_AzGz;0.859415
Left Wrist_Corr_AxGy;0.000000
Left Wrist_Corr_AxGz;0.000000
Left Wrist_Corr_AyGx;0.836203
Left Wrist_Corr_AyGz;0.830062
Left Wrist_Corr_AzGx;0.848711
Left Wrist_Corr_AzGy;0.849465
Left Wrist_AI;32.827518
Left Wrist_VI;1.506174
Left Wrist_SMA;16.475328
Left Wrist_EVA1;0.851732
Left Wrist_EVA2;1.047040
Left Wrist_CAGH;0.000000
Left Wrist_AVH;28.988931
Left Wrist_AVG;0.000000
Left Wrist_ARATG;2.905638
Left Wrist_AAE;15.088629
Left Wrist_ARE;1.309649
