Left Wrist_Ax_Mean;Left Wrist_Ax_Median;Left Wrist_Ax_Std;Left Wrist_Ax_Var;Left Wrist_Ax_RMS;Left Wrist_Ax_AvgDeriv;Left Wrist_Ax_Skew;Left Wrist_Ax_Kurt;Left Wrist_Ax_IQR;Left Wrist_Ax_ZCR;Left Wrist_Ax_MCR;Left Wrist_Ax_DomFreq;Left Wrist_Ax_Energy;Left Wrist_Ax_SpecEnt;Left Wrist_Ay_Mean;Left Wrist_Ay_Median;Left Wrist_Ay_Std;Left Wrist_Ay_Var;Left Wrist_Ay_RMS;Left Wrist_Ay_AvgDeriv;Left Wrist_Ay_Skew;Left Wrist_Ay_Kurt;Left Wrist_Ay_IQR;Left Wrist_Ay_ZCR;Left Wrist_Ay_MCR;Left Wrist_Ay_DomFreq;Left Wrist_Ay_Energy;Left Wrist_Ay_SpecEnt;Left Wrist_Az_Mean;Left Wrist_Az_Median;Left Wrist_Az_Std;Left Wrist_Az_Var;Left Wrist_Az_RMS;Left Wrist_Az_AvgDeriv;Left Wrist_Az_Skew;Left Wrist_Az_Kurt;Left Wrist_Az_IQR;Left Wrist_Az_ZCR;Left Wrist_Az_MCR;Left Wrist_Az_DomFreq;Left Wrist_Az_Energy;Left Wrist_Az_SpecEnt;Left Wrist_Gx_Mean;Left Wrist_Gx_Median;Left Wrist_Gx_Std;Left Wrist_Gx_Var;Left Wrist_Gx_RMS;Left Wrist_Gx_AvgDeriv;Left Wrist_Gx_Skew;Left Wrist_Gx_Kurt;Left Wrist_Gx_IQR;Left Wrist_Gx_ZCR;Left Wrist_Gx_MCR;Left Wrist_Gx_DomFreq;Left Wrist_Gx_Energy;Left Wrist_Gx_SpecEnt;Left Wrist_Gy_Mean;Left Wrist_Gy_Median;Left Wrist_Gy_Std;Left Wrist_Gy_Var;Left Wrist_Gy_RMS;Left Wrist_Gy_AvgDeriv;Left Wrist_Gy_Skew;Left Wrist_Gy_Kurt;Left Wrist_Gy_IQR;Left Wrist_Gy_ZCR;Left Wrist_Gy_MCR;Left Wrist_Gy_DomFreq;Left Wrist_Gy_Energy;Left Wrist_Gy_SpecEnt;Left Wrist_Gz_Mean;Left Wrist_Gz_Median;Left Wrist_Gz_Std;Left Wrist_Gz_Var;Left Wrist_Gz_RMS;Left Wrist_Gz_AvgDeriv;Left Wrist_Gz_Skew;Left Wrist_Gz_Kurt;Left Wrist_Gz_IQR;Left Wrist_Gz_ZCR;Left Wrist_Gz_MCR;Left Wrist_Gz_DomFreq;Left Wrist_Gz_Energy;Left Wrist_Gz_SpecEnt;Left Wrist_Corr_AxAy;Left Wrist_Corr_AxAz;Left Wrist_Corr_AyAz;Left Wrist_Corr_GxGy;Left Wrist_Corr_GxGz;Left Wrist_Corr_GyGz;Left Wrist_Corr_AxGx;Left Wrist_Corr_AyGy;Left Wrist_Corr_AzGz;Left Wrist_Corr_AxGy;Left Wrist_Corr_AxGz;Left Wrist_Corr_AyGx;Left Wrist_Corr_AyGz;Left Wrist_Corr_AzGx;Left Wrist_Corr_AzGy;Left Wrist_AI;Left Wrist_VI;Left Wrist_SMA;Left Wrist_EVA1;Left Wrist_EVA2;Left Wrist_CAGH;Left Wrist_AVH;Left Wrist_AVG;Left Wrist_ARATG;Left Wrist_AAE;Left Wrist_ARE
1.000000;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;102.000000;-0.000000;-2.398282;-2.350100;0.603515;0.364230;2.473052;0.254945;-0.693987;0.857368;0.747425;0.176471;0.176471;0.000000;605.255500;0.215651;9.693790;9.468600;1.729680;2.991794;9.846896;0.509175;0.838857;0.299581;1.696400;0.137255;0.137255;0.000000;9737.478070;0.116016;2.459898;2.265200;0.795816;0.633323;2.585425;0.207556;0.524021;-0.293657;1.124275;0.078431;0.078431;0.000000;649.511500;0.271194;-10.938238;-11.350000;35.809472;1282.318304;37.442801;5.815319;0.179728;-0.906188;62.589750;0.058824;0.058824;1.505882;77605.375095;1.135045;20.855715;19.195000;45.287206;2050.931020;49.858719;7.841592;-0.135754;-0.106809;45.472650;0.049020;0.049020;1.003922;148977.493393;1.668650;0.000000;0.000000;-0.543627;0.713852;-0.394221;-0.053319;0.000000;-0.396801;-0.387338;0.000000;0.000000;-0.564976;0.195549;0.551101;0.569563;10.049947;3.075913;13.092072;3.139901;0.249351;0.000000;10.060133;1.005859;2.508100;104.077350;3894.539667
1.000000;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;102.000000;-0.000000;-2.092890;-2.108450;0.861384;0.741982;2.263221;0.370830;0.651791;2.427156;0.985725;0.147059;0.147059;0.000000;484.635473;0.474676;9.610838;9.203100;1.770961;3.136303;9.772641;0.505862;0.834899;0.033483;1.992825;0.137255;0.137255;0.000000;9581.515829;0.113782;2.375824;2.296100;0.797581;0.636135;2.506127;0.272289;0.537955;-0.046633;1.152000;0.098039;0.098039;0.000000;608.186308;0.314536;-6.700453;-2.626250;32.951516;1085.802387;33.625860;6.089403;-0.084747;-0.467281;48.311750;0.078431;0.078431;1.505882;59955.465142;1.486470;33.111471;35.282500;53.271762;2837.880583;62.723601;12.804440;-0.190315;-0.498923;79.027500;0.039216;0.039216;0.000000;256566.117201;1.768921;0.000000;0.000000;-0.182633;0.705022;-0.157700;-0.125599;0.000000;-0.178240;-0.377530;0.000000;0.000000;-0.090815;0.120370;0.470708;0.604348;9.926230;3.096653;12.745519;3.199663;0.717021;0.000000;9.744280;1.005859;2.347318;101.626686;5071.229209
1.000000;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;102.000000;-0.000000;-2.033974;-2.176350;0.941217;0.885889;2.241192;0.380803;0.926610;1.039090;1.139225;0.186275;0.186275;0.000000;467.165629;0.566555;9.542183;9.182750;1.653817;2.735110;9.684440;0.478216;0.832483;-0.020330;1.986275;0.137255;0.137255;0.000000;9426.927924;0.105037;1.849357;2.008850;1.015090;1.030409;2.109628;0.320853;-0.481847;-0.269049;1.349175;0.137255;0.137255;0.000000;401.403847;0.646030;-13.356795;-12.161000;24.273435;589.199660;27.705661;5.227770;0.000294;-0.916099;35.792775;0.098039;0.098039;0.000000;48246.937761;1.826290;70.158057;55.061500;71.270711;5079.514198;100.008336;13.675202;0.232635;-0.930308;110.024250;0.068627;0.068627;0.000000;761172.058613;1.321180;0.000000;0.000000;-0.156729;0.634926;-0.502431;-0.554825;0.000000;0.121060;0.029109;0.000000;0.000000;0.436052;-0.370860;-0.010171;0.282594;9.855513;2.680183;12.622981;2.794148;0.862702;0.000000;9.896941;1.005859;2.145232;99.811314;10773.721361
1.000000;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;102.000000;-0.000000;-2.149688;-2.257400;0.855518;0.731912;2.313670;0.303593;1.224346;3.009778;1.096625;0.147059;0.147059;0.000000;508.735653;0.484112;9.156810;9.142900;1.564931;2.449008;9.289573;0.413942;0.290976;0.099824;2.087100;0.127451;0.127451;0.000000;8677.336058;0.106634;1.940200;2.106100;1.046184;1.094502;2.204286;0.275064;-0.539288;-0.181432;1.189575;0.098039;0.098039;0.000000;439.788477;0.622623;-22.388338;-26.163000;36.115460;1304.326425;42.491930;5.980435;0.025142;-0.796277;57.226875;0.078431;0.078431;0.000000;117652.698523;1.490545;66.278216;43.778000;71.093286;5054.255356;97.195974;11.337986;0.420735;-0.881820;113.814000;0.029412;0.029412;0.000000;705833.922615;1.134254;0.000000;0.000000;-0.331740;0.535955;-0.694729;-0.324596;0.000000;-0.178791;0.191613;0.000000;0.000000;0.271795;-0.368908;-0.090978;0.322517;9.491810;2.554783;12.343395;2.582405;0.630010;0.000000;9.546314;1.005859;1.768370;92.649244;11257.480313
1.000000;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;102.000000;-0.000000;-2.228637;-2.180850;0.901126;0.812028;2.403924;0.393543;-0.636846;8.157537;1.019550;0.127451;0.127451;0.000000;548.296352;0.534213;9.338996;9.143350;2.366612;5.600854;9.634194;0.529272;0.570290;-0.278586;3.052875;0.078431;0.078431;0.000000;9181.762032;0.189268;2.538569;2.371050;0.957146;0.916128;2.713017;0.282321;1.041513;2.144253;1.492475;0.098039;0.098039;0.000000;704.053814;0.396042;-11.971924;-11.819000;46.699518;2180.845019;48.209667;6.437762;-0.052711;-1.184382;79.653250;0.039216;0.039216;1.003922;125842.497342;0.880478;15.034532;18.542000;45.352492;2056.848540;47.779553;12.211669;0.415228;0.711403;58.027250;0.117647;0.117647;0.000000;127956.310956;2.412290;0.000000;0.000000;-0.373610;0.649695;-0.117611;-0.234207;0.000000;-0.316549;-0.144354;0.000000;0.000000;-0.495971;-0.108978;0.139259;0.095415;9.689319;5.713656;12.599498;5.786672;0.689703;0.000000;9.760755;1.005859;2.687203;99.596555;4614.418110
1.000000;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;102.000000;-0.000000;-2.274790;-2.224650;0.785026;0.616266;2.406437;0.268674;-1.922280;10.058971;0.927175;0.156863;0.156863;0.000000;559.361302;0.378293;9.776591;9.037550;2.645503;6.998687;10.128199;0.598305;0.330181;-1.223562;4.972275;0.058824;0.058824;0.000000;10106.325322;0.194424;2.594229;2.517650;1.022011;1.044507;2.788285;0.242930;0.696690;1.019294;1.689050;0.088235;0.088235;0.000000;739.789426;0.435795;-5.418523;-10.845900;39.318815;1545.969182;39.690422;5.282177;0.195258;-0.949527;64.442750;0.029412;0.029412;1.003922;81843.322771;0.820615;9.513386;12.547000;38.164553;1456.533128;39.332399;9.388820;-0.137566;-0.001891;46.316250;0.098039;0.098039;1.003922;83523.778122;2.297787;0.000000;0.000000;-0.509075;0.561622;-0.221763;-0.232109;0.000000;-0.341402;0.180750;0.000000;0.000000;-0.449419;-0.276477;-0.034057;-0.019856;10.114623;7.065769;13.051382;7.240241;0.450107;0.000000;10.134144;1.005859;2.781671;109.371359;3130.141743
1.000000;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;102.000000;-0.000000;-2.182260;-2.244750;0.920998;0.848238;2.368649;0.262386;-0.160822;0.305433;1.293725;0.127451;0.127451;0.000000;529.010900;0.445326;9.668075;9.412050;1.724778;2.974861;9.820720;0.398658;0.661770;-0.250413;2.078800;0.078431;0.078431;0.000000;9685.858061;0.109480;2.272210;2.272300;0.781169;0.610224;2.402740;0.197962;0.157816;-0.222908;0.755500;0.127451;0.127451;0.000000;557.743098;0.305651;-9.563520;-13.644000;27.989616;783.418602;29.578362;4.475219;0.343671;-0.698375;43.267500;0.039216;0.039216;1.003922;49284.335594;1.485463;72.319409;70.894000;60.114344;3613.734401;94.041647;8.971721;0.401552;-0.806571;92.772000;0.029412;0.029412;0.000000;717775.251464;0.838703;0.000000;0.000000;-0.312397;0.352831;-0.659503;-0.397288;0.000000;-0.429543;0.013537;0.000000;0.000000;0.119407;-0.057223;-0.159026;0.229363;10.000465;3.047751;12.850336;3.115504;0.745447;0.000000;10.149682;1.005859;2.494796;103.057041;9724.483976
1.000000;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;102.000000;-0.000000;-2.197708;-2.293650;1.021662;1.043792;2.423575;0.264183;0.033011;-0.339310;1.661625;0.088235;0.088235;0.000000;545.885489;0.505554;9.707263;9.443700;1.686218;2.843331;9.852628;0.443414;1.358280;2.386986;1.387250;0.107843;0.107843;0.000000;9756.581884;0.113164;2.001765;2.059800;0.498471;0.248473;2.062895;0.158788;-1.078216;0.890828;0.542425;0.156863;0.156863;0.000000;421.395648;0.201408;-10.626536;-11.087000;21.336184;455.232758;23.836024;3.797706;-0.192855;-0.659086;30.423400;0.068627;0.068627;0.000000;34735.634086;1.937353;70.986058;75.304500;61.717854;3809.093516;94.064414;9.226986;0.361619;-0.890894;99.806250;0.029412;0.029412;0.000000;708246.559174;0.860425;0.000000;0.000000;-0.347004;0.370272;-0.292529;-0.344156;0.000000;-0.586589;-0.277589;0.000000;0.000000;-0.150284;-0.016801;0.178784;0.456152;10.048660;2.972433;12.904971;3.053754;0.871856;0.000000;10.006827;1.005859;1.977455;103.947995;9420.525571
1.000000;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;102.000000;-0.000000;-2.234198;-2.282900;0.669360;0.448043;2.332313;0.207677;0.451229;0.402733;0.811675;0.117647;0.117647;0.000000;531.999728;0.274836;9.722877;9.421950;2.081027;4.330675;9.943089;0.583492;0.783368;0.009494;2.377250;0.088235;0.088235;0.000000;9863.369626;0.148748;2.138125;2.066450;0.719335;0.517443;2.255886;0.161227;0.581615;-0.224626;0.924425;0.117647;0.117647;0.000000;492.690492;0.286613;-6.378020;-9.210650;25.408154;645.574265;26.196439;4.476147;0.194029;-0.688745;37.534750;0.058824;0.058824;1.505882;37075.661814;1.293981;5.522348;5.323200;36.772025;1352.181841;37.184381;6.660519;0.051639;0.162095;38.925250;0.107843;0.107843;1.003922;72099.771039;1.930485;0.000000;0.000000;-0.524103;0.773548;0.039731;0.052133;0.000000;-0.519108;-0.110052;0.000000;0.000000;-0.280410;0.017616;0.420621;0.685922;10.045419;4.394259;12.957076;4.507601;0.318430;0.000000;10.208427;1.005859;2.251042;105.304705;2074.020590
1.000000;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;102.000000;-0.000000;-1.934753;-1.901350;0.646295;0.417698;2.039844;0.204352;0.449781;0.671820;0.770375;0.137255;0.137255;0.000000;403.118727;0.328258;9.503956;9.128650;1.913414;3.661155;9.694655;0.516444;0.798053;0.052328;2.102650;0.098039;0.098039;0.000000;9399.922475;0.128430;2.340365;2.279800;0.798377;0.637405;2.472795;0.203535;0.120502;-1.070357;1.314525;0.098039;0.098039;0.000000;591.193532;0.321367;-4.940256;-7.325150;30.355897;921.480461;30.755269;5.476693;0.091937;-0.928525;47.939000;0.058824;0.058824;1.505882;49486.224446;0.929630;12.508874;18.593000;38.904060;1513.525897;40.865607;6.835709;-0.317460;-0.060561;52.259175;0.039216;0.039216;0.501961;93158.610945;1.713724;0.000000;0.000000;-0.432022;0.711209;0.084132;-0.234187;0.000000;-0.483622;-0.214181;0.000000;0.000000;-0.111059;0.514493;0.399918;0.759155;9.770545;3.683742;12.441258;3.783987;0.335250;0.000000;9.688199;1.005859;2.358543;99.147297;2621.999120
