Feature;Score
Right Upper Leg_Ax_Mean;0.000000
Right Upper Leg_Ax_Median;0.000000
Right Upper Leg_Ax_Std;0.000000
Right Upper Leg_Ax_Var;0.000000
Right Upper Leg_Ax_RMS;0.000000
Right Upper Leg_Ax_AvgDeriv;0.000000
Right Upper Leg_Ax_Skew;0.000000
Right Upper Leg_Ax_Kurt;0.000000
Right Upper Leg_Ax_IQR;0.000000
Right Upper Leg_Ax_ZCR;0.000000
Right Upper Leg_Ax_MCR;0.000000
Right Upper Leg_Ax_DomFreq;0.000000
Right Upper Leg_Ax_Energy;0.000000
Right Upper Leg_Ax_SpecEnt;0.000000
Right Upper Leg_Ay_Mean;0.838824
Right Upper Leg_Ay_Median;0.810992
Right Upper Leg_Ay_Std;4.455649
Right Upper Leg_Ay_Var;2.366837
Right Upper Leg_Ay_RMS;5.192322
Right Upper Leg_Ay_AvgDeriv;3.216880
Right Upper Leg_Ay_Skew;0.837419
Right Upper Leg_Ay_Kurt;0.868621
Right Upper Leg_Ay_IQR;5.101683
Right Upper Leg_Ay_ZCR;3.125510
Right Upper Leg_Ay_MCR;3.125510
Right Upper Leg_Ay_DomFreq;0.920237
Right Upper Leg_Ay_Energy;2.364995
Right Upper Leg_Ay_SpecEnt;4.244464
Right Upper Leg_Az_Mean;23.561436
Right Upper Leg_Az_Median;20.605606
Right Upper Leg_Az_Std;3.621193
Right Upper Leg_Az_Var;1.964376
Right Upper Leg_Az_RMS;18.997144
Right Upper Leg_Az_AvgDeriv;3.253271
Right Upper Leg_Az_Skew;1.359378
Right Upper Leg_Az_Kurt;1.217674
Right Upper Leg_Az_IQR;2.639398
Right Upper Leg_Az_ZCR;5.352044
Right Upper Leg_Az_MCR;5.352044
Right Upper Leg_Az_DomFreq;0.000000
Right Upper Leg_Az_Energy;10.853326
Right Upper Leg_Az_SpecEnt;2.423519
Right Upper Leg_Gx_Mean;0.889518
Right Upper Leg_Gx_Median;0.834447
Right Upper Leg_Gx_Std;5.078244
Right Upper Leg_Gx_Var;2.563906
Right Upper Leg_Gx_RMS;4.778714
Right Upper Leg_Gx_AvgDeriv;2.474533
Right Upper Leg_Gx_Skew;0.934113
Right Upper Leg_Gx_Kurt;0.872692
Right Upper Leg_Gx_IQR;3.240011
Right Upper Leg_Gx_ZCR;2.341922
Right Upper Leg_Gx_MCR;2.341922
Right Upper Leg_Gx_DomFreq;0.603023
Right Upper Leg_Gx_Energy;1.824664
Right Upper Leg_Gx_SpecEnt;2.350341
Right Upper Leg_Gy_Mean;0.986642
Right Upper Leg_Gy_Median;1.014156
Right Upper Leg_Gy_Std;3.715246
Right Upper Leg_Gy_Var;2.035218
Right Upper Leg_Gy_RMS;3.681796
Right Upper Leg_Gy_AvgDeriv;2.648615
Right Upper Leg_Gy_Skew;1.702560
Right Upper Leg_Gy_Kurt;1.264298
Right Upper Leg_Gy_IQR;3.024549
Right Upper Leg_Gy_ZCR;3.588097
Right Upper Leg_Gy_MCR;3.588097
Right Upper Leg_Gy_DomFreq;2.000001
Right Upper Leg_Gy_Energy;1.970238
Right Upper Leg_Gy_SpecEnt;8.957086
Right Upper Leg_Gz_Mean;0.782220
Right Upper Leg_Gz_Median;0.803272
Right Upper Leg_Gz_Std;3.446792
Right Upper Leg_Gz_Var;1.765238
Right Upper Leg_Gz_RMS;3.063430
Right Upper Leg_Gz_AvgDeriv;2.875521
Right Upper Leg_Gz_Skew;1.047545
Right Upper Leg_Gz_Kurt;0.868654
Right Upper Leg_Gz_IQR;2.972752
Right Upper Leg_Gz_ZCR;3.570704
Right Upper Leg_Gz_MCR;3.570704
Right Upper Leg_Gz_DomFreq;1.078639
Right Upper Leg_Gz_Energy;1.269367
Right Upper Leg_Gz_SpecEnt;5.391117
Right Upper Leg_Corr_AxAy;0.000000
Right Upper Leg_Corr_AxAz;0.000000
Right Upper Leg_Corr_AyAz;1.055253
Right Upper Leg_Corr_GxGy;0.855167
Right Upper Leg_Corr_GxGz;1.271485
Right Upper Leg_Corr_GyGz;2.249299
Right Upper Leg_Corr_AxGx;0.000000
Right Upper Leg_Corr_AyGy;0.832295
Right Upper Leg_Corr_AzGz;0.840049
Right Upper Leg_Corr_AxGy;0.000000
Right Upper Leg_Corr_AxGz;0.000000
Right Upper Leg_Corr_AyGx;1.247194
Right Upper Leg_Corr_AyGz;2.074765
Right Upper Leg_Corr_AzGx;0.900211
Right Upper Leg_Corr_AzGy;1.313603
Right Upper Leg_AI;24.181595
Right Upper Leg_VI;2.085929
Right Upper Leg_SMA;23.582244
Right Upper Leg_EVA1;1.963135
Right Upper Leg_EVA2;2.361741
Right Upper Leg_CAGH;0.000000
Right Upper Leg_AVH;17.588763
Right Upper Leg_AVG;0.000000
Right Upper Leg_ARATG;0.968830
Right Upper Leg_AAE;10.145931
Right Upper Leg_ARE;1.803043
