Right Upper Leg_Ax_Mean;Right Upper Leg_Ax_Median;Right Upper Leg_Ax_Std;Right Upper Leg_Ax_Var;Right Upper Leg_Ax_RMS;Right Upper Leg_Ax_AvgDeriv;Right Upper Leg_Ax_Skew;Right Upper Leg_Ax_Kurt;Right Upper Leg_Ax_IQR;Right Upper Leg_Ax_ZCR;Right Upper Leg_Ax_MCR;Right Upper Leg_Ax_DomFreq;Right Upper Leg_Ax_Energy;Right Upper Leg_Ax_SpecEnt;Right Upper Leg_Ay_Mean;Right Upper Leg_Ay_Median;Right Upper Leg_Ay_Std;Right Upper Leg_Ay_Var;Right Upper Leg_Ay_RMS;Right Upper Leg_Ay_AvgDeriv;Right Upper Leg_Ay_Skew;Right Upper Leg_Ay_Kurt;Right Upper Leg_Ay_IQR;Right Upper Leg_Ay_ZCR;Right Upper Leg_Ay_MCR;Right Upper Leg_Ay_DomFreq;Right Upper Leg_Ay_Energy;Right Upper Leg_Ay_SpecEnt;Right Upper Leg_Az_Mean;Right Upper Leg_Az_Median;Right Upper Leg_Az_Std;Right Upper Leg_Az_Var;Right Upper Leg_Az_RMS;Right Upper Leg_Az_AvgDeriv;Right Upper Leg_Az_Skew;Right Upper Leg_Az_Kurt;Right Upper Leg_Az_IQR;Right Upper Leg_Az_ZCR;Right Upper Leg_Az_MCR;Right Upper Leg_Az_DomFreq;Right Upper Leg_Az_Energy;Right Upper Leg_Az_SpecEnt;Right Upper Leg_Gx_Mean;Right Upper Leg_Gx_Median;Right Upper Leg_Gx_Std;Right Upper Leg_Gx_Var;Right Upper Leg_Gx_RMS;Right Upper Leg_Gx_AvgDeriv;Right Upper Leg_Gx_Skew;Right Upper Leg_Gx_Kurt;Right Upper Leg_Gx_IQR;Right Upper Leg_Gx_ZCR;Right Upper Leg_Gx_MCR;Right Upper Leg_Gx_DomFreq;Right Upper Leg_Gx_Energy;Right Upper Leg_Gx_SpecEnt;Right Upper Leg_Gy_Mean;Right Upper Leg_Gy_Median;Right Upper Leg_Gy_Std;Right Upper Leg_Gy_Var;Right Upper Leg_Gy_RMS;Right Upper Leg_Gy_AvgDeriv;Right Upper Leg_Gy_Skew;Right Upper Leg_Gy_Kurt;Right Upper Leg_Gy_IQR;Right Upper Leg_Gy_ZCR;Right Upper Leg_Gy_MCR;Right Upper Leg_Gy_DomFreq;Right Upper Leg_Gy_Energy;Right Upper Leg_Gy_SpecEnt;Right Upper Leg_Gz_Mean;Right Upper Leg_Gz_Median;Right Upper Leg_Gz_Std;Right Upper Leg_Gz_Var;Right Upper Leg_Gz_RMS;Right Upper Leg_Gz_AvgDeriv;Right Upper Leg_Gz_Skew;Right Upper Leg_Gz_Kurt;Right Upper Leg_Gz_IQR;Right Upper Leg_Gz_ZCR;Right Upper Leg_Gz_MCR;Right Upper Leg_Gz_DomFreq;Right Upper Leg_Gz_Energy;Right Upper Leg_Gz_SpecEnt;Right Upper Leg_Corr_AxAy;Right Upper Leg_Corr_AxAz;Right Upper Leg_Corr_AyAz;Right Upper Leg_Corr_GxGy;Right Upper Leg_Corr_GxGz;Right Upper Leg_Corr_GyGz;Right Upper Leg_Corr_AxGx;Right Upper Leg_Corr_AyGy;Right Upper Leg_Corr_AzGz;Right Upper Leg_Corr_AxGy;Right Upper Leg_Corr_AxGz;Right Upper Leg_Corr_AyGx;Right Upper Leg_Corr_AyGz;Right Upper Leg_Corr_AzGx;Right Upper Leg_Corr_AzGy;Right Upper Leg_AI;Right Upper Leg_VI;Right Upper Leg_SMA;Right Upper Leg_EVA1;Right Upper Leg_EVA2;Right Upper Leg_CAGH;Right Upper Leg_AVH;Right Upper Leg_AVG;Right Upper Leg_ARATG;Right Upper Leg_AAE;Right Upper Leg_ARE
4.000000;4.000000;0.000000;0.000000;4.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1632.000000;-0.000000;1.653104;1.554350;1.507902;2.273769;2.237526;0.830672;0.639733;1.144891;1.593060;0.205882;0.205882;0.000000;394.703875;1.394281;9.565220;9.486500;3.174783;10.079249;10.078327;1.012244;0.096646;-0.298637;3.999750;0.117647;0.117647;0.000000;9846.789189;0.320313;1.423056;0.371295;2.754349;7.586436;3.100246;0.819423;1.034867;0.495589;4.002587;0.088235;0.088235;0.000000;593.481540;1.924497;-21.412860;17.214500;106.869677;11421.127816;108.993754;18.626819;-0.495517;-0.947299;179.293000;0.039216;0.039216;1.003922;629268.814144;1.700780;36.116183;37.973500;62.069800;3852.660072;71.812525;21.151304;0.338444;0.753378;70.675700;0.107843;0.107843;0.000000;329604.290752;2.033799;0.000000;0.000000;0.221230;0.110887;0.108772;-0.629745;0.000000;0.026926;-0.033804;0.000000;0.000000;-0.274942;-0.171391;-0.540992;-0.092216;10.680241;8.511644;15.371203;10.321591;2.153734;0.000000;10.039971;4.023438;1.322744;122.579197;17046.288661
4.000000;4.000000;0.000000;0.000000;4.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1632.000000;-0.000000;1.655236;1.652850;1.154476;1.332815;2.018073;0.743122;0.416942;2.127032;1.418320;0.264706;0.264706;0.000000;347.455893;1.125221;9.741624;9.580800;3.140249;9.861166;10.235253;0.964364;0.170309;0.053615;3.554925;0.117647;0.117647;0.000000;10182.644951;0.303917;0.991790;0.270955;2.403379;5.776228;2.599976;0.737178;1.283840;1.581905;2.799180;0.068627;0.068627;0.501961;394.923991;2.070802;15.693100;36.722500;84.924269;7212.131394;86.362056;15.822782;-1.236842;1.253381;71.248120;0.049020;0.049020;1.003922;393101.200791;1.921159;17.654215;10.862000;49.143765;2415.109685;52.218589;16.003859;0.469733;0.041260;69.335500;0.068627;0.068627;1.003922;154964.024474;2.044815;0.000000;0.000000;0.058401;0.045129;0.022195;-0.576347;0.000000;0.153016;0.150981;0.000000;0.000000;-0.086278;-0.284198;-0.546714;0.032815;10.806438;8.053904;15.471750;9.964106;1.340707;0.000000;9.797220;4.023438;1.061479;124.833014;10191.945652
4.000000;4.000000;0.000000;0.000000;4.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1632.000000;-0.000000;1.754684;1.805000;1.633001;2.666691;2.397000;0.851342;-1.315978;6.388281;1.439125;0.254902;0.254902;0.000000;450.051854;1.508175;9.405614;9.463950;2.734340;7.476614;9.795008;1.104951;0.478496;0.674769;3.207800;0.186275;0.186275;0.000000;9404.807091;0.281212;0.722958;0.108642;2.488157;6.190924;2.591060;0.770898;1.222900;1.580281;3.198425;0.068627;0.068627;1.003922;369.078906;2.364881;26.824191;39.863000;66.575895;4432.349789;71.776647;16.122859;-1.109271;1.026173;50.478250;0.117647;0.117647;0.501961;299443.599492;1.893759;59.144144;74.850000;69.095033;4774.123546;90.951379;17.647906;-0.068221;-1.076122;119.580225;0.039216;0.039216;0.000000;600279.376593;1.421504;0.000000;0.000000;-0.089072;0.163286;-0.166343;-0.347791;0.000000;-0.036099;-0.030278;0.000000;0.000000;0.086241;-0.143734;-0.498884;0.132173;10.565637;6.055107;15.459827;7.583628;2.660106;0.000000;9.496790;4.023438;1.447706;117.687791;13430.753954
4.000000;4.000000;0.000000;0.000000;4.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1632.000000;-0.000000;1.406936;1.376400;2.013534;4.054319;2.456377;0.911610;-0.388964;1.905079;1.865550;0.147059;0.147059;0.000000;408.693029;2.155164;9.290523;9.390900;2.299162;5.286148;9.570787;0.969509;0.688207;1.000322;2.871975;0.137255;0.137255;0.000000;9073.944746;0.211048;0.387806;-0.044191;2.011792;4.047306;2.048829;0.803395;-0.104725;-0.638608;3.466775;0.098039;0.098039;1.003922;222.011671;2.651826;-0.642981;20.344000;76.717781;5885.617856;76.720475;20.742933;-0.620004;-0.509970;107.965500;0.068627;0.068627;1.003922;301179.967781;1.808485;71.856338;89.429500;70.719991;5001.317103;100.819891;21.767057;-0.964435;0.806955;80.321250;0.098039;0.098039;0.000000;781730.624248;1.378389;0.000000;0.000000;0.130048;0.094475;-0.164832;-0.129376;0.000000;0.006963;-0.028587;0.000000;0.000000;-0.128899;0.041616;-0.621340;-0.006440;10.428534;4.879423;15.254520;5.586287;3.846659;0.000000;9.255411;4.023438;0.356099;113.633743;16054.879414
4.000000;4.000000;0.000000;0.000000;4.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1632.000000;-0.000000;1.169961;1.272900;1.986915;3.947831;2.305784;0.991780;0.086096;0.090706;2.445469;0.147059;0.147059;0.000000;341.179442;2.354079;9.396273;9.337700;2.390789;5.715873;9.695659;1.124667;0.458871;1.140245;2.813575;0.176471;0.176471;0.000000;9297.516242;0.219786;1.490601;1.668000;2.036478;4.147242;2.523714;0.861576;-0.387564;0.673740;2.720896;0.107843;0.107843;0.000000;438.724527;1.853653;-7.841945;9.326800;76.491048;5850.880354;76.891979;20.584224;-0.369599;-0.812151;113.110750;0.117647;0.117647;1.003922;305136.583097;1.536594;17.635797;14.926000;66.866691;4471.154310;69.153276;24.617434;-0.101372;-0.827793;123.796250;0.107843;0.107843;4.015686;259756.174042;2.700528;0.000000;0.000000;0.217704;0.104295;-0.202938;-0.406138;0.000000;-0.138072;0.120920;0.000000;0.000000;-0.160627;-0.072492;-0.391969;-0.227895;10.494695;5.183818;15.212167;6.253667;3.505717;0.000000;9.738279;4.023438;0.876701;115.322450;10700.921234
4.000000;4.000000;0.000000;0.000000;4.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1632.000000;-0.000000;1.728084;1.925100;2.077365;4.315447;2.702170;1.157584;-0.441699;-0.099240;2.777390;0.147059;0.147059;0.000000;524.760524;1.836809;9.729445;9.337700;2.353994;5.541289;10.010164;1.207012;0.278115;0.190409;2.966525;0.186275;0.186275;0.000000;9938.285547;0.203488;1.787561;1.750650;2.027082;4.109061;2.702672;1.080622;-0.450380;0.863635;2.550948;0.225490;0.225490;0.000000;535.549778;1.702810;-12.267056;-3.382750;65.201202;4251.196786;66.345139;17.120562;-0.125471;-0.650841;101.428000;0.088235;0.088235;1.003922;232169.534215;1.900564;15.695857;7.415800;70.162045;4922.712596;71.896262;23.101170;0.425112;-0.912714;112.702500;0.137255;0.137255;1.003922;276224.537122;2.348357;0.000000;0.000000;-0.048819;-0.091811;0.174131;-0.428149;0.000000;-0.243298;0.160712;0.000000;0.000000;-0.060737;-0.011407;-0.223017;-0.113471;10.902984;4.630060;16.003351;5.641449;4.312878;0.000000;9.771812;4.023438;1.807069;123.505112;9578.054397
4.000000;4.000000;0.000000;0.000000;4.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1632.000000;-0.000000;1.924069;1.889200;1.710732;2.926602;2.574616;0.987724;-0.221459;0.253161;2.501482;0.186275;0.186275;0.000000;526.952406;1.450670;9.920743;9.691850;1.982679;3.931018;10.116925;0.927968;0.364682;0.013456;2.603375;0.156863;0.156863;0.000000;10239.677927;0.152819;0.803609;0.766915;2.089503;4.366022;2.238707;0.997062;-0.197910;-0.172138;3.065645;0.166667;0.166667;0.501961;288.539093;2.584304;13.952856;16.111000;56.221872;3160.898892;57.927378;15.845972;-0.177685;-0.385867;72.703250;0.068627;0.068627;0.501961;181064.981673;2.120668;72.467056;85.701500;72.104569;5199.068842;102.227897;19.383267;-0.620983;-0.398777;102.328750;0.098039;0.098039;0.000000;800830.884497;1.274176;0.000000;0.000000;-0.247080;-0.257477;0.028351;0.207690;0.000000;-0.056366;0.118515;0.000000;0.000000;0.086638;-0.156813;-0.268569;0.034484;11.035601;3.196329;16.097286;4.449440;2.476077;0.000000;10.308992;4.023438;1.030143;124.980808;13811.135902
4.000000;4.000000;0.000000;0.000000;4.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1632.000000;-0.000000;1.694218;1.590350;1.492340;2.227080;2.257754;0.802505;0.380188;-0.049091;1.576535;0.235294;0.235294;0.000000;406.377793;1.419459;9.212788;9.300250;2.297985;5.280735;9.495062;0.777977;0.089092;-0.609270;2.977325;0.117647;0.117647;0.000000;8926.637484;0.208992;1.890966;1.381200;2.788722;7.776973;3.369380;0.664481;0.521209;-0.183706;3.434077;0.127451;0.127451;0.000000;761.363621;1.451865;19.292089;39.682500;82.778303;6852.247432;84.996660;16.399739;-0.921001;0.111998;92.324000;0.078431;0.078431;0.501961;387439.070333;1.538687;70.541669;85.126500;76.366774;5831.884096;103.961585;20.337234;-0.612740;-0.473217;94.948250;0.088235;0.088235;0.000000;804992.850261;1.429744;0.000000;0.000000;0.092520;-0.053731;-0.339396;-0.326420;0.000000;0.117855;0.244759;0.000000;0.000000;-0.160466;-0.266266;-0.485519;-0.148486;10.331971;4.504031;15.056176;5.365961;2.216188;0.000000;9.696161;4.023438;1.291712;111.253656;18043.795971
4.000000;4.000000;0.000000;0.000000;4.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1632.000000;-0.000000;1.404164;1.280850;1.442596;2.081084;2.013147;0.791771;0.306048;0.742519;1.850515;0.205882;0.205882;0.000000;307.540318;1.747240;9.074984;8.853000;2.882629;8.309549;9.521811;0.753394;0.312620;-0.955218;4.713525;0.078431;0.078431;0.000000;8824.036032;0.283745;2.627699;2.034700;3.091978;9.560328;4.057724;0.652611;0.330063;-1.024705;5.133245;0.068627;0.068627;0.000000;1191.965790;1.472107;-21.905411;12.096000;94.300181;8892.524135;96.811007;17.268990;-0.332904;-0.981981;152.111750;0.029412;0.029412;0.501961;502483.915014;1.729328;21.026047;23.241500;66.538623;4427.388388;69.781681;19.664477;0.294436;-0.258642;78.265750;0.068627;0.068627;0.501961;270990.513896;2.292545;0.000000;0.000000;0.198438;0.187447;-0.066143;-0.639010;0.000000;0.217092;0.040330;0.000000;0.000000;-0.177689;-0.302337;-0.600920;-0.148102;10.182425;7.035871;14.674839;8.500361;1.993151;0.000000;9.524861;4.023438;2.550012;110.717651;14258.319327
4.000000;4.000000;0.000000;0.000000;4.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1632.000000;-0.000000;1.632229;1.721500;1.240368;1.538512;2.050044;0.684239;-0.373231;1.163257;1.593305;0.245098;0.245098;0.000000;350.327911;1.223756;9.599297;9.533650;2.484905;6.174751;9.915708;0.713445;0.250307;-0.292795;2.844675;0.137255;0.137255;0.000000;9713.882799;0.209811;1.075451;0.227865;2.692979;7.252134;2.899781;0.625075;1.112415;0.401059;3.418223;0.029412;0.029412;0.501961;487.874681;1.606557;-8.682851;18.475000;84.436815;7129.575758;84.882081;14.220471;-0.643138;-0.517349;131.257250;0.049020;0.049020;0.501961;371313.617463;1.788733;12.966971;14.081000;54.379750;2957.157221;55.904379;14.840150;-0.008865;-0.270450;77.314000;0.088235;0.088235;1.003922;168064.685710;2.341288;0.000000;0.000000;0.047695;0.122796;-0.236211;-0.557469;0.000000;0.282776;0.125884;0.000000;0.000000;-0.219116;-0.288229;-0.583445;0.039442;10.653229;5.032659;15.363963;6.240590;1.549042;0.000000;9.799002;4.023438;1.224213;118.523937;10338.675959
