Feature;Score
Right Upper Leg_Ax_Mean;1000000000.000000
Right Upper Leg_Ax_Median;1000000000.000000
Right Upper Leg_Ax_Std;1000000000.000000
Right Upper Leg_Ax_Var;1000000000.000000
Right Upper Leg_Ax_RMS;1000000000.000000
Right Upper Leg_Ax_AvgDeriv;1000000000.000000
Right Upper Leg_Ax_Skew;1000000000.000000
Right Upper Leg_Ax_Kurt;1000000000.000000
Right Upper Leg_Ax_IQR;1000000000.000000
Right Upper Leg_Ax_ZCR;1000000000.000000
Right Upper Leg_Ax_MCR;1000000000.000000
Right Upper Leg_Ax_DomFreq;1000000000.000000
Right Upper Leg_Ax_Energy;1000000000.000000
Right Upper Leg_Ax_SpecEnt;1000000000.000000
Right Upper Leg_Ay_Mean;0.013165
Right Upper Leg_Ay_Median;0.013008
Right Upper Leg_Ay_Std;0.026560
Right Upper Leg_Ay_Var;0.027088
Right Upper Leg_Ay_RMS;0.014429
Right Upper Leg_Ay_AvgDeriv;0.025254
Right Upper Leg_Ay_Skew;0.014345
Right Upper Leg_Ay_Kurt;0.022567
Right Upper Leg_Ay_IQR;0.026476
Right Upper Leg_Ay_ZCR;0.015613
Right Upper Leg_Ay_MCR;0.015613
Right Upper Leg_Ay_DomFreq;0.024567
Right Upper Leg_Ay_Energy;0.017126
Right Upper Leg_Ay_SpecEnt;0.016856
Right Upper Leg_Az_Mean;0.052866
Right Upper Leg_Az_Median;0.051159
Right Upper Leg_Az_Std;0.049711
Right Upper Leg_Az_Var;0.041196
Right Upper Leg_Az_RMS;0.050407
Right Upper Leg_Az_AvgDeriv;0.028998
Right Upper Leg_Az_Skew;0.018102
Right Upper Leg_Az_Kurt;0.024075
Right Upper Leg_Az_IQR;0.041321
Right Upper Leg_Az_ZCR;0.030542
Right Upper Leg_Az_MCR;0.030542
Right Upper Leg_Az_DomFreq;1000000000.000000
Right Upper Leg_Az_Energy;0.054209
Right Upper Leg_Az_SpecEnt;0.053450
Right Upper Leg_Gx_Mean;0.035950
Right Upper Leg_Gx_Median;0.036219
Right Upper Leg_Gx_Std;0.042631
Right Upper Leg_Gx_Var;0.036258
Right Upper Leg_Gx_RMS;0.038307
Right Upper Leg_Gx_AvgDeriv;0.027368
Right Upper Leg_Gx_Skew;0.016378
Right Upper Leg_Gx_Kurt;0.018618
Right Upper Leg_Gx_IQR;0.034061
Right Upper Leg_Gx_ZCR;0.021939
Right Upper Leg_Gx_MCR;0.021939
Right Upper Leg_Gx_DomFreq;0.029740
Right Upper Leg_Gx_Energy;0.051062
Right Upper Leg_Gx_SpecEnt;0.020326
Right Upper Leg_Gy_Mean;0.049651
Right Upper Leg_Gy_Median;0.032487
Right Upper Leg_Gy_Std;0.041841
Right Upper Leg_Gy_Var;0.036387
Right Upper Leg_Gy_RMS;0.050634
Right Upper Leg_Gy_AvgDeriv;0.026951
Right Upper Leg_Gy_Skew;0.014736
Right Upper Leg_Gy_Kurt;0.019377
Right Upper Leg_Gy_IQR;0.043015
Right Upper Leg_Gy_ZCR;0.022486
Right Upper Leg_Gy_MCR;0.022486
Right Upper Leg_Gy_DomFreq;0.023367
Right Upper Leg_Gy_Energy;0.045276
Right Upper Leg_Gy_SpecEnt;0.016092
Right Upper Leg_Gz_Mean;0.016066
Right Upper Leg_Gz_Median;0.017439
Right Upper Leg_Gz_Std;0.025705
Right Upper Leg_Gz_Var;0.024501
Right Upper Leg_Gz_RMS;0.026302
Right Upper Leg_Gz_AvgDeriv;0.024664
Right Upper Leg_Gz_Skew;0.013132
Right Upper Leg_Gz_Kurt;0.015772
Right Upper Leg_Gz_IQR;0.024589
Right Upper Leg_Gz_ZCR;0.015609
Right Upper Leg_Gz_MCR;0.015609
Right Upper Leg_Gz_DomFreq;0.014090
Right Upper Leg_Gz_Energy;0.025107
Right Upper Leg_Gz_SpecEnt;0.013288
Right Upper Leg_Corr_AxAy;1000000000.000000
Right Upper Leg_Corr_AxAz;1000000000.000000
Right Upper Leg_Corr_AyAz;0.013709
Right Upper Leg_Corr_GxGy;0.017348
Right Upper Leg_Corr_GxGz;0.013064
Right Upper Leg_Corr_GyGz;0.012335
Right Upper Leg_Corr_AxGx;1000000000.000000
Right Upper Leg_Corr_AyGy;0.011904
Right Upper Leg_Corr_AzGz;0.014325
Right Upper Leg_Corr_AxGy;1000000000.000000
Right Upper Leg_Corr_AxGz;1000000000.000000
Right Upper Leg_Corr_AyGx;0.013853
Right Upper Leg_Corr_AyGz;0.011713
Right Upper Leg_Corr_AzGx;0.026745
Right Upper Leg_Corr_AzGy;0.021207
Right Upper Leg_AI;0.053317
Right Upper Leg_VI;0.041604
Right Upper Leg_SMA;0.034765
Right Upper Leg_EVA1;0.040606
Right Upper Leg_EVA2;0.028466
Right Upper Leg_CAGH;1000000000.000000
Right Upper Leg_AVH;0.058650
Right Upper Leg_AVG;1000000000.000000
Right Upper Leg_ARATG;0.042919
Right Upper Leg_AAE;0.051463
Right Upper Leg_ARE;0.046131
