Feature;Score
Right Wrist_Ax_Mean;0.000000
Right Wrist_Ax_Median;0.000000
Right Wrist_Ax_Std;0.000000
Right Wrist_Ax_Var;0.000000
Right Wrist_Ax_RMS;0.000000
Right Wrist_Ax_AvgDeriv;0.000000
Right Wrist_Ax_Skew;0.000000
Right Wrist_Ax_Kurt;0.000000
Right Wrist_Ax_IQR;0.000000
Right Wrist_Ax_ZCR;0.000000
Right Wrist_Ax_MCR;0.000000
Right Wrist_Ax_DomFreq;0.000000
Right Wrist_Ax_Energy;0.000000
Right Wrist_Ax_SpecEnt;0.000000
Right Wrist_Ay_Mean;1.636508
Right Wrist_Ay_Median;1.658974
Right Wrist_Ay_Std;2.394488
Right Wrist_Ay_Var;0.813386
Right Wrist_Ay_RMS;3.358585
Right Wrist_Ay_AvgDeriv;1.830532
Right Wrist_Ay_Skew;0.772180
Right Wrist_Ay_Kurt;0.518207
Right Wrist_Ay_IQR;2.251948
Right Wrist_Ay_ZCR;2.589340
Right Wrist_Ay_MCR;2.589340
Right Wrist_Ay_DomFreq;0.146911
Right Wrist_Ay_Energy;1.527802
Right Wrist_Ay_SpecEnt;1.279693
Right Wrist_Az_Mean;1.933022
Right Wrist_Az_Median;1.934835
Right Wrist_Az_Std;2.693007
Right Wrist_Az_Var;1.289287
Right Wrist_Az_RMS;22.624954
Right Wrist_Az_AvgDeriv;2.477153
Right Wrist_Az_Skew;1.156807
Right Wrist_Az_Kurt;0.637804
Right Wrist_Az_IQR;2.149078
Right Wrist_Az_ZCR;3.374528
Right Wrist_Az_MCR;3.374528
Right Wrist_Az_DomFreq;0.000000
Right Wrist_Az_Energy;12.449398
Right Wrist_Az_SpecEnt;1.692606
Right Wrist_Gx_Mean;2.082098
Right Wrist_Gx_Median;2.109550
Right Wrist_Gx_Std;3.187109
Right Wrist_Gx_Var;1.438641
Right Wrist_Gx_RMS;3.528367
Right Wrist_Gx_AvgDeriv;2.597989
Right Wrist_Gx_Skew;0.782567
Right Wrist_Gx_Kurt;0.614035
Right Wrist_Gx_IQR;2.727429
Right Wrist_Gx_ZCR;2.232126
Right Wrist_Gx_MCR;2.232126
Right Wrist_Gx_DomFreq;0.162623
Right Wrist_Gx_Energy;1.796417
Right Wrist_Gx_SpecEnt;1.470511
Right Wrist_Gy_Mean;0.783673
Right Wrist_Gy_Median;0.773897
Right Wrist_Gy_Std;2.686032
Right Wrist_Gy_Var;1.283939
Right Wrist_Gy_RMS;2.703903
Right Wrist_Gy_AvgDeriv;2.722759
Right Wrist_Gy_Skew;0.798419
Right Wrist_Gy_Kurt;0.749653
Right Wrist_Gy_IQR;2.359572
Right Wrist_Gy_ZCR;2.531031
Right Wrist_Gy_MCR;2.531031
Right Wrist_Gy_DomFreq;1.030243
Right Wrist_Gy_Energy;1.255734
Right Wrist_Gy_SpecEnt;4.371837
Right Wrist_Gz_Mean;0.846575
Right Wrist_Gz_Median;0.828691
Right Wrist_Gz_Std;3.344858
Right Wrist_Gz_Var;1.646416
Right Wrist_Gz_RMS;3.111684
Right Wrist_Gz_AvgDeriv;2.418280
Right Wrist_Gz_Skew;0.764575
Right Wrist_Gz_Kurt;0.627386
Right Wrist_Gz_IQR;2.896719
Right Wrist_Gz_ZCR;2.378865
Right Wrist_Gz_MCR;2.378865
Right Wrist_Gz_DomFreq;0.528804
Right Wrist_Gz_Energy;1.514854
Right Wrist_Gz_SpecEnt;2.823054
Right Wrist_Corr_AxAy;0.000000
Right Wrist_Corr_AxAz;0.000000
Right Wrist_Corr_AyAz;0.902199
Right Wrist_Corr_GxGy;1.099948
Right Wrist_Corr_GxGz;0.863911
Right Wrist_Corr_GyGz;1.516362
Right Wrist_Corr_AxGx;0.000000
Right Wrist_Corr_AyGy;0.923924
Right Wrist_Corr_AzGz;0.840065
Right Wrist_Corr_AxGy;0.000000
Right Wrist_Corr_AxGz;0.000000
Right Wrist_Corr_AyGx;0.822685
Right Wrist_Corr_AyGz;0.825399
Right Wrist_Corr_AzGx;0.922718
Right Wrist_Corr_AzGy;0.907149
Right Wrist_AI;34.744518
Right Wrist_VI;1.290540
Right Wrist_SMA;21.220397
Right Wrist_EVA1;1.305098
Right Wrist_EVA2;1.312497
Right Wrist_CAGH;0.000000
Right Wrist_AVH;28.588136
Right Wrist_AVG;0.000000
Right Wrist_ARATG;2.035089
Right Wrist_AAE;14.069443
Right Wrist_ARE;1.779059
