Feature;Score
Right Wrist_Ax_Mean;1000000000.000000
Right Wrist_Ax_Median;1000000000.000000
Right Wrist_Ax_Std;1000000000.000000
Right Wrist_Ax_Var;1000000000.000000
Right Wrist_Ax_RMS;1000000000.000000
Right Wrist_Ax_AvgDeriv;1000000000.000000
Right Wrist_Ax_Skew;1000000000.000000
Right Wrist_Ax_Kurt;1000000000.000000
Right Wrist_Ax_IQR;1000000000.000000
Right Wrist_Ax_ZCR;1000000000.000000
Right Wrist_Ax_MCR;1000000000.000000
Right Wrist_Ax_DomFreq;1000000000.000000
Right Wrist_Ax_Energy;1000000000.000000
Right Wrist_Ax_SpecEnt;1000000000.000000
Right Wrist_Ay_Mean;0.014820
Right Wrist_Ay_Median;0.014826
Right Wrist_Ay_Std;0.021504
Right Wrist_Ay_Var;0.024450
Right Wrist_Ay_RMS;0.013225
Right Wrist_Ay_AvgDeriv;0.018970
Right Wrist_Ay_Skew;0.010311
Right Wrist_Ay_Kurt;0.015631
Right Wrist_Ay_IQR;0.021584
Right Wrist_Ay_ZCR;0.014632
Right Wrist_Ay_MCR;0.014632
Right Wrist_Ay_DomFreq;0.025982
Right Wrist_Ay_Energy;0.013908
Right Wrist_Ay_SpecEnt;0.022253
Right Wrist_Az_Mean;0.020051
Right Wrist_Az_Median;0.019634
Right Wrist_Az_Std;0.029009
Right Wrist_Az_Var;0.030188
Right Wrist_Az_RMS;0.022555
Right Wrist_Az_AvgDeriv;0.022702
Right Wrist_Az_Skew;0.010382
Right Wrist_Az_Kurt;0.012914
Right Wrist_Az_IQR;0.024481
Right Wrist_Az_ZCR;0.016893
Right Wrist_Az_MCR;0.016893
Right Wrist_Az_DomFreq;1000000000.000000
Right Wrist_Az_Energy;0.024831
Right Wrist_Az_SpecEnt;0.024007
Right Wrist_Gx_Mean;0.022615
Right Wrist_Gx_Median;0.022044
Right Wrist_Gx_Std;0.028963
Right Wrist_Gx_Var;0.030221
Right Wrist_Gx_RMS;0.021532
Right Wrist_Gx_AvgDeriv;0.020943
Right Wrist_Gx_Skew;0.011738
Right Wrist_Gx_Kurt;0.016070
Right Wrist_Gx_IQR;0.025160
Right Wrist_Gx_ZCR;0.018798
Right Wrist_Gx_MCR;0.018798
Right Wrist_Gx_DomFreq;0.029643
Right Wrist_Gx_Energy;0.021834
Right Wrist_Gx_SpecEnt;0.030129
Right Wrist_Gy_Mean;0.021381
Right Wrist_Gy_Median;0.019303
Right Wrist_Gy_Std;0.023723
Right Wrist_Gy_Var;0.024586
Right Wrist_Gy_RMS;0.027135
Right Wrist_Gy_AvgDeriv;0.020774
Right Wrist_Gy_Skew;0.011100
Right Wrist_Gy_Kurt;0.016375
Right Wrist_Gy_IQR;0.027914
Right Wrist_Gy_ZCR;0.018050
Right Wrist_Gy_MCR;0.018050
Right Wrist_Gy_DomFreq;0.012995
Right Wrist_Gy_Energy;0.030655
Right Wrist_Gy_SpecEnt;0.015859
Right Wrist_Gz_Mean;0.015699
Right Wrist_Gz_Median;0.017103
Right Wrist_Gz_Std;0.020138
Right Wrist_Gz_Var;0.018355
Right Wrist_Gz_RMS;0.021357
Right Wrist_Gz_AvgDeriv;0.019883
Right Wrist_Gz_Skew;0.010344
Right Wrist_Gz_Kurt;0.013666
Right Wrist_Gz_IQR;0.021392
Right Wrist_Gz_ZCR;0.014090
Right Wrist_Gz_MCR;0.014090
Right Wrist_Gz_DomFreq;0.013407
Right Wrist_Gz_Energy;0.020684
Right Wrist_Gz_SpecEnt;0.010379
Right Wrist_Corr_AxAy;1000000000.000000
Right Wrist_Corr_AxAz;1000000000.000000
Right Wrist_Corr_AyAz;0.009662
Right Wrist_Corr_GxGy;0.010170
Right Wrist_Corr_GxGz;0.010237
Right Wrist_Corr_GyGz;0.010729
Right Wrist_Corr_AxGx;1000000000.000000
Right Wrist_Corr_AyGy;0.010936
Right Wrist_Corr_AzGz;0.009649
Right Wrist_Corr_AxGy;1000000000.000000
Right Wrist_Corr_AxGz;1000000000.000000
Right Wrist_Corr_AyGx;0.012629
Right Wrist_Corr_AyGz;0.010226
Right Wrist_Corr_AzGx;0.013320
Right Wrist_Corr_AzGy;0.010549
Right Wrist_AI;0.020679
Right Wrist_VI;0.027887
Right Wrist_SMA;0.017891
Right Wrist_EVA1;0.026865
Right Wrist_EVA2;0.024123
Right Wrist_CAGH;1000000000.000000
Right Wrist_AVH;0.021513
Right Wrist_AVG;1000000000.000000
Right Wrist_ARATG;0.024105
Right Wrist_AAE;0.021665
Right Wrist_ARE;0.027017
