Right Wrist_Ax_Mean;Right Wrist_Ax_Median;Right Wrist_Ax_Std;Right Wrist_Ax_Var;Right Wrist_Ax_RMS;Right Wrist_Ax_AvgDeriv;Right Wrist_Ax_Skew;Right Wrist_Ax_Kurt;Right Wrist_Ax_IQR;Right Wrist_Ax_ZCR;Right Wrist_Ax_MCR;Right Wrist_Ax_DomFreq;Right Wrist_Ax_Energy;Right Wrist_Ax_SpecEnt;Right Wrist_Ay_Mean;Right Wrist_Ay_Median;Right Wrist_Ay_Std;Right Wrist_Ay_Var;Right Wrist_Ay_RMS;Right Wrist_Ay_AvgDeriv;Right Wrist_Ay_Skew;Right Wrist_Ay_Kurt;Right Wrist_Ay_IQR;Right Wrist_Ay_ZCR;Right Wrist_Ay_MCR;Right Wrist_Ay_DomFreq;Right Wrist_Ay_Energy;Right Wrist_Ay_SpecEnt;Right Wrist_Az_Mean;Right Wrist_Az_Median;Right Wrist_Az_Std;Right Wrist_Az_Var;Right Wrist_Az_RMS;Right Wrist_Az_AvgDeriv;Right Wrist_Az_Skew;Right Wrist_Az_Kurt;Right Wrist_Az_IQR;Right Wrist_Az_ZCR;Right Wrist_Az_MCR;Right Wrist_Az_DomFreq;Right Wrist_Az_Energy;Right Wrist_Az_SpecEnt;Right Wrist_Gx_Mean;Right Wrist_Gx_Median;Right Wrist_Gx_Std;Right Wrist_Gx_Var;Right Wrist_Gx_RMS;Right Wrist_Gx_AvgDeriv;Right Wrist_Gx_Skew;Right Wrist_Gx_Kurt;Right Wrist_Gx_IQR;Right Wrist_Gx_ZCR;Right Wrist_Gx_MCR;Right Wrist_Gx_DomFreq;Right Wrist_Gx_Energy;Right Wrist_Gx_SpecEnt;Right Wrist_Gy_Mean;Right Wrist_Gy_Median;Right Wrist_Gy_Std;Right Wrist_Gy_Var;Right Wrist_Gy_RMS;Right Wrist_Gy_AvgDeriv;Right Wrist_Gy_Skew;Right Wrist_Gy_Kurt;Right Wrist_Gy_IQR;Right Wrist_Gy_ZCR;Right Wrist_Gy_MCR;Right Wrist_Gy_DomFreq;Right Wrist_Gy_Energy;Right Wrist_Gy_SpecEnt;Right Wrist_Gz_Mean;Right Wrist_Gz_Median;Right Wrist_Gz_Std;Right Wrist_Gz_Var;Right Wrist_Gz_RMS;Right Wrist_Gz_AvgDeriv;Right Wrist_Gz_Skew;Right Wrist_Gz_Kurt;Right Wrist_Gz_IQR;Right Wrist_Gz_ZCR;Right Wrist_Gz_MCR;Right Wrist_Gz_DomFreq;Right Wrist_Gz_Energy;Right Wrist_Gz_SpecEnt;Right Wrist_Corr_AxAy;Right Wrist_Corr_AxAz;Right Wrist_Corr_AyAz;Right Wrist_Corr_GxGy;Right Wrist_Corr_GxGz;Right Wrist_Corr_GyGz;Right Wrist_Corr_AxGx;Right Wrist_Corr_AyGy;Right Wrist_Corr_AzGz;Right Wrist_Corr_AxGy;Right Wrist_Corr_AxGz;Right Wrist_Corr_AyGx;Right Wrist_Corr_AyGz;Right Wrist_Corr_AzGx;Right Wrist_Corr_AzGy;Right Wrist_AI;Right Wrist_VI;Right Wrist_SMA;Right Wrist_EVA1;Right Wrist_EVA2;Right Wrist_CAGH;Right Wrist_AVH;Right Wrist_AVG;Right Wrist_ARATG;Right Wrist_AAE;Right Wrist_ARE
2.000000;2.000000;0.000000;0.000000;2.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;408.000000;-0.000000;1.552667;1.431550;1.550185;2.403074;2.194048;0.822731;0.031033;-0.309649;2.094495;0.147059;0.147059;0.000000;368.459886;1.406569;8.258570;9.203400;2.536011;6.431352;8.639174;0.472837;-0.830993;-0.201809;2.552050;0.009804;0.009804;0.000000;7284.845210;0.249979;2.892671;2.210900;3.841046;14.753631;4.808448;0.520775;0.401278;-0.850957;6.258402;0.009804;0.009804;0.000000;1605.925485;1.116633;-26.621522;-31.216500;62.238628;3873.646778;67.693073;4.977916;-0.204393;-1.322314;121.896500;0.029412;0.029412;0.501961;269843.939148;0.893045;16.646643;17.254000;32.410450;1050.437250;36.435532;12.477943;-0.323660;0.005909;40.522500;0.107843;0.107843;0.000000;81920.887861;2.165380;0.000000;0.000000;-0.289036;-0.472816;0.076544;0.175176;0.000000;-0.676838;-0.160985;0.000000;0.000000;0.462775;-0.106630;-0.905463;0.343654;8.839101;5.319457;12.036986;6.796395;2.125500;0.000000;9.418510;2.011719;1.391504;83.449172;5933.021322
2.000000;2.000000;0.000000;0.000000;2.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;408.000000;-0.000000;2.148812;2.141900;1.113816;1.240585;2.420326;0.748506;0.304340;-0.040767;1.389950;0.274510;0.274510;0.000000;535.782396;0.746033;4.504539;2.542350;3.087267;9.531220;5.460961;0.364067;1.033314;-0.268253;4.912925;0.029412;0.029412;0.000000;2555.786413;0.780200;7.545900;9.329750;3.234106;10.459439;8.209753;0.376198;-1.379998;0.495801;3.492075;0.029412;0.029412;0.000000;6341.374868;0.410427;-42.110559;-24.698500;46.112677;2126.378934;62.447402;3.914333;-0.678176;-1.095682;87.682775;0.019608;0.019608;0.000000;289325.189450;0.920371;7.890531;4.935150;24.508415;600.662416;25.747289;9.175528;-0.078027;0.478704;35.449725;0.117647;0.117647;0.501961;36994.830685;2.604642;0.000000;0.000000;0.410523;0.660717;0.079146;-0.324737;0.000000;-0.474397;0.005545;0.000000;0.000000;-0.360475;0.134060;-0.940838;-0.749681;5.606635;8.245717;8.664524;9.861672;1.016785;0.000000;6.549533;2.011719;6.094434;39.680071;4630.001003
2.000000;2.000000;0.000000;0.000000;2.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;408.000000;-0.000000;1.530813;1.380000;0.597759;0.357316;1.643382;0.393434;0.645933;1.359548;0.625500;0.205882;0.205882;0.000000;257.767817;0.491892;2.136186;2.129850;0.164622;0.027100;2.142520;0.138062;-0.639878;2.966896;0.176850;0.411765;0.411765;0.000000;466.853532;0.031036;9.636489;9.652650;0.162973;0.026560;9.637867;0.120744;-0.468483;3.285130;0.125275;0.274510;0.274510;0.000000;9473.300577;0.001937;-1.797473;-0.125975;5.574994;31.080561;5.857599;1.650058;-2.268320;5.962649;3.098100;0.107843;0.107843;1.003922;1920.323327;2.708304;1.737477;1.586550;9.988736;99.774843;10.138721;3.866014;0.328480;1.327446;5.076260;0.215686;0.215686;3.011765;5396.533782;2.705073;0.000000;0.000000;0.148813;-0.258029;0.348565;0.094449;0.000000;0.130842;-0.064752;0.000000;0.000000;-0.383701;-0.309399;-0.439313;-0.011543;3.344122;0.107949;5.669260;0.361508;0.026714;0.000000;2.718120;2.011719;9.677004;11.291097;229.993623
2.000000;2.000000;0.000000;0.000000;2.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;408.000000;-0.000000;1.166565;1.181000;0.274067;0.075113;1.198327;0.188764;0.504625;0.995607;0.370720;0.186275;0.186275;0.000000;142.657416;0.203512;2.118737;2.122050;0.101470;0.010296;2.121166;0.089400;-0.433163;4.378108;0.102100;0.411765;0.411765;0.000000;458.411791;0.013080;9.687452;9.688200;0.063383;0.004017;9.687659;0.056694;0.454976;4.563625;0.058725;0.382353;0.382353;0.000000;9572.572508;0.000332;0.406814;0.444830;1.055257;1.113567;1.130957;0.736281;1.023802;4.267561;1.328568;0.264706;0.264706;0.000000;73.690038;3.041289;2.523138;1.693350;3.794264;14.396440;4.556607;1.620871;2.159744;5.349581;2.692623;0.225490;0.225490;0.000000;1385.765184;2.233799;0.000000;0.000000;-0.567799;0.171948;-0.186457;0.617393;0.000000;-0.098099;0.224593;0.000000;0.000000;-0.255465;-0.030947;0.202748;0.279368;3.150780;0.007919;5.285303;0.079535;0.006720;0.000000;2.467267;2.011719;9.730483;9.935331;115.892473
2.000000;2.000000;0.000000;0.000000;2.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;408.000000;-0.000000;0.979311;0.952350;0.184416;0.034009;0.996523;0.118575;2.825310;16.114583;0.108262;0.303922;0.303922;0.000000;99.606119;0.149510;2.153730;2.155200;0.078734;0.006199;2.155169;0.059685;-1.886130;15.439999;0.044600;0.362745;0.362745;0.000000;473.450181;0.008006;9.707610;9.706550;0.048271;0.002330;9.707730;0.039339;1.486821;8.221112;0.026175;0.421569;0.421569;0.000000;9612.363706;0.000199;0.218222;0.142515;0.841822;0.708664;0.869646;0.492551;2.686842;15.173865;0.541863;0.284314;0.284314;2.007843;41.010586;3.378814;1.112008;0.434785;2.537459;6.438697;2.770426;1.037977;2.655038;9.430921;1.422549;0.147059;0.147059;0.000000;454.879971;2.634539;0.000000;0.000000;-0.658344;0.266974;0.066890;0.829207;0.000000;-0.086576;0.220259;0.000000;0.000000;-0.075656;-0.046028;0.256728;0.359607;3.103989;0.003065;5.133041;0.037344;0.003262;0.000000;2.384131;2.011719;9.763197;9.637812;102.671561
2.000000;2.000000;0.000000;0.000000;2.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;408.000000;-0.000000;0.927935;0.928325;0.055959;0.003131;0.929621;0.051409;-0.054792;0.308385;0.072147;0.411765;0.411765;0.000000;87.989622;0.019056;2.172830;2.167350;0.027013;0.000730;2.172998;0.025822;2.381175;12.341174;0.025225;0.509804;0.509804;0.000000;481.598802;0.001093;9.708177;9.710550;0.018618;0.000347;9.708195;0.018648;0.158068;10.730119;0.022275;0.460784;0.460784;0.000000;9613.386337;0.000033;0.076798;0.054895;0.188563;0.035556;0.203602;0.161876;0.619779;0.389583;0.249116;0.401961;0.401961;0.000000;2.416758;3.060519;0.496553;0.434785;0.591965;0.350423;0.772650;0.412203;0.148482;-0.275193;0.758965;0.205882;0.205882;0.000000;43.045533;1.936640;0.000000;0.000000;-0.141762;0.154371;0.184179;0.447672;0.000000;-0.061735;0.141934;0.000000;0.000000;-0.100607;-0.457639;0.309837;0.164322;3.096055;0.000557;5.100765;0.003182;0.000718;0.000000;2.376996;2.011719;9.765397;9.586116;94.887498
2.000000;2.000000;0.000000;0.000000;2.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;408.000000;-0.000000;-2.071931;-2.308600;0.388860;0.151212;2.108106;0.056075;0.700096;-1.111164;0.721375;0.009804;0.009804;0.000000;445.587609;0.106745;-9.633704;-9.569500;0.147328;0.021706;9.634830;0.053965;-0.818371;0.436398;0.192700;0.058824;0.058824;0.000000;9467.548721;0.001428;0.035838;-0.102125;0.319784;0.102262;0.321785;0.030827;1.745646;1.629311;0.220451;0.009804;0.009804;0.501961;5.349249;1.809808;8.116497;0.382020;12.735099;162.182752;15.101665;0.697156;1.278727;0.149238;15.081857;0.009804;0.009804;0.000000;14992.005323;1.403600;10.061321;1.502650;16.414140;269.423992;19.252381;1.694290;1.270485;0.742080;16.475790;0.019608;0.019608;0.000000;24067.410044;1.475872;0.000000;0.000000;-0.742395;0.949147;0.322251;0.561074;0.000000;0.831742;-0.740421;0.000000;0.000000;0.690118;0.748105;-0.383594;-0.537203;10.063003;0.010045;13.705635;0.165554;0.009076;0.000000;9.905815;2.011719;-0.096588;101.274069;598.817987
2.000000;2.000000;0.000000;0.000000;2.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;408.000000;-0.000000;0.420135;-1.417750;2.692982;7.252150;2.725557;0.181744;0.644195;-1.253564;4.663575;0.029412;0.029412;0.501961;387.937015;1.319085;-9.400424;-9.585600;0.524647;0.275254;9.415053;0.203659;0.842416;-0.308891;0.721925;0.127451;0.127451;0.000000;9027.578534;0.014859;0.506257;0.296245;0.712901;0.508228;0.874371;0.156857;0.694617;-0.218464;0.982842;0.058824;0.058824;0.000000;52.100669;1.537775;7.517139;4.109750;15.972059;255.106655;17.652593;2.551994;0.351193;-0.604120;21.304725;0.049020;0.049020;0.000000;18774.202411;2.014339;-8.832956;-20.313000;31.967706;1021.934239;33.165575;3.649104;0.370598;-1.131990;52.902250;0.009804;0.009804;0.501961;60085.005929;1.158073;0.000000;0.000000;0.730976;-0.057631;-0.323920;0.569644;0.000000;-0.404358;-0.615536;0.000000;0.000000;0.037934;-0.746389;-0.183775;-0.233628;9.997958;0.112716;13.771960;7.475103;0.126830;0.000000;9.742586;2.011719;0.397104;100.071880;1412.333917
2.000000;2.000000;0.000000;0.000000;2.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;408.000000;-0.000000;1.602241;2.213100;3.291451;10.833647;3.660714;0.743011;-0.388989;-0.788761;5.636455;0.039216;0.039216;0.501961;814.392888;1.223918;-9.189842;-9.120500;0.986884;0.973940;9.242680;0.658820;-0.276730;1.340082;1.196675;0.225490;0.225490;0.000000;8663.897979;0.052839;0.455595;0.514645;1.157024;1.338704;1.243491;0.590057;-0.127396;-0.311418;1.805875;0.156863;0.156863;0.501961;89.610366;2.536547;10.153002;7.412600;18.778551;352.633992;21.347540;7.510840;0.212096;-0.494655;28.145750;0.098039;0.098039;0.000000;28506.673671;2.124376;-20.764421;-31.769500;36.163548;1307.802174;41.700880;9.935120;0.790377;-0.074904;47.066860;0.078431;0.078431;0.000000;110676.533467;1.601361;0.000000;0.000000;0.449606;-0.236096;0.170553;0.169676;0.000000;-0.010728;-0.456917;0.000000;0.000000;-0.429679;-0.606683;-0.265697;0.104609;10.096342;0.891833;14.341579;11.154784;0.769709;0.000000;9.492110;2.011719;0.618916;102.827962;2196.227081
2.000000;2.000000;0.000000;0.000000;2.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;408.000000;-0.000000;-2.678244;-4.442900;4.381754;19.199768;5.135441;0.979196;0.801289;-0.519600;5.193772;0.088235;0.088235;0.000000;1711.168835;1.393927;-7.190894;-7.832650;2.740469;7.510168;7.695397;0.764400;0.556786;-0.308941;3.965200;0.049020;0.049020;0.000000;5657.502335;0.355436;2.704675;2.008550;3.279081;10.752373;4.250604;0.714018;0.549642;-0.791268;5.521610;0.088235;0.088235;0.000000;1294.636861;1.420008;24.794354;24.553500;16.648485;277.172062;29.865231;8.757418;-0.205481;0.663072;20.950750;0.205882;0.205882;0.000000;76848.230700;0.973001;-31.018244;-38.657500;48.969945;2398.055513;57.967120;15.490811;-0.047397;-0.207755;69.653000;0.098039;0.098039;0.000000;220442.598300;1.736865;0.000000;0.000000;-0.446213;0.419920;-0.436813;-0.279818;0.000000;0.029684;-0.590583;0.000000;0.000000;-0.656681;0.147767;0.860236;0.486446;9.274173;3.581610;13.831445;21.494855;5.479536;0.000000;8.795093;2.011719;0.981878;89.591887;4270.186641
