Scenario,Description,Activation,Neurons,Val_F1
4.1,4.1: LR Fixa (Sem Momentum),logistic,20,0.16807115046955598
4.1,4.1: LR Fixa (Sem Momentum),logistic,50,0.19051926554132587
4.1,4.1: LR Fixa (Sem Momentum),logistic,100,0.046352090479280614
4.1,4.1: LR Fixa (Sem Momentum),relu,20,0.4452537550603131
4.1,4.1: LR Fixa (Sem Momentum),relu,50,0.15309911922307315
4.1,4.1: LR Fixa (Sem Momentum),relu,100,0.4414628061773453
4.2,4.2: LR Variável (Sem Momentum),logistic,20,0.16807115046955598
4.2,4.2: LR Variável (Sem Momentum),logistic,50,0.19051926554132587
4.2,4.2: LR Variável (Sem Momentum),logistic,100,0.3200661263253961
4.2,4.2: LR Variável (Sem Momentum),relu,20,0.4452537550603131
4.2,4.2: LR Variável (Sem Momentum),relu,50,0.15309911922307315
4.2,4.2: LR Variável (Sem Momentum),relu,100,0.44432316965129914
4.3,4.3: LR Variável + Momentum,logistic,20,0.3521994085065167
4.3,4.3: LR Variável + Momentum,logistic,50,0.43604427086750064
4.3,4.3: LR Variável + Momentum,logistic,100,0.30683748574049996
4.3,4.3: LR Variável + Momentum,relu,20,0.4879305513237611
4.3,4.3: LR Variável + Momentum,relu,50,0.5668215415331631
4.3,4.3: LR Variável + Momentum,relu,100,0.5491118860492002
Ext,Extra: Adam (Benchmark),logistic,20,0.4980383451973804
Ext,Extra: Adam (Benchmark),logistic,50,0.48271241120231395
Ext,Extra: Adam (Benchmark),logistic,100,0.5192024839845167
Ext,Extra: Adam (Benchmark),relu,20,0.4971889685782946
Ext,Extra: Adam (Benchmark),relu,50,0.5652800388546936
Ext,Extra: Adam (Benchmark),relu,100,0.6123657381585758
