Scenario,Description,Activation,Neurons,Val_F1
4.1,4.1: LR Fixa (Sem Momentum),logistic,20,0.03264736260996545
4.1,4.1: LR Fixa (Sem Momentum),logistic,50,0.3444725079447619
4.1,4.1: LR Fixa (Sem Momentum),logistic,100,0.3086699437670101
4.1,4.1: LR Fixa (Sem Momentum),relu,20,0.15207025722472037
4.1,4.1: LR Fixa (Sem Momentum),relu,50,0.4624258638695204
4.1,4.1: LR Fixa (Sem Momentum),relu,100,0.2802521907871766
4.2,4.2: LR Variável (Sem Momentum),logistic,20,0.03264736260996545
4.2,4.2: LR Variável (Sem Momentum),logistic,50,0.38211309716689756
4.2,4.2: LR Variável (Sem Momentum),logistic,100,0.30646995257770154
4.2,4.2: LR Variável (Sem Momentum),relu,20,0.1807846638866303
4.2,4.2: LR Variável (Sem Momentum),relu,50,0.4624258638695204
4.2,4.2: LR Variável (Sem Momentum),relu,100,0.2802521907871766
4.3,4.3: LR Variável + Momentum,logistic,20,0.4719540933131449
4.3,4.3: LR Variável + Momentum,logistic,50,0.3275737697496948
4.3,4.3: LR Variável + Momentum,logistic,100,0.31929254480332736
4.3,4.3: LR Variável + Momentum,relu,20,0.38623531631322144
4.3,4.3: LR Variável + Momentum,relu,50,0.4883648783047332
4.3,4.3: LR Variável + Momentum,relu,100,0.4951729104724028
Ext,Extra: Adam (Benchmark),logistic,20,0.4127504483685739
Ext,Extra: Adam (Benchmark),logistic,50,0.45756234590753453
Ext,Extra: Adam (Benchmark),logistic,100,0.5323360607833031
Ext,Extra: Adam (Benchmark),relu,20,0.5145951189434932
Ext,Extra: Adam (Benchmark),relu,50,0.4510579495566926
Ext,Extra: Adam (Benchmark),relu,100,0.4832772807031442
