Num_Features,k,F1_Validation
1,1,0.13258510092757717
1,3,0.12753278055864908
1,5,0.12910493491609468
1,7,0.13113420349870678
1,9,0.1317167521663754
1,11,0.13156970592938977
1,13,0.1319923075702244
1,15,0.13156258825886313
2,1,0.15177778621189095
2,3,0.14779164022977068
2,5,0.14797542083655052
2,7,0.14773561922300882
2,9,0.14880965625895246
2,11,0.15037717740305473
2,13,0.15194221265672722
2,15,0.1523368226963685
3,1,0.17681484175740284
3,3,0.1661470114529689
3,5,0.1655808455458228
3,7,0.16526079974311986
3,9,0.17051362812213383
3,11,0.16846928747158238
3,13,0.16877559278743454
3,15,0.16794871356560442
4,1,0.1738747453572988
4,3,0.16886933679739657
4,5,0.17229823670525227
4,7,0.17408248256846612
4,9,0.1694469872797475
4,11,0.17276460999343407
4,13,0.17177233169133116
4,15,0.17228638347529046
5,1,0.1613516683351427
5,3,0.16543521146147638
5,5,0.16888159345681036
5,7,0.17023508738924323
5,9,0.16920574452825837
5,11,0.17078328521673253
5,13,0.16797164044410762
5,15,0.17320888105780138
6,1,0.1682808924779181
6,3,0.16704094772203548
6,5,0.17237717046587853
6,7,0.17070447446280115
6,9,0.16999674926276664
6,11,0.17608525966256602
6,13,0.1751233941037339
6,15,0.17785354916626683
7,1,0.1729434916060601
7,3,0.16695452037373337
7,5,0.17441568409337344
7,7,0.17355177055257837
7,9,0.1724771832570269
7,11,0.17619654290943598
7,13,0.17702924037589496
7,15,0.17727267650611572
8,1,0.16517921879056213
8,3,0.1619524916492548
8,5,0.16932492619407294
8,7,0.1729573083989816
8,9,0.1712244820191765
8,11,0.17611539226949938
8,13,0.17662291566211136
8,15,0.17710879376446279
9,1,0.16714557274086406
9,3,0.16283183872183982
9,5,0.1708538866003225
9,7,0.17194537879313554
9,9,0.17122616372872512
9,11,0.17611210544173694
9,13,0.17744065930874964
9,15,0.17842600431756528
10,1,0.1694056437233183
10,3,0.1703419471278896
10,5,0.17508216908364463
10,7,0.17222342486178036
10,9,0.17425986566814228
10,11,0.1778773709528672
10,13,0.18011556546997087
10,15,0.18385297750276153
11,1,0.17111969470422408
11,3,0.1722893654471595
11,5,0.17601735241177202
11,7,0.17472143670487797
11,9,0.17498370713276667
11,11,0.17744091882587795
11,13,0.17873892454124654
11,15,0.18518359257784206
12,1,0.17267391881796107
12,3,0.17375532924939402
12,5,0.17834201307812197
12,7,0.17718783221903908
12,9,0.1790475072392665
12,11,0.1800421921312912
12,13,0.18123506515976762
12,15,0.18622988827581155
