Scenario,Description,Activation,Neurons,Val_F1
4.1,4.1: LR Fixa (Sem Momentum),logistic,20,0.1507129287013636
4.1,4.1: LR Fixa (Sem Momentum),logistic,50,0.1412002353682849
4.1,4.1: LR Fixa (Sem Momentum),logistic,100,0.36768248237596896
4.1,4.1: LR Fixa (Sem Momentum),relu,20,0.44492667531838076
4.1,4.1: LR Fixa (Sem Momentum),relu,50,0.3843906830335331
4.1,4.1: LR Fixa (Sem Momentum),relu,100,0.4630886772353372
4.2,4.2: LR Variável (Sem Momentum),logistic,20,0.15153798484333944
4.2,4.2: LR Variável (Sem Momentum),logistic,50,0.1412002353682849
4.2,4.2: LR Variável (Sem Momentum),logistic,100,0.36768248237596896
4.2,4.2: LR Variável (Sem Momentum),relu,20,0.44492667531838076
4.2,4.2: LR Variável (Sem Momentum),relu,50,0.3843906830335331
4.2,4.2: LR Variável (Sem Momentum),relu,100,0.4640458522669099
4.3,4.3: LR Variável + Momentum,logistic,20,0.39270443595149024
4.3,4.3: LR Variável + Momentum,logistic,50,0.3274698881530558
4.3,4.3: LR Variável + Momentum,logistic,100,0.3899055576380666
4.3,4.3: LR Variável + Momentum,relu,20,0.48159361230267766
4.3,4.3: LR Variável + Momentum,relu,50,0.47023582656874513
4.3,4.3: LR Variável + Momentum,relu,100,0.49221664145443633
Ext,Extra: Adam (Benchmark),logistic,20,0.505878435136344
Ext,Extra: Adam (Benchmark),logistic,50,0.49338628347643304
Ext,Extra: Adam (Benchmark),logistic,100,0.4757769426278461
Ext,Extra: Adam (Benchmark),relu,20,0.5090685697730899
Ext,Extra: Adam (Benchmark),relu,50,0.48956608422982306
Ext,Extra: Adam (Benchmark),relu,100,0.46339443110233386
